"site_name","climate_desc.y","Climate_Scenario.y","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_gwp"
"KBS","GFDL_High",3,"BC19-CR",-5.68426,NA,-2.56666,-8.25092
"KBS","Baseline",1,"BC19-CR",0,NA,0,0
"KBS","UKESM_High",5,"BC19-CR",-12.23469,NA,-2.93333,-15.16802
"KBS","UKESM_Low",4,"BC19-CR",-10.11837,NA,-2.56666,-12.68503
"KBS","GFDL_Low",2,"BC19-CR",-3.61066,NA,-2.56666,-6.17732
"KBS","GFDL_High",3,"BC38-CR",-5.57738,NA,-2.56666,-8.14404
"KBS","UKESM_Low",4,"BC38-CR",-9.94196,NA,-2.56666,-12.50862
"KBS","GFDL_Low",2,"BC38-CR",-3.51108,NA,-2.93333,-6.44441
"KBS","UKESM_High",5,"BC38-CR",-12.00623,NA,-3.3,-15.30623
"KBS","Baseline",1,"BC38-CR",0,NA,0,0
"KBS","GFDL_High",3,"BC57-CR",-5.45796,NA,-2.93334,-8.39129
"KBS","UKESM_Low",4,"BC57-CR",-9.77111,NA,-3.3,-13.07111
"KBS","GFDL_Low",2,"BC57-CR",-3.41702,NA,-3.3,-6.71701
"KBS","UKESM_High",5,"BC57-CR",-11.76886,NA,-4.03334,-15.80218
"KBS","Baseline",1,"BC57-CR",0,NA,0,0
"KBS","GFDL_High",3,"BC76-CR",-5.36466,NA,-3.66667,-9.03133
"KBS","Baseline",1,"BC76-CR",0,NA,0,0
"KBS","UKESM_Low",4,"BC76-CR",-9.60721,NA,-4.03334,-13.64055
"KBS","GFDL_Low",2,"BC76-CR",-3.34186,NA,-3.66667,-7.00853
"KBS","UKESM_High",5,"BC76-CR",-11.54341,NA,-4.76667,-16.31008
"KBS","GFDL_High",3,"BC96-CR",-5.27456,NA,-4.4,-9.67456
"KBS","Baseline",1,"BC96-CR",0,NA,0,0
"KBS","UKESM_Low",4,"BC96-CR",-9.44783,NA,-4.4,-13.84783
"KBS","GFDL_Low",2,"BC96-CR",-3.26289,NA,-4.03333,-7.29622
"KBS","UKESM_High",5,"BC96-CR",-11.32624,NA,-5.86666,-17.19291
"KBS","UKESM_High",5,"CC-CR",-1.94599,0.20961,-2.20513,-3.94152
"KBS","Baseline",1,"CC-CR",0,0,0,0
"KBS","UKESM_Low",4,"CC-CR",-1.32663,0.18874,-5.01155,-6.14944
"KBS","GFDL_Low",2,"CC-CR",-0.69456,0,-0.64167,-1.33623
"KBS","GFDL_High",3,"CC-CR",-1.59869,-0.10239,-3.56223,-5.26332
"KBS","Baseline",1,"CR",0,0,0,0
"KBS","UKESM_Low",4,"CR",-5.98693,0.07503,-12.04959,-17.96148
"KBS","GFDL_Low",2,"CR",-1.98811,0,-0.55,-2.5381
"KBS","UKESM_High",5,"CR",-6.83413,0.07211,-14.53631,-21.29833
"KBS","GFDL_High",3,"CR",-3.29848,-0.0775,-9.29218,-12.66816
"KBS","Baseline",1,"NT-CR",0,0,0,0
"KBS","UKESM_Low",4,"NT-CR",-5.2515,0.3217,-6.77449,-11.70431
"KBS","GFDL_Low",2,"NT-CR",-1.82454,0,0.0916699999999997,-1.73288
"KBS","UKESM_High",5,"NT-CR",-5.86843,0.33658,-6.56407,-12.09593
"KBS","GFDL_High",3,"NT-CR",-2.81981,0.0271599999999999,-4.66507,-7.45774
