"site_name","climate_desc","Climate_Scenario.y","scenario_abbrev.y","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_gwp"
"KBS","Baseline",1,"CR",0,0,0,0
"KBS","Baseline",1,"NT-CR",1.99987,-0.00146999999999997,1.90236,3.90076
"KBS","Baseline",1,"CC-CR",4.45333,0.00211,-3.38859,1.06686
"KBS","Baseline",1,"RF05-CR",0.58178,0.000120000000000009,-0.76695,-0.185049999999999
"KBS","Baseline",1,"RF15-CR",1.6209,0.000200000000000033,-2.40461,-0.78351
"KBS","Baseline",1,"RF25-CR",2.54463,0.00048999999999999,-4.22542,-1.68029
"KBS","Baseline",1,"RF35-CR",3.33101,0.000840000000000007,-6.21659,-2.88474
"KBS","Baseline",1,"RR50-CR",-0.45844,-0.00136999999999998,4.6833,4.22349
"KBS","Baseline",1,"RR25-CR",-1.13244,-0.00591999999999998,10.62444,9.48608
"KBS","Baseline",1,"RR00-CR",-2.53503,-0.01823,15.07763,12.52437
"KBS","Baseline",1,"BC19-CR",-0.615349999999999,NA,1.67103,0.7075
"KBS","Baseline",1,"BC38-CR",-0.204789999999999,NA,-1.2623,-1.81527
"KBS","Baseline",1,"BC57-CR",0.150080000000001,NA,-3.82897,-4.02706
"KBS","Baseline",1,"BC76-CR",0.43726,NA,-6.02897,-5.93988
"KBS","Baseline",1,"BC96-CR",0.675050000000001,NA,-8.22897,-7.9021
"KBS","GFDL_High",3,"CR",0,0,0,0
"KBS","GFDL_High",3,"NT-CR",2.36742,0.00114000000000003,3.94105,6.3096
"KBS","GFDL_High",3,"CC-CR",4.93075,-0.00123999999999996,-1.02342,3.90609
"KBS","GFDL_High",3,"RF05-CR",0.562250000000001,2.000000000002e-05,-0.71388,-0.151610000000002
"KBS","GFDL_High",3,"RF15-CR",1.69474,2.000000000002e-05,-2.25697,-0.562220000000002
"KBS","GFDL_High",3,"RF25-CR",2.67197,0.000290000000000012,-4.04338,-1.37112
"KBS","GFDL_High",3,"RF35-CR",3.53232,0.000609999999999999,-5.95942,-2.42649
"KBS","GFDL_High",3,"RR50-CR",-0.333359999999999,-0.00135999999999997,4.34557,4.01086
"KBS","GFDL_High",3,"RR25-CR",-0.966889999999999,-0.00533,9.52229,8.55007
"KBS","GFDL_High",3,"RR00-CR",-2.56096,-0.01576,13.05865,10.48193
"KBS","GFDL_High",3,"BC19-CR",-1.71104,NA,6.09998,4.03661
"KBS","GFDL_High",3,"BC38-CR",-1.25913,NA,2.79998,1.18851
"KBS","GFDL_High",3,"BC57-CR",-0.873749999999999,NA,-0.13335,-1.35944
