"mean_CO2e_N2O","mean_CO2e_CH4","mean_CO2e_SOC","mean_GWP","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
11.64854,-0.34818,-5.6623,5.63806,"CR","KBS",1,"Baseline"
9.64867,-0.34671,-7.56466,1.7373,"NT-CR","KBS",1,"Baseline"
7.19521,-0.35029,-2.27371,4.5712,"CC-CR","KBS",1,"Baseline"
11.06676,-0.3483,-4.89535,5.82311,"RF05-CR","KBS",1,"Baseline"
10.02764,-0.34838,-3.25769,6.42157,"RF15-CR","KBS",1,"Baseline"
9.10391,-0.34867,-1.43688,7.31835,"RF25-CR","KBS",1,"Baseline"
8.31753,-0.34902,0.55429,8.5228,"RF35-CR","KBS",1,"Baseline"
12.10698,-0.34681,-10.3456,1.41457,"RR50-CR","KBS",1,"Baseline"
12.78098,-0.34226,-16.28674,-3.84802,"RR25-CR","KBS",1,"Baseline"
14.18357,-0.32995,-20.73993,-6.88631,"RR00-CR","KBS",1,"Baseline"
12.26389,NA,-7.33333,4.93056,"BC19-CR","KBS",1,"Baseline"
11.85333,NA,-4.4,7.45333,"BC38-CR","KBS",1,"Baseline"
11.49846,NA,-1.83333,9.66512,"BC57-CR","KBS",1,"Baseline"
11.21128,NA,0.36667,11.57794,"BC76-CR","KBS",1,"Baseline"
10.97349,NA,2.56667,13.54016,"BC96-CR","KBS",1,"Baseline"
11.84648,-0.33948,-2.02884,9.47816,"CR","KBS",2,"GFDL_Low"
9.56973,-0.33777,-5.37025,3.8617,"NT-CR","KBS",2,"GFDL_Low"
7.25421,-0.33918,2.01659,8.93163,"CC-CR","KBS",2,"GFDL_Low"
11.31297,-0.33957,-1.28114,9.69226,"RF05-CR","KBS",2,"GFDL_Low"
10.31354,-0.33979,0.24735,10.2211,"RF15-CR","KBS",2,"GFDL_Low"
9.41856,-0.34003,1.95531,11.03383,"RF25-CR","KBS",2,"GFDL_Low"
8.63338,-0.34032,3.85807,12.15113,"RF35-CR","KBS",2,"GFDL_Low"
12.2822,-0.33801,-6.61861,5.32557,"RR50-CR","KBS",2,"GFDL_Low"
12.9749,-0.33394,-12.39684,0.24412,"RR25-CR","KBS",2,"GFDL_Low"
14.1823,-0.3253,-17.02747,-3.17048,"RR00-CR","KBS",2,"GFDL_Low"
12.54138,NA,-6.6,5.94138,"BC19-CR","KBS",2,"GFDL_Low"
12.05353,NA,-3.3,8.75353,"BC38-CR","KBS",2,"GFDL_Low"
11.70976,NA,-0.36667,11.34309,"BC57-CR","KBS",2,"GFDL_Low"
11.42471,NA,1.83333,13.25804,"BC76-CR","KBS",2,"GFDL_Low"
11.17978,NA,4.4,15.57978,"BC96-CR","KBS",2,"GFDL_Low"
13.11349,-0.35234,-1.23335,11.5278,"CR","KBS",3,"GFDL_High"
10.74607,-0.35348,-5.1744,5.2182,"NT-CR","KBS",3,"GFDL_High"
8.18274,-0.3511,-0.20993,7.62171,"CC-CR","KBS",3,"GFDL_High"
12.55124,-0.35236,-0.51947,11.67941,"RF05-CR","KBS",3,"GFDL_High"
11.41875,-0.35236,1.02362,12.09002,"RF15-CR","KBS",3,"GFDL_High"
10.44152,-0.35263,2.81003,12.89892,"RF25-CR","KBS",3,"GFDL_High"
9.58117,-0.35295,4.72607,13.95429,"RF35-CR","KBS",3,"GFDL_High"
13.44685,-0.35098,-5.57892,7.51694,"RR50-CR","KBS",3,"GFDL_High"
14.08038,-0.34701,-10.75564,2.97773,"RR25-CR","KBS",3,"GFDL_High"
15.67445,-0.33658,-14.292,1.04587,"RR00-CR","KBS",3,"GFDL_High"
14.82453,NA,-7.33333,7.49119,"BC19-CR","KBS",3,"GFDL_High"
14.37262,NA,-4.03333,10.33929,"BC38-CR","KBS",3,"GFDL_High"
13.98724,NA,-1.1,12.88724,"BC57-CR","KBS",3,"GFDL_High"
13.66635,NA,1.83333,15.49969,"BC76-CR","KBS",3,"GFDL_High"
13.38756,NA,4.03333,17.42089,"BC96-CR","KBS",3,"GFDL_High"
11.99203,-0.34524,1.01629,12.66308,"CR","KBS",4,"UKESM_Low"
10.24264,-0.3462,-2.60582,7.29061,"NT-CR","KBS",4,"UKESM_Low"
6.75644,-0.35145,4.14786,10.55284,"CC-CR","KBS",4,"UKESM_Low"
11.40853,-0.34533,1.60166,12.66485,"RF05-CR","KBS",4,"UKESM_Low"
10.28958,-0.3455,3.06998,13.01406,"RF15-CR","KBS",4,"UKESM_Low"
9.28403,-0.3457,4.77196,13.71029,"RF25-CR","KBS",4,"UKESM_Low"
8.45001,-0.34591,6.53216,14.63626,"RF35-CR","KBS",4,"UKESM_Low"
12.47609,-0.34427,-3.00059,9.13124,"RR50-CR","KBS",4,"UKESM_Low"
13.27229,-0.34148,-7.8993,5.0315,"RR25-CR","KBS",4,"UKESM_Low"
14.67317,-0.33351,-11.39157,2.94808,"RR00-CR","KBS",4,"UKESM_Low"
12.13161,NA,-7.7,4.43161,"BC19-CR","KBS",4,"UKESM_Low"
11.72252,NA,-4.03333,7.68919,"BC38-CR","KBS",4,"UKESM_Low"
11.36742,NA,-1.1,10.26742,"BC57-CR","KBS",4,"UKESM_Low"
11.0707,NA,1.1,12.1707,"BC76-CR","KBS",4,"UKESM_Low"
10.81521,NA,3.3,14.11521,"BC96-CR","KBS",4,"UKESM_Low"
14.47932,-0.35901,5.256,19.37632,"CR","KBS",5,"UKESM_High"
11.97964,-0.36166,-1.24997,10.368,"NT-CR","KBS",5,"UKESM_High"
7.60178,-0.3612,4.96828,12.20887,"CC-CR","KBS",5,"UKESM_High"
13.78607,-0.35908,5.62045,19.04743,"RF05-CR","KBS",5,"UKESM_High"
12.45924,-0.35931,6.60903,18.70897,"RF15-CR","KBS",5,"UKESM_High"
11.26752,-0.35956,7.94465,18.85261,"RF25-CR","KBS",5,"UKESM_High"
10.17094,-0.35987,9.54399,19.35506,"RF35-CR","KBS",5,"UKESM_High"
14.94781,-0.35775,0.97719,15.56725,"RR50-CR","KBS",5,"UKESM_High"
15.64242,-0.35386,-3.31396,11.9746,"RR25-CR","KBS",5,"UKESM_High"
