"Climate_Scenario","scenario_abbrev","Mgmt_Scenario","Scenario_Name","Model","site_name","CO2e_N2O","CO2e_CH4","CO2e_SOC","GWP","climate_desc"
1,"CR",1,"1_1","APSIM","KBS",14.01367968,-0.7916526072,-10.6333333333333,2.58869373946667,"Baseline"
1,"CR",1,"1_1","Daycent","KBS",10.4819246532,-0.7916526072,-7.33333333333333,2.35693871266667,"Baseline"
1,"CR",1,"1_1","Millennial","KBS",12.2478021666,-0.7916526072,-5.23553701173584,6.22061254766416,"Baseline"
1,"CR",1,"1_1","RothC","KBS",12.2478021666,-0.7916526072,3.38946666666667,14.8456162260667,"Baseline"
1,"NT-CR",2,"1_2","APSIM","KBS",12.74887185,-2.8633724676,-7.7,2.1854993824,"Baseline"
1,"NT-CR",2,"1_2","Daycent","KBS",7.5683859966,-2.8633724676,-15.4,-10.694986471,"Baseline"
1,"NT-CR",2,"1_2","Millennial","KBS",10.1586289233,-2.8633724676,-6.047657825275,1.247598630425,"Baseline"
1,"NT-CR",2,"1_2","RothC","KBS",10.1586289233,-2.8633724676,0.651200000000007,7.94645645570001,"Baseline"
1,"CC-CR",3,"1_3","APSIM","KBS",6.21336573,-0.4183130016,-5.86666666666667,-0.0716139382666667,"Baseline"
1,"CC-CR",3,"1_3","Daycent","KBS",8.7732648861,-0.4183130016,0.36666666666667,8.72161855116667,"Baseline"
1,"CC-CR",3,"1_3","Millennial","KBS",7.49331530805,-0.4183130016,-2.84408508427893,4.23091722217108,"Baseline"
1,"CC-CR",3,"1_3","RothC","KBS",7.49331530805,-0.4183130016,-0.225866666666674,6.84913563978333,"Baseline"
1,"RF05-CR",41,"1_41","APSIM","KBS",13.17767022,-0.8008609068,-10.2666666666667,2.11014264653333,"Baseline"
1,"RF05-CR",41,"1_41","Daycent","KBS",10.0977379932,-0.8008609068,-6.6,2.6968770864,"Baseline"
1,"RF05-CR",41,"1_41","Millennial","KBS",11.6377041066,-0.8008609068,-3.58177255573976,7.25507064406024,"Baseline"
1,"RF05-CR",41,"1_41","RothC","KBS",11.6377041066,-0.8008609068,3.68866666666667,14.5255098664667,"Baseline"
1,"RF15-CR",42,"1_42","APSIM","KBS",11.8021332,-0.8168509332,-9.53333333333333,1.45194893346667,"Baseline"
1,"RF15-CR",42,"1_42","Daycent","KBS",9.3151965621,-0.8168509332,-5.13333333333333,3.36501229556667,"Baseline"
1,"RF15-CR",42,"1_42","Millennial","KBS",10.55866488105,-0.8168509332,0.0641415605922806,9.80595550844228,"Baseline"
1,"RF15-CR",42,"1_42","RothC","KBS",10.55866488105,-0.8168509332,4.34133333333333,14.0831472811833,"Baseline"
1,"RF25-CR",43,"1_43","APSIM","KBS",10.66495287,-0.8366481864,-8.8,1.0283046836,"Baseline"
1,"RF25-CR",43,"1_43","Daycent","KBS",8.5444171527,-0.8366481864,-3.66666666666667,4.04110229963333,"Baseline"
1,"RF25-CR",43,"1_43","Millennial","KBS",9.60468501135,-0.8366481864,4.3412121218213,13.1092489467713,"Baseline"
1,"RF25-CR",43,"1_43","RothC","KBS",9.60468501135,-0.8366481864,5.10583333333333,13.8738701582833,"Baseline"
1,"RF35-CR",44,"1_44","APSIM","KBS",9.79747626,-0.8677186416,-8.06666666666667,0.863090951733334,"Baseline"
1,"RF35-CR",44,"1_44","Daycent","KBS",7.7905685715,-0.8677186416,-1.83333333333333,5.08951659656667,"Baseline"
1,"RF35-CR",44,"1_44","Millennial","KBS",8.79402241575,-0.8677186416,8.9375359000356,16.8638396741856,"Baseline"
1,"RF35-CR",44,"1_44","RothC","KBS",8.79402241575,-0.8677186416,5.91433333333333,13.8406371074833,"Baseline"
1,"RR50-CR",51,"1_51","APSIM","KBS",14.90411637,-0.6228035028,-12.8333333333333,1.44797953386667,"Baseline"
1,"RR50-CR",51,"1_51","Daycent","KBS",10.6083732612,-0.6228035028,-16.8666666666667,-6.88109690826666,"Baseline"
1,"RR50-CR",51,"1_51","Millennial","KBS",12.7562448156,-0.6228035028,-11.9538054365473,0.179635876252668,"Baseline"
1,"RR50-CR",51,"1_51","RothC","KBS",12.7562448156,-0.6228035028,2.79546666666667,14.9289079794667,"Baseline"
1,"RR25-CR",52,"1_52","APSIM","KBS",16.64991042,-0.4702291812,-15.7666666666667,0.413014572133336,"Baseline"
1,"RR25-CR",52,"1_52","Daycent","KBS",10.3935699153,-0.4702291812,-25.3,-15.3766592659,"Baseline"
1,"RR25-CR",52,"1_52","Millennial","KBS",13.52174016765,-0.4702291812,-23.5518023332768,-10.5002913468268,"Baseline"
1,"RR25-CR",52,"1_52","RothC","KBS",13.52174016765,-0.4702291812,2.07936666666667,15.1308776531167,"Baseline"
1,"RR00-CR",53,"1_53","APSIM","KBS",20.07196191,-0.3240170388,-19.8,-0.0520551288000018,"Baseline"
1,"RR00-CR",53,"1_53","Daycent","KBS",10.1205307632,-0.3240170388,-24.9333333333333,-15.1368196089333,"Baseline"
1,"RR00-CR",53,"1_53","Millennial","KBS",15.0962463366,-0.3240170388,-36.0532499180418,-21.2810206202418,"Baseline"
1,"RR00-CR",53,"1_53","RothC","KBS",15.0962463366,-0.3240170388,1.4685,16.2407292978,"Baseline"
1,"BC19-CR",61,"1_61","APSIM","KBS",13.41349152,NA,-7.33333333333333,6.08015818666667,"Baseline"
1,"BC38-CR",62,"1_62","APSIM","KBS",12.98105952,NA,-4.0333333333333,8.9477261866667,"Baseline"
1,"BC57-CR",63,"1_63","APSIM","KBS",12.60626367,NA,-1.46666666666669,11.1395970033333,"Baseline"
1,"BC76-CR",64,"1_64","APSIM","KBS",12.30348834,NA,0.733333333333344,13.0368216733333,"Baseline"
1,"BC96-CR",65,"1_65","APSIM","KBS",12.05136075,NA,2.56666666666668,14.6180274166667,"Baseline"
2,"CR",1,"2_1","APSIM","KBS",17.98989621,-0.7916526072,-8.43333333333333,8.76491026946667,"GFDL_Low"
2,"CR",1,"2_1","Daycent","KBS",10.4819246532,-0.7916526072,-7.33333333333333,2.35693871266667,"GFDL_Low"
2,"CR",1,"2_1","Millennial","KBS",14.2359104316,-0.7916526072,-5.23553701173584,8.20872081266416,"GFDL_Low"
