"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_scen_abbr","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_scen_abbr","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_scen_abbr","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
7.60293,7.49332,"CC-CR",15.09625,"RR00-CR",2.53935,-2.86337,"NT-CR",-0.32402,"RR00-CR",22.39619,-19.82952,"RR00-CR",2.56667,"BC96-CR",19.67532,-5.05729,"RR00-CR",14.61803,"BC96-CR","KBS",1,"Baseline"
8.83627,8.18788,"CC-CR",17.02415,"BC19-CR",2.53935,-2.86337,"NT-CR",-0.32402,"RR00-CR",24.50452,-17.90452,"RR00-CR",6.6,"BC96-CR",23.43731,-1.52306,"RR00-CR",21.91425,"BC96-CR","KBS",2,"GFDL_Low"
10.00574,9.09201,"CC-CR",19.09775,"BC19-CR",2.67095,-2.89053,"NT-CR",-0.21958,"RR00-CR",17.39843,-7.96272,"RR00-CR",9.43571,"RF35-CR",16.66371,7.62888,"NT-CR",24.29259,"BC96-CR","KBS",3,"GFDL_High"
14.71191,8.81995,"CC-CR",23.53186,"BC19-CR",2.78224,-3.18507,"NT-CR",-0.40283,"RR00-CR",16.9239,-4.76667,"BC19-CR",12.15723,"RF35-CR",17.38391,11.08195,"CC-CR",28.46586,"BC96-CR","KBS",4,"UKESM_Low"
16.20887,9.43931,"CC-CR",25.64818,"BC19-CR",2.81984,-3.19995,"NT-CR",-0.38011,"RR00-CR",18.22067,-4.4,"BC19-CR",13.82067,"RF35-CR",22.93691,8.87403,"CC-CR",31.81094,"BC96-CR","KBS",5,"UKESM_High"
2.06452,3.00836,"BC96-CR",5.07288,"CC-CR",3.68449,-4.67885,"RR50-NT-CR",-0.99436,"CC-CR",15.59554,-1.29554,"CC-NT-CR",14.3,"BC96-CR",18.50128,-1.19292,"RR00-NT-CR",17.30836,"BC96-CR","LRF",1,"Baseline"
2.11147,2.77714,"BC96-CR",4.88861,"CC-CR",3.56784,-4.48457,"RR50-NT-CR",-0.91673,"CC-CR",9.53192,-0.36525,"CC-NT-CR",9.16667,"BC96-CR",12.003,-0.0592,"RR00-NT-CR",11.9438,"BC96-CR","LRF",2,"GFDL_Low"
2.08434,2.6455,"BC96-CR",4.72984,"CC-CR",3.65727,-4.62753,"RR50-NT-CR",-0.97026,"CC-CR",15.20204,-2.36871,"CC-CR",12.83333,"BC96-CR",16.47773,-0.9989,"CC-NT-CR",15.47883,"BC96-CR","LRF",3,"GFDL_High"
2.03871,2.97305,"BC96-CR",5.01176,"CC-CR",3.65733,-4.57545,"RR50-NT-CR",-0.91812,"CC-CR",15.57905,-0.91238,"CC-NT-CR",14.66667,"BC96-CR",18.08575,-0.44604,"CC-NT-CR",17.63971,"BC96-CR","LRF",4,"UKESM_Low"
2.15189,2.86014,"BC96-CR",5.01203,"CC-CR",3.6453,-4.66237,"RR50-NT-CR",-1.01707,"CC-CR",15.46845,-0.43512,"CC-CR",15.03333,"BC96-CR",17.33195,0.56152,"RR50-NT-CR",17.89347,"BC96-CR","LRF",5,"UKESM_High"
