"max_diff_co2e_n2o_clim$diff_co2e_n2o - min_diff_co2e_n2o_clim$diff_co2e_n2o","diff_co2e_n2o","climate_desc.y","diff_co2e_n2o","climate_desc.y","max_diff_co2e_ch4_clim$diff_co2e_ch4 - min_diff_co2e_ch4_clim$diff_co2e_ch4","diff_co2e_ch4","climate_desc.y","diff_co2e_ch4","climate_desc.y","max_diff_co2e_soc_clim$diff_co2e_soc - min_diff_co2e_soc_clim$diff_co2e_soc","diff_co2e_soc","climate_desc","diff_co2e_soc","climate_desc","max_diff_gwp_clim$diff_gwp - min_diff_gwp_clim$diff_gwp","diff_gwp","climate_desc.y","site_name","climate_desc.y","Climate_Scenario.y","scenario_abbrev","diff_gwp"
8.62403,-12.23469,"UKESM_High",-3.61066,"GFDL_Low",0.312,-0.10239,"GFDL_High",0.20961,"UKESM_High",0.36667,-2.93333,"UKESM_High",-2.56666,"GFDL_Low",8.9907,-15.16802,"UKESM_High","KBS","GFDL_Low",2,"BC19-CR",-6.17732
8.49515,-12.00623,"UKESM_High",-3.51108,"GFDL_Low",0.15253,-0.0775,"GFDL_High",0.07503,"UKESM_Low",0.73334,-3.3,"UKESM_High",-2.56666,"GFDL_High",8.86182,-15.30623,"UKESM_High","KBS","GFDL_Low",2,"BC38-CR",-6.44441
8.35184,-11.76886,"UKESM_High",-3.41702,"GFDL_Low",0.33658,0,"GFDL_Low",0.33658,"UKESM_High",1.1,-4.03334,"UKESM_High",-2.93334,"GFDL_High",9.08517,-15.80218,"UKESM_High","KBS","GFDL_Low",2,"BC57-CR",-6.71701
8.20155,-11.54341,"UKESM_High",-3.34186,"GFDL_Low",0.15152,-0.07836,"GFDL_High",0.07316,"UKESM_Low",1.1,-4.76667,"UKESM_High",-3.66667,"GFDL_Low",9.30155,-16.31008,"UKESM_High","KBS","GFDL_Low",2,"BC76-CR",-7.00853
8.06335,-11.32624,"UKESM_High",-3.26289,"GFDL_Low",0.14826,-0.0811299999999999,"GFDL_High",0.06713,"UKESM_High",1.83333,-5.86666,"UKESM_High",-4.03333,"GFDL_Low",9.89669,-17.19291,"UKESM_High","KBS","GFDL_Low",2,"BC96-CR",-7.29622
1.25143,-1.94599,"UKESM_High",-0.69456,"GFDL_Low",0.15686,-0.08373,"GFDL_High",0.07313,"UKESM_High",4.36988,-5.01155,"UKESM_Low",-0.64167,"GFDL_Low",4.81321,-6.14944,"UKESM_Low","KBS","GFDL_Low",2,"CC-CR",-1.33623
4.84602,-6.83413,"UKESM_High",-1.98811,"GFDL_Low",0.16175,-0.07752,"GFDL_High",0.0842299999999999,"UKESM_High",13.98631,-14.53631,"UKESM_High",-0.55,"GFDL_Low",18.76023,-21.29833,"UKESM_High","KBS","GFDL_Low",2,"CR",-2.5381
4.04389,-5.86843,"UKESM_High",-1.82454,"GFDL_Low",0.18325,-0.10444,"GFDL_High",0.07881,"UKESM_Low",6.86616,-6.77449,"UKESM_Low",0.0916699999999997,"GFDL_Low",10.36305,-12.09593,"UKESM_High","KBS","GFDL_Low",2,"NT-CR",-1.73288
4.63362,-6.56743,"UKESM_High",-1.93381,"GFDL_Low",0.18283,-0.10315,"GFDL_High",0.07968,"UKESM_Low",13.59546,-14.14546,"UKESM_High",-0.55,"GFDL_Low",18.15948,-20.64329,"UKESM_High","KBS","GFDL_Low",2,"RF05-CR",-2.48381
4.19381,-5.95905,"UKESM_High",-1.76524,"GFDL_Low",0.17914,-0.09941,"GFDL_High",0.07973,"UKESM_Low",13.03539,-13.58539,"UKESM_High",-0.55,"GFDL_Low",17.16208,-19.47731,"UKESM_High","KBS","GFDL_Low",2,"RF15-CR",-2.31523
3.76517,-5.36929,"UKESM_High",-1.60412,"GFDL_Low",0.10034,-0.07763,"GFDL_Low",0.0227099999999999,"UKESM_High",12.53509,-13.08509,"UKESM_High",-0.55,"GFDL_Low",16.22712,-18.38125,"UKESM_High","KBS","GFDL_Low",2,"RF25-CR",-2.15413
3.22475,-4.69816,"UKESM_High",-1.47341,"GFDL_Low",0.18789,-0.21403,"GFDL_Low",-0.0261399999999998,"UKESM_High",12.0327,-12.5827,"UKESM_High",-0.55,"GFDL_Low",15.17323,-17.19663,"UKESM_High","KBS","GFDL_Low",2,"RF35-CR",-2.0234
4.90592,-6.51514,"UKESM_High",-1.60922,"GFDL_Low",0.0863199999999997,-0.0541099999999997,"GFDL_Low",0.0322100000000001,"GFDL_High",18.13042,-20.05542,"UKESM_High",-1.925,"GFDL_Low",22.98024,-26.51447,"UKESM_High","KBS","GFDL_Low",2,"RR00-CR",-3.53423
