"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_scen_abbr","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_scen_abbr","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_scen_abbr","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
6.98836,-2.53503,"RR00-CR",4.45333,"CC-CR",2.53935,-0.46763,"RR00-CR",2.07172,"NT-CR",23.3066,-8.22897,"BC96-CR",15.07763,"RR00-CR",20.42054,-8.34557,"BC96-CR","KBS","Baseline",1,"RR00-CR",12.07497
6.92809,-2.33582,"RR00-CR",4.59227,"CC-CR",2.49465,-0.48393,"RR00-CR",2.01072,"NT-CR",21.42747,-6.42884,"BC96-CR",14.99863,"RR00-CR",18.66111,-6.48223,"BC96-CR","KBS","GFDL_Low",2,"RR00-CR",12.17888
7.49171,-2.56096,"RR00-CR",4.93075,"CC-CR",2.60794,-0.47711,"RR00-CR",2.13083,"NT-CR",19.01807,-5.95942,"RF35-CR",13.05865,"RR00-CR",16.24342,-6.22283,"BC96-CR","KBS","GFDL_High",3,"RR00-CR",10.02059
7.91673,-2.68114,"RR00-CR",5.23559,"CC-CR",2.47593,-0.42354,"RR00-CR",2.05239,"NT-CR",17.92373,-5.51587,"RF35-CR",12.40786,"RR00-CR",11.24556,-1.94237,"BC96-CR","KBS","UKESM_Low",4,"RR00-CR",9.30319
9.65376,-2.77622,"RR00-CR",6.87754,"CC-CR",2.56532,-0.43724,"RR00-CR",2.12808,"NT-CR",16.06616,-4.28799,"RF35-CR",11.77817,"RR00-CR",12.42248,-1.28874,"BC96-CR","KBS","UKESM_High",5,"NT-CR",11.13374
1.72787,0,"RR00-CR",1.72787,"RR50-NT-CR",4.61668,-0.27352,"CC-CR",4.34316,"RR50-NT-CR",18.91504,-15.71309,"BC96-CR",3.20195,"RR00-NT-CR",21.64915,-14.44048,"BC96-CR","LRF","Baseline",1,"RR00-NT-CR",7.20867
1.60567,0,"RR00-CR",1.60567,"RR50-NT-CR",4.61394,-0.49052,"CC-CR",4.12342,"RR50-NT-CR",16.32412,-12.84221,"BC96-CR",3.48191,"CC-NT-CR",19.35099,-11.69725,"BC96-CR","LRF","GFDL_Low",2,"CC-NT-CR",7.65374
1.658,0,"RR00-CR",1.658,"RR50-NT-CR",4.62925,-0.36687,"CC-CR",4.26238,"RR50-NT-CR",15.00616,-11.52165,"BC96-CR",3.48451,"CC-NT-CR",17.98268,-10.00201,"BC96-CR","LRF","GFDL_High",3,"CC-NT-CR",7.98067
1.8361,-0.25669,"CC-CR",1.57941,"RR50-NT-CR",4.67531,-0.41187,"CC-CR",4.26344,"RR50-NT-CR",17.41019,-14.50347,"BC96-CR",2.90672,"CC-NT-CR",20.71164,-13.82614,"BC96-CR","LRF","UKESM_Low",4,"RR00-NT-CR",6.8855
1.81387,0,"RR00-CR",1.81387,"RR50-NT-CR",4.59983,-0.22998,"CC-CR",4.36985,"RR50-NT-CR",16.7887,-13.96424,"BC96-CR",2.82446,"RR00-NT-CR",20.04079,-12.47789,"BC96-CR","LRF","UKESM_High",5,"RR25-NT-CR",7.5629
