"Model","site_name","climate_desc","Climate_Scenario","scenario_abbrev","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_co2e_gwp"
"APSIM","KBS","UKESM_High",5,"BC19-CR",-4.42812513,NA,-1.1,-5.52812513000003
"APSIM","LRF","UKESM_High",5,"BC19-CR",0.1302015,NA,-0.36666666666666,-0.23646516666666
"APSIM","KBS","UKESM_High",5,"BC38-CR",-4.32780777,NA,-1.1,-5.42780777
"APSIM","LRF","UKESM_High",5,"BC38-CR",0.1263834,NA,0.36666666666667,0.493050066666699
"APSIM","KBS","UKESM_High",5,"BC57-CR",-4.23304596,NA,-2.19999999999998,-6.43304595999993
"APSIM","LRF","UKESM_High",5,"BC57-CR",0.0997038899999998,NA,0.36666666666666,0.4663705566666
"APSIM","KBS","UKESM_High",5,"BC76-CR",-4.14745617,NA,-2.56666666666667,-6.7141228366667
"APSIM","LRF","UKESM_High",5,"BC76-CR",0.06923631,NA,0,0.0692363100000009
"APSIM","KBS","UKESM_High",5,"BC96-CR",-4.05444039,NA,-2.56666666666669,-6.6211070566667
"APSIM","LRF","UKESM_High",5,"BC96-CR",-0.0744958499999999,NA,0.366666666666701,0.292170816666701
"APSIM","KBS","UKESM_High",5,"CC-CR",-1.44492348,0.01262384424,-2.2,-3.63229963576
"Daycent","KBS","UKESM_High",5,"CC-CR",0.631783581000001,0.01262384424,-7.7,-7.05559257476003
"Millennial","KBS","UKESM_High",5,"CC-CR",-0.4065699495,0.01262384424,-11.8981924403713,-12.2921385456313
"RothC","KBS","UKESM_High",5,"CC-CR",-0.4065699495,0.01262384424,-7.1698,-7.56374610526
"APSIM","LRF","UKESM_High",5,"CC-CR",-2.03649303,-0.00491151024000003,-1.1,-3.14140454024
"Daycent","LRF","UKESM_High",5,"CC-CR",0.0270572873999999,-0.00491151024000003,-0.73333333333333,-0.71118755617333
"Millennial","LRF","UKESM_High",5,"CC-CR",-1.0047178713,-0.00491151024000003,0.571195280001144,-0.43843410153886
"RothC","LRF","UKESM_High",5,"CC-CR",-1.0047178713,-0.00491151024000003,0.761016666666663,-0.24861271487334
"APSIM","LRF","UKESM_High",5,"CC-NT-CR",-2.1730995,-0.00236081307239999,-2.56666666666666,-4.74212697973906
"Daycent","LRF","UKESM_High",5,"CC-NT-CR",-0.1156342044,-0.00236081307239999,0,-0.117995017472401
"Millennial","LRF","UKESM_High",5,"CC-NT-CR",-1.1443668522,-0.00236081307239999,-2.98408296833972,-4.13081063361215
"RothC","LRF","UKESM_High",5,"CC-NT-CR",-1.1443668522,-0.00236081307239999,0.173616666666666,-0.97311099860573
"APSIM","LRF","UKESM_High",5,"CN",-2.5024428,-0.00422061479999991,-0.733333333333337,-3.23999674813334
"Daycent","LRF","UKESM_High",5,"CN",-0.1373159502,-0.00422061479999991,0,-0.141536565
"Millennial","LRF","UKESM_High",5,"CN",-1.3198793751,-0.00422061479999991,-3.454512771615,-4.778612761515
"RothC","LRF","UKESM_High",5,"CN",-1.3198793751,-0.00422061479999991,-0.0175999999999999,-1.3416999899
"APSIM","KBS","UKESM_High",5,"CR",-4.88853651,0.01254232512,-1.46666666666667,-6.34266085154667
"Daycent","KBS","UKESM_High",5,"CR",-0.7730209773,0.01254232512,-6.23333333333333,-6.99381198551333
"Millennial","KBS","UKESM_High",5,"CR",-2.83077874365,0.01254232512,-33.2529168346302,-36.0711532531602
"RothC","KBS","UKESM_High",5,"CR",-2.83077874365,0.01254232512,-2.7203,-5.53853641853
"APSIM","KBS","UKESM_High",5,"NT-CR",-3.95916807,0.0149548544352,1.1,-2.8442132155648
"Daycent","KBS","UKESM_High",5,"NT-CR",-0.7027805499,0.0149548544352,-6.23333333333333,-6.92115902879813
"Millennial","KBS","UKESM_High",5,"NT-CR",-2.33097430995,0.0149548544352,-15.9307255546996,-18.2467450102144
"RothC","KBS","UKESM_High",5,"NT-CR",-2.33097430995,0.0149548544352,-4.19466666666667,-6.5106861221815
"APSIM","KBS","UKESM_High",5,"RF05-CR",-4.72002531,0.01250264952,-1.09999999999997,-5.80752266048
"Daycent","KBS","UKESM_High",5,"RF05-CR",-0.718599924899999,0.01250264952,-5.86666666666666,-6.57276394204665
"Millennial","KBS","UKESM_High",5,"RF05-CR",-2.71931261745,0.01250264952,-32.4744828242241,-35.1812927921541
"RothC","KBS","UKESM_High",5,"RF05-CR",-2.71931261745,0.01250264952,-2.62203333333334,-5.3288433012634
"APSIM","LRF","UKESM_High",5,"RF05-CR",-0.15463734,-0.00564723144000001,-1.83333333333333,-1.99361790477333
"Daycent","LRF","UKESM_High",5,"RF05-CR",-0.226030232999999,-0.00564723144000001,0,-0.231677464439999
"Millennial","LRF","UKESM_High",5,"RF05-CR",-0.190333786499999,-0.00564723144000001,-4.27919638150359,-4.47517739944356
"RothC","LRF","UKESM_High",5,"RF05-CR",-0.190333786499999,-0.00564723144000001,0.27335,0.0773689820600003
"APSIM","KBS","UKESM_High",5,"RF15-CR",-4.26013731,0.012639708,-1.1,-5.347497602
"Daycent","KBS","UKESM_High",5,"RF15-CR",-0.603056797199999,0.012639708,-5.13333333333333,-5.72375042253333
"Millennial","KBS","UKESM_High",5,"RF15-CR",-2.4315970536,0.012639708,-30.8296727915587,-33.2486301371587
"RothC","KBS","UKESM_High",5,"RF15-CR",-2.4315970536,0.012639708,-2.40386666666667,-4.8228240122667
"APSIM","LRF","UKESM_High",5,"RF15-CR",-0.19075056,-0.00517860792000002,-1.46666666666667,-1.66259583458667
"Daycent","LRF","UKESM_High",5,"RF15-CR",-0.221095531800001,-0.00517860792000002,0,-0.22627413972
"Millennial","LRF","UKESM_High",5,"RF15-CR",-0.2059230459,-0.00517860792000002,-4.12709514270495,-4.33819679652495
"RothC","LRF","UKESM_High",5,"RF15-CR",-0.2059230459,-0.00517860792000002,0.25135,0.0402483461799994
"APSIM","KBS","UKESM_High",5,"RF25-CR",-3.83699316,0.0126049968,-1.1,-4.9243881632
"Daycent","KBS","UKESM_High",5,"RF25-CR",-0.490238162700001,0.0126049968,-5.13333333333333,-5.61096649923337
"Millennial","KBS","UKESM_High",5,"RF25-CR",-2.16361566135,0.0126049968,-29.0506361727587,-31.2016468373087
"RothC","KBS","UKESM_High",5,"RF25-CR",-2.16361566135,0.0126049968,-2.24216666666667,-4.3931773312167
"APSIM","LRF","UKESM_High",5,"RF25-CR",-0.20434557,-0.00471192047999991,-1.46666666666667,-1.67572415714667
"Daycent","LRF","UKESM_High",5,"RF25-CR",-0.2171881569,-0.00471192047999991,-0.36666666666667,-0.58856674404667
"Millennial","LRF","UKESM_High",5,"RF25-CR",-0.210766863450001,-0.00471192047999991,-3.97061836943197,-4.18609715336198
"RothC","LRF","UKESM_High",5,"RF25-CR",-0.210766863450001,-0.00471192047999991,0.223483333333336,0.00800454940333939
"APSIM","KBS","UKESM_High",5,"RF35-CR",-3.33542352,0.01256069016,-1.46666666666666,-4.78952949650666
"Daycent","KBS","UKESM_High",5,"RF35-CR",-0.371400658200001,0.01256069016,-4.39999999999999,-4.75883996804003
"Millennial","KBS","UKESM_High",5,"RF35-CR",-1.8534120891,0.01256069016,-28.0002759500383,-29.8411273489783
"RothC","KBS","UKESM_High",5,"RF35-CR",-1.8534120891,0.01256069016,-2.09183333333333,-3.9326847322733
"APSIM","LRF","UKESM_High",5,"RF35-CR",-0.22106799,-0.00423031464000001,-2.2,-2.42529830464
"Daycent","LRF","UKESM_High",5,"RF35-CR",-0.2084191395,-0.00423031464000001,-0.366666666666677,-0.57931612080668
"Millennial","LRF","UKESM_High",5,"RF35-CR",-0.21474356475,-0.00423031464000001,-3.77543346756286,-3.9944073469529
"RothC","LRF","UKESM_High",5,"RF35-CR",-0.21474356475,-0.00423031464000001,0.201116666666666,-0.0178572127233299
"APSIM","KBS","UKESM_High",5,"RR00-CR",-4.34220072,0.01680278832,-5.8666666666666,-10.1920645983467
"Daycent","KBS","UKESM_High",5,"RR00-CR",-1.8017424711,0.01680278832,-6.9666666666666,-8.75160634944663
"Millennial","KBS","UKESM_High",5,"RR00-CR",-3.07197159555,0.01680278832,-40.9323797901054,-43.9875485973354
"RothC","KBS","UKESM_High",5,"RR00-CR",-3.07197159555,0.01680278832,-3.10530000000001,-6.16046880723
"APSIM","LRF","UKESM_High",5,"RR00-CR",-2.65360953,-0.00589596984000007,-1.46666666666667,-4.12617216650666
"Daycent","LRF","UKESM_High",5,"RR00-CR",-0.2298064197,-0.00589596984000007,0,-0.235702389540001
"Millennial","LRF","UKESM_High",5,"RR00-CR",-1.44170797485,-0.00589596984000007,-4.34548147934738,-5.79308542403738
"RothC","LRF","UKESM_High",5,"RR00-CR",-1.44170797485,-0.00589596984000007,0.28343333333334,-1.16417061135666
"APSIM","LRF","UKESM_High",5,"RR00-NT-CR",-2.58380694,-0.00545519805479999,-3.66666666666666,-6.2559288047215
"Daycent","LRF","UKESM_High",5,"RR00-NT-CR",-0.2168875995,-0.00545519805479999,0,-0.2223427975548
"Millennial","LRF","UKESM_High",5,"RR00-NT-CR",-1.40034726975,-0.00545519805479999,-3.57424452254134,-4.98004699034617
"RothC","LRF","UKESM_High",5,"RR00-NT-CR",-1.40034726975,-0.00545519805479999,0.202216666666667,-1.20358580113813
"APSIM","KBS","UKESM_High",5,"RR25-CR",-4.68915876,0.01322832456,-3.6666666666666,-8.34259710210666
"Daycent","KBS","UKESM_High",5,"RR25-CR",-1.0337268513,0.01322832456,-7.7,-8.72049852674
"Millennial","KBS","UKESM_High",5,"RR25-CR",-2.86144280565,0.01322832456,-37.4858777289928,-40.3340922100828
"RothC","KBS","UKESM_High",5,"RR25-CR",-2.86144280565,0.01322832456,-3.03856666666667,-5.8867811477567
"APSIM","LRF","UKESM_High",5,"RR25-CR",-2.10314676,-0.00398155607999995,-1.46666666666667,-3.57379498274667
"Daycent","LRF","UKESM_High",5,"RR25-CR",-0.236478399299999,-0.00398155607999995,-0.36666666666667,-0.60712662204667
"Millennial","LRF","UKESM_High",5,"RR25-CR",-1.16981257965,-0.00398155607999995,-2.22300390915166,-3.39679804488163
"RothC","LRF","UKESM_High",5,"RR25-CR",-1.16981257965,-0.00398155607999995,0.42075,-0.75304413573
"APSIM","LRF","UKESM_High",5,"RR25-NT-CR",-1.91502597,-0.00320998070879996,-2.2,-4.1182359507088
"Daycent","LRF","UKESM_High",5,"RR25-NT-CR",-0.2047286241,-0.00320998070879996,0,-0.207938604808801
"Millennial","LRF","UKESM_High",5,"RR25-NT-CR",-1.05987729705,-0.00320998070879996,-2.97348002397563,-4.03656730173443
