"Model","site_name","climate_desc","Climate_Scenario","diff_co2e_n2o","diff_co2e_ch4","diff_co2e_soc","diff_co2e_gwp","group_ind"
"APSIM","KBS","UKESM_High",5,-4.238175084,NA,-1.90666666666667,-6.14484175066667,"biochar_means"
"APSIM","LRF","UKESM_High",5,0.07020585,NA,0.146666666666674,0.216872516666668,"biochar_means"
"APSIM","KBS","UKESM_High",5,-4.029934623,0.01330913974752,-1.86999999999998,-5.88662548325248,"nonbiochar_means"
"Daycent","KBS","UKESM_High",5,-0.67216650501,0.01330913974752,-6.19666666666666,-6.85552403192915,"nonbiochar_means"
"Millennial","KBS","UKESM_High",5,-2.351050564005,0.01330913974752,-29.3853703043736,-31.7231117286311,"nonbiochar_means"
"RothC","KBS","UKESM_High",5,-2.351050564005,0.01330913974752,-3.24478,-5.5825214242575,"nonbiochar_means"
"APSIM","LRF","UKESM_High",5,-1.54528308,-0.00429167751701537,-1.69230769230769,-3.24188244982471,"nonbiochar_means"
"Daycent","LRF","UKESM_High",5,-0.1869589986,-0.00429167751701537,-0.169230769230771,-0.360481445347786,"nonbiochar_means"
"Millennial","LRF","UKESM_High",5,-0.8661210393,-0.00429167751701537,-2.96046511365049,-3.83087783046751,"nonbiochar_means"
"RothC","LRF","UKESM_High",5,-0.8661210393,-0.00429167751701537,0.289158974358975,-0.58125374245804,"nonbiochar_means"
"APSIM","KBS","UKESM_High",5,-4.09934811,NA,-1.88222222222221,-5.97269757239054,"allscenario_means"
"Daycent","KBS","UKESM_High",5,-0.67216650501,0.01330913974752,-6.19666666666666,-6.85552403192915,"allscenario_means"
"Millennial","KBS","UKESM_High",5,-2.351050564005,0.01330913974752,-29.3853703043736,-31.7231117286311,"allscenario_means"
"RothC","KBS","UKESM_High",5,-2.351050564005,0.01330913974752,-3.24478,-5.5825214242575,"allscenario_means"
"APSIM","LRF","UKESM_High",5,-1.096536155,NA,-1.18148148148148,-2.28111718135488,"allscenario_means"
"Daycent","LRF","UKESM_High",5,-0.1869589986,-0.00429167751701537,-0.169230769230771,-0.360481445347786,"allscenario_means"
"Millennial","LRF","UKESM_High",5,-0.8661210393,-0.00429167751701537,-2.96046511365049,-3.83087783046751,"allscenario_means"
"RothC","LRF","UKESM_High",5,-0.8661210393,-0.00429167751701537,0.289158974358975,-0.58125374245804,"allscenario_means"
