"mean_CO2e_N2O","mean_CO2e_CH4","mean_CO2e_SOC","mean_GWP","scenario_abbrev","site_name","Climate_Scenario","climate_desc"
11.64854,-0.33567,-5.6623,5.65057,"CR","KBS",1,"Baseline"
9.64867,-0.34671,-7.56466,1.7373,"NT-CR","KBS",1,"Baseline"
7.19521,-0.33869,-2.27371,4.58281,"CC-CR","KBS",1,"Baseline"
11.06676,-0.33578,-4.89535,5.83562,"RF05-CR","KBS",1,"Baseline"
10.02764,-0.33587,-3.25769,6.43409,"RF15-CR","KBS",1,"Baseline"
9.10391,-0.33616,-1.43688,7.33086,"RF25-CR","KBS",1,"Baseline"
8.31753,-0.33651,0.55429,8.53531,"RF35-CR","KBS",1,"Baseline"
12.10698,-0.33429,-10.3456,1.42709,"RR50-CR","KBS",1,"Baseline"
12.78098,-0.32981,-16.28674,-3.83557,"RR25-CR","KBS",1,"Baseline"
14.18357,-0.31749,-20.73993,-6.87385,"RR00-CR","KBS",1,"Baseline"
12.26389,NA,-7.33333,4.93056,"BC19-CR","KBS",1,"Baseline"
11.85333,NA,-4.4,7.45333,"BC38-CR","KBS",1,"Baseline"
11.49846,NA,-1.83333,9.66512,"BC57-CR","KBS",1,"Baseline"
11.21128,NA,0.36667,11.57794,"BC76-CR","KBS",1,"Baseline"
10.97349,NA,2.56667,13.54016,"BC96-CR","KBS",1,"Baseline"
14.47932,-0.34821,5.256,19.38711,"CR","KBS",5,"UKESM_High"
11.97964,-0.36166,-1.24997,10.368,"NT-CR","KBS",5,"UKESM_High"
7.60178,-0.35131,4.96828,12.21875,"CC-CR","KBS",5,"UKESM_High"
13.78607,-0.34829,5.62045,19.05823,"RF05-CR","KBS",5,"UKESM_High"
12.45924,-0.34851,6.60903,18.71976,"RF15-CR","KBS",5,"UKESM_High"
11.26752,-0.34877,7.94465,18.86341,"RF25-CR","KBS",5,"UKESM_High"
10.17094,-0.34907,9.54399,19.36585,"RF35-CR","KBS",5,"UKESM_High"
14.94781,-0.34692,0.97719,15.57808,"RR50-CR","KBS",5,"UKESM_High"
15.64242,-0.34303,-3.31396,11.98543,"RR25-CR","KBS",5,"UKESM_High"
17.25554,-0.33429,-6.52217,10.39907,"RR00-CR","KBS",5,"UKESM_High"
16.69202,NA,-6.23333,10.45868,"BC19-CR","KBS",5,"UKESM_High"
16.18113,NA,-3.3,12.88113,"BC38-CR","KBS",5,"UKESM_High"
15.7315,NA,0.36667,16.09817,"BC57-CR","KBS",5,"UKESM_High"
15.35873,NA,2.93333,18.29207,"BC76-CR","KBS",5,"UKESM_High"
15.02793,NA,5.13333,20.16127,"BC96-CR","KBS",5,"UKESM_High"
5.11634,-0.60622,-1.92368,2.58644,"CC-CR","LRF",1,"Baseline"
4.48666,-0.58062,2.03784,5.94387,"CN","LRF",1,"Baseline"
4.53729,-0.57485,-3.85766,0.10478,"CC-NT-CR","LRF",1,"Baseline"
6.16347,-0.57319,-1.10058,4.4897,"RF05-CR","LRF",1,"Baseline"
5.89693,-0.57549,-0.36821,4.95323,"RF15-CR","LRF",1,"Baseline"
5.63537,-0.57788,0.37444,5.43193,"RF25-CR","LRF",1,"Baseline"
5.37878,-0.58035,1.0445,5.84293,"RF35-CR","LRF",1,"Baseline"
