"diff_co2e_n2o","min_co2e_n2o","min_co2e_n2o_scen_abbr","max_co2e_n2o","max_co2e_n2o_climate_desc","diff_co2e_ch4","min_co2e_ch4","min_co2e_ch4_scen_abbr","max_co2e_ch4","max_co2e_ch4_climate_desc","diff_co2e_soc","min_co2e_soc","min_co2e_soc_scen_abbr","max_co2e_soc","max_co2e_soc_climate_desc","diff_co2e_gwp","min_co2e_gwp","min_co2e_gwp_scen_abbr","max_co2e_gwp","max_co2e_gwp_climate_desc","scenario_abbrev","site_name","Climate_Scenario"
0,-4.42813,"UKESM_High",-4.42813,"UKESM_High",NA,NA,"UKESM_High",NA,"UKESM_High",0,-1.1,"UKESM_High",-1.1,"UKESM_High",0,-5.52812,"UKESM_High",-5.52812,"UKESM_High","BC19-CR","KBS",5
0,-4.3278,"UKESM_High",-4.3278,"UKESM_High",NA,NA,"UKESM_High",NA,"UKESM_High",0,-1.1,"UKESM_High",-1.1,"UKESM_High",0,-5.4278,"UKESM_High",-5.4278,"UKESM_High","BC38-CR","KBS",5
0,-4.23304,"UKESM_High",-4.23304,"UKESM_High",NA,NA,"UKESM_High",NA,"UKESM_High",0,-2.2,"UKESM_High",-2.2,"UKESM_High",0,-6.43305,"UKESM_High",-6.43305,"UKESM_High","BC57-CR","KBS",5
0,-4.14745,"UKESM_High",-4.14745,"UKESM_High",NA,NA,"UKESM_High",NA,"UKESM_High",0,-2.56666,"UKESM_High",-2.56666,"UKESM_High",0,-6.71413,"UKESM_High",-6.71413,"UKESM_High","BC76-CR","KBS",5
0,-4.05444,"UKESM_High",-4.05444,"UKESM_High",NA,NA,"UKESM_High",NA,"UKESM_High",0,-2.56666,"UKESM_High",-2.56666,"UKESM_High",0,-6.62111,"UKESM_High",-6.62111,"UKESM_High","BC96-CR","KBS",5
0,-0.406569999999999,"UKESM_High",-0.406569999999999,"UKESM_High",0,0.01262,"UKESM_High",0.01262,"UKESM_High",0,-7.24199,"UKESM_High",-7.24199,"UKESM_High",0,-7.63594,"UKESM_High",-7.63594,"UKESM_High","CC-CR","KBS",5
0,-2.83078,"UKESM_High",-2.83078,"UKESM_High",0,0.01254,"UKESM_High",0.01254,"UKESM_High",0,-10.9183,"UKESM_High",-10.9183,"UKESM_High",0,-13.73654,"UKESM_High",-13.73654,"UKESM_High","CR","KBS",5
0,-2.33097,"UKESM_High",-2.33097,"UKESM_High",0,0.01495,"UKESM_High",0.01495,"UKESM_High",0,-6.31469,"UKESM_High",-6.31469,"UKESM_High",0,-8.6307,"UKESM_High",-8.6307,"UKESM_High","NT-CR","KBS",5
0,-2.71931,"UKESM_High",-2.71931,"UKESM_High",0,0.01251,"UKESM_High",0.01251,"UKESM_High",0,-10.5158,"UKESM_High",-10.5158,"UKESM_High",0,-13.22261,"UKESM_High",-13.22261,"UKESM_High","RF05-CR","KBS",5
0,-2.4316,"UKESM_High",-2.4316,"UKESM_High",0,0.01264,"UKESM_High",0.01264,"UKESM_High",0,-9.86672,"UKESM_High",-9.86672,"UKESM_High",0,-12.28567,"UKESM_High",-12.28567,"UKESM_High","RF15-CR","KBS",5
