"","GEOID","NAME","NAMELSAD","State_Name","Elev_mean_m","Elev_cell_count","County_center_Long","County_center_Lat"
"1","31039","Cuming","Cuming County","Nebraska",435,9213,-96.7873997260689,41.9163237828574
"2","53069","Wahkiakum","Wahkiakum County","Washington",186,5034,-96.7873997260689,41.9163237828574
"3","35011","De Baca","De Baca County","New Mexico",1352,34273,-96.7873997260689,41.9163237828574
"4","31109","Lancaster","Lancaster County","Nebraska",392,13442,-96.7873997260689,41.9163237828574
"5","31129","Nuckolls","Nuckolls County","Nebraska",522,9126,-96.7873997260689,41.9163237828574
"6","46099","Minnehaha","Minnehaha County","South Dakota",468,13552,-96.7873997260689,41.9163237828574
"7","48327","Menard","Menard County","Texas",641,12634,-96.7873997260689,41.9163237828574
"8","06091","Sierra","Sierra County","California",1748,15032,-96.7873997260689,41.9163237828574
"9","21053","Clinton","Clinton County","Kentucky",298,3085,-96.7873997260689,41.9163237828574
"10","39063","Hancock","Hancock County","Ohio",247,8547,-96.7873997260689,41.9163237828574
"11","48189","Hale","Hale County","Texas",1037,14673,-96.7873997260689,41.9163237828574
"12","01027","Clay","Clay County","Alabama",305,8716,-96.7873997260689,41.9163237828574
"13","48011","Armstrong","Armstrong County","Texas",956,13420,-96.7873997260689,41.9163237828574
"14","39003","Allen","Allen County","Ohio",260,6476,-96.7873997260689,41.9163237828574
"15","13189","McDuffie","McDuffie County","Georgia",134,3859,-96.7873997260689,41.9163237828574
"16","55111","Sauk","Sauk County","Wisconsin",294,14092,-96.7873997260689,41.9163237828574
"17","05137","Stone","Stone County","Arkansas",274,9075,-96.7873997260689,41.9163237828574
"18","41063","Wallowa","Wallowa County","Oregon",1362,54226,-96.7873997260689,41.9163237828574
"19","42007","Beaver","Beaver County","Pennsylvania",323,7050,-96.7873997260689,41.9163237828574
"20","28061","Jasper","Jasper County","Mississippi",115,9640,-96.7873997260689,41.9163237828574
"21","29083","Henry","Henry County","Missouri",242,11256,-96.7873997260689,41.9163237828574
"22","08109","Saguache","Saguache County","Colorado",2814,48584,-96.7873997260689,41.9163237828574
"23","37037","Chatham","Chatham County","North Carolina",131,10535,-96.7873997260689,41.9163237828574
"24","49033","Rich","Rich County","Utah",2093,17477,-96.7873997260689,41.9163237828574
"25","40001","Adair","Adair County","Oklahoma",323,8547,-96.7873997260689,41.9163237828574
"26","39085","Lake","Lake County","Ohio",187,15884,-96.7873997260689,41.9163237828574
"27","51775","Salem","Salem city","Virginia",335,225,-96.7873997260689,41.9163237828574
"28","51121","Montgomery","Montgomery County","Virginia",617,5904,-96.7873997260689,41.9163237828574
"29","47065","Hamilton","Hamilton County","Tennessee",293,8510,-96.7873997260689,41.9163237828574
"30","35035","Otero","Otero County","New Mexico",1607,94870,-96.7873997260689,41.9163237828574
"31","35003","Catron","Catron County","New Mexico",2249,100887,-96.7873997260689,41.9163237828574
"32","01091","Marengo","Marengo County","Alabama",51,14048,-96.7873997260689,41.9163237828574
"33","56023","Lincoln","Lincoln County","Wyoming",2256,66708,-96.7873997260689,41.9163237828574
"34","29011","Barton","Barton County","Missouri",289,9091,-96.7873997260689,41.9163237828574
