Crop_Name,Scenario,Scen_Name,time_period,start,end,dndc_event,date2,date,dndc_plant_type,initialbiomass,till_depth_m,n_rate_kg_ha,remains,cover crop
Maize,0,historic,1950:1970,1950,1970,till,05-01,1950-05-01,,,0.11,,,
Maize,0,historic,1950:1970,1950,1970,plant,05-04,1950-05-04,FOCO,120,,,,no
Maize,0,historic,1950:1970,1950,1970,harvest,10-23,1950-10-23,FOCO,,,,0.1,
Maize,0,historic,1950:1970,1950,1970,fertilize,10-31,1950-10-31,,,,22,,
Maize,0,historic,1971:2021,1971,2021,till,05-01,1971-05-01,,,0.11,,,
Maize,0,historic,1971:2021,1971,2021,plant,05-04,1971-05-04,FOCO,120,,,,no
Maize,0,historic,1971:2021,1971,2021,harvest,10-23,1971-10-23,FOCO,,,,0.1,
Maize,0,historic,1971:2021,1971,2021,fertilize,10-31,1971-10-31,,,,120,,
Maize,1,monocrop,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,1,monocrop,2022:2050,2022,2050,till,05-01,2022-05-01,,,0.11,,,
Maize,1,monocrop,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,1,monocrop,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,2,notill,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,2,notill,2022:2050,2022,2050,till,05-01,2022-05-01,,,0,,,
Maize,2,notill,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,2,notill,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,3,cover_mix,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,3,cover_mix,2022:2050,2022,2050,till,05-01,2022-05-01,,,0.11,,,
Maize,3,cover_mix,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,3,cover_mix,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,3,cover_mix,2022:2050,2022,2050,till,10-29,2022-10-29,,,0.11,,,
Maize,3,cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,SRAPE,120,,,,yes
Maize,3,cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,COWP,120,,,,yes
Maize,3,cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,WINTERRYE,120,,,,yes
Maize,4,cover_rye,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,4,cover_rye,2022:2050,2022,2050,till,05-01,2022-05-01,,,0.11,,,
Maize,4,cover_rye,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,4,cover_rye,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,4,cover_rye,2022:2050,2022,2050,till,10-29,2022-10-29,,,0.11,,,
Maize,4,cover_rye,2022:2050,2022,2050,plant,11-01,2022-11-01,WINTERRYE,120,,,,yes
Maize,5,cover_legume,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,5,cover_legume,2022:2050,2022,2050,till,05-01,2022-05-01,,,0.11,,,
Maize,5,cover_legume,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,5,cover_legume,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,5,cover_legume,2022:2050,2022,2050,till,10-29,2022-10-29,,,0.11,,,
Maize,5,cover_legume,2022:2050,2022,2050,plant,11-01,2022-11-01,COWP,120,,,,yes
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,fertilize,04-21,2022-04-21,,,,168,,
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,till,05-01,2022-05-01,,,0,,,
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,plant,05-04,2022-05-04,FOCO,120,,,,no
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,harvest,10-23,2022-10-23,FOCO,,,,0.1,
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,till,10-29,2022-10-29,,,0,,,
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,SRAPE,120,,,,yes
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,COWP,120,,,,yes
Maize,6,cover_notill_cover_mix,2022:2050,2022,2050,plant,11-01,2022-11-01,WINTERRYE,120,,,,yes
