,NAME,NAME_ALT,REGION,REGION_COD,FIPS,zh_geoid,REAL_GEOID_PRE_CT,REAL_GEOID,
1413,Autauga,Autauga County,AL,1,US01001,0,1001,1001,
134,Baldwin,Baldwin County,AL,1,US01003,1,1003,1003,
1029,Barbour,Barbour County,AL,1,US01005,2,1005,1005,
1422,Bibb,Bibb County,AL,1,US01007,3,1007,1007,
1428,Blount,Blount County,AL,1,US01009,4,1009,1009,
1421,Bullock,Bullock County,AL,1,US01011,5,1011,1011,
1435,Butler,Butler County,AL,1,US01013,6,1013,1013,
1441,Calhoun,Calhoun County,AL,1,US01015,7,1015,1015,
1015,Chambers,Chambers County,AL,1,US01017,8,1017,1017,
1023,Cherokee,Cherokee County,AL,1,US01019,9,1019,1019,
1418,Chilton,Chilton County,AL,1,US01021,10,1021,1021,
990,Choctaw,Choctaw County,AL,1,US01023,11,1023,1023,
1443,Clarke,Clarke County,AL,1,US01025,12,1025,1025,
1445,Clay,Clay County,AL,1,US01027,13,1027,1027,
1020,Cleburne,Cleburne County,AL,1,US01029,14,1029,1029,
1447,Coffee,Coffee County,AL,1,US01031,15,1031,1031,
978,Colbert,Colbert County,AL,1,US01033,16,1033,1033,
1436,Conecuh,Conecuh County,AL,1,US01035,17,1035,1035,
1442,Coosa,Coosa County,AL,1,US01037,18,1037,1037,
1000,Covington,Covington County,AL,1,US01039,19,1039,1039,
1439,Crenshaw,Crenshaw County,AL,1,US01041,20,1041,1041,
1433,Cullman,Cullman County,AL,1,US01043,21,1043,1043,
1419,Dale,Dale County,AL,1,US01045,22,1045,1045,
1417,Dallas,Dallas County,AL,1,US01047,23,1047,1047,
1026,DeKalb,DeKalb County,AL,1,US01049,24,1049,1049,
1414,Elmore,Elmore County,AL,1,US01051,25,1051,1051,
1001,Escambia,Escambia County,AL,1,US01053,26,1053,1053,
1430,Etowah,Etowah County,AL,1,US01055,27,1055,1055,
1451,Fayette,Fayette County,AL,1,US01057,28,1057,1057,
979,Franklin,Franklin County,AL,1,US01059,29,1059,1059,
998,Geneva,Geneva County,AL,1,US01061,30,1061,1061,
1452,Greene,Greene County,AL,1,US01063,31,1063,1063,
1424,Hale,Hale County,AL,1,US01065,32,1065,1065,
1032,Henry,Henry County,AL,1,US01067,33,1067,1067,
996,Houston,Houston County,AL,1,US01069,34,1069,1069,
911,Jackson,Jackson County,AL,1,US01071,35,1071,1071,
1426,Jefferson,Jefferson County,AL,1,US01073,36,1073,1073,
983,Lamar,Lamar County,AL,1,US01075,37,1075,1075,
903,Lauderdale,Lauderdale County,AL,1,US01077,38,1077,1077,
1448,Lawrence,Lawrence County,AL,1,US01079,39,1079,1079,
1013,Lee,Lee County,AL,1,US01081,40,1081,1081,
907,Limestone,Limestone County,AL,1,US01083,41,1083,1083,
1416,Lowndes,Lowndes County,AL,1,US01085,42,1085,1085,
1434,Macon,Macon County,AL,1,US01087,43,1087,1087,
906,Madison,Madison County,AL,1,US01089,44,1089,1089,
1444,Marengo,Marengo County,AL,1,US01091,45,1091,1091,
981,Marion,Marion County,AL,1,US01093,46,1093,1093,
1429,Marshall,Marshall County,AL,1,US01095,47,1095,1095,
133,Mobile,Mobile County,AL,1,US01097,48,1097,1097,
1437,Monroe,Monroe County,AL,1,US01099,49,1099,1099,
1415,Montgomery,Montgomery County,AL,1,US01101,50,1101,1101,
1450,Morgan,Morgan County,AL,1,US01103,51,1103,1103,
1423,Perry,Perry County,AL,1,US01105,52,1105,1105,
985,Pickens,Pickens County,AL,1,US01107,53,1107,1107,
1420,Pike,Pike County,AL,1,US01109,54,1109,1109,
1017,Randolph,Randolph County,AL,1,US01111,55,1111,1111,
1012,Russell,Russell County,AL,1,US01113,56,1113,1113,
1431,Saint Clair,Saint Clair County,AL,1,US01115,57,1115,1115,
1427,Shelby,Shelby County,AL,1,US01117,58,1117,1117,
987,Sumter,Sumter County,AL,1,US01119,59,1119,1119,
1446,Talladega,Talladega County,AL,1,US01121,60,1121,1121,
1440,Tallapoosa,Tallapoosa County,AL,1,US01123,61,1123,1123,
1425,Tuscaloosa,Tuscaloosa County,AL,1,US01125,62,1125,1125,
1432,Walker,Walker County,AL,1,US01127,63,1127,1127,
993,Washington,Washington County,AL,1,US01129,64,1129,1129,
1438,Wilcox,Wilcox County,AL,1,US01131,65,1131,1131,
1449,Winston,Winston County,AL,1,US01133,66,1133,1133,
372,Apache,Apache County,AZ,4,US04001,67,4001,4001,
83,Cochise,Cochise County,AZ,4,US04003,68,4003,4003,
369,Coconino,Coconino County,AZ,4,US04005,69,4005,4005,
1454,Gila,Gila County,AZ,4,US04007,70,4007,4007,
1453,Graham,Graham County,AZ,4,US04009,71,4009,4009,
377,Greenlee,Greenlee County,AZ,4,US04011,72,4011,4011,
674,La Paz,La Paz County,AZ,4,US04012,73,4012,4012,
1457,Maricopa,Maricopa County,AZ,4,US04013,74,4013,4013,
367,Mohave,Mohave County,AZ,4,US04015,75,4015,4015,
371,Navajo,Navajo County,AZ,4,US04017,76,4017,4017,
77,Pima,Pima County,AZ,4,US04019,77,4019,4019,
1456,Pinal,Pinal County,AZ,4,US04021,78,4021,4021,
76,Santa Cruz,Santa Cruz County,AZ,4,US04023,79,4023,4023,
