STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,Corn,Cotton,Soybeans,WinterWheat,Maize_ha,Cotton_ha,Soybean_ha,Wheat_ha
31,39,835841,31039,Cuming,Cuming County,706394,0,582110,396,63575.46,0,52389.9,35.64
53,69,1513275,53069,Wahkiakum,Wahkiakum County,9,0,0,0,0.81,0,0,0
35,11,933054,35011,De Baca,De Baca County,62,3,0,15549,5.58,0.27,0,1399.41
31,109,835876,31109,Lancaster,Lancaster County,617063,0,625503,4938,55535.67,0,56295.27,444.42
31,129,835886,31129,Nuckolls,Nuckolls County,549363,0,343248,57497,49442.67,0,30892.32,5174.73
72,85,1804523,72085,Las Piedras,Las Piedras Municipio,0,0,0,0,0,0,0,0
46,99,1265772,46099,Minnehaha,Minnehaha County,818163,0,714843,2548,73634.67,0,64335.87,229.32
48,327,1383949,48327,Menard,Menard County,591,470,0,15790,53.19,42.3,0,1421.1
6,91,277310,6091,Sierra,Sierra County,0,0,0,0,0,0,0,0
21,53,516873,21053,Clinton,Clinton County,6061,0,10371,15,545.49,0,933.39,1.35
39,63,1074044,39063,Hancock,Hancock County,389067,0,700873,67289,35016.03,0,63078.57,6056.01
48,189,1383880,48189,Hale,Hale County,167889,1280876,5,248156,15110.01,115278.84,0.45,22334.04
1,27,161539,1027,Clay,Clay County,951,467,1795,20,85.59,42.03,161.55,1.8
48,11,1383791,48011,Armstrong,Armstrong County,8781,107078,288,268518,790.29,9637.02,25.92,24166.62
39,3,1074015,39003,Allen,Allen County,275109,0,439508,27679,24759.81,0,39555.72,2491.11
13,189,348794,13189,McDuffie,McDuffie County,2184,1038,764,261,196.56,93.42,68.76,23.49
55,111,1581115,55111,Sauk,Sauk County,388454,0,168982,16311,34960.86,0,15208.38,1467.99
5,137,69902,5137,Stone,Stone County,51,0,1503,7,4.59,0,135.27,0.63
41,63,1155135,41063,Wallowa,Wallowa County,49,0,0,12859,4.41,0,0,1157.31
42,7,1214112,42007,Beaver,Beaver County,22235,0,15165,1388,2001.15,0,1364.85,124.92
28,61,695754,28061,Jasper,Jasper County,87,48,330,10,7.83,4.32,29.7,0.9
29,83,758496,29083,Henry,Henry County,99123,0,283471,4075,8921.07,0,25512.39,366.75
8,109,198170,8109,Saguache,Saguache County,34,0,0,1550,3.06,0,0,139.5
37,37,1008544,37037,Chatham,Chatham County,14195,29,15204,641,1277.55,2.61,1368.36,57.69
49,33,1448030,49033,Rich,Rich County,95,0,0,111,8.55,0,0,9.99
40,1,1101788,40001,Adair,Adair County,83,0,93,39,7.47,0,8.37,3.51
39,85,1074055,39085,Lake,Lake County,1513,0,4284,461,136.17,0,385.56,41.49
51,775,1789074,51775,Salem,Salem city,42,0,2,0,3.78,0,0.18,0
51,121,1674630,51121,Montgomery,Montgomery County,9759,0,212,949,878.31,0,19.08,85.41
47,65,1639749,47065,Hamilton,Hamilton County,1677,0,1756,432,150.93,0,158.04,38.88
35,35,929104,35035,Otero,Otero County,17,0,0,28,1.53,0,0,2.52
35,3,929108,35003,Catron,Catron County,0,0,0,39,0,0,0,3.51
1,91,161572,1091,Marengo,Marengo County,18261,12086,29930,19,1643.49,1087.74,2693.7,1.71
56,23,1605076,56023,Lincoln,Lincoln County,0,0,0,0,0,0,0,0
29,11,758460,29011,Barton,Barton County,265254,0,264281,5231,23872.86,0,23785.29,470.79
48,57,1383814,48057,Calhoun,Calhoun County,92924,112503,23553,138,8363.16,10125.27,2119.77,12.42
51,735,1498436,51735,Poquoson,Poquoson city,29,0,43,0,2.61,0,3.87,0
54,75,1550044,54075,Pocahontas,Pocahontas County,2048,0,118,21,184.32,0,10.62,1.89
48,77,1383824,48077,Clay,Clay County,14,6170,8,408384,1.26,555.3,0.72,36754.56
51,95,1480135,51095,James City,James City County,6744,62,9830,38,606.96,5.58,884.7,3.42
31,101,835872,31101,Keith,Keith County,539686,0,92650,143244,48571.74,0,8338.5,12891.96
31,137,835890,31137,Phelps,Phelps County,798234,0,416540,8006,71841.06,0,37488.6,720.54
22,19,558468,22019,Calcasieu,Calcasieu Parish,15,5,25725,4548,1.35,0.45,2315.25,409.32
22,111,559528,22111,Union,Union Parish,7,0,2665,0,0.63,0,239.85,0
40,135,1101855,40135,Sequoyah,Sequoyah County,23601,0,32228,2707,2124.09,0,2900.52,243.63
1,49,161550,1049,DeKalb,DeKalb County,52625,6480,73270,2417,4736.25,583.2,6594.3,217.53
36,101,974148,36101,Steuben,Steuben County,219164,0,17021,14347,19724.76,0,1531.89,1291.23
42,53,1213669,42053,Forest,Forest County,3097,0,1481,55,278.73,0,133.29,4.95
22,105,559500,22105,Tangipahoa,Tangipahoa Parish,1940,346,4929,0,174.6,31.14,443.61,0
51,179,1480173,51179,Stafford,Stafford County,10906,0,9988,94,981.54,0,898.92,8.46
26,109,1622997,26109,Menominee,Menominee County,56874,0,7307,11080,5118.66,0,657.63,997.2
18,73,450494,18073,Jasper,Jasper County,702009,0,460623,4286,63180.81,0,41456.07,385.74
13,25,351605,13025,Brantley,Brantley County,2808,9435,373,11,252.72,849.15,33.57,0.99
13,171,326713,13171,Lamar,Lamar County,1162,1782,1120,1377,104.58,160.38,100.8,123.93
18,151,450390,18151,Steuben,Steuben County,158097,0,165439,14775,14228.73,0,14889.51,1329.75
48,361,1383966,48361,Orange,Orange County,0,0,158,8,0,0,14.22,0.72
39,47,1074036,39047,Fayette,Fayette County,388972,0,518269,7238,35007.48,0,46644.21,651.42
25,15,606934,25015,Hampshire,Hampshire County,33224,0,151,24,2990.16,0,13.59,2.16
21,3,516848,21003,Allen,Allen County,19888,0,25055,267,1789.92,0,2254.95,24.03
37,1,1008531,37001,Alamance,Alamance County,25328,0,31915,6342,2279.52,0,2872.35,570.78
20,73,485003,20073,Greenwood,Greenwood County,35141,0,140814,7043,3162.69,0,12673.26,633.87
25,25,606939,25025,Suffolk,Suffolk County,42,0,0,0,3.78,0,0,0
16,51,399751,16051,Jefferson,Jefferson County,26124,0,0,49012,2351.16,0,0,4411.08
48,177,1383874,48177,Gonzales,Gonzales County,23876,2071,3,310,2148.84,186.39,0.27,27.9
47,115,1639770,47115,Marion,Marion County,7684,106,17958,50,691.56,9.54,1616.22,4.5
26,7,1622946,26007,Alpena,Alpena County,31467,0,51917,26138,2832.03,0,4672.53,2352.42
21,231,516962,21231,Wayne,Wayne County,24480,0,39341,39,2203.2,0,3540.69,3.51
47,185,1639800,47185,White,White County,17576,0,18274,57,1581.84,0,1644.66,5.13
48,147,1383859,48147,Fannin,Fannin County,107976,35131,37220,268942,9717.84,3161.79,3349.8,24204.78
20,43,484991,20043,Doniphan,Doniphan County,371095,0,328627,779,33398.55,0,29576.43,70.11
48,265,1383918,48265,Kerr,Kerr County,460,273,0,906,41.4,24.57,0,81.54
12,53,295751,12053,Hernando,Hernando County,0,0,0,0,0,0,0,0
12,129,306912,12129,Wakulla,Wakulla County,386,50,22,0,34.74,4.5,1.98,0
12,131,295727,12131,Walton,Walton County,2379,25545,979,445,214.11,2299.05,88.11,40.05
28,17,695733,28017,Chickasaw,Chickasaw County,26631,8467,199163,1765,2396.79,762.03,17924.67,158.85
2,130,1419973,2130,Ketchikan Gateway,Ketchikan Gateway Borough,0,0,0,0,0,0,0,0
26,35,1622960,26035,Clare,Clare County,30731,0,36078,8933,2765.79,0,3247.02,803.97
20,157,485042,20157,Republic,Republic County,485566,0,512013,183576,43700.94,0,46081.17,16521.84
12,127,306921,12127,Volusia,Volusia County,1238,0,0,0,111.42,0,0,0
40,17,1101796,40017,Canadian,Canadian County,5897,11636,21008,846502,530.73,1047.24,1890.72,76185.18
72,115,1804538,72115,Quebradillas,Quebradillas Municipio,0,0,0,0,0,0,0,0
78,30,2378250,78030,St. Thomas,St. Thomas Island,0,0,0,0,0,0,0,0
13,115,353665,13115,Floyd,Floyd County,9592,14773,11212,223,863.28,1329.57,1009.08,20.07
32,1,858638,32001,Churchill,Churchill County,16734,0,0,3814,1506.06,0,0,343.26
31,181,835912,31181,Webster,Webster County,430620,0,245249,81503,38755.8,0,22072.41,7335.27
17,67,424235,17067,Hancock,Hancock County,726349,0,676494,4340,65371.41,0,60884.46,390.6
46,67,1265771,46067,Hutchinson,Hutchinson County,791784,0,784391,19989,71260.56,0,70595.19,1799.01
41,13,1155128,41013,Crook,Crook County,201,0,0,1045,18.09,0,0,94.05
50,11,1461762,50011,Franklin,Franklin County,128898,0,2922,0,11600.82,0,262.98,0
26,103,1622994,26103,Marquette,Marquette County,435,0,243,391,39.15,0,21.87,35.19
37,57,1008548,37057,Davidson,Davidson County,36462,224,57105,387,3281.58,20.16,5139.45,34.83
17,25,424214,17025,Clay,Clay County,338157,0,435477,987,30434.13,0,39192.93,88.83
29,103,758506,29103,Knox,Knox County,250981,0,357202,5473,22588.29,0,32148.18,492.57
29,117,758513,29117,Livingston,Livingston County,170587,0,505513,2820,15352.83,0,45496.17,253.8
42,117,1209189,42117,Tioga,Tioga County,58872,0,7827,3498,5298.48,0,704.43,314.82
31,43,835843,31043,Dakota,Dakota County,287443,0,250614,374,25869.87,0,22555.26,33.66
26,89,1622987,26089,Leelanau,Leelanau County,10006,0,317,226,900.54,0,28.53,20.34
51,181,1480174,51181,Surry,Surry County,39071,20546,69594,35,3516.39,1849.14,6263.46,3.15
48,391,1383981,48391,Refugio,Refugio County,22896,204498,78,13,2060.64,18404.82,7.02,1.17
39,17,1074021,39017,Butler,Butler County,106471,0,161992,6833,9582.39,0,14579.28,614.97
13,273,352238,13273,Terrell,Terrell County,40227,72522,2810,542,3620.43,6526.98,252.9,48.78
13,63,1672399,13063,Clayton,Clayton County,46,0,98,22,4.14,0,8.82,1.98
56,13,1605072,56013,Fremont,Fremont County,19342,0,0,0,1740.78,0,0,0
18,115,450378,18115,Ohio,Ohio County,7954,0,13044,19,715.86,0,1173.96,1.71
13,73,348865,13073,Columbia,Columbia County,492,342,306,442,44.28,30.78,27.54,39.78
8,115,198173,8115,Sedgwick,Sedgwick County,312173,0,2773,312827,28095.57,0,249.57,28154.43
30,65,1719593,30065,Musselshell,Musselshell County,4745,0,141,66358,427.05,0,12.69,5972.22
42,43,1213667,42043,Dauphin,Dauphin County,116950,0,80776,10250,10525.5,0,7269.84,922.5
46,101,1265775,46101,Moody,Moody County,585432,0,506296,186,52688.88,0,45566.64,16.74
54,79,1550046,54079,Putnam,Putnam County,530,0,4651,10,47.7,0,418.59,0.9
34,37,882236,34037,Sussex,Sussex County,27503,0,8907,446,2475.27,0,801.63,40.14
20,39,484989,20039,Decatur,Decatur County,501828,0,10075,398965,45164.52,0,906.75,35906.85
18,123,451682,18123,Perry,Perry County,38005,0,53907,59,3420.45,0,4851.63,5.31
28,145,695793,28145,Union,Union County,10537,5589,125659,10,948.33,503.01,11309.31,0.9
31,15,835829,31015,Boyd,Boyd County,160528,0,103907,4172,14447.52,0,9351.63,375.48
27,95,659493,27095,Mille Lacs,Mille Lacs County,101810,0,101001,0,9162.9,0,9090.09,0
38,99,1034214,38099,Walsh,Walsh County,253018,0,798104,41,22771.62,0,71829.36,3.69
39,115,1074070,39115,Morgan,Morgan County,13232,0,9540,597,1190.88,0,858.6,53.73
39,133,1074079,39133,Portage,Portage County,56343,0,100810,6702,5070.87,0,9072.9,603.18
56,41,1605084,56041,Uinta,Uinta County,0,0,0,0,0,0,0,0
32,13,863310,32013,Humboldt,Humboldt County,2151,0,0,16371,193.59,0,0,1473.39
48,247,1383909,48247,Jim Hogg,Jim Hogg County,10,23,0,1,0.9,2.07,0,0.09
8,17,198124,8017,Cheyenne,Cheyenne County,330299,0,3344,841336,29726.91,0,300.96,75720.24
41,5,1155127,41005,Clackamas,Clackamas County,7904,0,0,2252,711.36,0,0,202.68
5,113,69175,5113,Polk,Polk County,21,0,6,6,1.89,0,0.54,0.54
13,193,346957,13193,Macon,Macon County,48120,73356,12108,14265,4330.8,6602.04,1089.72,1283.85
18,7,450403,18007,Benton,Benton County,553048,0,489893,6238,49774.32,0,44090.37,561.42
47,129,1639778,47129,Morgan,Morgan County,1840,0,1109,12,165.6,0,99.81,1.08
46,43,1266978,46043,Douglas,Douglas County,371287,0,376626,38630,33415.83,0,33896.34,3476.7
24,47,1668802,24047,Worcester,Worcester County,162976,0,173833,609,14667.84,0,15644.97,54.81
17,185,424293,17185,Wabash,Wabash County,242013,0,210802,112,21781.17,0,18972.18,10.08
18,69,450361,18069,Huntington,Huntington County,278182,0,437408,16550,25036.38,0,39366.72,1489.5
