"","GEOID","month","solar_glob_rad_Wm2"
"1","01001","jan",119.000248474121
"2","01001","feb",149.164508666992
"3","01001","mar",195.029970214844
"4","01001","apr",240.898803710938
"5","01001","may",273.895091064453
"6","01001","jun",277.511935791016
"7","01001","jul",266.646031494141
"8","01001","aug",247.443861694336
"9","01001","sep",213.860059326172
"10","01001","oct",180.877053588867
"11","01001","nov",135.864932983398
"12","01001","dec",104.151897094727
"13","01003","jan",126.645588741746
"14","01003","feb",157.368961511656
"15","01003","mar",205.681300362875
"16","01003","apr",248.286123275757
"17","01003","may",278.876829723979
"18","01003","jun",274.16974764092
"19","01003","jul",257.23051767571
"20","01003","aug",241.300933793534
"21","01003","sep",215.873514663341
"22","01003","oct",190.889950863151
"23","01003","nov",146.707342990609
"24","01003","dec",114.694366699041
"25","01005","jan",123.51072413651
"26","01005","feb",155.135107060069
"27","01005","mar",201.418851714773
"28","01005","apr",246.566246425983
"29","01005","may",279.987175223754
"30","01005","jun",276.790183785035
"31","01005","jul",267.516709947094
"32","01005","aug",247.355831500181
"33","01005","sep",213.045647296709
"34","01005","oct",182.908284216812
"35","01005","nov",141.172226895991
"36","01005","dec",108.917517003325
"37","01007","jan",114.91169703284
"38","01007","feb",144.001288243967
"39","01007","mar",190.070105027783
"40","01007","apr",236.858205632646
"41","01007","may",269.899777434593
"42","01007","jun",278.780622615371
"43","01007","jul",266.185724775921
"44","01007","aug",247.936770298684
"45","01007","sep",213.516038879868
"46","01007","oct",177.74240963958
"47","01007","nov",131.892429795376
"48","01007","dec",101.132408970086
"49","01009","jan",108.875002452305
"50","01009","feb",136.95045841762
"51","01009","mar",183.733034515381
"52","01009","apr",234.933485521589
"53","01009","may",263.697543988909
"54","01009","jun",277.466532461984
"55","01009","jul",266.071040998186
"56","01009","aug",247.677068982806
"57","01009","sep",212.485049438477
"58","01009","oct",173.065161677769
"59","01009","nov",127.491251155308
"60","01009","dec",96.4594605037144
"61","01011","jan",122.167211040374
"62","01011","feb",153.324191677955
