time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',1.7572,1.5581,0.0820,0.9665,0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1581,0.0035,0.0000,0.0000,0.6326,0.0138,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.6866,6.0423,0.0000,0.0000,0.2281,0.0144,0.0000,0.0000,0.9665,0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1698,0.0037,0.0000,0.0000,1.0429,0.0224,0.0000,0.0000,0.0460,0.0010,0.0000,0.0000,0.2825,0.0061,0.0000,0.0000
2023.75,295,'C822',621.4017,154.0268,8.1067,385.2690,8.9032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.2265,0.4986,0.0000,0.0000,188.9061,1.9943,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.1905,0.8632,0.0000,0.0000,0.1698,0.0095,0.0000,0.0000,385.2690,8.9032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.1593,0.3812,0.0000,0.0000,111.5499,2.3419,0.0000,0.0000,3.9855,0.0837,0.0000,0.0000,24.4827,0.5144,0.0000,0.0000
2024.67,273,'SYBN100',222.7639,37.4436,1.9707,100.2437,11.7654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5040,0.8740,0.0000,0.0000,98.0161,3.4960,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.3325,0.0694,0.0000,0.0000,0.1467,0.0059,0.0000,0.0000,100.2437,11.7654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5226,0.1403,0.0000,0.0000,21.6388,0.8618,0.0000,0.0000,0.8918,0.0349,0.0000,0.0000,5.4780,0.2146,0.0000,0.0000
2025.50,205,'W4EG70',394.6624,86.5577,4.5557,217.0643,5.6876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5196,0.3185,0.0000,0.0000,142.0785,1.2740,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7104,0.6960,0.0000,0.0000,0.0570,0.0028,0.0000,0.0000,217.0643,5.6876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0194,0.2264,0.0000,0.0000,67.6905,1.3910,0.0000,0.0000,1.5259,0.0317,0.0000,0.0000,9.3737,0.1947,0.0000,0.0000
2026.75,295,'C822',636.1873,155.3559,8.1766,394.4361,8.9762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.3502,0.5027,0.0000,0.0000,193.4010,2.0107,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.0947,1.9412,0.0000,0.0000,0.4571,0.0218,0.0000,0.0000,394.4361,8.9762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6345,0.3897,0.0000,0.0000,114.4688,2.3938,0.0000,0.0000,3.7452,0.0786,0.0000,0.0000,23.0061,0.4826,0.0000,0.0000
2027.67,273,'SYBN100',246.8746,41.4698,2.1826,110.2022,12.8853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.3345,0.9715,0.0000,0.0000,109.3379,3.8858,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.4119,0.0230,0.0000,0.0000,0.4610,0.0194,0.0000,0.0000,110.2022,12.8853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9130,0.1566,0.0000,0.0000,24.0370,0.9620,0.0000,0.0000,1.0072,0.0397,0.0000,0.0000,6.1871,0.2438,0.0000,0.0000
2028.50,205,'W4EG70',366.1903,82.5312,4.3437,201.4047,5.3352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.9571,0.2988,0.0000,0.0000,131.8285,1.1951,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.4001,1.7536,0.0000,0.0000,0.0566,0.0028,0.0000,0.0000,201.4047,5.3352,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3388,0.2122,0.0000,0.0000,63.5096,1.3036,0.0000,0.0000,1.5878,0.0328,0.0000,0.0000,9.7535,0.2015,0.0000,0.0000
2029.75,295,'C822',576.3381,151.7526,7.9870,321.4530,8.1792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.9770,0.5718,0.0000,0.0000,203.9081,2.2872,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.2023,1.2587,0.0000,0.0000,0.7440,0.0332,0.0000,0.0000,321.4530,8.1792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6883,0.3780,0.0000,0.0000,108.6570,2.3218,0.0000,0.0000,3.9776,0.0841,0.0000,0.0000,24.4339,0.5165,0.0000,0.0000
2030.67,273,'SYBN100',229.4383,38.3445,2.0181,99.5778,11.9931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.9721,0.9510,0.0000,0.0000,103.8884,3.8039,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.9015,0.5962,0.0000,0.0000,0.0819,0.0036,0.0000,0.0000,99.5778,11.9931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6637,0.1470,0.0000,0.0000,22.5054,0.9028,0.0000,0.0000,0.8931,0.0353,0.0000,0.0000,5.4860,0.2168,0.0000,0.0000
2031.50,205,'W4EG70',378.5775,81.1925,4.2733,208.2176,5.6330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0720,0.3154,0.0000,0.0000,136.2879,1.2618,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.2946,1.4335,0.0000,0.0000,0.0501,0.0026,0.0000,0.0000,208.2176,5.6330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.1427,0.2108,0.0000,0.0000,62.3049,1.2947,0.0000,0.0000,1.5878,0.0333,0.0000,0.0000,9.7535,0.2045,0.0000,0.0000
