time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.58,225,'W135',56.0570,43.2912,2.2785,20.7045,1.1402,0.0000,0.0000,31.8172,0.6825,0.0000,0.0000,31.8172,0.6825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7070,0.0152,0.0000,0.0000,2.8282,0.0607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.0685,0.8059,0.0000,0.0000,3.3952,0.1701,0.0000,0.0000,20.7045,1.1402,0.0000,0.0000,31.8172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4152,0.1156,0.0000,0.0000,33.2650,0.7103,0.0000,0.0000,0.8763,0.0184,0.0000,0.0000,5.3828,0.1129,0.0000,0.0000
1851.58,225,'W135',50.9384,36.7438,1.9339,19.5782,1.1607,0.0000,0.0000,28.2241,0.6605,0.0000,0.0000,28.2241,0.6605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6272,0.0147,0.0000,0.0000,2.5088,0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.2812,4.4826,0.0000,0.0000,2.0696,0.2562,0.0000,0.0000,19.5782,1.1607,0.0000,0.0000,28.2241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6147,0.1023,0.0000,0.0000,28.3475,0.6283,0.0000,0.0000,0.7275,0.0161,0.0000,0.0000,4.4689,0.0989,0.0000,0.0000
1852.58,225,'W135',79.0467,57.6059,3.0319,31.6056,1.6552,0.0000,0.0000,42.6970,0.8943,0.0000,0.0000,42.6970,0.8943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9488,0.0199,0.0000,0.0000,3.7953,0.0795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.1557,7.5028,0.0000,0.0000,2.3303,0.3533,0.0000,0.0000,31.6056,1.6552,0.0000,0.0000,42.6970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2680,0.1613,0.0000,0.0000,44.6461,0.9908,0.0000,0.0000,1.1166,0.0248,0.0000,0.0000,6.8588,0.1521,0.0000,0.0000
1853.58,225,'W135',53.4253,39.4540,2.0765,20.5711,1.1945,0.0000,0.0000,29.5687,0.6781,0.0000,0.0000,29.5687,0.6781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6571,0.0151,0.0000,0.0000,2.6283,0.0603,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.6680,6.8461,0.0000,0.0000,2.2037,0.3094,0.0000,0.0000,20.5711,1.1945,0.0000,0.0000,29.5687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9641,0.1095,0.0000,0.0000,30.4936,0.6726,0.0000,0.0000,0.7740,0.0170,0.0000,0.0000,4.7546,0.1043,0.0000,0.0000
1854.58,225,'W135',81.1131,59.5552,3.1345,32.4452,1.6244,0.0000,0.0000,43.8011,0.8772,0.0000,0.0000,43.8011,0.8772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9734,0.0195,0.0000,0.0000,3.8934,0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.1085,11.8777,0.0000,0.0000,2.3386,0.3152,0.0000,0.0000,32.4452,1.6244,0.0000,0.0000,43.8011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5046,0.1635,0.0000,0.0000,46.0997,1.0041,0.0000,0.0000,1.1628,0.0251,0.0000,0.0000,7.1427,0.1540,0.0000,0.0000
1855.58,225,'W135',76.1798,57.6544,3.0344,29.8851,1.5844,0.0000,0.0000,41.6652,0.8779,0.0000,0.0000,41.6652,0.8779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9259,0.0195,0.0000,0.0000,3.7036,0.0780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.1069,6.6119,0.0000,0.0000,1.9974,0.2428,0.0000,0.0000,29.8851,1.5844,0.0000,0.0000,41.6652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1783,0.1588,0.0000,0.0000,44.0952,0.9753,0.0000,0.0000,1.1989,0.0265,0.0000,0.0000,7.3644,0.1625,0.0000,0.0000
1856.58,225,'W135',46.2978,38.3277,2.0172,16.6878,0.9881,0.0000,0.0000,26.6490,0.6096,0.0000,0.0000,26.6490,0.6096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5922,0.0135,0.0000,0.0000,2.3688,0.0542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.6720,5.8840,0.0000,0.0000,1.6068,0.1857,0.0000,0.0000,16.6878,0.9881,0.0000,0.0000,26.6490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7345,0.1023,0.0000,0.0000,29.0831,0.6286,0.0000,0.0000,0.8263,0.0177,0.0000,0.0000,5.0760,0.1086,0.0000,0.0000
1857.58,225,'W135',80.8522,60.3681,3.1773,31.4203,1.5626,0.0000,0.0000,44.4888,0.8765,0.0000,0.0000,44.4888,0.8765,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9886,0.0195,0.0000,0.0000,3.9546,0.0779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.5786,2.9473,0.0000,0.0000,2.1945,0.2769,0.0000,0.0000,31.4203,1.5626,0.0000,0.0000,44.4888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6079,0.1640,0.0000,0.0000,46.7342,1.0073,0.0000,0.0000,1.1781,0.0255,0.0000,0.0000,7.2367,0.1569,0.0000,0.0000
1858.58,225,'W135',69.7358,52.9877,2.7888,27.8943,1.4148,0.0000,0.0000,37.6573,0.7640,0.0000,0.0000,37.6573,0.7640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8368,0.0170,0.0000,0.0000,3.3473,0.0679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.2221,6.4413,0.0000,0.0000,1.1821,0.1375,0.0000,0.0000,27.8943,1.4148,0.0000,0.0000,37.6573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6873,0.1439,0.0000,0.0000,41.0794,0.8842,0.0000,0.0000,1.0256,0.0219,0.0000,0.0000,6.3000,0.1347,0.0000,0.0000
1859.58,225,'W135',61.1082,47.4672,2.4983,23.3698,1.3018,0.0000,0.0000,33.9646,0.7456,0.0000,0.0000,33.9646,0.7456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7548,0.0166,0.0000,0.0000,3.0191,0.0663,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.8122,3.2484,0.0000,0.0000,1.0647,0.1069,0.0000,0.0000,23.3698,1.3018,0.0000,0.0000,33.9646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8935,0.1291,0.0000,0.0000,36.2031,0.7932,0.0000,0.0000,0.9989,0.0217,0.0000,0.0000,6.1361,0.1334,0.0000,0.0000
