time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.75,296,'C115',303.1134,87.0677,4.5825,101.5193,3.2969,0.0000,0.0000,181.4347,2.8567,0.0000,0.0000,181.4347,2.8567,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0319,0.0635,0.0000,0.0000,16.1275,0.2539,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.9639,0.3671,0.0000,0.0000,1.7432,0.0708,0.0000,0.0000,101.5193,3.2969,0.0000,0.0000,181.4347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2696,0.1901,0.0000,0.0000,56.9420,1.1677,0.0000,0.0000,3.1261,0.0650,0.0000,0.0000,19.2031,0.3992,0.0000,0.0000
1851.75,296,'C115',435.5095,109.5819,5.7675,152.1176,4.7932,0.0000,0.0000,255.0527,3.9772,0.0000,0.0000,255.0527,3.9772,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6678,0.0884,0.0000,0.0000,22.6714,0.3535,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0138,0.8280,0.0000,0.0000,1.5816,0.1162,0.0000,0.0000,152.1176,4.7932,0.0000,0.0000,255.0527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7895,0.2556,0.0000,0.0000,72.4215,1.5700,0.0000,0.0000,3.8214,0.0832,0.0000,0.0000,23.4744,0.5114,0.0000,0.0000
1852.75,296,'C115',387.5017,99.4160,5.2324,126.0109,4.2507,0.0000,0.0000,235.3418,3.7946,0.0000,0.0000,235.3418,3.7946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2298,0.0843,0.0000,0.0000,20.9193,0.3373,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.7640,1.3912,0.0000,0.0000,1.8160,0.1764,0.0000,0.0000,126.0109,4.2507,0.0000,0.0000,235.3418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7126,0.2315,0.0000,0.0000,65.8060,1.4219,0.0000,0.0000,3.4569,0.0756,0.0000,0.0000,21.2352,0.4645,0.0000,0.0000
1853.75,296,'C115',318.8972,87.2502,4.5921,84.3935,3.3428,0.0000,0.0000,211.0533,3.6344,0.0000,0.0000,211.0533,3.6344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6901,0.0808,0.0000,0.0000,18.7603,0.3231,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0020,1.4490,0.0000,0.0000,1.3916,0.1441,0.0000,0.0000,84.3935,3.3428,0.0000,0.0000,211.0533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1227,0.1959,0.0000,0.0000,56.0395,1.2035,0.0000,0.0000,3.2799,0.0714,0.0000,0.0000,20.1479,0.4387,0.0000,0.0000
1854.75,296,'C115',470.4963,104.7786,5.5147,143.3141,4.8503,0.0000,0.0000,294.4640,4.6190,0.0000,0.0000,294.4640,4.6190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5436,0.1026,0.0000,0.0000,26.1746,0.4106,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.7819,1.6529,0.0000,0.0000,1.4557,0.1439,0.0000,0.0000,143.3141,4.8503,0.0000,0.0000,294.4640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2546,0.2469,0.0000,0.0000,69.1352,1.5165,0.0000,0.0000,3.6795,0.0813,0.0000,0.0000,22.6029,0.4992,0.0000,0.0000
1855.75,296,'C115',374.8947,89.0239,4.6855,123.9422,4.2417,0.0000,0.0000,225.8572,3.7240,0.0000,0.0000,225.8572,3.7240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0190,0.0828,0.0000,0.0000,20.0762,0.3310,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.5601,2.1653,0.0000,0.0000,1.0543,0.1066,0.0000,0.0000,123.9422,4.2417,0.0000,0.0000,225.8572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6457,0.2092,0.0000,0.0000,59.2524,1.2853,0.0000,0.0000,3.0509,0.0669,0.0000,0.0000,18.7415,0.4109,0.0000,0.0000
1856.75,296,'C115',391.2849,109.0335,5.7386,118.3425,4.0971,0.0000,0.0000,245.6481,3.9287,0.0000,0.0000,245.6481,3.9287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4589,0.0873,0.0000,0.0000,21.8354,0.3492,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.2219,1.5764,0.0000,0.0000,1.3034,0.1102,0.0000,0.0000,118.3425,4.0971,0.0000,0.0000,245.6481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.5820,0.2489,0.0000,0.0000,71.1467,1.5291,0.0000,0.0000,3.9337,0.0856,0.0000,0.0000,24.1641,0.5259,0.0000,0.0000
1857.75,296,'C115',394.4987,91.3745,4.8092,138.0746,4.4270,0.0000,0.0000,230.7817,3.6655,0.0000,0.0000,230.7817,3.6655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1285,0.0815,0.0000,0.0000,20.5139,0.3258,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.0716,0.8367,0.0000,0.0000,2.4195,0.2233,0.0000,0.0000,138.0746,4.4270,0.0000,0.0000,230.7817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0158,0.2157,0.0000,0.0000,61.5256,1.3249,0.0000,0.0000,3.0322,0.0662,0.0000,0.0000,18.6261,0.4067,0.0000,0.0000
1858.75,296,'C115',414.9910,105.0871,5.5309,144.7912,4.4570,0.0000,0.0000,243.1798,3.7025,0.0000,0.0000,243.1798,3.7025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4040,0.0823,0.0000,0.0000,21.6160,0.3291,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.6757,1.4224,0.0000,0.0000,0.3969,0.0362,0.0000,0.0000,144.7912,4.4570,0.0000,0.0000,243.1798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2538,0.2392,0.0000,0.0000,69.1305,1.4695,0.0000,0.0000,3.7213,0.0799,0.0000,0.0000,22.8593,0.4905,0.0000,0.0000
1859.75,296,'C115',347.7228,88.1729,4.6407,121.4456,3.9101,0.0000,0.0000,203.6495,3.2447,0.0000,0.0000,203.6495,3.2447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5255,0.0721,0.0000,0.0000,18.1022,0.2884,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.4806,1.4471,0.0000,0.0000,1.3902,0.1048,0.0000,0.0000,121.4456,3.9101,0.0000,0.0000,203.6495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5565,0.2019,0.0000,0.0000,58.7044,1.2403,0.0000,0.0000,3.0242,0.0649,0.0000,0.0000,18.5771,0.3989,0.0000,0.0000
