time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.75,290,'COT68',152.2036,39.6395,2.0863,52.7052,2.1754,0.0000,0.0000,89.5485,0.5616,0.0000,0.0000,89.5485,0.5616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9900,0.0125,0.0000,0.0000,7.9599,0.0499,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0717,0.7428,0.0000,0.0000,3.1439,0.1315,0.0000,0.0000,52.7052,2.1754,0.0000,0.0000,89.5485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6796,0.0910,0.0000,0.0000,28.7464,0.5589,0.0000,0.0000,1.0285,0.0198,0.0000,0.0000,6.3178,0.1217,0.0000,0.0000
1851.75,290,'COT68',249.6411,47.8597,2.5189,87.3744,3.9409,0.0000,0.0000,146.0400,0.9931,0.0000,0.0000,146.0400,0.9931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2453,0.0221,0.0000,0.0000,12.9813,0.0883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.4789,0.9710,0.0000,0.0000,2.8167,0.1556,0.0000,0.0000,87.3744,3.9409,0.0000,0.0000,146.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7256,0.1262,0.0000,0.0000,35.1714,0.7752,0.0000,0.0000,1.1735,0.0258,0.0000,0.0000,7.2088,0.1582,0.0000,0.0000
1852.75,290,'COT68',229.0496,48.6360,2.5598,80.1673,3.4744,0.0000,0.0000,133.9940,0.8755,0.0000,0.0000,133.9940,0.8755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9776,0.0195,0.0000,0.0000,11.9106,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.8006,2.0943,0.0000,0.0000,2.8348,0.2160,0.0000,0.0000,80.1673,3.4744,0.0000,0.0000,133.9940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8495,0.1249,0.0000,0.0000,35.9324,0.7671,0.0000,0.0000,1.1653,0.0249,0.0000,0.0000,7.1585,0.1529,0.0000,0.0000
1853.75,290,'COT68',292.0065,59.5744,3.1355,102.2023,4.3992,0.0000,0.0000,170.8238,1.1086,0.0000,0.0000,170.8238,1.1086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7961,0.0246,0.0000,0.0000,15.1843,0.0985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.2103,1.9588,0.0000,0.0000,2.3070,0.2058,0.0000,0.0000,102.2023,4.3992,0.0000,0.0000,170.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1931,0.1575,0.0000,0.0000,44.1862,0.9677,0.0000,0.0000,1.4009,0.0305,0.0000,0.0000,8.6054,0.1874,0.0000,0.0000
1854.75,290,'COT68',262.6388,48.4606,2.5506,91.9236,4.0753,0.0000,0.0000,153.6437,1.0270,0.0000,0.0000,153.6437,1.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4143,0.0228,0.0000,0.0000,13.6572,0.0913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.9697,1.4115,0.0000,0.0000,1.4756,0.1540,0.0000,0.0000,91.9236,4.0753,0.0000,0.0000,153.6437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7569,0.1264,0.0000,0.0000,35.3638,0.7766,0.0000,0.0000,1.2252,0.0267,0.0000,0.0000,7.5264,0.1642,0.0000,0.0000
1855.75,290,'COT68',262.4850,53.3454,2.8077,91.8697,4.1082,0.0000,0.0000,153.5537,1.0353,0.0000,0.0000,153.5537,1.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4123,0.0230,0.0000,0.0000,13.6492,0.0920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.1787,3.8633,0.0000,0.0000,2.2741,0.2531,0.0000,0.0000,91.8697,4.1082,0.0000,0.0000,153.5537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5479,0.1446,0.0000,0.0000,40.2225,0.8884,0.0000,0.0000,1.1565,0.0255,0.0000,0.0000,7.1042,0.1567,0.0000,0.0000
1856.75,290,'COT68',276.2871,62.4711,3.2880,96.7005,4.1396,0.0000,0.0000,161.6280,1.0432,0.0000,0.0000,161.6280,1.0432,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5917,0.0232,0.0000,0.0000,14.3669,0.0927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.1477,1.5949,0.0000,0.0000,1.4121,0.1595,0.0000,0.0000,96.7005,4.1396,0.0000,0.0000,161.6280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5855,0.1645,0.0000,0.0000,46.5965,1.0105,0.0000,0.0000,1.4285,0.0309,0.0000,0.0000,8.7753,0.1897,0.0000,0.0000
1857.75,290,'COT68',255.8656,51.3071,2.7004,89.5530,3.9366,0.0000,0.0000,149.6814,0.9920,0.0000,0.0000,149.6814,0.9920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3263,0.0220,0.0000,0.0000,13.3050,0.0882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.2502,3.2648,0.0000,0.0000,1.6814,0.2018,0.0000,0.0000,89.5530,3.9366,0.0000,0.0000,149.6814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2777,0.1365,0.0000,0.0000,38.5630,0.8384,0.0000,0.0000,1.1323,0.0246,0.0000,0.0000,6.9557,0.1512,0.0000,0.0000
1858.75,290,'COT68',332.2955,64.2143,3.3797,115.4219,4.8162,0.0000,0.0000,195.1863,1.2348,0.0000,0.0000,195.1863,1.2348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3375,0.0274,0.0000,0.0000,17.3499,0.1098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.7900,1.8676,0.0000,0.0000,1.2450,0.1484,0.0000,0.0000,115.4219,4.8162,0.0000,0.0000,195.1863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6520,0.1667,0.0000,0.0000,47.0050,1.0243,0.0000,0.0000,1.6069,0.0349,0.0000,0.0000,9.8709,0.2142,0.0000,0.0000
1859.75,290,'COT68',294.0427,54.1103,2.8479,102.9149,4.4853,0.0000,0.0000,172.0150,1.1303,0.0000,0.0000,172.0150,1.1303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8226,0.0251,0.0000,0.0000,15.2902,0.1005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5908,1.7307,0.0000,0.0000,1.4552,0.1761,0.0000,0.0000,102.9149,4.4853,0.0000,0.0000,172.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5752,0.1453,0.0000,0.0000,40.3904,0.8926,0.0000,0.0000,1.2393,0.0273,0.0000,0.0000,7.6126,0.1678,0.0000,0.0000
