time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.58,225,'W135',44.7494,40.6833,2.1412,17.8993,0.7674,0.0000,0.0000,24.1652,0.4144,0.0000,0.0000,24.1652,0.4144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5370,0.0092,0.0000,0.0000,2.1480,0.0368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.6004,0.7807,0.0000,0.0000,3.1366,0.1312,0.0000,0.0000,17.8993,0.7674,0.0000,0.0000,24.1652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1487,0.0991,0.0000,0.0000,31.6278,0.6090,0.0000,0.0000,0.7706,0.0149,0.0000,0.0000,4.7338,0.0913,0.0000,0.0000
1851.58,225,'W135',59.2536,44.4531,2.3396,23.5746,1.3209,0.0000,0.0000,32.1111,0.7184,0.0000,0.0000,32.1111,0.7184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7136,0.0160,0.0000,0.0000,2.8543,0.0639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.4892,1.3158,0.0000,0.0000,2.7108,0.1507,0.0000,0.0000,23.5746,1.3209,0.0000,0.0000,32.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6871,0.1257,0.0000,0.0000,34.9351,0.7724,0.0000,0.0000,0.7910,0.0174,0.0000,0.0000,4.8588,0.1071,0.0000,0.0000
1852.58,225,'W135',70.9238,53.7260,2.8277,28.0830,1.3817,0.0000,0.0000,38.5568,0.7562,0.0000,0.0000,38.5568,0.7562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8568,0.0168,0.0000,0.0000,3.4273,0.0672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1302,2.7221,0.0000,0.0000,2.7283,0.2169,0.0000,0.0000,28.0830,1.3817,0.0000,0.0000,38.5568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.9181,0.1467,0.0000,0.0000,42.4969,0.9010,0.0000,0.0000,0.9159,0.0196,0.0000,0.0000,5.6263,0.1204,0.0000,0.0000
1853.58,225,'W135',94.2097,70.6753,3.7198,37.4203,1.7823,0.0000,0.0000,51.1105,0.9715,0.0000,0.0000,51.1105,0.9715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1358,0.0216,0.0000,0.0000,4.5432,0.0864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.1139,2.6542,0.0000,0.0000,2.2865,0.2159,0.0000,0.0000,37.4203,1.7823,0.0000,0.0000,51.1105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0984,0.1974,0.0000,0.0000,55.8901,1.2128,0.0000,0.0000,1.2024,0.0261,0.0000,0.0000,7.3859,0.1602,0.0000,0.0000
1854.58,225,'W135',60.5444,45.0726,2.3722,24.0892,1.3193,0.0000,0.0000,32.8097,0.7175,0.0000,0.0000,32.8097,0.7175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7291,0.0159,0.0000,0.0000,2.9164,0.0638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0028,2.6055,0.0000,0.0000,1.4163,0.1548,0.0000,0.0000,24.0892,1.3193,0.0000,0.0000,32.8097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7341,0.1256,0.0000,0.0000,35.2238,0.7713,0.0000,0.0000,0.8273,0.0179,0.0000,0.0000,5.0818,0.1102,0.0000,0.0000
1855.58,225,'W135',116.9620,87.8137,4.6218,46.7848,1.9254,0.0000,0.0000,63.1595,1.0397,0.0000,0.0000,63.1595,1.0397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4035,0.0231,0.0000,0.0000,5.6142,0.0924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.9825,2.6990,0.0000,0.0000,2.0118,0.2419,0.0000,0.0000,46.7848,1.9254,0.0000,0.0000,63.1595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4590,0.2393,0.0000,0.0000,70.3912,1.4702,0.0000,0.0000,1.3700,0.0291,0.0000,0.0000,8.4156,0.1785,0.0000,0.0000
1856.58,225,'W135',91.0968,71.8614,3.7822,36.2511,1.6025,0.0000,0.0000,49.3611,0.8713,0.0000,0.0000,49.3611,0.8713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0969,0.0194,0.0000,0.0000,4.3877,0.0775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.5213,2.5797,0.0000,0.0000,1.4076,0.1661,0.0000,0.0000,36.2511,1.6025,0.0000,0.0000,49.3611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1995,0.1919,0.0000,0.0000,56.5111,1.1791,0.0000,0.0000,1.2665,0.0267,0.0000,0.0000,7.7798,0.1641,0.0000,0.0000
1857.58,225,'W135',106.9418,82.6635,4.3507,42.5963,1.7950,0.0000,0.0000,57.9110,0.9748,0.0000,0.0000,57.9110,0.9748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2869,0.0217,0.0000,0.0000,5.1476,0.0866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0835,3.2703,0.0000,0.0000,1.5651,0.1972,0.0000,0.0000,42.5963,1.7950,0.0000,0.0000,57.9110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7196,0.2236,0.0000,0.0000,65.8491,1.3734,0.0000,0.0000,1.3459,0.0285,0.0000,0.0000,8.2676,0.1748,0.0000,0.0000
1858.58,225,'W135',104.3052,77.8864,4.0993,41.7221,1.7899,0.0000,0.0000,56.3248,0.9666,0.0000,0.0000,56.3248,0.9666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2517,0.0215,0.0000,0.0000,5.0066,0.0859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1663,3.1271,0.0000,0.0000,1.2888,0.1570,0.0000,0.0000,41.7221,1.7899,0.0000,0.0000,56.3248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0426,0.2111,0.0000,0.0000,61.6901,1.2969,0.0000,0.0000,1.3205,0.0279,0.0000,0.0000,8.1118,0.1711,0.0000,0.0000
1859.58,225,'W135',102.5767,76.1784,4.0094,41.0151,1.8261,0.0000,0.0000,55.4054,0.9866,0.0000,0.0000,55.4054,0.9866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2312,0.0219,0.0000,0.0000,4.9249,0.0877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.6009,2.5781,0.0000,0.0000,1.5311,0.1914,0.0000,0.0000,41.0151,1.8261,0.0000,0.0000,55.4054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9172,0.2114,0.0000,0.0000,60.9201,1.2984,0.0000,0.0000,1.2052,0.0259,0.0000,0.0000,7.4036,0.1589,0.0000,0.0000
