time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2023.75,295,'C822',519.7269,128.1870,6.7467,225.8076,6.9660,0.0000,0.0000,220.4395,2.7641,0.0000,0.0000,220.4395,2.7641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6960,0.1843,0.0000,0.0000,58.7839,0.7371,0.0000,0.0000,0.0000,21.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.4785,6.0991,0.0000,0.0000,0.1981,0.0115,0.0000,0.0000,225.8076,6.9660,0.0000,0.0000,220.4395,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5373,0.3174,0.0000,0.0000,89.3003,1.9499,0.0000,0.0000,3.6845,0.0795,0.0000,0.0000,22.6334,0.4885,0.0000,0.0000
2024.67,273,'SYBN100',210.2841,42.8011,2.2527,82.2165,10.5280,0.0000,0.0000,96.0507,3.7214,0.0000,0.0000,96.0507,3.7214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.4034,0.2481,0.0000,0.0000,25.6135,0.9924,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7441,0.0752,0.0000,0.0000,0.1261,0.0051,0.0000,0.0000,82.2165,10.5280,0.0000,0.0000,96.0507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4567,0.1391,0.0000,0.0000,21.2343,0.8543,0.0000,0.0000,1.2076,0.0478,0.0000,0.0000,7.4182,0.2935,0.0000,0.0000
2025.50,205,'W4EG70',309.5853,80.7153,4.2482,153.9599,4.4216,0.0000,0.0000,116.7190,1.1477,0.0000,0.0000,116.7190,1.1477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7813,0.0765,0.0000,0.0000,31.1251,0.3061,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7689,1.0217,0.0000,0.0000,0.0400,0.0020,0.0000,0.0000,153.9599,4.4216,0.0000,0.0000,116.7190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3577,0.1903,0.0000,0.0000,57.4828,1.1693,0.0000,0.0000,2.1962,0.0448,0.0000,0.0000,13.4908,0.2752,0.0000,0.0000
2026.75,295,'C822',534.0157,142.1556,7.4819,295.6663,7.7986,0.0000,0.0000,178.7621,2.0735,0.0000,0.0000,178.7621,2.0735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.9175,0.1382,0.0000,0.0000,47.6699,0.5529,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.0764,1.8984,0.0000,0.0000,0.8816,0.0420,0.0000,0.0000,295.6663,7.7986,0.0000,0.0000,178.7621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1037,0.3456,0.0000,0.0000,98.9227,2.1230,0.0000,0.0000,4.0394,0.0862,0.0000,0.0000,24.8133,0.5296,0.0000,0.0000
2027.67,273,'SYBN100',176.1430,40.3220,2.1222,73.0917,9.2837,0.0000,0.0000,77.2885,2.9812,0.0000,0.0000,77.2885,2.9812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1526,0.1987,0.0000,0.0000,20.6103,0.7950,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3571,0.8358,0.0000,0.0000,0.4707,0.0204,0.0000,0.0000,73.0917,9.2837,0.0000,0.0000,77.2885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0996,0.1241,0.0000,0.0000,19.0405,0.7624,0.0000,0.0000,1.1516,0.0453,0.0000,0.0000,7.0740,0.2784,0.0000,0.0000
2028.50,205,'W4EG70',295.8896,123.9785,6.5252,151.5549,4.6068,0.0000,0.0000,108.2510,1.1277,0.0000,0.0000,108.2510,1.1277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2167,0.0752,0.0000,0.0000,28.8669,0.3007,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9988,0.0000,0.0000,0.0000,0.0156,0.0008,0.0000,0.0000,151.5549,4.6068,0.0000,0.0000,108.2510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7755,0.3104,0.0000,0.0000,90.7637,1.9069,0.0000,0.0000,3.0191,0.0636,0.0000,0.0000,18.5459,0.3909,0.0000,0.0000
2029.75,295,'C822',357.3412,105.2112,5.5374,160.5575,5.2499,0.0000,0.0000,147.5878,1.9829,0.0000,0.0000,147.5878,1.9829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8392,0.1322,0.0000,0.0000,39.3568,0.5288,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1611,1.2623,0.0000,0.0000,0.2415,0.0116,0.0000,0.0000,160.5575,5.2499,0.0000,0.0000,147.5878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6107,0.2488,0.0000,0.0000,71.3231,1.5283,0.0000,0.0000,3.2435,0.0678,0.0000,0.0000,19.9241,0.4165,0.0000,0.0000
2030.67,273,'SYBN100',213.5218,49.3924,2.5996,81.3501,10.7238,0.0000,0.0000,99.1288,3.9447,0.0000,0.0000,99.1288,3.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6086,0.2630,0.0000,0.0000,26.4343,1.0519,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.8981,3.3224,0.0000,0.0000,0.6471,0.0410,0.0000,0.0000,81.3501,10.7238,0.0000,0.0000,99.1288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9674,0.1612,0.0000,0.0000,24.3714,0.9903,0.0000,0.0000,1.3465,0.0540,0.0000,0.0000,8.2711,0.3318,0.0000,0.0000
2031.50,205,'W4EG70',321.4750,130.7762,6.8830,173.3988,4.6560,0.0000,0.0000,111.0572,1.0215,0.0000,0.0000,111.0572,1.0215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4038,0.0681,0.0000,0.0000,29.6152,0.2724,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1057,0.0036,0.0000,0.0000,0.0846,0.0054,0.0000,0.0000,173.3988,4.6560,0.0000,0.0000,111.0572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.7868,0.3217,0.0000,0.0000,96.9761,1.9760,0.0000,0.0000,3.0657,0.0629,0.0000,0.0000,18.8321,0.3862,0.0000,0.0000
2032.75,295,'C822',606.5261,156.6197,8.2431,289.0408,7.9374,0.0000,0.0000,238.1140,2.7384,0.0000,0.0000,238.1140,2.7384,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8743,0.1826,0.0000,0.0000,63.4971,0.7302,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4455,1.3985,0.0000,0.0000,0.4292,0.0206,0.0000,0.0000,289.0408,7.9374,0.0000,0.0000,238.1140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1369,0.3679,0.0000,0.0000,105.2695,2.2597,0.0000,0.0000,5.0540,0.1075,0.0000,0.0000,31.0458,0.6606,0.0000,0.0000
2033.67,273,'SYBN100',116.6738,31.5407,1.6600,39.6865,6.1330,0.0000,0.0000,57.7405,2.6560,0.0000,0.0000,57.7405,2.6560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8494,0.1771,0.0000,0.0000,15.3975,0.7083,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1917,0.9963,0.0000,0.0000,0.3291,0.0144,0.0000,0.0000,39.6865,6.1330,0.0000,0.0000,57.7405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3354,0.0933,0.0000,0.0000,14.3462,0.5731,0.0000,0.0000,0.9493,0.0373,0.0000,0.0000,5.8314,0.2292,0.0000,0.0000
2034.50,205,'W4EG70',293.6718,118.6196,6.2431,143.3600,3.9810,0.0000,0.0000,112.7338,1.0709,0.0000,0.0000,112.7338,1.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5156,0.0714,0.0000,0.0000,30.0624,0.2856,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8447,1.4616,0.0000,0.0000,0.1644,0.0090,0.0000,0.0000,143.3600,3.9810,0.0000,0.0000,112.7338,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4194,0.2909,0.0000,0.0000,88.5760,1.7869,0.0000,0.0000,2.7179,0.0555,0.0000,0.0000,16.6958,0.3408,0.0000,0.0000
2035.75,295,'C822',516.5469,129.5262,6.8172,223.0882,6.8362,0.0000,0.0000,220.0941,2.7360,0.0000,0.0000,220.0941,2.7360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6729,0.1824,0.0000,0.0000,58.6917,0.7296,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2018,2.2973,0.0000,0.0000,0.5697,0.0272,0.0000,0.0000,223.0882,6.8362,0.0000,0.0000,220.0941,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6351,0.3176,0.0000,0.0000,89.9013,1.9512,0.0000,0.0000,3.7683,0.0804,0.0000,0.0000,23.1484,0.4936,0.0000,0.0000
2036.67,273,'SYBN100',213.2361,43.3114,2.2795,83.2136,10.7823,0.0000,0.0000,97.5169,3.8226,0.0000,0.0000,97.5169,3.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.5011,0.2548,0.0000,0.0000,26.0045,1.0194,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7341,0.1195,0.0000,0.0000,0.1612,0.0072,0.0000,0.0000,83.2136,10.7823,0.0000,0.0000,97.5169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4947,0.1414,0.0000,0.0000,21.4674,0.8688,0.0000,0.0000,1.2224,0.0487,0.0000,0.0000,7.5092,0.2994,0.0000,0.0000
2037.50,205,'W4EG70',319.5263,83.0929,4.3733,158.7312,4.5556,0.0000,0.0000,120.5964,1.1850,0.0000,0.0000,120.5964,1.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0398,0.0790,0.0000,0.0000,32.1590,0.3160,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7161,1.4700,0.0000,0.0000,0.0468,0.0024,0.0000,0.0000,158.7312,4.5556,0.0000,0.0000,120.5964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6274,0.1962,0.0000,0.0000,59.1398,1.2054,0.0000,0.0000,2.2665,0.0463,0.0000,0.0000,13.9225,0.2846,0.0000,0.0000
2038.75,295,'C822',553.4755,148.9362,7.8387,303.5044,7.9079,0.0000,0.0000,187.4783,2.1413,0.0000,0.0000,187.4783,2.1413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4986,0.1428,0.0000,0.0000,49.9942,0.5710,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8298,2.2851,0.0000,0.0000,0.9974,0.0500,0.0000,0.0000,303.5044,7.9079,0.0000,0.0000,187.4783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9004,0.3619,0.0000,0.0000,103.8169,2.2229,0.0000,0.0000,4.2086,0.0893,0.0000,0.0000,25.8526,0.5487,0.0000,0.0000
