time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.75,296,'C115',253.0968,59.5250,3.1329,88.5839,3.2848,0.0000,0.0000,148.0617,2.7198,0.0000,0.0000,148.0617,2.7198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2903,0.0604,0.0000,0.0000,13.1610,0.2418,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3942,2.1582,0.0000,0.0000,3.9134,0.1912,0.0000,0.0000,88.5839,3.2848,0.0000,0.0000,148.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1799,0.1538,0.0000,0.0000,44.1052,0.9447,0.0000,0.0000,1.3845,0.0298,0.0000,0.0000,8.5049,0.1832,0.0000,0.0000
1851.75,296,'C115',284.3209,76.0683,4.0036,93.3856,3.6902,0.0000,0.0000,171.8418,3.2614,0.0000,0.0000,171.8418,3.2614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8187,0.0725,0.0000,0.0000,15.2748,0.2899,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6677,0.0298,0.0000,0.0000,0.6327,0.0498,0.0000,0.0000,93.3856,3.6902,0.0000,0.0000,171.8418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6195,0.1914,0.0000,0.0000,52.9485,1.1760,0.0000,0.0000,2.1087,0.0468,0.0000,0.0000,12.9534,0.2876,0.0000,0.0000
1852.75,296,'C115',323.9792,80.4242,4.2329,99.6661,3.8718,0.0000,0.0000,201.8817,3.6517,0.0000,0.0000,201.8817,3.6517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4863,0.0811,0.0000,0.0000,17.9450,0.3246,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4460,3.2070,0.0000,0.0000,2.7862,0.2683,0.0000,0.0000,99.6661,3.8718,0.0000,0.0000,201.8817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1552,0.2034,0.0000,0.0000,56.2391,1.2498,0.0000,0.0000,2.2272,0.0495,0.0000,0.0000,13.6815,0.3040,0.0000,0.0000
1853.75,296,'C115',341.5338,80.5764,4.2409,110.6276,4.1097,0.0000,0.0000,207.8155,3.6832,0.0000,0.0000,207.8155,3.6832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6181,0.0818,0.0000,0.0000,18.4725,0.3274,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7547,0.0845,0.0000,0.0000,110.6276,4.1097,0.0000,0.0000,207.8155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3443,0.2077,0.0000,0.0000,57.4009,1.2756,0.0000,0.0000,2.1842,0.0485,0.0000,0.0000,13.4171,0.2982,0.0000,0.0000
1854.75,296,'C115',300.4126,62.6472,3.2972,105.1444,3.9066,0.0000,0.0000,175.7413,3.2347,0.0000,0.0000,175.7413,3.2347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9054,0.0719,0.0000,0.0000,15.6215,0.2875,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0449,9.1944,0.0000,0.0000,2.0490,0.2458,0.0000,0.0000,105.1444,3.9066,0.0000,0.0000,175.7413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5701,0.1676,0.0000,0.0000,46.5020,1.0298,0.0000,0.0000,1.4455,0.0320,0.0000,0.0000,8.8792,0.1968,0.0000,0.0000
1855.75,296,'C115',284.3345,76.1592,4.0084,93.3885,3.6923,0.0000,0.0000,171.8513,3.2632,0.0000,0.0000,171.8513,3.2632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8189,0.0725,0.0000,0.0000,15.2757,0.2901,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6626,0.0830,0.0000,0.0000,0.4327,0.0515,0.0000,0.0000,93.3885,3.6923,0.0000,0.0000,171.8513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6193,0.1915,0.0000,0.0000,52.9473,1.1765,0.0000,0.0000,2.1208,0.0471,0.0000,0.0000,13.0280,0.2895,0.0000,0.0000
1856.75,296,'C115',323.9792,80.4242,4.2329,99.6603,3.8717,0.0000,0.0000,201.8871,3.6518,0.0000,0.0000,201.8871,3.6518,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4864,0.0812,0.0000,0.0000,17.9455,0.3246,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4452,4.6352,0.0000,0.0000,2.2859,0.2603,0.0000,0.0000,99.6603,3.8717,0.0000,0.0000,201.8871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1489,0.2033,0.0000,0.0000,56.2004,1.2489,0.0000,0.0000,2.2331,0.0496,0.0000,0.0000,13.7174,0.3048,0.0000,0.0000
1857.75,296,'C115',341.5336,80.5764,4.2409,110.6275,4.1097,0.0000,0.0000,207.8155,3.6832,0.0000,0.0000,207.8155,3.6832,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6181,0.0818,0.0000,0.0000,18.4725,0.3274,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6393,0.0731,0.0000,0.0000,110.6275,4.1097,0.0000,0.0000,207.8155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3402,0.2076,0.0000,0.0000,57.3752,1.2750,0.0000,0.0000,2.1880,0.0486,0.0000,0.0000,13.4404,0.2987,0.0000,0.0000
1858.75,296,'C115',284.2660,62.2706,3.2774,99.4931,3.6872,0.0000,0.0000,166.2956,3.0530,0.0000,0.0000,166.2956,3.0530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6955,0.0678,0.0000,0.0000,14.7818,0.2714,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0450,8.9844,0.0000,0.0000,1.7410,0.1995,0.0000,0.0000,99.4931,3.6872,0.0000,0.0000,166.2956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5136,0.1645,0.0000,0.0000,46.1549,1.0106,0.0000,0.0000,1.4466,0.0318,0.0000,0.0000,8.8865,0.1953,0.0000,0.0000
1859.75,296,'C115',284.3459,76.1443,4.0076,93.3930,3.6920,0.0000,0.0000,171.8576,3.2630,0.0000,0.0000,171.8576,3.2630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8191,0.0725,0.0000,0.0000,15.2762,0.2900,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6641,0.0822,0.0000,0.0000,0.3680,0.0403,0.0000,0.0000,93.3930,3.6920,0.0000,0.0000,171.8576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6154,0.1914,0.0000,0.0000,52.9230,1.1758,0.0000,0.0000,2.1226,0.0472,0.0000,0.0000,13.0387,0.2897,0.0000,0.0000
1860.75,296,'C115',311.5391,79.4195,4.1800,95.8415,3.7067,0.0000,0.0000,194.1279,3.4960,0.0000,0.0000,194.1279,3.4960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3140,0.0777,0.0000,0.0000,17.2558,0.3108,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4455,3.7699,0.0000,0.0000,1.9521,0.1958,0.0000,0.0000,95.8415,3.7067,0.0000,0.0000,194.1279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0229,0.1987,0.0000,0.0000,55.4266,1.2204,0.0000,0.0000,2.2155,0.0489,0.0000,0.0000,13.6095,0.3003,0.0000,0.0000
1861.75,296,'C115',341.5367,80.5754,4.2408,110.6271,4.1097,0.0000,0.0000,207.8186,3.6833,0.0000,0.0000,207.8186,3.6833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6182,0.0819,0.0000,0.0000,18.4728,0.3274,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5483,0.0541,0.0000,0.0000,110.6271,4.1097,0.0000,0.0000,207.8186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3384,0.2075,0.0000,0.0000,57.3642,1.2748,0.0000,0.0000,2.1895,0.0487,0.0000,0.0000,13.4499,0.2989,0.0000,0.0000
1862.75,296,'C115',251.5800,60.1014,3.1632,88.0530,3.2731,0.0000,0.0000,147.1743,2.7101,0.0000,0.0000,147.1743,2.7101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2705,0.0602,0.0000,0.0000,13.0822,0.2409,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0482,6.6129,0.0000,0.0000,1.4967,0.1453,0.0000,0.0000,88.0530,3.2731,0.0000,0.0000,147.1743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2188,0.1547,0.0000,0.0000,44.3442,0.9506,0.0000,0.0000,1.4255,0.0308,0.0000,0.0000,8.7566,0.1894,0.0000,0.0000
1863.75,296,'C115',284.3913,76.1206,4.0063,93.4087,3.6917,0.0000,0.0000,171.8844,3.2627,0.0000,0.0000,171.8844,3.2627,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8197,0.0725,0.0000,0.0000,15.2786,0.2900,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6682,0.0612,0.0000,0.0000,0.3152,0.0301,0.0000,0.0000,93.4087,3.6917,0.0000,0.0000,171.8844,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6116,0.1913,0.0000,0.0000,52.8997,1.1752,0.0000,0.0000,2.1230,0.0472,0.0000,0.0000,13.0415,0.2897,0.0000,0.0000
1864.75,296,'C115',268.5869,74.1282,3.9015,82.6591,3.1784,0.0000,0.0000,167.3351,2.9965,0.0000,0.0000,167.3351,2.9965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7186,0.0666,0.0000,0.0000,14.8742,0.2664,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4468,2.6156,0.0000,0.0000,1.6810,0.1423,0.0000,0.0000,82.6591,3.1784,0.0000,0.0000,167.3351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3673,0.1787,0.0000,0.0000,51.3994,1.0976,0.0000,0.0000,2.1156,0.0456,0.0000,0.0000,12.9959,0.2799,0.0000,0.0000
1865.75,296,'C115',328.8698,79.5777,4.1883,106.5165,3.9447,0.0000,0.0000,200.1180,3.5357,0.0000,0.0000,200.1180,3.5357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4471,0.0786,0.0000,0.0000,17.7883,0.3143,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4695,0.0401,0.0000,0.0000,106.5165,3.9447,0.0000,0.0000,200.1180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.2131,0.2029,0.0000,0.0000,56.5949,1.2464,0.0000,0.0000,2.1710,0.0480,0.0000,0.0000,13.3362,0.2946,0.0000,0.0000
1866.75,296,'C115',218.8047,56.8824,2.9938,76.5816,2.8891,0.0000,0.0000,128.0008,2.3922,0.0000,0.0000,128.0008,2.3922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8445,0.0532,0.0000,0.0000,11.3778,0.2126,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0617,4.9105,0.0000,0.0000,1.2913,0.1072,0.0000,0.0000,76.5816,2.8891,0.0000,0.0000,128.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7881,0.1430,0.0000,0.0000,41.6985,0.8786,0.0000,0.0000,1.3882,0.0296,0.0000,0.0000,8.5277,0.1821,0.0000,0.0000
1867.75,296,'C115',256.5588,72.5923,3.8206,84.2720,3.3326,0.0000,0.0000,155.0581,2.9452,0.0000,0.0000,155.0581,2.9452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4457,0.0654,0.0000,0.0000,13.7829,0.2618,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6886,0.0485,0.0000,0.0000,0.2737,0.0231,0.0000,0.0000,84.2720,3.3326,0.0000,0.0000,155.0581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1665,0.1778,0.0000,0.0000,50.1656,1.0921,0.0000,0.0000,2.0645,0.0453,0.0000,0.0000,12.6818,0.2780,0.0000,0.0000
