    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2022.0000    1     2.80    -4.45     0.39       0.1105       0.0000      14.5395       4.4485     487.6781
 2022.0000    2     5.71    -3.05     0.02       0.1051       0.0000      14.3919       4.4778     439.3944
 2022.0000    3     6.66    -3.96     0.00       0.1023       0.0000      14.2724       4.5038     408.3513
 2022.0000    4     6.08    -1.69     0.00       0.1237       0.0000      13.3328       4.5447     487.7881
 2022.0000    5     3.63    -4.42     0.00       0.1403       0.0000      12.5315       4.5975     641.8677
 2022.0000    6     3.84    -3.44     0.00       0.1524       0.0000      11.6636       4.6585     748.7892
 2022.0000    7     2.47   -11.70     0.00       0.1548       0.0000      10.9778       4.7198     761.6571
 2022.0000    8    -8.47   -18.16     0.00       0.1509       0.0000      10.8946       4.7768     720.0285
 2022.0000    9    -8.38   -20.41     0.12       0.1482       0.0000      10.8817       4.8305     688.9122
 2022.0000   10    -0.73   -14.16     0.29       0.1472       0.0000      10.9670       4.8826     674.1890
 2022.0000   11     4.47    -7.33     0.00       0.1492       0.0000      10.7620       4.9352     684.2474
 2022.0000   12    10.72    -8.43     0.00       0.1520       0.0000       7.9379       4.9884     692.9591
 2022.0000   13    10.66    -1.35     0.06       0.1595       0.0000       6.1424       5.0416     695.5831
 2022.0000   14    11.06     4.96     0.00       0.1570       0.0000       6.0170       5.0975     730.3711
 2022.0000   15     9.00    -7.43     0.15       0.1578       0.0000       4.2916       5.1532     719.0970
 2022.0000   16    -5.05   -18.11     0.24       0.1555       0.0000       4.2680       5.2059     691.9031
 2022.0000   17   -14.37   -20.25     0.31       0.1534       0.0000       4.2671       5.2558     667.1296
 2022.0000   18   -16.17   -22.49     0.00       0.1518       0.0000       4.2769       5.3035     646.9441
 2022.0000   19   -12.34   -22.74     0.10       0.1511       0.0000       4.3078       5.3497     634.3560
 2022.0000   20    -7.45   -14.91     1.03       0.1644       0.0000       4.3777       5.4071     634.0424
 2022.0000   21    -9.04   -15.25     0.14       0.1521       0.0000       4.4103       5.4524     630.5796
 2022.0000   22    -9.03   -13.31     0.04       0.1524       0.0000       4.4467       5.4973     627.6374
 2022.0000   23    -9.40   -21.68     0.00       0.1522       0.0000       4.4596       5.5413     620.1385
 2022.0000   24     2.49   -16.78     0.00       0.1530       0.0000       4.5201       5.5852     621.4809
 2022.0000   25     3.11    -3.27     0.00       0.1543       0.0000       4.5862       5.6295     627.5071
 2022.0000   26     2.64   -11.43     0.00       0.1547       0.0000       4.6050       5.6735     625.6104
 2022.0000   27     4.12    -3.67     0.00       0.1557       0.0000       4.6598       5.7176     628.7836
 2022.0000   28     0.38    -3.92     0.06       0.1562       0.0000       4.6861       5.7614     627.6757
 2022.0000   29    -0.86    -7.33     0.01       0.1564       0.0000       4.7060       5.8046     623.8279
 2022.0000   30     3.63    -8.25     0.00       0.1568       0.0000       4.0001       5.8476     622.5758
 2022.0000   31    -0.04    -6.98     0.00       0.1571       0.0000       4.0234       5.8900     619.4670
 2022.0834   32    -3.60    -8.63     0.00       0.2661       0.0000       4.0379       6.5423     679.5194
 2022.0834   33    -4.40   -13.40     0.01       0.1701       0.0000       4.0483       6.5847     671.0495
 2022.0834   34    -3.42   -12.17     0.12       0.1701       0.0000       4.0752       6.6264     666.0309
 2022.0834   35    -2.41   -16.54     0.00       0.1700       0.0000       4.0901       6.6674     659.4398
 2022.0834   36    -0.48    -6.32     0.14       0.1708       0.0000       4.1410       6.7084     661.0587
 2022.0834   37     3.24    -9.88     0.00       0.1720       0.0000       3.5443       6.7491     660.5922
 2022.0834   38     5.54    -2.47     0.00       0.2492       0.0000       2.1078       6.7902     665.3445
 2022.0834   39     1.72    -6.14     0.00       0.3226       0.0000       1.7274       6.8309     662.8405
 2022.0834   40     1.59    -3.93     0.20       0.3233       0.0000       1.7168       6.8715     662.1367
 2022.0834   41     5.63    -3.49     0.03       0.4246       0.0000       1.3131       6.9123     663.8978
 2022.0834   42     2.63    -2.44     0.71       0.1874       0.0000       1.3116       6.9640     662.9586
 2022.0834   43     0.04    -8.25     0.03       0.1752       0.0000       1.3046       7.0039     656.8423
 2022.0834   44     5.52    -6.07     0.00       0.1758       0.0000       1.3088       7.0437     657.0655
 2022.0834   45     7.76    -4.73     0.00       0.3267       0.0000       1.3119       7.0835     658.7489
 2022.0834   46     6.98     0.10     0.04       0.1777       0.0000       1.3167       7.1236     662.4149
 2022.0834   47     2.24    -5.07     0.03       0.1776       0.0000       1.3076       7.1630     656.3954
 2022.0834   48     7.84    -7.56     0.00       0.1775       0.0509       1.3032       7.2016     650.4616
 2022.0834   49    12.53    -3.42     0.00      45.2928      13.0634       1.3408       7.2426     676.2989
 2022.0834   50     9.92    -3.79     0.04       0.1821       0.0527       1.3364       7.2404     682.3997
 2022.0834   51     3.76    -8.79     0.00       0.1793       0.0522       1.2938       7.2794     651.3518
 2022.0834   52    12.44    -4.27     0.00      38.5688      11.3765       1.3417       7.3208     677.4203
 2022.0834   53     5.51    -5.70     0.20       0.1818       0.0528       1.3142       7.3227     663.2604
 2022.0834   54     4.69    -5.67     0.03       0.1814       0.0529       1.3095       7.3622     654.7911
 2022.0834   55     2.62    -9.45     0.02       0.1794       0.0525       1.2833       7.3992     631.0795
 2022.0834   56     1.97    -5.08     0.20       0.1802       0.0000       1.3002       7.4363     633.3882
 2022.0834   57    23.05    -0.67     0.00      32.0538       9.4052       1.4061       7.4817     719.1072
 2022.0834   58    18.18    -2.96     0.00      25.6069       7.6871       1.3997       7.4989     751.4669
 2022.0834   59    12.80    -2.55     0.00       0.1955       0.0601       1.3859       7.5224     753.7287
 2022.1666   60     9.70    -3.79     0.00       0.3494       0.1104       1.3691       8.5739     667.8516
 2022.1666   61    10.64    -1.52     0.00       0.3427       0.1118       1.3844       8.6068     678.8467
 2022.1666   62     7.04   -10.46     1.14       0.2036       0.0000       5.3649       8.6444     636.9153
 2022.1666   63    -2.52   -15.40     0.00       0.1953       0.0000       5.2714       8.6741     603.9917
 2022.1666   64    10.54    -2.99     0.40       3.7043      44.8871       5.4821       8.7062     634.3391
 2022.1666   65     7.98    -2.73     0.04       0.4266       5.1688       5.6344       8.5952     639.0426
 2022.1666   66    16.99    -3.17     0.00       0.2037       2.4687       6.4034       8.6240     694.0439
 2022.1666   67    26.10     6.40     0.00       0.2283       2.7739       7.7162       9.6579     862.3870
