time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',1.7572,1.5581,0.0820,0.9664,0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1582,0.0035,0.0000,0.0000,0.6326,0.0138,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.6853,6.2554,0.0000,0.0000,0.2410,0.0153,0.0000,0.0000,0.9664,0.0617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1645,0.0035,0.0000,0.0000,1.0103,0.0217,0.0000,0.0000,0.0510,0.0011,0.0000,0.0000,0.3135,0.0067,0.0000,0.0000
2023.75,295,'C822',620.5218,164.6235,8.6644,384.7235,8.7490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.1597,0.4899,0.0000,0.0000,188.6386,1.9598,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2629,0.8767,0.0000,0.0000,0.1238,0.0068,0.0000,0.0000,384.7235,8.7490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5359,0.3860,0.0000,0.0000,113.8635,2.3713,0.0000,0.0000,5.0416,0.1055,0.0000,0.0000,30.9696,0.6478,0.0000,0.0000
2024.67,273,'SYBN100',275.9219,51.1910,2.6943,124.1649,14.2738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.3514,1.0603,0.0000,0.0000,121.4056,4.2414,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1313,0.1964,0.0000,0.0000,0.1890,0.0075,0.0000,0.0000,124.1649,14.2738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3930,0.1769,0.0000,0.0000,26.9855,1.0869,0.0000,0.0000,1.3625,0.0541,0.0000,0.0000,8.3698,0.3322,0.0000,0.0000
2025.50,205,'W4EG70',432.0773,105.4884,5.5520,237.6425,6.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8870,0.3367,0.0000,0.0000,155.5478,1.3467,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.6862,0.6342,0.0000,0.0000,0.0650,0.0031,0.0000,0.0000,237.6425,6.0122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.9718,0.2641,0.0000,0.0000,79.6837,1.6222,0.0000,0.0000,2.2593,0.0464,0.0000,0.0000,13.8786,0.2852,0.0000,0.0000
2026.75,295,'C822',639.3304,166.2641,8.7507,396.3849,8.8724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.5891,0.4969,0.0000,0.0000,194.3564,1.9874,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.7252,1.4754,0.0000,0.0000,0.4889,0.0226,0.0000,0.0000,396.3849,8.8724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0771,0.3964,0.0000,0.0000,117.1882,2.4351,0.0000,0.0000,4.7861,0.1001,0.0000,0.0000,29.4004,0.6149,0.0000,0.0000
2027.67,273,'SYBN100',310.3489,54.5131,2.8691,134.6401,15.6416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.1418,1.2412,0.0000,0.0000,140.5670,4.9646,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.7985,0.0338,0.0000,0.0000,0.6545,0.0266,0.0000,0.0000,134.6401,15.6416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7507,0.1920,0.0000,0.0000,29.1826,1.1794,0.0000,0.0000,1.4906,0.0594,0.0000,0.0000,9.1566,0.3648,0.0000,0.0000
2028.50,205,'W4EG70',443.0578,70.3402,3.7021,243.6818,6.2813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.8752,0.3518,0.0000,0.0000,159.5008,1.4070,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.6647,1.9753,0.0000,0.0000,0.0711,0.0034,0.0000,0.0000,243.6818,6.2813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5305,0.1727,0.0000,0.0000,52.4017,1.0610,0.0000,0.0000,1.5866,0.0323,0.0000,0.0000,9.7461,0.1984,0.0000,0.0000
2029.75,295,'C822',582.8307,164.5948,8.6629,317.7725,7.9971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0116,0.5837,0.0000,0.0000,212.0465,2.3349,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.3770,1.1708,0.0000,0.0000,0.8100,0.0361,0.0000,0.0000,317.7725,7.9971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.2279,0.3857,0.0000,0.0000,111.9712,2.3691,0.0000,0.0000,5.1495,0.1087,0.0000,0.0000,31.6326,0.6680,0.0000,0.0000
2030.67,273,'SYBN100',249.0863,45.1550,2.3766,107.1300,12.8528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.3913,1.0354,0.0000,0.0000,113.5650,4.1418,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.2930,0.5420,0.0000,0.0000,0.0996,0.0042,0.0000,0.0000,107.1300,12.8528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8654,0.1559,0.0000,0.0000,23.7445,0.9577,0.0000,0.0000,1.1753,0.0467,0.0000,0.0000,7.2195,0.2867,0.0000,0.0000
2031.50,205,'W4EG70',417.0180,103.2437,5.4339,229.1503,5.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5736,0.3360,0.0000,0.0000,150.2942,1.3442,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6042,1.4757,0.0000,0.0000,0.0648,0.0032,0.0000,0.0000,229.1503,5.9883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.4067,0.2553,0.0000,0.0000,76.2127,1.5683,0.0000,0.0000,2.4453,0.0507,0.0000,0.0000,15.0210,0.3111,0.0000,0.0000
