    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1989.0000    1    -0.10    -7.70     0.00       0.3785       0.0000       8.1902      18.6806     980.9110
 1989.0000    2    -0.20    -8.50     0.00       0.2883       0.0000       8.0929      13.8414     868.2753
 1989.0000    3    -2.00    -9.30     0.13       0.2372       0.0000       8.0160      10.8760     797.1646
 1989.0000    4    -2.30   -17.90     0.00       0.2007       0.0000       7.9176       8.8047     738.2593
 1989.0000    5     0.60   -10.80     0.00       0.1986       0.0000       7.9215       8.8347     710.0216
 1989.0000    6    -0.80    -2.80     0.03       0.1974       0.0000       7.9314       8.8632     693.1591
 1989.0000    7    10.90    -2.00     1.70       0.2075       0.0000       7.9757       8.9002     688.2653
 1989.0000    8     4.30   -11.30     0.00       0.1959       0.0000       7.9089       8.9263     666.5872
 1989.0000    9    -5.80   -12.30     0.00       0.1940       0.0000       7.8441       8.9502     642.1205
 1989.0000   10     0.80    -7.60     0.00       0.1935       0.0000       7.8718       8.9733     633.1167
 1989.0000   11     1.90    -7.60     0.00       0.1931       0.0000       7.8714       8.9956     624.2263
 1989.0000   12     4.40    -5.60     0.03       0.1932       0.0000       7.1313       9.0176     621.2971
 1989.0000   13    -1.10    -7.50     0.00       0.1925       0.0000       7.1057       9.0385     609.7445
 1989.0000   14    -4.00    -8.40     0.03       0.1917       0.0000       7.0881       9.0584     598.0312
 1989.0000   15     0.70    -4.10     0.05       0.1918       0.0000       7.1245       9.0780     595.0808
 1989.0000   16     2.10    -4.90     0.00       0.1918       0.0000       6.7591       9.0973     591.5615
 1989.0000   17     3.10    -0.60     0.00       0.1921       0.0000       6.4700       9.1166     590.9569
 1989.0000   18     5.20    -1.30     0.00       0.1926       0.0000       5.8605       9.1360     589.8337
 1989.0000   19     7.80    -2.20     0.11       0.1934       0.0000       5.5631       9.1558     589.0808
 1989.0000   20    -0.30   -11.70     0.00       0.1929       0.0000       5.5060       9.1749     573.7256
 1989.0000   21    -1.40   -13.90     0.00       0.1921       0.0000       5.4871       9.1928     561.6271
 1989.0000   22     6.70    -4.30     0.00       0.2131       0.0000       3.9387       9.2110     565.4995
 1989.0000   23    10.30    -1.60     0.00       0.3068       0.0000       1.9807       9.2297     570.1948
 1989.0000   24     6.90    -1.30     0.00       0.1936       2.3455       5.5275       9.2480     573.0593
 1989.0000   25     3.50    -1.70     0.73       0.2062       0.0000       5.4933       9.2774     567.2963
 1989.0000   26     6.90    -2.70     0.00       0.1965       0.0000       5.4919       9.2976     565.6091
 1989.0000   27     4.40    -4.10     0.00       0.1958       2.3724       5.4284       9.3168     552.5741
 1989.0000   28     8.90    -1.50     0.20       0.1977       2.9985       5.5152       9.3373     564.1622
 1989.0000   29     3.70     1.00     0.56       0.2089       2.5314       5.5943       9.3676     571.5706
 1989.0000   30     2.10    -1.70     0.03       0.1988       2.4086       5.5436       9.3883     560.5578
 1989.0000   31    14.50    -0.20     0.00       0.2019       2.4464       6.0091       9.4115     588.7223
 1989.0834   32     9.40    -6.30     0.00       0.2151       2.6075       6.0657      10.1025     621.4697
 1989.0834   33    -6.10    -8.40     0.00       0.2068       2.5064       5.8804      10.1181     570.5294
 1989.0834   34    -5.00   -12.30     0.00       0.2030       2.4611       5.7971      10.1300     530.3108
 1989.0834   35    -8.90   -13.10     0.03       0.2040       0.0000       5.9464      10.1426     536.0772
 1989.0834   36    -6.90   -14.90     0.28       0.2041       0.0000       5.9436      10.1552     534.8884
 1989.0834   37    -9.30   -16.20     0.00       0.2039       0.0000       5.9138      10.1673     529.3311
 1989.0834   38    -8.10   -15.20     0.00       0.2038       0.0000       5.9076      10.1791     526.0155
