time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.25,97,'SORG99',0.1100,0.2683,0.0141,0.0000,0.0000,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.1070,0.0036,0.0000,0.0000,8.8912,0.0743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0033,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0356,0.0007,0.0000,0.0000,0.2187,0.0044,0.0000,0.0000,0.0030,0.0001,0.0000,0.0000,0.0184,0.0004,0.0000,0.0000
2022.75,287,'COT68',133.8737,24.4126,1.2849,46.6062,2.2436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4535,0.1272,0.0000,0.0000,69.8140,0.5087,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7373,0.2980,0.0000,0.0000,0.3768,0.0169,0.0000,0.0000,46.6062,2.2436,0.0000,0.0000,8.9982,0.0778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8210,0.0588,0.0000,0.0000,17.3289,0.3613,0.0000,0.0000,0.6892,0.0148,0.0000,0.0000,4.2335,0.0909,0.0000,0.0000
2023.25,98,'RGA56',14.6653,11.2624,0.5928,0.0000,0.0000,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,13.7788,0.2977,0.0000,0.0000,8.7429,0.0750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2471,0.0834,0.0000,0.0000,0.0381,0.0016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5493,0.0239,0.0000,0.0000,9.5170,0.1469,0.0000,0.0000,0.0971,0.0015,0.0000,0.0000,0.5964,0.0093,0.0000,0.0000
2023.83,306,'SORG117',156.5936,67.5245,3.5539,75.8553,1.7823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1477,0.1513,0.0000,0.0000,64.5907,0.6053,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5301,0.4636,0.0000,0.0000,0.4544,0.0204,0.0000,0.0000,75.8553,1.7823,0.0000,0.0000,22.5217,0.3727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0048,0.1264,0.0000,0.0000,43.0296,0.7764,0.0000,0.0000,2.5728,0.0464,0.0000,0.0000,15.8042,0.2850,0.0000,0.0000
2024.25,97,'RGA56',4.5871,7.9942,0.4207,0.0000,0.0000,0.0000,0.0000,12.5321,0.1738,0.0000,0.0000,3.8512,0.0855,0.0000,0.0000,8.6809,0.0883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0085,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5321,0.1738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0981,0.0159,0.0000,0.0000,6.7457,0.0975,0.0000,0.0000,0.0708,0.0010,0.0000,0.0000,0.4352,0.0063,0.0000,0.0000
2024.75,287,'COT68',154.6495,42.8160,2.2535,40.8830,1.8442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.7533,0.1744,0.0000,0.0000,91.0131,0.6976,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5916,0.0360,0.0000,0.0000,0.0591,0.0026,0.0000,0.0000,40.8830,1.8442,0.0000,0.0000,12.5321,0.1738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6125,0.0897,0.0000,0.0000,28.3339,0.5510,0.0000,0.0000,1.4978,0.0293,0.0000,0.0000,9.2010,0.1800,0.0000,0.0000
2025.25,98,'RGA56',8.6548,6.2015,0.3264,0.0000,0.0000,0.0000,0.0000,19.0908,0.2723,0.0000,0.0000,7.7202,0.1741,0.0000,0.0000,11.3706,0.0982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0908,0.2723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8486,0.0129,0.0000,0.0000,5.2128,0.0795,0.0000,0.0000,0.0587,0.0009,0.0000,0.0000,0.3608,0.0055,0.0000,0.0000
2025.83,306,'SORG117',115.1044,42.1157,2.2166,51.9172,1.7702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6374,0.1686,0.0000,0.0000,50.5498,0.6745,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0097,0.0004,0.0000,0.0000,51.9172,1.7702,0.0000,0.0000,19.0908,0.2723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5092,0.0896,0.0000,0.0000,27.6993,0.5505,0.0000,0.0000,1.4888,0.0299,0.0000,0.0000,9.1458,0.1839,0.0000,0.0000
2026.25,97,'RGA56',11.1460,9.8873,0.5204,0.0000,0.0000,0.0000,0.0000,17.1912,0.3224,0.0000,0.0000,9.3217,0.2064,0.0000,0.0000,7.8696,0.1160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.1912,0.3224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3363,0.0205,0.0000,0.0000,8.2088,0.1257,0.0000,0.0000,0.1071,0.0016,0.0000,0.0000,0.6582,0.0101,0.0000,0.0000
2026.75,287,'COT68',116.8287,29.6699,1.5616,28.4546,1.7144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6748,0.1832,0.0000,0.0000,70.6992,0.7330,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0978,0.0042,0.0000,0.0000,28.4546,1.7144,0.0000,0.0000,17.1912,0.3224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2091,0.0669,0.0000,0.0000,19.7131,0.4107,0.0000,0.0000,1.0262,0.0216,0.0000,0.0000,6.3035,0.1329,0.0000,0.0000
