time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1940.83,319,'SORG101',153.5628,41.7164,2.1956,64.6999,2.9046,0.0000,0.0000,79.9766,1.0310,0.0000,0.0000,79.9766,1.0310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7773,0.0229,0.0000,0.0000,7.1090,0.0916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0433,0.0015,0.0000,0.0000,0.8087,0.0558,0.0000,0.0000,64.6999,2.9046,0.0000,0.0000,79.9766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7935,0.1065,0.0000,0.0000,29.4460,0.6544,0.0000,0.0000,1.1862,0.0264,0.0000,0.0000,7.2865,0.1619,0.0000,0.0000
1941.83,319,'SORG101',146.4361,48.6092,2.5584,54.2788,2.6531,0.0000,0.0000,82.9416,1.1620,0.0000,0.0000,82.9416,1.1620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8431,0.0258,0.0000,0.0000,7.3726,0.1033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,0.0001,0.0000,0.0000,1.1926,0.0951,0.0000,0.0000,54.2788,2.6531,0.0000,0.0000,82.9416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2286,0.1162,0.0000,0.0000,32.1187,0.7138,0.0000,0.0000,1.6909,0.0376,0.0000,0.0000,10.3871,0.2308,0.0000,0.0000
1942.83,319,'SORG101',132.8744,54.3160,2.8587,55.3421,2.6456,0.0000,0.0000,69.7791,0.9582,0.0000,0.0000,69.7791,0.9582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.5506,0.0213,0.0000,0.0000,6.2026,0.0852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0136,0.1683,0.0000,0.0000,55.3421,2.6456,0.0000,0.0000,69.7791,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7909,0.1287,0.0000,0.0000,35.5727,0.7905,0.0000,0.0000,1.9335,0.0430,0.0000,0.0000,11.8771,0.2639,0.0000,0.0000
1943.83,319,'SORG101',56.0459,18.6033,0.9791,25.5771,1.5096,0.0000,0.0000,27.4219,0.4617,0.0000,0.0000,27.4219,0.4617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6094,0.0103,0.0000,0.0000,2.4375,0.0410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1502,0.0125,0.0000,0.0000,25.5771,1.5096,0.0000,0.0000,27.4219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0074,0.0446,0.0000,0.0000,12.3311,0.2740,0.0000,0.0000,0.6435,0.0143,0.0000,0.0000,3.9532,0.0878,0.0000,0.0000
1944.83,319,'SORG101',183.9322,44.6637,2.3507,91.2009,3.5222,0.0000,0.0000,83.4582,0.9046,0.0000,0.0000,83.4582,0.9046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8546,0.0201,0.0000,0.0000,7.4185,0.0804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3274,0.3627,0.0000,0.0000,91.2009,3.5222,0.0000,0.0000,83.4582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1083,0.1135,0.0000,0.0000,31.3796,0.6973,0.0000,0.0000,1.2949,0.0288,0.0000,0.0000,7.9543,0.1768,0.0000,0.0000
1945.83,319,'SORG101',204.5025,49.8361,2.6230,102.1117,3.7819,0.0000,0.0000,92.1517,0.9560,0.0000,0.0000,92.1517,0.9560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0478,0.0212,0.0000,0.0000,8.1913,0.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4155,0.0347,0.0000,0.0000,102.1117,3.7819,0.0000,0.0000,92.1517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6865,0.1264,0.0000,0.0000,34.9316,0.7763,0.0000,0.0000,1.4572,0.0324,0.0000,0.0000,8.9515,0.1989,0.0000,0.0000
1946.83,319,'SORG101',64.2177,30.0104,1.5795,29.7924,1.6889,0.0000,0.0000,30.9828,0.4998,0.0000,0.0000,30.9828,0.4998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6885,0.0111,0.0000,0.0000,2.7540,0.0444,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2220,0.0185,0.0000,0.0000,29.7924,1.6889,0.0000,0.0000,30.9828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0153,0.0670,0.0000,0.0000,18.5226,0.4116,0.0000,0.0000,1.2274,0.0273,0.0000,0.0000,7.5397,0.1676,0.0000,0.0000
1947.83,319,'SORG101',172.3796,51.7716,2.7248,80.1436,3.2771,0.0000,0.0000,83.0124,0.9656,0.0000,0.0000,83.0124,0.9656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8447,0.0215,0.0000,0.0000,7.3789,0.0858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1007,7.9474,0.0000,0.0000,1.8964,0.1591,0.0000,0.0000,80.1436,3.2771,0.0000,0.0000,83.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8124,0.1292,0.0000,0.0000,35.7049,0.7934,0.0000,0.0000,1.5890,0.0353,0.0000,0.0000,9.7610,0.2169,0.0000,0.0000
1948.83,319,'SORG101',210.9720,55.7596,2.9347,100.8274,3.7780,0.0000,0.0000,99.1302,1.0515,0.0000,0.0000,99.1302,1.0515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2029,0.0234,0.0000,0.0000,8.8116,0.0935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8999,14.6996,0.0000,0.0000,2.9744,0.2501,0.0000,0.0000,100.8274,3.7780,0.0000,0.0000,99.1302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3808,0.1418,0.0000,0.0000,39.1961,0.8710,0.0000,0.0000,1.6127,0.0358,0.0000,0.0000,9.9067,0.2201,0.0000,0.0000
1949.83,319,'SORG101',172.3619,57.2212,3.0116,82.2808,3.3185,0.0000,0.0000,81.0730,0.9258,0.0000,0.0000,81.0730,0.9258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8016,0.0206,0.0000,0.0000,7.2065,0.0823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.2568,6.6496,0.0000,0.0000,1.3559,0.1135,0.0000,0.0000,82.2808,3.3185,0.0000,0.0000,81.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2807,0.1396,0.0000,0.0000,38.5813,0.8574,0.0000,0.0000,1.8796,0.0418,0.0000,0.0000,11.5461,0.2566,0.0000,0.0000
