time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1940.83,319,'SORG99',100.5984,25.8658,1.3614,48.0113,2.3457,0.0000,0.0000,47.3284,0.6548,0.0000,0.0000,47.3284,0.6548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0517,0.0146,0.0000,0.0000,4.2070,0.0582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000,0.0000,0.0000,8.0074,0.5734,0.0000,0.0000,48.0113,2.3457,0.0000,0.0000,47.3284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9409,0.0651,0.0000,0.0000,18.0653,0.3998,0.0000,0.0000,0.7634,0.0169,0.0000,0.0000,4.6898,0.1036,0.0000,0.0000
1941.83,319,'SORG99',116.8034,31.6948,1.6681,56.7317,2.6278,0.0000,0.0000,54.0645,0.7064,0.0000,0.0000,54.0645,0.7064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2014,0.0157,0.0000,0.0000,4.8057,0.0628,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2439,4.9016,0.0000,0.0000,3.7819,0.5252,0.0000,0.0000,56.7317,2.6278,0.0000,0.0000,54.0645,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5237,0.0781,0.0000,0.0000,21.6456,0.4798,0.0000,0.0000,1.0060,0.0223,0.0000,0.0000,6.1799,0.1369,0.0000,0.0000
1942.83,319,'SORG99',69.2157,25.9625,1.3664,33.9128,1.8112,0.0000,0.0000,31.7726,0.4777,0.0000,0.0000,31.7726,0.4777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7061,0.0106,0.0000,0.0000,2.8242,0.0425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5533,7.9992,0.0000,0.0000,4.3279,0.6619,0.0000,0.0000,33.9128,1.8112,0.0000,0.0000,31.7726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7656,0.0610,0.0000,0.0000,16.9885,0.3746,0.0000,0.0000,0.9274,0.0204,0.0000,0.0000,5.6971,0.1253,0.0000,0.0000
1943.83,319,'SORG99',63.5600,19.8084,1.0425,31.3738,1.7250,0.0000,0.0000,28.9676,0.4475,0.0000,0.0000,28.9676,0.4475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6437,0.0099,0.0000,0.0000,2.5749,0.0398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3066,2.6389,0.0000,0.0000,2.2720,0.3375,0.0000,0.0000,31.3738,1.7250,0.0000,0.0000,28.9676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1541,0.0477,0.0000,0.0000,13.2326,0.2933,0.0000,0.0000,0.6701,0.0148,0.0000,0.0000,4.1165,0.0911,0.0000,0.0000
1944.83,319,'SORG99',82.7137,19.3744,1.0197,41.1827,2.1063,0.0000,0.0000,37.3779,0.5359,0.0000,0.0000,37.3779,0.5359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8306,0.0119,0.0000,0.0000,3.3225,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.9939,16.0681,0.0000,0.0000,3.7939,0.5429,0.0000,0.0000,41.1827,2.1063,0.0000,0.0000,37.3779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2059,0.0490,0.0000,0.0000,13.5505,0.3011,0.0000,0.0000,0.5703,0.0127,0.0000,0.0000,3.5035,0.0779,0.0000,0.0000
1945.83,319,'SORG99',129.3880,31.1950,1.6418,63.1353,2.6897,0.0000,0.0000,59.6274,0.7158,0.0000,0.0000,59.6274,0.7158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3251,0.0159,0.0000,0.0000,5.3002,0.0636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4713,9.9550,0.0000,0.0000,2.1370,0.2490,0.0000,0.0000,63.1353,2.6897,0.0000,0.0000,59.6274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5668,0.0773,0.0000,0.0000,21.9104,0.4749,0.0000,0.0000,0.9063,0.0195,0.0000,0.0000,5.5673,0.1200,0.0000,0.0000
1946.83,319,'SORG99',37.6653,16.2485,0.8552,18.5379,1.1000,0.0000,0.0000,17.2147,0.2872,0.0000,0.0000,17.2147,0.2872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3825,0.0064,0.0000,0.0000,1.5302,0.0255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5324,0.2360,0.0000,0.0000,18.5379,1.1000,0.0000,0.0000,17.2147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6639,0.0361,0.0000,0.0000,10.2214,0.2219,0.0000,0.0000,0.6379,0.0137,0.0000,0.0000,3.9183,0.0844,0.0000,0.0000
1947.83,319,'SORG99',59.0487,17.8323,0.9385,29.4094,1.5712,0.0000,0.0000,26.6753,0.3995,0.0000,0.0000,26.6753,0.3995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5928,0.0089,0.0000,0.0000,2.3711,0.0355,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.1618,14.1346,0.0000,0.0000,3.2079,0.3824,0.0000,0.0000,29.4094,1.5712,0.0000,0.0000,26.6753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9685,0.0425,0.0000,0.0000,12.0921,0.2609,0.0000,0.0000,0.5770,0.0123,0.0000,0.0000,3.5443,0.0756,0.0000,0.0000
1948.83,319,'SORG99',86.8319,22.5769,1.1883,43.4018,2.1251,0.0000,0.0000,39.0871,0.5359,0.0000,0.0000,39.0871,0.5359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8686,0.0119,0.0000,0.0000,3.4744,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6016,4.3326,0.0000,0.0000,2.7996,0.3050,0.0000,0.0000,43.4018,2.1251,0.0000,0.0000,39.0871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5397,0.0555,0.0000,0.0000,15.6009,0.3407,0.0000,0.0000,0.6912,0.0150,0.0000,0.0000,4.2457,0.0920,0.0000,0.0000
1949.83,319,'SORG99',51.8630,18.5238,0.9749,25.5539,1.3800,0.0000,0.0000,23.6783,0.3595,0.0000,0.0000,23.6783,0.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5262,0.0080,0.0000,0.0000,2.1047,0.0320,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0339,6.5894,0.0000,0.0000,2.4987,0.2262,0.0000,0.0000,25.5539,1.3800,0.0000,0.0000,23.6783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9940,0.0424,0.0000,0.0000,12.2491,0.2603,0.0000,0.0000,0.6433,0.0135,0.0000,0.0000,3.9517,0.0827,0.0000,0.0000
