time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2003.25,97,'COT68',0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4912,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4912,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4912,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003.58,227,'SORG117',45.6204,19.5336,1.0281,28.4233,0.8816,0.0000,0.0000,4.2993,0.0678,0.0000,0.0000,4.2993,0.0678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5796,0.0407,0.0000,0.0000,10.3183,0.1626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3490,0.0712,0.0000,0.0000,0.0407,0.0017,0.0000,0.0000,28.4233,0.8816,0.0000,0.0000,4.7905,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5033,0.0462,0.0000,0.0000,15.3777,0.2838,0.0000,0.0000,0.3452,0.0062,0.0000,0.0000,2.1206,0.0383,0.0000,0.0000
2004.75,289,'COT68',115.7535,25.7691,1.3563,39.9329,1.7943,0.0000,0.0000,18.9551,0.1298,0.0000,0.0000,18.9551,0.1298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3731,0.0779,0.0000,0.0000,45.4923,0.3114,0.0000,0.0000,0.0000,2.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0740,1.4719,0.0000,0.0000,0.1724,0.0070,0.0000,0.0000,39.9329,1.7943,0.0000,0.0000,18.9551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7870,0.0548,0.0000,0.0000,17.1202,0.3368,0.0000,0.0000,0.8914,0.0179,0.0000,0.0000,5.4755,0.1098,0.0000,0.0000
2005.83,332,'SORG117',100.1832,42.1896,2.2205,59.4845,1.7476,0.0000,0.0000,10.1747,0.1482,0.0000,0.0000,10.1747,0.1482,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1048,0.0889,0.0000,0.0000,24.4192,0.3557,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9003,0.0036,0.0000,0.0000,0.1402,0.0062,0.0000,0.0000,59.4845,1.7476,0.0000,0.0000,10.1747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5145,0.0891,0.0000,0.0000,27.7319,0.5472,0.0000,0.0000,1.4799,0.0297,0.0000,0.0000,9.0909,0.1825,0.0000,0.0000
2006.83,321,'COT68',36.8651,8.5920,0.4522,12.4291,0.7588,0.0000,0.0000,6.1090,0.0577,0.0000,0.0000,6.1090,0.0577,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6654,0.0346,0.0000,0.0000,14.6616,0.1385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0656,0.0126,0.0000,0.0000,0.1528,0.0063,0.0000,0.0000,12.4291,0.7588,0.0000,0.0000,6.1090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9602,0.0187,0.0000,0.0000,5.8985,0.1148,0.0000,0.0000,0.2680,0.0053,0.0000,0.0000,1.6462,0.0327,0.0000,0.0000
2007.58,226,'SORG117',11.1869,7.4795,0.3937,7.1546,0.2339,0.0000,0.0000,1.0081,0.0170,0.0000,0.0000,1.0081,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6048,0.0102,0.0000,0.0000,2.4194,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8135,0.2766,0.0000,0.0000,0.1549,0.0061,0.0000,0.0000,7.1546,0.2339,0.0000,0.0000,1.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,0.0175,0.0000,0.0000,6.0197,0.1074,0.0000,0.0000,0.1135,0.0020,0.0000,0.0000,0.6974,0.0125,0.0000,0.0000
2008.83,316,'COT68',58.8249,13.5193,0.7115,20.2302,0.9607,0.0000,0.0000,9.6487,0.0700,0.0000,0.0000,9.6487,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.7892,0.0420,0.0000,0.0000,23.1568,0.1679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.9444,0.6910,0.0000,0.0000,0.2601,0.0101,0.0000,0.0000,20.2302,0.9607,0.0000,0.0000,9.6487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4614,0.0267,0.0000,0.0000,8.9774,0.1639,0.0000,0.0000,0.4647,0.0085,0.0000,0.0000,2.8545,0.0521,0.0000,0.0000
2009.83,315,'SORG117',41.6413,16.0973,0.8472,25.2283,0.7172,0.0000,0.0000,4.1032,0.0584,0.0000,0.0000,4.1032,0.0584,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4619,0.0351,0.0000,0.0000,9.8478,0.1402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3144,0.0068,0.0000,0.0000,0.1096,0.0042,0.0000,0.0000,25.2283,0.7172,0.0000,0.0000,4.1032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6676,0.0298,0.0000,0.0000,10.2441,0.1832,0.0000,0.0000,0.6143,0.0110,0.0000,0.0000,3.7738,0.0677,0.0000,0.0000
2010.83,323,'COT68',81.4282,20.8410,1.0969,27.1255,1.3825,0.0000,0.0000,13.5757,0.1078,0.0000,0.0000,13.5757,0.1078,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.1454,0.0647,0.0000,0.0000,32.5816,0.2588,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.6610,0.5844,0.0000,0.0000,0.1891,0.0084,0.0000,0.0000,27.1255,1.3825,0.0000,0.0000,13.5757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1694,0.0424,0.0000,0.0000,13.3263,0.2603,0.0000,0.0000,0.7847,0.0154,0.0000,0.0000,4.8202,0.0945,0.0000,0.0000
2011.83,315,'SORG117',48.9673,16.9302,0.8911,30.3315,0.9127,0.0000,0.0000,4.6590,0.0710,0.0000,0.0000,4.6590,0.0710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7954,0.0426,0.0000,0.0000,11.1815,0.1704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0541,0.0023,0.0000,0.0000,30.3315,0.9127,0.0000,0.0000,4.6590,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0331,0.0000,0.0000,10.9197,0.2036,0.0000,0.0000,0.6263,0.0118,0.0000,0.0000,3.8476,0.0724,0.0000,0.0000
2012.83,323,'COT68',117.4118,21.6031,1.1370,39.9015,1.9025,0.0000,0.0000,19.3776,0.1422,0.0000,0.0000,19.3776,0.1422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6265,0.0853,0.0000,0.0000,46.5062,0.3413,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1920,0.0089,0.0000,0.0000,39.9015,1.9025,0.0000,0.0000,19.3776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4071,0.0486,0.0000,0.0000,14.7866,0.2986,0.0000,0.0000,0.6772,0.0139,0.0000,0.0000,4.1598,0.0852,0.0000,0.0000
2013.83,315,'SORG117',49.3704,18.0491,0.9500,28.6848,0.8590,0.0000,0.0000,5.1714,0.0760,0.0000,0.0000,5.1714,0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.1028,0.0456,0.0000,0.0000,12.4113,0.1824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1519,0.0065,0.0000,0.0000,28.6848,0.8590,0.0000,0.0000,5.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8688,0.0341,0.0000,0.0000,11.4797,0.2098,0.0000,0.0000,0.6901,0.0126,0.0000,0.0000,4.2390,0.0771,0.0000,0.0000
2014.83,323,'COT68',94.1821,23.1159,1.2166,32.1261,1.5876,0.0000,0.0000,15.5140,0.1177,0.0000,0.0000,15.5140,0.1177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3084,0.0706,0.0000,0.0000,37.2336,0.2825,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7976,0.7990,0.0000,0.0000,0.2500,0.0114,0.0000,0.0000,32.1261,1.5876,0.0000,0.0000,15.5140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4567,0.0485,0.0000,0.0000,15.0912,0.2978,0.0000,0.0000,0.8245,0.0165,0.0000,0.0000,5.0648,0.1015,0.0000,0.0000
2015.83,315,'SORG117',45.8964,15.2381,0.8020,28.1387,0.7677,0.0000,0.0000,4.4394,0.0610,0.0000,0.0000,4.4394,0.0610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6637,0.0366,0.0000,0.0000,10.6546,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.7418,0.3836,0.0000,0.0000,0.2514,0.0106,0.0000,0.0000,28.1387,0.7677,0.0000,0.0000,4.4394,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6216,0.0285,0.0000,0.0000,9.9615,0.1750,0.0000,0.0000,0.5466,0.0095,0.0000,0.0000,3.3580,0.0582,0.0000,0.0000
2016.83,323,'COT68',130.5409,22.9389,1.2073,45.1570,2.1548,0.0000,0.0000,21.3460,0.1549,0.0000,0.0000,21.3460,0.1549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8076,0.0929,0.0000,0.0000,51.2304,0.3717,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1863,0.0084,0.0000,0.0000,45.1570,2.1548,0.0000,0.0000,21.3460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5312,0.0519,0.0000,0.0000,15.5487,0.3191,0.0000,0.0000,0.7420,0.0154,0.0000,0.0000,4.5578,0.0947,0.0000,0.0000
2017.83,315,'SORG117',73.9891,22.6663,1.1930,48.0048,1.1232,0.0000,0.0000,6.4961,0.0790,0.0000,0.0000,6.4961,0.0790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8976,0.0474,0.0000,0.0000,15.5906,0.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1610,0.1193,0.0000,0.0000,0.2711,0.0115,0.0000,0.0000,48.0048,1.1232,0.0000,0.0000,6.4961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5031,0.0442,0.0000,0.0000,15.3761,0.2716,0.0000,0.0000,0.7337,0.0131,0.0000,0.0000,4.5068,0.0802,0.0000,0.0000
2018.83,323,'COT68',123.2425,20.4836,1.0781,42.7966,2.0679,0.0000,0.0000,20.1115,0.1474,0.0000,0.0000,20.1115,0.1474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.0669,0.0884,0.0000,0.0000,48.2676,0.3537,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7472,0.0247,0.0000,0.0000,0.1810,0.0083,0.0000,0.0000,42.7966,2.0679,0.0000,0.0000,20.1115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3258,0.0475,0.0000,0.0000,14.2870,0.2918,0.0000,0.0000,0.6025,0.0126,0.0000,0.0000,3.7011,0.0772,0.0000,0.0000
2019.83,315,'SORG117',50.0666,16.6811,0.8780,31.9772,0.8368,0.0000,0.0000,4.5224,0.0609,0.0000,0.0000,4.5224,0.0609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7134,0.0366,0.0000,0.0000,10.8537,0.1462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2843,0.2030,0.0000,0.0000,0.2036,0.0087,0.0000,0.0000,31.9772,0.8368,0.0000,0.0000,4.5224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7979,0.0316,0.0000,0.0000,11.0443,0.1944,0.0000,0.0000,0.5764,0.0101,0.0000,0.0000,3.5406,0.0623,0.0000,0.0000
2020.83,323,'COT68',74.7371,18.7819,0.9885,25.5389,1.5637,0.0000,0.0000,12.2995,0.1155,0.0000,0.0000,12.2995,0.1155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3797,0.0693,0.0000,0.0000,29.5189,0.2772,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1126,0.0051,0.0000,0.0000,25.5389,1.5637,0.0000,0.0000,12.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.9395,0.0406,0.0000,0.0000,11.9140,0.2497,0.0000,0.0000,0.7191,0.0150,0.0000,0.0000,4.4174,0.0920,0.0000,0.0000
2021.83,315,'SORG117',73.1147,24.3534,1.2818,44.4120,1.0430,0.0000,0.0000,7.1757,0.0845,0.0000,0.0000,7.1757,0.0845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.3054,0.0507,0.0000,0.0000,17.2216,0.2028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9661,0.5250,0.0000,0.0000,0.2755,0.0120,0.0000,0.0000,44.4120,1.0430,0.0000,0.0000,7.1757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5903,0.0451,0.0000,0.0000,15.9119,0.2770,0.0000,0.0000,0.8739,0.0152,0.0000,0.0000,5.3685,0.0932,0.0000,0.0000
