time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.83,323,'COT68',172.3614,26.5524,1.3975,60.3265,2.8423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.4070,0.1592,0.0000,0.0000,89.6279,0.6367,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7066,0.4956,0.0000,0.0000,0.3604,0.0199,0.0000,0.0000,60.3265,2.8423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0038,0.0631,0.0000,0.0000,18.4520,0.3879,0.0000,0.0000,0.7933,0.0172,0.0000,0.0000,4.8731,0.1059,0.0000,0.0000
2023.83,315,'SORG117',148.1534,68.3647,3.5981,80.7611,1.9364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4785,0.1328,0.0000,0.0000,53.9139,0.5312,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.3040,0.9449,0.0000,0.0000,0.7504,0.0379,0.0000,0.0000,80.7611,1.9364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.8446,0.1261,0.0000,0.0000,42.0452,0.7743,0.0000,0.0000,2.8050,0.0522,0.0000,0.0000,17.2308,0.3206,0.0000,0.0000
2024.83,323,'COT68',190.1475,50.9845,2.6834,52.4050,2.3155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5485,0.2049,0.0000,0.0000,110.1940,0.8196,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8829,0.0707,0.0000,0.0000,0.2129,0.0139,0.0000,0.0000,52.4050,2.3155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4345,0.1084,0.0000,0.0000,33.3834,0.6658,0.0000,0.0000,1.8033,0.0363,0.0000,0.0000,11.0773,0.2229,0.0000,0.0000
2025.83,315,'SORG117',149.5630,52.3642,2.7560,66.4937,2.2116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6139,0.2154,0.0000,0.0000,66.4554,0.8616,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,0.0005,0.0000,0.0000,66.4937,2.2116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5907,0.1138,0.0000,0.0000,34.3432,0.6990,0.0000,0.0000,1.8572,0.0386,0.0000,0.0000,11.4084,0.2369,0.0000,0.0000
2026.83,323,'COT68',157.0701,36.0785,1.8989,43.9023,2.3236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.6336,0.2009,0.0000,0.0000,90.5342,0.8037,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5712,0.0339,0.0000,0.0000,43.9023,2.3236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.8944,0.0827,0.0000,0.0000,23.9224,0.5080,0.0000,0.0000,1.2369,0.0265,0.0000,0.0000,7.5983,0.1626,0.0000,0.0000
2027.83,315,'SORG117',233.0765,93.8348,4.9387,136.9202,2.9458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.2313,0.1730,0.0000,0.0000,76.9250,0.6919,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2238,0.0112,0.0000,0.0000,136.9202,2.9458,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7659,0.1869,0.0000,0.0000,59.9903,1.1480,0.0000,0.0000,3.5371,0.0694,0.0000,0.0000,21.7278,0.4263,0.0000,0.0000
2028.83,323,'COT68',300.6884,67.6451,3.5603,105.2409,3.3403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.0895,0.1871,0.0000,0.0000,156.3579,0.7482,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7035,0.1595,0.0000,0.0000,0.4673,0.0262,0.0000,0.0000,105.2409,3.3403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4050,0.1420,0.0000,0.0000,45.4880,0.8722,0.0000,0.0000,2.2268,0.0431,0.0000,0.0000,13.6789,0.2648,0.0000,0.0000
2029.83,315,'SORG117',226.4729,79.7918,4.1996,135.8838,2.5148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.1178,0.1408,0.0000,0.0000,72.4713,0.5633,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1682,0.3471,0.0000,0.0000,0.4762,0.0228,0.0000,0.0000,135.8838,2.5148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6549,0.1564,0.0000,0.0000,53.1660,0.9610,0.0000,0.0000,2.7088,0.0498,0.0000,0.0000,16.6396,0.3060,0.0000,0.0000
2030.83,323,'COT68',119.7450,24.6399,1.2968,33.6044,1.9238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2281,0.1652,0.0000,0.0000,68.9125,0.6610,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0125,0.0002,0.0000,0.0000,0.0030,0.0002,0.0000,0.0000,33.6044,1.9238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6378,0.0558,0.0000,0.0000,16.2035,0.3427,0.0000,0.0000,0.8664,0.0184,0.0000,0.0000,5.3220,0.1129,0.0000,0.0000
2031.83,315,'SORG117',194.9114,73.8953,3.8892,96.8169,2.7222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6189,0.2215,0.0000,0.0000,78.4756,0.8859,0.0000,0.0000,0.0000,2.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0676,0.0035,0.0000,0.0000,96.8169,2.7222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7061,0.1560,0.0000,0.0000,47.3373,0.9585,0.0000,0.0000,2.7731,0.0572,0.0000,0.0000,17.0347,0.3515,0.0000,0.0000
