time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2006.67,273,0.131537,-0.084744,0.022802,0.039918,0.037889,0.059721,0.082387,0.705726,0.618417,,
2006.67,272,0.137792,-0.082222,0.024167,0.042309,0.040158,0.063297,0.08732,0.705753,0.618404,,
2006.67,271,0.144294,-0.079131,0.025613,0.044839,0.04256,0.067083,0.092543,0.705782,0.61839,,
2006.67,270,0.151193,-0.075352,0.027142,0.047517,0.045102,0.071089,0.09807,0.705811,0.618375,,
2006.67,269,0.158336,-0.07094,0.028761,0.05035,0.047791,0.075328,0.103918,0.70584,0.618361,,
2004.75,305,0.16346,-0.047747,0.025251,0.06445,0.033695,0.021785,0.010357,0.039295,0.040531,,
2004.75,304,0.164321,-0.047669,0.025399,0.064755,0.033695,0.021785,0.010357,0.039296,0.040539,,
2004.75,303,0.165225,-0.047588,0.025555,0.065074,0.033695,0.021785,0.010357,0.039298,0.040538,,
2006.67,268,0.165699,-0.065867,0.030473,0.053348,0.050636,0.079812,0.110104,0.705871,0.618346,,
2004.75,302,0.166289,-0.047491,0.025738,0.06545,0.033695,0.021785,0.010357,0.0393,0.040537,,
2004.75,301,0.167474,-0.047384,0.025943,0.065869,0.033695,0.021785,0.010357,0.039301,0.040536,,
2004.75,300,0.168648,-0.047278,0.026145,0.066284,0.033695,0.021785,0.010357,0.039303,0.040536,,
2004.75,299,0.169925,-0.047162,0.026365,0.066735,0.033695,0.021785,0.010357,0.039304,0.040542,,
2006.75,304,0.170717,-0.072329,0.021944,0.065333,0.038338,0.030133,0.020093,0.711113,0.620607,,
2004.75,298,0.171111,-0.047055,0.026569,0.067154,0.033695,0.021785,0.010357,0.039306,0.040541,,
2004.75,297,0.172329,-0.046945,0.026779,0.067585,0.033695,0.021785,0.010357,0.039307,0.04054,,
2006.67,267,0.17337,-0.060025,0.032284,0.056518,0.053645,0.084555,0.116647,0.705901,0.618331,,
2004.75,296,0.174022,-0.046792,0.027071,0.068184,0.033695,0.021785,0.010357,0.039309,0.040539,,
2006.75,303,0.179201,-0.065112,0.023313,0.069411,0.040731,0.032013,0.021347,0.711113,0.620607,,
2004.75,295,0.180702,-0.046188,0.028999,0.070108,0.033695,0.021785,0.010357,0.03931,0.040562,,
2006.67,266,0.181324,-0.05341,0.034198,0.059869,0.056826,0.08957,0.123564,0.705933,0.618315,,
2004.75,294,0.182072,-0.046064,0.029235,0.070592,0.033695,0.021785,0.010357,0.039312,0.040561,,
2004.75,293,0.183474,-0.045937,0.029476,0.071088,0.033695,0.021785,0.010357,0.039314,0.04056,,
2004.58,242,0.183708,-0.26198,0.048021,0.162235,0.09203,0.255172,0.320109,1.71216,0.74196,,
2004.75,292,0.184959,-0.045803,0.029732,0.071612,0.033695,0.021785,0.010357,0.039316,0.040559,,
2004.58,241,0.18629,-0.258349,0.048957,0.1654,0.093825,0.260149,0.326353,1.712189,0.741946,,
2004.75,291,0.186568,-0.045657,0.030009,0.072181,0.033695,0.021785,0.010357,0.039317,0.040558,,
2006.75,302,0.187664,-0.057334,0.024767,0.073739,0.043271,0.034009,0.022678,0.711113,0.620607,,
2004.75,290,0.188967,-0.04544,0.030423,0.073029,0.033695,0.021785,0.010357,0.039319,0.040557,,
2004.58,240,0.189454,-0.253668,0.050169,0.169495,0.096148,0.266591,0.334434,1.712222,0.74193,,
2006.67,265,0.189602,-0.045919,0.036221,0.063411,0.060188,0.094868,0.130874,0.705964,0.6183,,
2004.58,239,0.192508,-0.24889,0.051349,0.173479,0.098408,0.272856,0.342294,1.712259,0.741912,,
2004.58,238,0.19577,-0.24352,0.052638,0.177837,0.10088,0.27971,0.350893,1.712301,0.741891,,
2006.75,301,0.196385,-0.048607,0.02631,0.078334,0.045967,0.036129,0.024092,0.711113,0.620607,,
2006.67,264,0.19813,-0.037563,0.038359,0.067153,0.06374,0.100467,0.138598,0.705996,0.618284,,
2004.58,237,0.199195,-0.237576,0.054027,0.182529,0.103542,0.287091,0.360151,1.712346,0.741869,,
2004.58,243,0.201214,-0.241831,0.021277,0.0827,0.102693,0.273792,0.313474,1.712146,0.741777,,
2004.58,236,0.202831,-0.230917,0.055545,0.187656,0.10645,0.295155,0.370268,1.712396,0.741844,,
2006.75,300,0.205242,-0.039005,0.027949,0.083212,0.04883,0.038379,0.025592,0.711113,0.620607,,
2006.67,263,0.206551,-0.028702,0.040617,0.071106,0.067492,0.10638,0.146755,0.706028,0.618268,,
2004.58,235,0.20728,-0.222309,0.057533,0.1942,0.110176,0.305485,0.383227,1.712449,0.741818,,
2004.58,244,0.207615,-0.219537,0.019664,0.076432,0.094492,0.252076,0.290654,1.712125,0.741787,,
2004.83,335,0.210209,0.000968,0.004087,0.005698,0.004969,0.007648,0.007913,0.010726,0.007157,,
2004.83,334,0.210849,0.000971,0.0041,0.005715,0.004984,0.007671,0.007937,0.01076,0.007178,,
2004.83,333,0.211684,0.000974,0.004116,0.005738,0.005004,0.007702,0.007969,0.010803,0.007206,,
2004.83,332,0.212866,0.00098,0.004139,0.00577,0.005032,0.007745,0.008013,0.010863,0.007246,,
2006.75,299,0.213855,-0.028899,0.029687,0.088388,0.051867,0.040774,0.027178,0.711113,0.620607,,
2004.83,331,0.214164,0.000986,0.004164,0.005805,0.005062,0.007792,0.008062,0.01093,0.00729,,
2006.67,262,0.214712,-0.01945,0.043,0.075279,0.071453,0.112623,0.155368,0.70606,0.618252,,
2004.75,289,0.215528,-0.021125,0.034097,0.081513,0.036703,0.02373,0.011282,0.039321,0.040556,,
2004.83,330,0.216027,0.000994,0.0042,0.005855,0.005106,0.00786,0.008132,0.011026,0.007353,,
2004.58,231,0.216345,-0.161499,0.090876,0.268662,0.13714,0.400114,0.504173,1.712637,0.741972,,
2004.58,234,0.217046,-0.201396,0.062506,0.21012,0.119332,0.329961,0.414339,1.712505,0.74179,,
2004.83,329,0.217843,0.001003,0.004236,0.005905,0.005149,0.007926,0.008201,0.011119,0.007415,,
2004.83,328,0.219582,0.001011,0.00427,0.005952,0.00519,0.007989,0.008266,0.011208,0.007474,,
2006.67,261,0.221524,-0.011029,0.045517,0.079684,0.075634,0.119214,0.16446,0.706092,0.618236,,
2006.75,298,0.221716,-0.018798,0.031531,0.093878,0.055089,0.043334,0.028846,0.711113,0.620607,,
2004.58,230,0.222099,-0.140519,0.0954,0.282034,0.143966,0.420029,0.529268,1.712702,0.74194,,
2004.75,288,0.222457,-0.011722,0.037138,0.088785,0.039977,0.025847,0.012289,0.039323,0.040556,,
2004.83,327,0.222989,0.001304,0.006598,0.008072,0.006706,0.009982,0.009919,0.013062,0.008698,,
2004.58,232,0.223737,-0.163864,0.079507,0.254178,0.135183,0.383955,0.483811,1.712601,0.741759,,
2004.58,233,0.22523,-0.178762,0.069349,0.231221,0.127601,0.355771,0.447817,1.712565,0.741761,,
2004.83,326,0.225647,0.00132,0.006677,0.008168,0.006786,0.010101,0.010037,0.013218,0.008802,,
2006.67,260,0.226319,-0.00416,0.048172,0.084332,0.080046,0.126168,0.174053,0.706125,0.61822,,
2004.67,274,0.227045,0.000234,0.006615,0.009043,0.006664,0.008424,0.008588,0.052378,0.063457,,
2006.75,297,0.227748,-0.009889,0.033487,0.099702,0.058507,0.046073,0.030601,0.711113,0.620607,,
2004.83,325,0.228137,0.001453,0.007058,0.008304,0.006933,0.010334,0.010217,0.013449,0.008962,,
2004.67,273,0.228137,0.001385,0.011993,0.01203,0.008084,0.010065,0.01056,0.078069,0.085581,,
2006.67,259,0.228137,0.000085,0.050972,0.089235,0.084699,0.133502,0.184171,0.706157,0.618204,,
2006.67,258,0.228137,0.001503,0.053685,0.093899,0.089378,0.141097,0.19479,0.706144,0.618166,,
2004.58,229,0.229186,-0.112989,0.101204,0.299195,0.152726,0.445587,0.561472,1.712769,0.741907,,
2017.58,243,0.229357,0.08356,0.133661,0.295204,0.22963,0.24293,0.182617,0.229572,0.15572,,
2004.75,287,0.229985,0.00035,0.040447,0.096696,0.043539,0.02815,0.013384,0.039325,0.040555,,
2017.58,242,0.230524,0.083232,0.132786,0.293358,0.228799,0.242427,0.182442,0.229406,0.155628,,
2017.58,241,0.231946,0.082851,0.131772,0.291222,0.227838,0.241844,0.182239,0.229211,0.155522,,
