time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7]    NO3_ppm[8]    NO3_ppm[9]        etc...
2026.42,174,-7.747655,0.204197,2.418868,7.171327,4.669149,3.422658,1.823665,1.622977,0.696877
2054.42,174,-7.730807,0.205412,2.415022,7.162349,4.663873,3.422069,1.825907,1.624809,0.697345
2026.42,175,-7.683597,0.152908,2.39953,7.113992,4.639392,3.449708,1.823665,1.622944,0.696893
2082.42,174,-7.673333,0.206678,2.406862,7.142955,4.650504,3.407263,1.811307,1.608846,0.689921
2054.42,175,-7.666805,0.154598,2.39566,7.104925,4.634147,3.449091,1.825907,1.624776,0.697361
2026.42,176,-7.642088,0.035724,2.390972,7.088621,4.639392,3.449708,1.823665,1.622912,0.696909
2054.42,176,-7.625376,0.037771,2.3871,7.079537,4.634147,3.449091,1.825907,1.624744,0.697377
2082.42,175,-7.609313,0.157666,2.387443,7.085324,4.620865,3.434206,1.811307,1.608813,0.689937
2082.42,176,-7.567793,0.042555,2.378861,7.059855,4.620865,3.434206,1.811307,1.608782,0.689953
2026.5,193,-7.266369,0.024015,2.591317,7.654827,4.696839,3.505599,1.843239,1.642219,0.706537
2054.5,193,-7.253141,0.026814,2.587299,7.644884,4.691133,3.504788,1.845413,1.643983,0.706972
2082.5,193,-7.194824,0.034255,2.575564,7.622829,4.676187,3.489132,1.830543,1.627752,0.699415
2034.42,165,-4.409334,0.00928,2.171035,8.20454,6.376211,4.636176,2.065974,1.685342,0.802191
2062.42,165,-4.382999,0.010228,2.162787,8.181127,6.357357,4.620354,2.053785,1.67312,0.796393
2090.42,165,-4.339325,0.011388,2.150402,8.146479,6.330105,4.596703,2.033373,1.65569,0.787803
2038.42,173,-4.154463,0.066333,1.014023,1.669866,2.465363,2.681831,1.194381,0.875916,0.393277
2066.42,173,-4.117679,0.067567,1.007026,1.658723,2.452111,2.667794,1.188355,0.871593,0.391353
2038.42,174,-4.111604,0.003526,1.005787,1.656304,2.465363,2.681831,1.194381,0.875876,0.393297
2066.42,174,-4.07489,0.005769,0.998771,1.645127,2.452111,2.667794,1.188355,0.871553,0.391373
2094.42,173,-4.070935,0.069158,0.998353,1.644838,2.435812,2.650611,1.181005,0.866277,0.388947
2046.42,170,-4.052511,0.309496,1.393131,6.91423,7.331688,3.843057,0.906483,0.875297,0.450324
2094.42,174,-4.028228,0.00866,0.990074,1.631198,2.435812,2.650611,1.181005,0.866237,0.388967
2046.42,171,-4.014857,0.236803,1.383519,6.866524,7.331688,3.843057,0.906483,0.875297,0.450324
2074.42,170,-4.014725,0.311791,1.385177,6.884918,7.304774,3.825436,0.900565,0.86914,0.446977
2046.42,172,-3.982773,0.20341,1.373398,6.816292,7.331688,3.843057,0.906483,0.875297,0.450324
2074.42,171,-3.977202,0.240547,1.375543,6.837032,7.304774,3.825436,0.900565,0.86914,0.446977
2046.42,173,-3.95639,0.179335,1.36466,6.772925,7.331688,3.843057,0.906483,0.875297,0.450324
2074.42,172,-3.945222,0.208269,1.3654,6.786617,7.304774,3.825436,0.900565,0.86914,0.446977
2046.42,174,-3.932151,0.149299,1.357163,6.735715,7.331688,3.843057,0.906483,0.875297,0.450324
2074.42,173,-3.918915,0.185134,1.356643,6.743093,7.304774,3.825436,0.900565,0.86914,0.446977
2034.5,187,-3.914981,0.24262,2.079663,7.841059,6.438583,4.759454,2.095266,1.714634,0.816654
2046.42,175,-3.907645,0.120901,1.349576,6.69806,7.331688,3.843057,0.906483,0.875297,0.450324
2074.42,174,-3.894757,0.156042,1.34913,6.705748,7.304774,3.825436,0.900565,0.86914,0.446977
2062.5,187,-3.891031,0.243391,2.071091,7.81446,6.417572,4.742736,2.082817,1.702152,0.810728
2046.42,176,-3.886085,0.070169,1.344536,6.673048,7.331688,3.843057,0.906483,0.875297,0.450324
2034.5,188,-3.88504,0.225772,2.064185,7.782702,6.390664,4.759454,2.095266,1.714634,0.816654
2074.42,175,-3.870339,0.128576,1.341527,6.66796,7.304774,3.825436,0.900565,0.86914,0.446977
2034.5,189,-3.862054,0.182068,2.055192,7.748795,6.362822,4.759454,2.095266,1.714634,0.816654
2046.42,177,-3.861213,0.045598,1.336622,6.633772,7.331688,3.843057,0.906483,0.875297,0.450324
2062.5,188,-3.86117,0.227139,2.055603,7.756019,6.369578,4.742736,2.082817,1.702152,0.810728
2090.5,187,-3.855148,0.246585,2.059109,7.775882,6.386167,4.71669,2.061799,1.684116,0.801839
2074.42,176,-3.84885,0.078767,1.336477,6.642858,7.304774,3.825436,0.900565,0.86914,0.446977
2034.5,190,-3.842286,0.136174,2.048129,7.722166,6.340955,4.759454,2.095266,1.714634,0.816654
2062.5,189,-3.838245,0.18401,2.046603,7.722063,6.341692,4.742736,2.082817,1.702152,0.810728
2046.42,178,-3.837591,0.015083,1.329625,6.599044,7.331688,3.843057,0.906483,0.875297,0.450324
2090.5,188,-3.825715,0.231598,2.043756,7.717906,6.338553,4.71669,2.061799,1.684116,0.801839
2074.42,177,-3.82407,0.055114,1.328547,6.603442,7.304774,3.825436,0.900565,0.86914,0.446977
2034.5,191,-3.823512,0.086739,2.041963,7.698915,6.321863,4.759454,2.095266,1.714634,0.816654
2062.5,190,-3.818529,0.138651,2.039536,7.695399,6.319794,4.742736,2.082817,1.702152,0.810728
2090.5,189,-3.803095,0.189786,2.03484,7.684236,6.3109,4.71669,2.061799,1.684116,0.801839
2074.42,178,-3.80054,0.025504,1.321536,6.568592,7.304774,3.825436,0.900565,0.86914,0.446977
2062.5,191,-3.799806,0.089768,2.033367,7.672121,6.300677,4.742736,2.082817,1.702152,0.810728
2090.5,190,-3.783598,0.145605,2.027828,7.657755,6.289152,4.71669,2.061799,1.684116,0.801839
2090.5,191,-3.76495,0.097375,2.021688,7.634567,6.270109,4.71669,2.061799,1.684116,0.801839
2034.5,193,-3.693242,0.589565,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2034.5,194,-3.688026,0.500545,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2034.5,195,-3.682654,0.411844,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2034.5,196,-3.677023,0.321886,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2034.5,197,-3.671494,0.233657,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,193,-3.670475,0.586926,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2034.5,198,-3.665635,0.145965,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,194,-3.665293,0.498449,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,195,-3.659958,0.41029,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2034.5,199,-3.659943,0.058224,1.958681,7.597211,6.328954,4.761572,2.096008,1.715376,0.81702
2062.5,196,-3.654371,0.320912,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,197,-3.64888,0.233218,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2062.5,198,-3.642998,0.146137,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2076.42,166,-3.638223,0.000686,1.562279,7.972881,7.282636,3.825055,1.169057,0.834858,0.418637
2062.5,199,-3.637271,0.059018,1.950209,7.570176,6.307393,4.744744,2.08352,1.702855,0.811075
2090.5,193,-3.636585,0.582907,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,194,-3.631332,0.495385,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,195,-3.625878,0.408238,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,196,-3.6201,0.320094,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,197,-3.614332,0.233614,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,198,-3.608157,0.147769,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2090.5,199,-3.602132,0.061904,1.938724,7.531793,6.276229,4.718416,2.062404,1.68472,0.802137
2046.5,185,-3.383365,0.198414,1.209405,6.084522,7.405902,4.193407,0.939282,0.908096,0.466519
2074.5,185,-3.350643,0.199624,1.202023,6.053571,7.374948,4.173425,0.9329,0.901475,0.462942
2046.5,186,-3.335717,0.300291,1.184369,5.958566,7.249295,4.196404,0.939282,0.908096,0.466519
2046.5,187,-3.310805,0.29682,1.175082,5.911844,7.192453,4.196404,0.939282,0.908096,0.466519
2074.5,186,-3.303218,0.302293,1.176957,5.927335,7.217819,4.17646,0.9329,0.901475,0.462942
2074.5,187,-3.278425,0.299537,1.167662,5.880523,7.160817,4.17646,0.9329,0.901475,0.462942
2046.5,189,-3.168258,0.060881,1.096298,5.771412,7.091427,4.202933,0.941569,0.910383,0.467648
2046.5,190,-3.148299,0.027875,1.091104,5.744067,7.057828,4.202933,0.941569,0.910383,0.467648
2074.5,189,-3.136671,0.061512,1.088931,5.739545,7.058956,4.18275,0.935103,0.903678,0.46403
2074.5,190,-3.116828,0.029313,1.083739,5.712175,7.025296,4.18275,0.935103,0.903678,0.46403
2046.5,193,-3.019066,0.436602,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,194,-3.014896,0.35508,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,195,-3.010442,0.272969,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,196,-3.006318,0.193163,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,197,-3.002224,0.114623,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2046.5,198,-2.999007,0.039877,1.082467,5.69008,6.987065,4.20449,0.942114,0.910928,0.467917
2074.5,193,-2.988704,0.43372,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
2074.5,194,-2.984462,0.353966,1.074968,5.657861,6.954293,4.184225,0.935619,0.904194,0.464285
