time,dayofyr,ammonium,NO3_ppm[0],NO3_ppm[1],NO3_ppm[2],NO3_ppm[3],NO3_ppm[4],NO3_ppm[5],NO3_ppm[6],NO3_ppm[7],NO3_ppm[8],NO3_ppm[9]        etc...
2080.08,36,0,0.227087,0.548521,1.170975,0.286636,0.173763,0.132704,0.195499,0.132544,,
2052.08,36,0,0.227756,0.550301,1.175486,0.290062,0.176205,0.134,0.197034,0.133479,,
2024.08,36,0,0.23413,0.565225,1.211693,0.315421,0.197302,0.149728,0.218746,0.147117,,
2080.08,37,0.000069,0.227088,0.548524,1.170982,0.286639,0.173765,0.132705,0.1955,0.132544,,
2052.08,37,0.000072,0.227757,0.550305,1.175493,0.290066,0.176207,0.134001,0.197035,0.13348,,
2024.08,37,0.000091,0.234132,0.565229,1.211702,0.315425,0.197305,0.149729,0.218747,0.147118,,
2080.08,38,0.000161,0.227089,0.548528,1.170991,0.286643,0.173768,0.132706,0.195501,0.132544,,
2052.08,38,0.000169,0.227759,0.550309,1.175503,0.29007,0.176209,0.134001,0.197036,0.13348,,
2024.08,38,0.000214,0.234134,0.565235,1.211714,0.315431,0.197308,0.14973,0.218748,0.147118,,
2080.08,39,0.000272,0.227091,0.548534,1.171002,0.286648,0.173771,0.132707,0.195502,0.132545,,
2052.08,39,0.000285,0.227761,0.550315,1.175514,0.290075,0.176213,0.134003,0.197037,0.133481,,
2024.08,39,0.000361,0.234137,0.565242,1.211729,0.315437,0.197312,0.149731,0.21875,0.147119,,
2080.08,40,0.000397,0.227094,0.548539,1.171014,0.286653,0.173774,0.132708,0.195503,0.132545,,
2052.08,40,0.000416,0.227763,0.550321,1.175527,0.290081,0.176216,0.134004,0.197038,0.133481,,
2024.08,40,0.000526,0.23414,0.56525,1.211745,0.315445,0.197316,0.149733,0.218751,0.14712,,
2080.08,41,0.000535,0.227096,0.548546,1.171028,0.28666,0.173778,0.132709,0.195505,0.132546,,
2052.08,41,0.000561,0.227766,0.550328,1.175542,0.290088,0.17622,0.134005,0.19704,0.133482,,
2080.08,42,0.000623,0.227098,0.54855,1.171037,0.286664,0.17378,0.13271,0.195505,0.132547,,
2052.08,42,0.000653,0.227768,0.550332,1.175551,0.290092,0.176223,0.134006,0.19704,0.133482,,
2024.08,41,0.000709,0.234143,0.565259,1.211764,0.315453,0.197321,0.149735,0.218753,0.147121,,
