    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1940.0000    1    17.80     4.40     0.00       0.3954       5.1181       8.3420      11.4252    3263.8845
 1940.0000    2    16.10     5.60     0.00       0.2612       3.3940       8.7216       7.4293    2169.1585
 1940.0000    3    20.00    10.00     0.00       0.2469       3.2205       9.3774       7.5942    1982.9160
 1940.0000    4    17.20   -15.00     0.00       0.1334       1.7450       8.4688       7.5922     539.6469
 1940.0000    5     0.60   -13.90     0.00       0.1192       1.5620       8.0928       7.5690     357.5761
 1940.0000    6     1.10   -11.70     0.00       0.1142       1.4983       8.1206       7.5333     300.0687
 1940.0000    7     8.30   -10.00     0.00       0.1100       1.4455       8.3919       7.4903     254.1644
 1940.0000    8     8.30    -8.30     0.00       0.1063       1.4001       8.5880       7.4439     214.4574
 1940.0000    9    14.40     0.00     0.00       0.1065       1.4056       9.3135       7.3993     224.0926
 1940.0000   10    20.00    -5.60     0.00       0.1010       1.3367       9.4847       7.3464     162.4579
 1940.0000   11    16.70     1.10     0.00       0.0999       1.3244       9.9702       7.2756     157.9827
 1940.0000   12    11.70     2.80     0.00       0.0985       1.3066      10.1226       7.2045     149.9669
 1940.0000   13    15.00     3.90     0.25       0.1471       2.4023       9.0126       7.2043     737.3449
 1940.0000   14    13.30    -3.90     0.33       0.2006       3.2411       7.2615       7.3077    1354.7789
 1940.0000   15    16.10    -1.70     0.00       0.1769       2.2957       7.8779       7.3727    1113.3956
 1940.0000   16    16.70    -6.70     0.00       0.1367       1.7849       8.1309       7.3795     611.6411
 1940.0000   17    13.30    -5.60     0.00       0.1200       1.5724       8.3905       7.3604     399.9334
 1940.0000   18    24.40     2.80     0.00       0.1137       1.4986       9.5264       7.3320     328.0625
 1940.0000   19    22.80    -6.70     0.00       0.1015       1.3435       9.4862       7.2737     179.9476
 1940.0000   20    11.10    -6.70     0.00       0.0980       1.2975       9.2852       7.2007     144.5346
 1940.0000   21    17.80    -3.90     0.00       0.0956       1.2693       9.7787       7.1366     124.9526
 1940.0000   22    26.10     2.20     0.00       0.0949       1.2629      10.5872       7.0448     129.0541
