"climate_scenario_num","mgmt_scenario_grp","mgmt_scenario_opt","scenario_name","scenario_abbrev","scenario_descriptor","climate_esm","climate_esm_scenario","climate_desc"
1,1,"","1_1","CR","Crop Rotation","Baseline","Baseline","Baseline"
1,2,"","1_2","NT-CR","No Till, Crop Rotation","Baseline","Baseline","Baseline"
1,3,"","1_3","CC-CR","Cover Crop, Crop Rotation","Baseline","Baseline","Baseline"
1,4,"1","1_41","RF05-CR","Redu Fert 5%, Crop Rotation","Baseline","Baseline","Baseline"
1,4,"2","1_42","RF15-CR","Redu Fert 15%, Crop Rotation","Baseline","Baseline","Baseline"
1,4,"3","1_43","RF25-CR","Redu Fert 25%, Crop Rotation","Baseline","Baseline","Baseline"
1,4,"4","1_44","RF35-CR","Redu Fert 35%, Crop Rotation","Baseline","Baseline","Baseline"
1,5,"1","1_51","RR50-CR","Rmv Resid 50%, Crop Rotation","Baseline","Baseline","Baseline"
1,5,"2","1_52","RR25-CR","Rmv Resid 25%, Crop Rotation","Baseline","Baseline","Baseline"
1,5,"3","1_53","RR00-CR","Rmv Resid 0%, Crop Rotation","Baseline","Baseline","Baseline"
1,6,"1","1_61","BC19-CR","Biochar 19 Mgha, Crop Rotation","Baseline","Baseline","Baseline"
1,6,"2","1_62","BC38-CR","Biochar 38 Mgha, Crop Rotation","Baseline","Baseline","Baseline"
1,6,"3","1_63","BC57-CR","Biochar 57 Mgha, Crop Rotation","Baseline","Baseline","Baseline"
1,6,"4","1_64","BC76-CR","Biochar 76 Mgha, Crop Rotation","Baseline","Baseline","Baseline"
1,6,"5","1_65","BC96-CR","Biochar 96 Mgha, Crop Rotation","Baseline","Baseline","Baseline"
2,1,"","2_1","CR","Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,2,"","2_2","NT-CR","No Till, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,3,"","2_3","CC-CR","Cover Crop, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,4,"1","2_41","RF05-CR","Redu Fert 5%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,4,"2","2_42","RF15-CR","Redu Fert 15%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,4,"3","2_43","RF25-CR","Redu Fert 25%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,4,"4","2_44","RF35-CR","Redu Fert 35%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,5,"1","2_51","RR50-CR","Rmv Resid 50%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,5,"2","2_52","RR25-CR","Rmv Resid 25%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,5,"3","2_53","RR00-CR","Rmv Resid 0%, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
2,6,"1","2_61","BC19-CR","Biochar 19 Mgha, Crop Rotation","GFDL_ESM4","SSP1-2.6","GFDL_Low"
