"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"60.921311317472","Millennial","2_3","2","3",""
"1851",NA,NA,NA,"58.9151647498224","Millennial","2_3","2","3",""
"1852",NA,NA,NA,"58.0202528726937","Millennial","2_3","2","3",""
"1853",NA,NA,NA,"56.8497065652011","Millennial","2_3","2","3",""
"1854",NA,NA,NA,"55.8044506446703","Millennial","2_3","2","3",""
"1855",NA,NA,NA,"54.4276130513992","Millennial","2_3","2","3",""
"1856",NA,NA,NA,"53.018984783403","Millennial","2_3","2","3",""
"1857",NA,NA,NA,"52.3636940658264","Millennial","2_3","2","3",""
"1858",NA,NA,NA,"51.3532664141879","Millennial","2_3","2","3",""
"1859",NA,NA,NA,"50.0812044375353","Millennial","2_3","2","3",""
"1860",NA,NA,NA,"48.9783626161117","Millennial","2_3","2","3",""
"1861",NA,NA,NA,"48.0983396620718","Millennial","2_3","2","3",""
"1862",NA,NA,NA,"47.2219858348863","Millennial","2_3","2","3",""
"1863",NA,NA,NA,"46.489909872507","Millennial","2_3","2","3",""
"1864",NA,NA,NA,"45.9833279304598","Millennial","2_3","2","3",""
"1865",NA,NA,NA,"45.4654842164007","Millennial","2_3","2","3",""
"1866",NA,NA,NA,"44.663519885241","Millennial","2_3","2","3",""
"1867",NA,NA,NA,"44.044709274064","Millennial","2_3","2","3",""
"1868",NA,NA,NA,"43.2531180231981","Millennial","2_3","2","3",""
"1869",NA,NA,NA,"42.1799048043996","Millennial","2_3","2","3",""
"1870",NA,NA,NA,"41.3316843028017","Millennial","2_3","2","3",""
"1871",NA,NA,NA,"40.5093425512286","Millennial","2_3","2","3",""
"1872",NA,NA,NA,"39.7808750676616","Millennial","2_3","2","3",""
"1873",NA,NA,NA,"38.9679538631164","Millennial","2_3","2","3",""
"1874",NA,NA,NA,"38.1949617082134","Millennial","2_3","2","3",""
"1875",NA,NA,NA,"37.6655770124675","Millennial","2_3","2","3",""
"1876",NA,NA,NA,"37.0748280284605","Millennial","2_3","2","3",""
"1877",NA,NA,NA,"36.6340570315271","Millennial","2_3","2","3",""
"1878",NA,NA,NA,"36.0899305094865","Millennial","2_3","2","3",""
"1879",NA,NA,NA,"35.6917310151072","Millennial","2_3","2","3",""
"1880",NA,NA,NA,"35.2351573292135","Millennial","2_3","2","3",""
"1881",NA,NA,NA,"34.9314326898196","Millennial","2_3","2","3",""
"1882",NA,NA,NA,"34.6318348065104","Millennial","2_3","2","3",""
"1883",NA,NA,NA,"34.2139425141811","Millennial","2_3","2","3",""
"1884",NA,NA,NA,"33.68225016176","Millennial","2_3","2","3",""
"1885",NA,NA,NA,"33.5179675991839","Millennial","2_3","2","3",""
"1886",NA,NA,NA,"33.1892972195982","Millennial","2_3","2","3",""
"1887",NA,NA,NA,"32.6984606966046","Millennial","2_3","2","3",""
"1888",NA,NA,NA,"32.2889100596815","Millennial","2_3","2","3",""
