"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"68.5196","RothC","4_2","4","2",""
"1851",NA,NA,NA,"67.8275","RothC","4_2","4","2",""
"1852",NA,NA,NA,"66.0542","RothC","4_2","4","2",""
"1853",NA,NA,NA,"64.5941","RothC","4_2","4","2",""
"1854",NA,NA,NA,"63.3449","RothC","4_2","4","2",""
"1855",NA,NA,NA,"62.1655","RothC","4_2","4","2",""
"1856",NA,NA,NA,"61.1195","RothC","4_2","4","2",""
"1857",NA,NA,NA,"60.1409","RothC","4_2","4","2",""
"1858",NA,NA,NA,"59.276","RothC","4_2","4","2",""
"1859",NA,NA,NA,"58.471","RothC","4_2","4","2",""
"1860",NA,NA,NA,"57.7685","RothC","4_2","4","2",""
"1861",NA,NA,NA,"57.0434","RothC","4_2","4","2",""
"1862",NA,NA,NA,"56.3952","RothC","4_2","4","2",""
"1863",NA,NA,NA,"55.8124","RothC","4_2","4","2",""
"1864",NA,NA,NA,"55.225","RothC","4_2","4","2",""
"1865",NA,NA,NA,"54.6724","RothC","4_2","4","2",""
"1866",NA,NA,NA,"54.1694","RothC","4_2","4","2",""
"1867",NA,NA,NA,"53.6754","RothC","4_2","4","2",""
"1868",NA,NA,NA,"53.1987","RothC","4_2","4","2",""
"1869",NA,NA,NA,"52.7429","RothC","4_2","4","2",""
"1870",NA,NA,NA,"52.2802","RothC","4_2","4","2",""
"1871",NA,NA,NA,"51.8735","RothC","4_2","4","2",""
"1872",NA,NA,NA,"51.4799","RothC","4_2","4","2",""
"1873",NA,NA,NA,"51.0999","RothC","4_2","4","2",""
"1874",NA,NA,NA,"50.6783","RothC","4_2","4","2",""
"1875",NA,NA,NA,"50.2603","RothC","4_2","4","2",""
"1876",NA,NA,NA,"49.8776","RothC","4_2","4","2",""
"1877",NA,NA,NA,"49.5684","RothC","4_2","4","2",""
"1878",NA,NA,NA,"49.2953","RothC","4_2","4","2",""
"1879",NA,NA,NA,"48.9919","RothC","4_2","4","2",""
"1880",NA,NA,NA,"48.6959","RothC","4_2","4","2",""
"1881",NA,NA,NA,"48.3455","RothC","4_2","4","2",""
"1882",NA,NA,NA,"48.0508","RothC","4_2","4","2",""
"1883",NA,NA,NA,"47.7046","RothC","4_2","4","2",""
"1884",NA,NA,NA,"47.3906","RothC","4_2","4","2",""
"1885",NA,NA,NA,"47.0639","RothC","4_2","4","2",""
"1886",NA,NA,NA,"46.7365","RothC","4_2","4","2",""
"1887",NA,NA,NA,"46.4505","RothC","4_2","4","2",""
"1888",NA,NA,NA,"46.1441","RothC","4_2","4","2",""
"1889",NA,NA,NA,"45.808","RothC","4_2","4","2",""
"1890",NA,NA,NA,"45.5157","RothC","4_2","4","2",""
"1891",NA,NA,NA,"45.2264","RothC","4_2","4","2",""
"1892",NA,NA,NA,"44.914","RothC","4_2","4","2",""
"1893",NA,NA,NA,"44.6194","RothC","4_2","4","2",""
"1894",NA,NA,NA,"44.3381","RothC","4_2","4","2",""
"1895",NA,NA,NA,"44.0424","RothC","4_2","4","2",""
"1896",NA,NA,NA,"43.7446","RothC","4_2","4","2",""
"1897",NA,NA,NA,"43.4448","RothC","4_2","4","2",""
"1898",NA,NA,NA,"43.1409","RothC","4_2","4","2",""
"1899",NA,NA,NA,"42.8569","RothC","4_2","4","2",""
"1900",NA,NA,NA,"42.6132","RothC","4_2","4","2",""
"1901",NA,NA,NA,"42.3985","RothC","4_2","4","2",""
"1902",NA,NA,NA,"42.1708","RothC","4_2","4","2",""
"1903",NA,NA,NA,"41.9461","RothC","4_2","4","2",""
"1904",NA,NA,NA,"41.7354","RothC","4_2","4","2",""
"1905",NA,NA,NA,"41.521","RothC","4_2","4","2",""
"1906",NA,NA,NA,"41.3326","RothC","4_2","4","2",""
"1907",NA,NA,NA,"41.1185","RothC","4_2","4","2",""
"1908",NA,NA,NA,"40.918","RothC","4_2","4","2",""
"1909",NA,NA,NA,"40.6912","RothC","4_2","4","2",""
"1910",NA,NA,NA,"40.4818","RothC","4_2","4","2",""
"1911",NA,NA,NA,"40.2535","RothC","4_2","4","2",""
"1912",NA,NA,NA,"40.0453","RothC","4_2","4","2",""
"1913",NA,NA,NA,"39.8251","RothC","4_2","4","2",""
"1914",NA,NA,NA,"39.6035","RothC","4_2","4","2",""
"1915",NA,NA,NA,"39.4102","RothC","4_2","4","2",""
"1916",NA,NA,NA,"39.2041","RothC","4_2","4","2",""
"1917",NA,NA,NA,"38.9729","RothC","4_2","4","2",""
"1918",NA,NA,NA,"38.7773","RothC","4_2","4","2",""
"1919",NA,NA,NA,"38.5842","RothC","4_2","4","2",""
"1920",NA,NA,NA,"38.3793","RothC","4_2","4","2",""
"1921",NA,NA,NA,"38.1823","RothC","4_2","4","2",""
"1922",NA,NA,NA,"37.9933","RothC","4_2","4","2",""
"1923",NA,NA,NA,"37.7987","RothC","4_2","4","2",""
"1924",NA,NA,NA,"37.5951","RothC","4_2","4","2",""
