"Date_time","Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbr","Maize_slope","Maize_yint","Maize_R2","Maize_RMSE","Maize_diff","Soy_slope","Soy_yint","Soy_R2","Soy_RMSE","Soy_diff","Wheat_slope","Wheat_yint","Wheat_R2","Wheat_RMSE","Wheat_diff","SOC_slope","SOC_yint","SOC_R2","SOC_RMSE","SOC_diff","Temp_slope","Temp_yint","Temp_R2","Temp_RMSE","Moist_slope","Moist_yint","Moist_R2","Moist_RMSE","N2O_slope","N2O_yint","N2O_R2","N2O_RMSE","N2O_diff","CH4_slope","CH4_yint","CH4_R2","CH4_RMSE","CH4_diff","Cotton_slope","Cotton_yint","Cotton_R2","Cotton_RMSE","Cotton_diff","Sorghum_slope","Sorghum_yint","Sorghum_R2","Sorghum_RMSE","Sorghum_diff","Maize_cultivar","Soybean_cultivar","Wheat_cultivar","Cotton_cultivar","Sorghum_cultivar"
"4/3/2023 1:59","APSIM",1,1,"1_1","CR","0.126410952","7.120485074","0.09","2.31","-12.198","0.42871026","1.069647309","0.23","0.91","4.58","0.544117731","1.805117318","0.67","0.62","-0.075","0.020127706","22.47808734","0.03","4.96","-8.65375","1.030312618","4.81573998","0.78","6.62","0.670677535","9.817040174","0.61","5.18","0.130032838","0.422630684","0.03","6.47","614.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 1:59","Daycent",1,1,"1_1","CR","0.158070683","5.451673581","0.07","2.25","5.173164444","0.378938732","1.598270877","0.73","0.57","-0.246197778","-0.196064828","4.281564251","0.15","1.41","3.892733333","0.01157481","22.65495281","0.03","4.82","-8.95375","0.713230252","6.006710302","0.73","4.67","0.006722028","0.061331156","0.62","21.19","0.241310347","2.405090916","0.02","9.44","-36.3538","0.1726898","-1.280975951","0","5.47","75.7162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","Millennial",1,1,"1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.043253763","57.53143316","0.04","36.49","-15.39868704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","RothC",1,1,"1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.000678547","21.92364136","0","4.79","4.28315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","APSIM",1,2,"1_2","NT-CR","0.153365351","6.719349304","0.18","2.31","-0.378","0.077778695","2.273143647","0.01","1.11","4.692","0.696679959","1.00525071","0.72","0.54","1.912","0.008706826","25.25684231","0.01","5.02","-5.02875","1.021347629","4.652278486","0.79","6.38","0.620341003","10.31876566","0.54","5.03","0.203353231","0.309283403","0.05","7.36","698.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","Daycent",1,2,"1_2","NT-CR","0.233794727","5.091301962","0.12","2.71","11.53450667","0.418215445","1.293591207","0.6","0.65","4.645048889","-0.169954756","4.446420216","0.07","1.27","2.253853333","0.022248932","25.5384226","0.05","4.91","-13.32875","0.680289757","5.766229051","0.73","4.41","0.006240264","0.068031336","0.58","22.06","0.126275515","2.017825453","0.01","9.84","304.1876","0.106976678","-1.755412988","0","4.74","199.3202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","Millennial",1,2,"1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.008997003","60.82965552","0.01","36.3","-12.77356126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","RothC",1,2,"1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.001215919","25.71387432","0","4.88","-6.78985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","APSIM",1,3,"1_3","CC-CR","-0.027022935","6.276731569","0.01","2.56","7.273","0.105883517","2.271777485","0.01","1.28","2.585","0.915239249","-0.140579367","0.76","0.66","4.298","0.015175687","23.54660411","0.05","7.99","21.28","1.032217707","4.761703917","0.79","6.6","0.53535085","13.3914965","0.48","5.98","0.024810621","0.147995596","0.02","7.98","853.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/4/2023 12:25","Daycent",1,3,"1_3","CC-CR","0.509883638","2.94320455","0.37","1.94","4.044806667","0.268342746","1.788141085","0.42","0.82","2.894757778","0.338117296","2.02193283","0.07","1.36","2.365433333","0.022662844","24.47319974","0.16","7.52","6.58","0.715608766","5.852145871","0.74","4.53","0.005937042","0.066801761","0.49","22.38","0.272594939","2.385537035","0.07","8.91","47.0596","0.588056542","0.967359892","0.01","9","-348.2272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:02","Millennial",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.059009184","57.06144317","0.03","33.75","0.535598499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:02","RothC",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.035003845","23.52937008","0.12","7.51","16.3966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 1:59","APSIM",1,1,"1_1","CR","0.126410952","7.120485074","0.09","2.31","-12.198","0.42871026","1.069647309","0.23","0.91","4.58","0.544117731","1.805117318","0.67","0.62","-0.075","0.020127706","22.47808734","0.03","4.96","-8.65375","1.030312618","4.81573998","0.78","6.62","0.670677535","9.817040174","0.61","5.18","0.130032838","0.422630684","0.03","6.47","614.51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 1:59","Daycent",1,1,"1_1","CR","0.158070683","5.451673581","0.07","2.25","5.173164444","0.378938732","1.598270877","0.73","0.57","-0.246197778","-0.196064828","4.281564251","0.15","1.41","3.892733333","0.01157481","22.65495281","0.03","4.82","-8.95375","0.713230252","6.006710302","0.73","4.67","0.006722028","0.061331156","0.62","21.19","0.241310347","2.405090916","0.02","9.44","-36.3538","0.1726898","-1.280975951","0","5.47","75.7162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","Millennial",1,1,"1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.043253763","57.53143316","0.04","36.49","-15.39868704",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","RothC",1,1,"1_1","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.000678547","21.92364136","0","4.79","4.28315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:00","APSIM",1,2,"1_2","NT-CR","0.153365351","6.719349304","0.18","2.31","-0.378","0.077778695","2.273143647","0.01","1.11","4.692","0.696679959","1.00525071","0.72","0.54","1.912","0.008706826","25.25684231","0.01","5.02","-5.02875","1.021347629","4.652278486","0.79","6.38","0.620341003","10.31876566","0.54","5.03","0.203353231","0.309283403","0.05","7.36","698.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","Daycent",1,2,"1_2","NT-CR","0.233794727","5.091301962","0.12","2.71","11.53450667","0.418215445","1.293591207","0.6","0.65","4.645048889","-0.169954756","4.446420216","0.07","1.27","2.253853333","0.022248932","25.5384226","0.05","4.91","-13.32875","0.680289757","5.766229051","0.73","4.41","0.006240264","0.068031336","0.58","22.06","0.126275515","2.017825453","0.01","9.84","304.1876","0.106976678","-1.755412988","0","4.74","199.3202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","Millennial",1,2,"1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.008997003","60.82965552","0.01","36.3","-12.77356126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","RothC",1,2,"1_2","NT-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.001215919","25.71387432","0","4.88","-6.78985",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4/3/2023 2:01","APSIM",1,3,"1_3","CC-CR","-0.027022935","6.276731569","0.01","2.56","7.273","0.105883517","2.271777485","0.01","1.28","2.585","0.915239249","-0.140579367","0.76","0.66","4.298","0.015175687","23.54660411","0.05","7.99","21.28","1.032217707","4.761703917","0.79","6.6","0.53535085","13.3914965","0.48","5.98","0.024810621","0.147995596","0.02","7.98","853.08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
