"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbrev","SW_20cm_first","SW_20cm_change","SW_40cm_first","SW_40cm_change","SW_60cm_first","SW_60cm_change","DW_20cm_first","DW_20cm_change","DW_40cm_first","DW_40cm_change","DW_60cm_first","DW_60cm_change","DW_0to60cm_first","DW_0to60cm_change","SW_25cm_first","SW_25cm_change","DW_25cm_first","DW_25cm_change","SoilT_20cm_first","SoilT_20cm_change","SoilT_40cm_first","SoilT_40cm_change","SoilT_60cm_first","SoilT_60cm_change","SoilT_25cm_first","SoilT_25cm_change","NO3_20cm_first","NO3_20cm_change","NO3_40cm_first","NO3_40cm_change","NO3_60cm_first","NO3_60cm_change","NO3_0to60cm_first","NO3_0to60cm_change","N2O_20cm_first","N2O_20cm_change","N2O_40cm_first","N2O_40cm_change","N2O_60cm_first","N2O_60cm_change","N2O_0to60cm_first","N2O_0to60cm_change","N2O_profile_first","N2O_profile_change","BC_25cm_first","BC_25cm_change","BN_25cm_first","BN_25cm_change","HC_25cm_first","HC_25cm_change","HN_25cm_first","HN_25cm_change","CinB_25cm_first","CinB_25cm_change","CinH_25cm_first","CinH_25cm_change","CinBtoH_25cm_first","CinBtoH_25cm_change","SOC_25cm_first","SOC_25cm_change","DW_2cm_first","DW_2cm_change","DW_5cm_first","DW_5cm_change","DW_10cm_first","DW_10cm_change","WFPS_2cm_first","WFPS_2cm_change","WFPS_5cm_first","WFPS_5cm_change","WFPS_10cm_first","WFPS_10cm_change","WFPS_20cm_first","WFPS_20cm_change","WFPS_40cm_first","WFPS_40cm_change","WFPS_60cm_first","WFPS_60cm_change","SoilT_2cm_first","SoilT_2cm_change","SoilT_5cm_first","SoilT_5cm_change","SoilT_10cm_first","SoilT_10cm_change","SoilT_15cm_first","SoilT_15cm_change","NO3_2cm_first","NO3_2cm_change","NO3_5cm_first","NO3_5cm_change","NO3_10cm_first","NO3_10cm_change","CH4_first","CH4_change","CI_first","CI_change"
"APSIM",1,1,"1_1","CR","0.233111084622928","0.0170897642888685","0.234341620100215","0.018125672186232","0.233620299616167","0.0185052466888516","4.66222169245513","0.341795285780798","4.68683240200632","0.362513443722616","4.6724059923313","0.370104933769074","14.0214600867566","1.07441366330858","0.233400502754399","-0.48396148036231","0.0583528355749106","0.00431159659941756","12.5354217361403","0.98189444312985","12.6501197849641","0.962128254840492","12.7596933900542","0.937845093006057","12.5579242997485","0.980072850652652","0.00709083604880329","0.000565004639541028","0.00325723676610515","0.000741568763853499","0.00268638090892578","0.00103615056885283","0.0130344537238425","0.00234272397223912","0.000306367881243289","0.000595525189174872","6.99204868443815e-05","0.000466590295193178","6.65342395705522e-05","0.00033236203445382","0.00044282260765784","0.00139447751882225","1.71942466076258e-06","2.72925188693409e-06","1068.88172539442","345.389310728445","133.609740687565","43.1745801805917","25051.6503144199","2635.44021330963","2087.63642220925","219.619517741525","0.833352311762587","0.351950965596941","0.09145296814334","0.0380155138645299","0.304055080818562","0.143239913891648","25.9768678267988","2.87788463255082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,1,"1_1","CR",NA,NA,NA,NA,NA,NA,"2.26694219609258","0.0624105790782679","4.56840165708865","0.0718194840650552","4.4972290675549","0.134017542569806","13.5207461199026","0.463597766565028","0.00223888632384125","0.000110286244349824","5.59721580960553","0.275715610872169","0.114782819675079","0.00834714388248285","0.112859999151894","0.00974342692281258","0.11053075538964","0.0104910383143342","0.114951200699927","0.00772839542793806","0.0111334897858696","-0.00514927276770071","0.0106504999781663","-0.0061593378944032","0.00875542371173992","-0.00418625243254255","0.045905380754711","-0.0215238317725254",NA,NA,NA,NA,NA,NA,NA,NA,"0.0246589158489636","-0.00318227505141173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.641379310345","2.34482758620673","0.399117014392629","0.0536326500500147","0.672689889571542","0.0697175102605151","1.11636629529826","0.0720000004454615","0.346430733012522","0.0423204431432148","0.388678389193125","0.0363775809759264","0.386067515599096","0.0223763841550414","0.389160597014313","0.0123355711503291","0.412489991796118","0.014210461122922","0.558239738327704","0.0312159439893526","0.116817984328152","0.00485196563381646","0.116331997035745","0.00569352103424534","0.115804470022043","0.0068450252126542","0.115704243339695","0.00684982147766244","0.000952232578229105","-0.000381268353561752","0.00254150476733309","-0.000902299540331233","0.0118722299333658","-0.00474540078397873","-0.533500948546816","0.153880295885579","0.253284209267768","0.152682572810367"
"APSIM",1,2,"1_2","NT-CR","0.234044511131824","0.0171696635369064","0.235419524928539","0.0178901797501765","0.234629173543329","0.0183738281396494","4.68089022263352","0.343393270741092","4.70839049857272","0.357803595001592","4.69258347087337","0.36747656278621","14.0818641920412","1.0686734285673","0.234283762355867","-0.485840256797416","0.058592086323159","0.00430958679478381","12.5355076283794","0.981382779497007","12.6504035202609","0.96118314074161","12.7597718866428","0.937064988047588","12.5579041074252","0.979697827444257","0.00685636992399656","-4.53116002674123e-05","0.00309963865045554","0.000203385085791651","0.00265114082883477","0.00028062997375019","0.0126071494032895","0.000438703459271756","0.000355073319630831","0.000516097696085813","9.38958157396108e-05","0.00037675141987999","8.3317673587457e-05","0.000251482099954781","0.000532286808957652","0.00114433121592083","1.85276128235479e-06","1.90586735220993e-06","1014.92953321124","199.849916772281","126.864819504841","24.985183497805","27261.4926371751","2062.74970963888","2271.79011911339","171.899718344561","0.846080421914089","0.34216695073096","0.0913396055739479","0.0371470728402018","0.288421650416986","0.0966933305864016","28.1168191467491","2.18618265345648",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,2,"1_2","NT-CR",NA,NA,NA,NA,NA,NA,"2.26279090666592","0.0798999791397681","4.57206793610767","0.0674921281785439","4.48817256899188","0.142023393579168","13.5043611594682","0.472247636326669","0.00223485505538551","0.000111842058618177","5.58713763846825","0.279605146540952","0.110999873386273","0.00857453570485002","0.10961328228141","0.0094078009960946","0.107883675089485","0.00964794438297295","0.111107383443864","0.00806034640530993","0.00976719159855593","-0.00469026851559383","0.0082007215917222","-0.00418799800066294","0.0064506388055248","-0.00239971721225808","0.0392410064662319","-0.0174682864160528",NA,NA,NA,NA,NA,NA,NA,NA,"0.0177951342336621","-0.00227847579360252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.6386206896556","4.4675862068962","0.399418630954301","0.0471522607707607","0.671249531233431","0.0589809594369044","1.11066158560515","0.076698915131419","0.34642373480162","0.0370521243917294","0.387568455202509","0.0305423644514839","0.383997634936506","0.0241843921048512","0.388618806139596","0.0151346660715328","0.41309860607283","0.0133931759181497","0.556978698302451","0.0324240404687266","0.112439495804678","0.00585082334525962","0.112067991285178","0.00655185730875993","0.111711168306627","0.00746846776738645","0.111642164009542","0.00743872711682986","0.000940854585093552","-0.000399620007524745","0.00249755551748173","-0.00090878268988098","0.0113840443678473","-0.00488189999012589","-1.0048328131777","0.0542949692558066","0.227867962310965","0.129366291794714"
"APSIM",1,3,"1_3","CC-CR","0.248933542656546","0.0178579902145879","0.25064897303538","0.0186907246230802","0.25038750169897","0.0195346642742271","4.97867085315223","0.357159804270463","5.01297946074077","0.373814492428439","5.00775003402009","0.390693285443862","14.9994003478466","1.12166758220926","0.249239708758919","-0.516469033231587","0.0623171230981814","0.00450968318428355","12.5294318246002","0.989342544154393","12.6407708462183","0.975104833240559","12.7480370291753","0.956078509630293","12.5513982863033","0.988442098086669","0.00365972517049302","0.000110949961120709","0.00162036490993491","0.000250659908227228","0.00127088402804225","0.000319920010379631","0.00655097410846755","0.000681529879730206","0.000147764934404766","0.000109640070767378","5.94850000340478e-05","9.73441993274983e-05","6.9139628418263e-05","0.000117887661592269","0.000276389562857362","0.000324871931686861","9.95844461036121e-07","7.43151523547126e-07","908.215391888657","20.5882636170454","113.523680362576","2.57794138953997","25579.5842496812","1507.90161961895","2131.63156234647","125.657437995029","0.619869780903578","0.120267991061776","0.0676610102493439","0.0127331154530024","0.275550383858101","0.0313812942180838","26.3172635847289","1.47668713602553",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,"2.25970767793196","0.0733658798838484","4.6058120337676","0.0796370441066001","4.57534281712396","0.10875727898421","13.6267790759834","0.474475762400495","0.00223883089344101","0.000122396280107019","5.59707723360591","0.305990700264174","0.116322001482687","0.00992510579587562","0.114052523917448","0.0115591326787257","0.111407736387056","0.0125142288874959","0.116577718728455","0.00924782915943613","0.0088394709697869","-0.00283603255751519","0.00774810790457195","-0.00252398538467011","0.00772016434138312","-0.00227778088216435","0.0349267708304685","-0.011756211366581",NA,NA,NA,NA,NA,NA,NA,NA,"0.0215877174645868","-0.00456044078264539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.9524137931035","-0.0979310344827908","0.399274464674008","0.0600913554011921","0.675589915793992","0.0745722903431478","1.11105216677781","0.0780519135955828","0.347660797539704","0.0463149453796672","0.390926784570057","0.0383268859636374","0.383896901509018","0.0250143170846351","0.38758155879059","0.014759250467955","0.415743881678119","0.0151839390311075","0.568833813540629","0.0268621245987909","0.118929083229065","0.00603035317944779","0.118329403760703","0.00694912299220068","0.117626163630763","0.00823855264784321","0.117507042623547","0.00824658318189994","0.000588506977727716","-0.000264794102959349","0.00171583439889313","-0.000731037684223603","0.00831468623810112","-0.00312258075504391","-0.541752670616046","0.164857304978846","0.415421222027687","0.211465697407158"
"APSIM",1,41,"1_41","RF05-CR","0.233412871622149","0.0169261449732027","0.23475201089011","0.0178675794281842","0.233984433087453","0.0182981277825628","4.66825743243966","0.338522899467381","4.69504021780374","0.357351588562149","4.67968866175669","0.365962555643615","14.0429863119633","1.06183704370988","0.233731385736463","-0.484397658610044","0.058425900125218","0.00427110382811376","12.5352365025894","0.982019441953595","12.6499331396618","0.962388252393533","12.7593936388646","0.93835018450905","12.5577931352076","0.980221886683134","0.00670329079789145","0.000535638948010405","0.00302649888963214","0.000704800559100318","0.00249160349079063","0.000953764317512356","0.012221393178319","0.0021942038246183","0.00029064861100758","0.000557052475869891","7.06480949695073e-05","0.000431823145408123","6.62893429449903e-05","0.000305393368490453","0.000427586048922114","0.00129426898976843","1.65294397336334e-06","2.49434789164371e-06","1054.49413940796","332.218240254934","131.808458679754","41.531024483399","25055.9678713685","2547.2420046361","2087.99644740698","212.268557221854","0.817788971610177","0.333077645901872","0.0895483550530836","0.0362733805284425","0.300309661524105","0.138414853689013","25.9651159451498","2.78016596441501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,41,"1_41","RF05-CR",NA,NA,NA,NA,NA,NA,"2.26712215412358","0.0624155439142995","4.56861442483797","0.0718210727799224","4.49735307698354","0.133947674666341","13.521294420725","0.463572644340418","0.00223899221007414","0.000110303666006712","5.59748052518673","0.275759165015409","0.114881290881972","0.00846921581914151","0.112939984997992","0.00987862139373408","0.110591814499391","0.0106336293092658","0.115050424899761","0.00784982995880244","0.010521736269037","-0.00492736656296155","0.0100600136084025","-0.00582426660351912","0.00836963416102229","-0.00403216329485376","0.0435628149460622","-0.0205609793055153",NA,NA,NA,NA,NA,NA,NA,NA,"0.0238462178471984","-0.00324785336811544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.6489655172415","2.16413793103437","0.399091909322522","0.0536228802688663","0.672692498219206","0.0697105954201798","1.11642035733438","0.0720548771946388","0.346404295492559","0.0423209529673428","0.388678923597371","0.0363768898465954","0.386090516878764","0.0223887707941619","0.389194607773428","0.0123311130350254","0.412513836649572","0.0142039950965719","0.558258680831019","0.0312011540634275","0.116935781577747","0.00495719439745208","0.116446002246159","0.00580076363454718","0.115912562020773","0.00696011009739322","0.115811353181932","0.00696536010140819","0.000903102325573244","-0.000364435638211923","0.00241955966857126","-0.000868474058375595","0.0112887689134424","-0.00454427314757989","-0.533598091482804","0.15377227813217","0.248466091382873","0.146937987582011"
"APSIM",1,42,"1_42","RF15-CR","0.233895608789962","0.0168292506979913","0.235423845208714","0.0175699832985684","0.234787293445463","0.0180084946797401","4.67791217579636","0.336585013962707","4.70847690417532","0.351399665970326","4.69574586891792","0.360169893586137","14.0821349488525","1.04815457355627","0.234178971898246","-0.48527756797563","0.0585558468246266","0.00424436752897094","12.5350299430361","0.98230038583355","12.6494585345032","0.963243051834837","12.7589160176923","0.939267662504115","12.5574491437925","0.980777694286431","0.00592125967155448","0.000578307696153716","0.00258010865779688","0.000702452623979295","0.002123442918401","0.000877339994016505","0.0106248112477658","0.00215810031413609","0.000258604566609276","0.000491459673427823","7.11640077609286e-05","0.000373725609855504","6.60974372645091e-05","0.000262499234232059","0.000395866011634915","0.00112768451751518","1.52826885468904e-06","2.13813015315987e-06","1026.39085931808","309.050834234702","128.300098462857","38.6294150454646","25063.9475494054","2377.25376825063","2088.66523335085","198.10020739821","0.786980994188033","0.304663389265898","0.0858848226884814","0.033649538913249","0.294228331059718","0.129014070509123","25.9417844683979","2.59404535066712",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daycent",1,42,"1_42","RF15-CR",NA,NA,NA,NA,NA,NA,"2.26725854357588","0.0629420713884281","4.56895480883968","0.0720996914691003","4.497618032679","0.133848173059833","13.5215727101163","0.46906273891528","0.00223889542835324","0.000112455918871235","5.59723857088324","0.281139797177952","0.115113630470611","0.00873506911916808","0.113132711964814","0.0101705088497924","0.110740294888116","0.010941219136137","0.115291285269183","0.00810221042839721","0.00937140475235933","-0.00447176402611398","0.00894720235272423","-0.0051403048836942","0.00764190307153161","-0.00370503692252253","0.0391126271888601","-0.0186279198216627",NA,NA,NA,NA,NA,NA,NA,NA,"0.0221555647884246","-0.00331085597413327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.673103448276","1.70896551724126","0.398755349240937","0.0552492540596624","0.672634137039872","0.0719520416996536","1.11635183883811","0.0729715071414581","0.346126426220229","0.0437247511852858","0.388686907546576","0.037621124006535","0.386073501075696","0.0227000944406194","0.38922474406368","0.0124131688464009","0.412548432435136","0.0142246722819022","0.558296505185218","0.0311817795502123","0.117225770602524","0.00515495426338151","0.116721048470359","0.00601813719826769","0.116170881520002","0.00719860705058689","0.11606771648022","0.00720486160139786","0.000809081869251962","-0.000334240216536205","0.00218124449742227","-0.000805305810022101","0.0101617906455619","-0.00417126796276485","-0.533921385659364","0.154200210896089","0.236229142527362","0.137024839029614"
