"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"Daycent",1,1,"1_1","-0.778854662177338","0.657125432098766","-0.649662913580251","2","24.4333908","-0.104687609655167","-9.67170804","0.0368844309578585","27.9",NA,NA
"Daycent",1,2,"1_2","-0.357058765432104","0.660105185185181","-0.455097481481481","4.2","17.6419254","-0.0755042786206832","-9.6307334913","0.0220065668390764","35.2",NA,NA
"Daycent",1,3,"1_3","-0.496638796857454","0.608673679012341","-0.638741876543214","-0.100000000000001","20.4505009","-0.138000409655171","-9.73035712","0.0446379816092021","27.9",NA,NA
"Daycent",1,41,"1_41","-0.819802540965213","0.654940740740734","-0.635594814814816","1.8","23.5378508","-0.107080999999994","-9.67493926","0.0368241760919578","27.7",NA,NA
"Daycent",1,42,"1_42","-0.794629566778909","0.651048049382716","-0.607688839506174","1.4","21.7137449","-0.10958322482758","-9.67730874","0.0371606674329541","27.3",NA,NA
"Daycent",1,43,"1_43","-0.721534294051636","0.647648641975302","-0.56360024691358","1","19.9170563","-0.110588470344823","-9.68537148","0.0370645771647551","26.9",NA,NA
"Daycent",1,44,"1_44","-0.665129158249158","0.642766962962966","-0.532832740740744","0.5","18.1598335","-0.114191519999995","-9.69507912","0.0369954357088159","26.4",NA,NA
"Daycent",1,51,"1_51","-0.288826253647589","0.678607999999997","-0.505062617283947","4.6","24.7281428","-0.0557103903448209","-9.63372946","0.0373763670498125","30.5",NA,NA
"Daycent",1,52,"1_52","0.305443735129071","0.685566864197526","-0.348553333333331","6.9","24.2274357","-0.0124059406896474","-9.50730834","0.0361021745593921","32.8",NA,NA
"Daycent",1,53,"1_53","0.833951371492709","0.641012296296289","-0.276984641975311","6.8","23.5909808","-0.00373177793102619","-9.16516466","0.035955369808436","32.7",NA,NA
