"year","Observed","Obs_sd","APSIM","Daycent","crop","treatment_scen"
1989,7.906,1.07450405614249,7.103,7.57438222222222,"Maize","Crop Rotation"
1991,8.326,1.06759964406139,7.811,5.68198222222222,"Maize","Crop Rotation"
1993,7.113,0.862294915714262,7.499,5.83758222222222,"Maize","Crop Rotation"
1996,3.201,1.11360669298755,8.171,7.13587333333333,"Maize","Crop Rotation"
1999,4.013,0.482018466105466,7.808,3.24295333333333,"Maize","Crop Rotation"
2002,5.398,1.43045399320169,7.316,7.88899333333333,"Maize","Crop Rotation"
2005,7.313,1.2779785049053,6.066,6.13277777777778,"Maize","Crop Rotation"
2008,5.277,1.23505972163293,8.646,6.17023333333333,"Maize","Crop Rotation"
2011,10.995,0.757556378760024,9.124,7.70772444444444,"Maize","Crop Rotation"
2014,9.725,0.966263714348555,9.378,6.13710666666667,"Maize","Crop Rotation"
2017,7.963,0.5046824136689,8.855,6.86192222222222,"Maize","Crop Rotation"
2020,6.617,1.37874513187415,8.279,8.30230444444445,"Maize","Crop Rotation"
1990,2.841,0.124258869569406,2.334,2.40758666666667,"Soybean","Crop Rotation"
1992,1.839,0.0583383807340131,1.353,2.51186666666667,"Soybean","Crop Rotation"
1994,3.012,0.256220803214727,2.231,2.71004222222222,"Soybean","Crop Rotation"
1997,1.515,0.197971513102264,1.617,2.46221777777778,"Soybean","Crop Rotation"
2000,2.657,0.254539380057389,2.153,2.79370444444444,"Soybean","Crop Rotation"
2003,1.621,0.192232907345924,2.132,2.11148666666667,"Soybean","Crop Rotation"
2006,2.867,0.242023007170806,1.917,2.34981333333333,"Soybean","Crop Rotation"
2009,1.967,0.111984332237446,2.634,2.42491333333333,"Soybean","Crop Rotation"
2012,1.302,0.300616318031252,2.018,1.86317555555556,"Soybean","Crop Rotation"
2015,3.537,0.316425564180056,3.213,3.11164222222222,"Soybean","Crop Rotation"
2018,3.101,0.43508111734097,0.642,2.67609555555556,"Soybean","Crop Rotation"
2021,4.226,0.316662924890174,3.661,3.30865333333333,"Soybean","Crop Rotation"
1995,3.302,0.192045221237083,3.978,4.04731555555556,"Wheat","Crop Rotation"
1998,3.014,0.358558774354591,3.219,3.02387333333333,"Wheat","Crop Rotation"
2001,4.203,0.335893495024837,4.426,2.97758444444444,"Wheat","Crop Rotation"
2004,4.075,0.127139382831075,4.067,3.74432666666667,"Wheat","Crop Rotation"
