Model,Climate_Scenario,Mgmt_Scenario,Scenario_Name,Maize_Diff_Mgha,Soybean_Diff_Mgha,Wheat_Diff_Mgha,SOC_Diff_Mgha,Total_N2O_kgha,N2O_Diff_kgha,Total_CH4_kgha,CH4_Diff_kgha,Total_SOC_Mgha,Cotton_Diff_Mgha,Sorghum_Diff_Mgha,N2O_Mgha,CH4_Mgha,CO2e_SOC,CO2e_N2O,CO2e_CH4,scenario_abbrev,GWP,,
APSIM,1,1,1_1,0.644565657,-0.0266,-0.209066667,3,29.87216,0.894968138,-9.67170804,NA,29,NA,NA,0.02987216,-0.009671708,-11,12.81515664,-0.348181489,CR,1.466975151,,
APSIM,1,2,1_2,0.660460606,0.259311111,-0.109624242,2.1,27.3402,0.62809931,-9.630733491,NA,30.3,NA,NA,0.0273402,-0.009630733,-7.7,11.7289458,-0.346706406,NT-CR,3.682239394,,
APSIM,1,3,1_3,1.399886869,-0.7014,-0.317559596,1.7,13.0936,0.240631034,-9.73035712,NA,27.9,NA,NA,0.0130936,-0.009730357,-6.233333333,5.6171544,-0.350292856,CC-CR,-0.96647179,,
APSIM,1,41,1_41,0.763014141,-0.0266,-0.232937374,2.9,28.05542,0.818243034,-9.67493926,NA,28.9,NA,NA,0.02805542,-0.009674939,-10.63333333,12.03577518,-0.348297813,RF05-CR,1.054144033,,
APSIM,1,42,1_42,0.924905051,-0.0266,-0.251151515,2.7,25.03517,0.701970897,-9.67730874,NA,28.7,NA,NA,0.02503517,-0.009677309,-9.9,10.74008793,-0.348383115,RF15-CR,0.491704815,,
APSIM,1,43,1_43,1.059022222,-0.0266,-0.225753535,2.5,22.5254,0.596639448,-9.68537148,NA,28.5,NA,NA,0.0225254,-0.009685371,-9.166666667,9.6633966,-0.348673373,RF25-CR,0.14805656,,
APSIM,1,44,1_44,1.282909091,-0.0266,-0.178408081,2.3,20.61651,0.493824966,-9.69507912,NA,28.3,NA,NA,0.02061651,-0.009695079,-8.433333333,8.84448279,-0.349022848,RF35-CR,0.062126608,,
APSIM,1,51,1_51,0.691345455,-0.0266,-0.214723232,3.6,31.71467,0.966791034,-9.63372946,NA,30.6,NA,NA,0.03171467,-0.009633729,-13.2,13.60559343,-0.346814261,RR50-CR,0.058779169,,
APSIM,1,52,1_52,0.747628283,-0.026755556,-0.33170101,4.4,35.35754,1.100816966,-9.50730834,NA,33.1,NA,NA,0.03535754,-0.009507308,-16.13333333,15.16838466,-0.3422631,RR25-CR,-1.307211774,,
APSIM,1,53,1_53,0.836549495,-0.026288889,-0.408008081,5.6,42.53287,1.321971724,-9.16516466,NA,37.1,NA,NA,0.04253287,-0.009165165,-20.53333333,18.24660123,-0.329945928,RR00-CR,-2.616678031,,
