"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,7.91547,NA,NA,22.3,"LDNDC","1_1",1,1,""
1990,NA,1.17287,NA,22.1,"LDNDC","1_1",1,1,""
1991,5.83663,NA,NA,22.9,"LDNDC","1_1",1,1,""
1992,NA,1.27448,NA,22.4,"LDNDC","1_1",1,1,""
1993,6.3145,NA,NA,22.9,"LDNDC","1_1",1,1,""
1994,NA,1.46274,NA,22.7,"LDNDC","1_1",1,1,""
1995,NA,NA,5.80854,22.5,"LDNDC","1_1",1,1,""
1996,7.94281,NA,NA,23.1,"LDNDC","1_1",1,1,""
1997,NA,1.2977,NA,22.9,"LDNDC","1_1",1,1,""
1998,NA,NA,4.95607,22.6,"LDNDC","1_1",1,1,""
1999,5.37717,NA,NA,23.1,"LDNDC","1_1",1,1,""
2000,NA,1.43721,NA,22.4,"LDNDC","1_1",1,1,""
2001,NA,NA,5.08999,22.5,"LDNDC","1_1",1,1,""
2002,7.92107,NA,NA,22.9,"LDNDC","1_1",1,1,""
2003,NA,1.17536,NA,22.7,"LDNDC","1_1",1,1,""
2004,NA,NA,6.97181,22.5,"LDNDC","1_1",1,1,""
2005,6.8894,NA,NA,22.9,"LDNDC","1_1",1,1,""
2006,NA,1.22165,NA,22.4,"LDNDC","1_1",1,1,""
2007,NA,NA,5.46597,22.4,"LDNDC","1_1",1,1,""
2008,7.92826,NA,NA,23,"LDNDC","1_1",1,1,""
2009,NA,1.30543,NA,22.5,"LDNDC","1_1",1,1,""
2010,NA,NA,6.36926,22.4,"LDNDC","1_1",1,1,""
2011,7.95145,NA,NA,22.9,"LDNDC","1_1",1,1,""
2012,NA,1.04183,NA,22.5,"LDNDC","1_1",1,1,""
2013,NA,NA,6.13762,22.4,"LDNDC","1_1",1,1,""
2014,7.92094,NA,NA,23.2,"LDNDC","1_1",1,1,""
2015,NA,1.73215,NA,22.7,"LDNDC","1_1",1,1,""
2016,NA,NA,7.53256,22.6,"LDNDC","1_1",1,1,""
2017,7.13134,NA,NA,23.2,"LDNDC","1_1",1,1,""
2018,NA,1.50795,NA,22.9,"LDNDC","1_1",1,1,""
2019,NA,NA,6.65495,22.7,"LDNDC","1_1",1,1,""
2020,7.89842,NA,NA,23,"LDNDC","1_1",1,1,""
2021,NA,2.36405,NA,22.7,"LDNDC","1_1",1,1,""
2022,NA,NA,6.61702,22.7,"LDNDC","1_1",1,1,""
2023,7.93574,NA,NA,23.3,"LDNDC","1_1",1,1,""
2024,NA,0.988582,NA,23.1,"LDNDC","1_1",1,1,""
2025,NA,NA,4.79922,23.1,"LDNDC","1_1",1,1,""
2026,7.92114,NA,NA,23.6,"LDNDC","1_1",1,1,""
2027,NA,0.993434,NA,23.3,"LDNDC","1_1",1,1,""
2028,NA,NA,7.47663,23.1,"LDNDC","1_1",1,1,""
2029,7.87728,NA,NA,23.5,"LDNDC","1_1",1,1,""
2030,NA,1.81947,NA,23.3,"LDNDC","1_1",1,1,""
2031,NA,NA,5.5209,23.1,"LDNDC","1_1",1,1,""
2032,7.93597,NA,NA,23.5,"LDNDC","1_1",1,1,""
2033,NA,1.48273,NA,23.3,"LDNDC","1_1",1,1,""
2034,NA,NA,6.96723,23,"LDNDC","1_1",1,1,""
2035,7.73122,NA,NA,23,"LDNDC","1_1",1,1,""
2036,NA,1.96027,NA,22.7,"LDNDC","1_1",1,1,""
2037,NA,NA,5.71578,22.8,"LDNDC","1_1",1,1,""
2038,7.73367,NA,NA,23.2,"LDNDC","1_1",1,1,""
2039,NA,1.8488,NA,22.9,"LDNDC","1_1",1,1,""
2040,NA,NA,5.94094,22.9,"LDNDC","1_1",1,1,""
2041,7.94669,NA,NA,23.5,"LDNDC","1_1",1,1,""
2042,NA,1.63458,NA,23.3,"LDNDC","1_1",1,1,""
2043,NA,NA,5.5939,22.9,"LDNDC","1_1",1,1,""
2044,7.8711,NA,NA,23.4,"LDNDC","1_1",1,1,""
2045,NA,1.02745,NA,23,"LDNDC","1_1",1,1,""
2046,NA,NA,5.77611,22.8,"LDNDC","1_1",1,1,""
2047,7.88732,NA,NA,23.2,"LDNDC","1_1",1,1,""
2048,NA,1.79819,NA,22.9,"LDNDC","1_1",1,1,""
2049,NA,NA,6.75614,22.7,"LDNDC","1_1",1,1,""
2050,7.93732,NA,NA,23.4,"LDNDC","1_1",1,1,""
2051,NA,1.84267,NA,23.2,"LDNDC","1_1",1,1,""
2052,NA,NA,4.44308,23.2,"LDNDC","1_1",1,1,""
2053,7.52985,NA,NA,23.8,"LDNDC","1_1",1,1,""
2054,NA,1.63352,NA,23.4,"LDNDC","1_1",1,1,""
2055,NA,NA,7.48708,23.3,"LDNDC","1_1",1,1,""
2056,7.7402,NA,NA,23.8,"LDNDC","1_1",1,1,""
2057,NA,1.46512,NA,23.4,"LDNDC","1_1",1,1,""
2058,NA,NA,6.37706,23.3,"LDNDC","1_1",1,1,""
2059,7.93853,NA,NA,23.7,"LDNDC","1_1",1,1,""
2060,NA,1.96036,NA,23.3,"LDNDC","1_1",1,1,""
2061,NA,NA,6.79842,23.2,"LDNDC","1_1",1,1,""
2062,7.95354,NA,NA,23.5,"LDNDC","1_1",1,1,""
2063,NA,1.42948,NA,23.1,"LDNDC","1_1",1,1,""
2064,NA,NA,6.06648,23,"LDNDC","1_1",1,1,""
2065,7.606,NA,NA,23.6,"LDNDC","1_1",1,1,""
2066,NA,2.09474,NA,23.2,"LDNDC","1_1",1,1,""
2067,NA,NA,6.13312,23,"LDNDC","1_1",1,1,""
2068,5.8996,NA,NA,22.9,"LDNDC","1_1",1,1,""
2069,NA,2.15919,NA,22.8,"LDNDC","1_1",1,1,""
2070,NA,NA,5.44776,22.7,"LDNDC","1_1",1,1,""
2071,7.94965,NA,NA,23.2,"LDNDC","1_1",1,1,""
2072,NA,1.90089,NA,22.9,"LDNDC","1_1",1,1,""
2073,NA,NA,7.14854,22.7,"LDNDC","1_1",1,1,""
2074,7.91161,NA,NA,22.9,"LDNDC","1_1",1,1,""
2075,NA,1.78386,NA,22.7,"LDNDC","1_1",1,1,""
2076,NA,NA,6.59099,22.6,"LDNDC","1_1",1,1,""
2077,7.92112,NA,NA,23,"LDNDC","1_1",1,1,""
2078,NA,1.76038,NA,22.8,"LDNDC","1_1",1,1,""
2079,NA,NA,6.31613,22.8,"LDNDC","1_1",1,1,""
2080,7.94499,NA,NA,23.4,"LDNDC","1_1",1,1,""
