"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1850,2.13470888888889,NA,NA,61.9,"Daycent","1_2",1,2,""
1851,2.72882888888889,NA,NA,62.7,"Daycent","1_2",1,2,""
1852,2.35192444444444,NA,NA,60.7,"Daycent","1_2",1,2,""
1853,1.91462666666667,NA,NA,58.8,"Daycent","1_2",1,2,""
1854,2.2943,NA,NA,57.1,"Daycent","1_2",1,2,""
1855,2.17466666666667,NA,NA,55.3,"Daycent","1_2",1,2,""
1856,1.79721777777778,NA,NA,53.6,"Daycent","1_2",1,2,""
1857,1.96856,NA,NA,52.3,"Daycent","1_2",1,2,""
1858,2.35699777777778,NA,NA,50.7,"Daycent","1_2",1,2,""
1859,2.08412666666667,NA,NA,49.3,"Daycent","1_2",1,2,""
1860,1.60523555555556,NA,NA,48.1,"Daycent","1_2",1,2,""
1861,1.98463555555556,NA,NA,46.9,"Daycent","1_2",1,2,""
1862,1.69377111111111,NA,NA,45.7,"Daycent","1_2",1,2,""
1863,1.39559555555556,NA,NA,44.7,"Daycent","1_2",1,2,""
1864,1.45052666666667,NA,NA,43.8,"Daycent","1_2",1,2,""
1865,1.75231777777778,NA,NA,42.9,"Daycent","1_2",1,2,""
1866,1.57157333333333,NA,NA,42,"Daycent","1_2",1,2,""
1867,1.42498444444444,NA,NA,41.1,"Daycent","1_2",1,2,""
1868,1.64088444444444,NA,NA,40.3,"Daycent","1_2",1,2,""
1869,1.23619111111111,NA,NA,39.5,"Daycent","1_2",1,2,""
1870,1.48250444444444,NA,NA,38.7,"Daycent","1_2",1,2,""
1871,1.46425333333333,NA,NA,38,"Daycent","1_2",1,2,""
1872,1.50209555555556,NA,NA,37.3,"Daycent","1_2",1,2,""
1873,1.25072222222222,NA,NA,36.7,"Daycent","1_2",1,2,""
1874,1.10160444444444,NA,NA,36,"Daycent","1_2",1,2,""
1875,1.13736222222222,NA,NA,35.5,"Daycent","1_2",1,2,""
1876,1.40167333333333,NA,NA,34.9,"Daycent","1_2",1,2,""
1877,1.72610888888889,NA,NA,34.5,"Daycent","1_2",1,2,""
1878,1.65520888888889,NA,NA,34,"Daycent","1_2",1,2,""
1879,1.67964888888889,NA,NA,33.6,"Daycent","1_2",1,2,""
1880,1.44019777777778,NA,NA,33.2,"Daycent","1_2",1,2,""
1881,1.20630666666667,NA,NA,32.9,"Daycent","1_2",1,2,""
1882,1.36762444444444,NA,NA,32.5,"Daycent","1_2",1,2,""
1883,1.36699777777778,NA,NA,32.2,"Daycent","1_2",1,2,""
1884,1.18227555555556,NA,NA,31.8,"Daycent","1_2",1,2,""
1885,1.20716666666667,NA,NA,31.5,"Daycent","1_2",1,2,""
1886,1.43109111111111,NA,NA,31.2,"Daycent","1_2",1,2,""
1887,1.33237555555556,NA,NA,30.9,"Daycent","1_2",1,2,""
1888,1.08463555555556,NA,NA,30.6,"Daycent","1_2",1,2,""
1889,1.34489111111111,NA,NA,30.4,"Daycent","1_2",1,2,""
1890,1.19810666666667,NA,NA,30.1,"Daycent","1_2",1,2,""
1891,1.01747111111111,NA,NA,29.9,"Daycent","1_2",1,2,""
1892,1.10618,NA,NA,29.7,"Daycent","1_2",1,2,""
1893,1.24456888888889,NA,NA,29.5,"Daycent","1_2",1,2,""
1894,1.18244222222222,NA,NA,29.3,"Daycent","1_2",1,2,""
1895,1.09690222222222,NA,NA,29.1,"Daycent","1_2",1,2,""
1896,1.14807777777778,NA,NA,28.9,"Daycent","1_2",1,2,""
1897,0.988604444444444,NA,NA,28.7,"Daycent","1_2",1,2,""
1898,1.13028444444444,NA,NA,28.5,"Daycent","1_2",1,2,""
1899,1.15343111111111,NA,NA,28.3,"Daycent","1_2",1,2,""
1900,1.19539111111111,NA,NA,28.2,"Daycent","1_2",1,2,""
1901,1.21755111111111,NA,NA,28,"Daycent","1_2",1,2,""
1902,1.17534444444444,NA,NA,27.8,"Daycent","1_2",1,2,""
1903,1.21590888888889,NA,NA,27.7,"Daycent","1_2",1,2,""
1904,1.09845555555556,NA,NA,27.6,"Daycent","1_2",1,2,""
1905,1.30486222222222,NA,NA,27.5,"Daycent","1_2",1,2,""
1906,1.23526222222222,NA,NA,27.4,"Daycent","1_2",1,2,""
1907,1.29788222222222,NA,NA,27.3,"Daycent","1_2",1,2,""
1908,1.16872666666667,NA,NA,27.1,"Daycent","1_2",1,2,""
1909,0.999233333333333,NA,NA,27,"Daycent","1_2",1,2,""
1910,1.12010888888889,NA,NA,27,"Daycent","1_2",1,2,""
1911,1.14808888888889,NA,NA,26.9,"Daycent","1_2",1,2,""
1912,1.02734888888889,NA,NA,26.7,"Daycent","1_2",1,2,""
1913,1.05376222222222,NA,NA,26.7,"Daycent","1_2",1,2,""
1914,1.21555777777778,NA,NA,26.6,"Daycent","1_2",1,2,""
1915,1.16521777777778,NA,NA,26.5,"Daycent","1_2",1,2,""
1916,0.974124444444444,NA,NA,26.4,"Daycent","1_2",1,2,""
1917,1.20081333333333,NA,NA,26.3,"Daycent","1_2",1,2,""
1918,1.10360222222222,NA,NA,26.2,"Daycent","1_2",1,2,""
1919,0.979328888888889,NA,NA,26.2,"Daycent","1_2",1,2,""
1920,1.06292888888889,NA,NA,26.1,"Daycent","1_2",1,2,""
1921,1.31760666666667,NA,NA,26.1,"Daycent","1_2",1,2,""
1922,1.28862,NA,NA,26,"Daycent","1_2",1,2,""
1923,1.19164222222222,NA,NA,25.9,"Daycent","1_2",1,2,""
1924,1.22874222222222,NA,NA,25.9,"Daycent","1_2",1,2,""
1925,1.11404888888889,NA,NA,25.8,"Daycent","1_2",1,2,""
1926,1.24915111111111,NA,NA,25.7,"Daycent","1_2",1,2,""
1927,1.30196666666667,NA,NA,25.6,"Daycent","1_2",1,2,""
1928,1.32821111111111,NA,NA,25.6,"Daycent","1_2",1,2,""
1929,1.20384888888889,NA,NA,25.5,"Daycent","1_2",1,2,""
1930,1.17131111111111,NA,NA,25.4,"Daycent","1_2",1,2,""
1931,1.21662666666667,NA,NA,25.4,"Daycent","1_2",1,2,""
1932,1.1162,NA,NA,25.3,"Daycent","1_2",1,2,""
1933,1.30521555555556,NA,NA,25.3,"Daycent","1_2",1,2,""
1934,1.23114888888889,NA,NA,25.2,"Daycent","1_2",1,2,""
1935,1.30710444444444,NA,NA,25.2,"Daycent","1_2",1,2,""
1936,1.20051111111111,NA,NA,25.1,"Daycent","1_2",1,2,""
1937,1.03888,NA,NA,25.1,"Daycent","1_2",1,2,""
1938,1.15038444444444,NA,NA,25,"Daycent","1_2",1,2,""
1939,1.18348222222222,NA,NA,25,"Daycent","1_2",1,2,""
1940,1.07271333333333,NA,NA,24.9,"Daycent","1_2",1,2,""
1941,1.09208,NA,NA,24.9,"Daycent","1_2",1,2,""
1942,1.25841555555556,NA,NA,24.8,"Daycent","1_2",1,2,""
1943,1.22236444444444,NA,NA,24.8,"Daycent","1_2",1,2,""
1944,1.02615777777778,NA,NA,24.7,"Daycent","1_2",1,2,""
1945,1.26449777777778,NA,NA,24.7,"Daycent","1_2",1,2,""
1946,1.16850666666667,NA,NA,24.6,"Daycent","1_2",1,2,""
1947,1.05591111111111,NA,NA,24.6,"Daycent","1_2",1,2,""
1948,1.14250444444444,NA,NA,24.6,"Daycent","1_2",1,2,""
1949,1.24067333333333,NA,NA,24.6,"Daycent","1_2",1,2,""
1950,NA,1.84846444444444,NA,24.5,"Daycent","1_2",1,2,""
1951,1.93616222222222,NA,NA,24.5,"Daycent","1_2",1,2,""
1952,NA,1.82143555555556,NA,24.5,"Daycent","1_2",1,2,""
1953,1.57818666666667,NA,NA,24.5,"Daycent","1_2",1,2,""
1954,NA,1.84194666666667,NA,24.6,"Daycent","1_2",1,2,""
1955,1.82464444444444,NA,NA,24.6,"Daycent","1_2",1,2,""
1956,NA,1.44293777777778,NA,24.6,"Daycent","1_2",1,2,""
1957,1.71721555555556,NA,NA,24.6,"Daycent","1_2",1,2,""
1958,NA,1.90597333333333,NA,24.6,"Daycent","1_2",1,2,""
1959,1.85258888888889,NA,NA,24.6,"Daycent","1_2",1,2,""
1960,NA,1.58792444444444,NA,24.6,"Daycent","1_2",1,2,""
1961,2.98802888888889,NA,NA,24.6,"Daycent","1_2",1,2,""
1962,NA,1.40426666666667,NA,24.6,"Daycent","1_2",1,2,""
1963,2.51192444444444,NA,NA,24.7,"Daycent","1_2",1,2,""
1964,NA,1.33050444444444,NA,24.6,"Daycent","1_2",1,2,""
1965,2.85315333333333,NA,NA,24.7,"Daycent","1_2",1,2,""
1966,NA,1.64014222222222,NA,24.6,"Daycent","1_2",1,2,""
1967,2.75504222222222,NA,NA,24.7,"Daycent","1_2",1,2,""
1968,NA,2.00155555555556,NA,24.6,"Daycent","1_2",1,2,""
1969,2.53965555555556,NA,NA,24.6,"Daycent","1_2",1,2,""
1970,NA,2.32398222222222,NA,24.6,"Daycent","1_2",1,2,""
1971,3.84593777777778,NA,NA,24.6,"Daycent","1_2",1,2,""
1972,NA,2.24572666666667,NA,24.7,"Daycent","1_2",1,2,""
1973,3.52767777777778,NA,NA,24.7,"Daycent","1_2",1,2,""
1974,NA,1.72981555555556,NA,24.7,"Daycent","1_2",1,2,""
1975,3.55281111111111,NA,NA,24.7,"Daycent","1_2",1,2,""
1976,NA,1.73530222222222,NA,24.7,"Daycent","1_2",1,2,""
1977,3.90119555555556,NA,NA,24.8,"Daycent","1_2",1,2,""
1978,NA,2.25216444444444,NA,24.8,"Daycent","1_2",1,2,""
1979,3.98390444444444,NA,NA,24.8,"Daycent","1_2",1,2,""
1980,NA,2.18232444444444,NA,24.8,"Daycent","1_2",1,2,""
1981,4.01435111111111,NA,NA,24.8,"Daycent","1_2",1,2,""
1982,NA,2.24863777777778,NA,24.9,"Daycent","1_2",1,2,""
1983,4.70730444444444,NA,NA,25,"Daycent","1_2",1,2,""
1984,NA,1.7566,NA,25,"Daycent","1_2",1,2,""
1985,4.42732666666667,NA,NA,25,"Daycent","1_2",1,2,""
1986,NA,2.33565333333333,NA,25,"Daycent","1_2",1,2,""
1987,4.94504,NA,NA,25,"Daycent","1_2",1,2,""
1988,NA,2.18336222222222,NA,25,"Daycent","1_2",1,2,""
1989,7.87505111111111,NA,NA,25.1,"Daycent","1_2",1,2,""
1990,NA,2.41467111111111,NA,25.1,"Daycent","1_2",1,2,""
1991,11.2186622222222,NA,NA,25.3,"Daycent","1_2",1,2,""
1992,NA,2.43102222222222,NA,25.4,"Daycent","1_2",1,2,""
1993,5.37587555555556,NA,NA,25.7,"Daycent","1_2",1,2,""
1994,NA,2.57048222222222,NA,25.7,"Daycent","1_2",1,2,""
1995,NA,NA,4.06708444444444,25.9,"Daycent","1_2",1,2,""
1996,6.50975333333333,NA,NA,26.1,"Daycent","1_2",1,2,""
1997,NA,2.40057111111111,NA,26.1,"Daycent","1_2",1,2,""
1998,NA,NA,3.11378888888889,26.4,"Daycent","1_2",1,2,""
1999,4.27695777777778,NA,NA,26.6,"Daycent","1_2",1,2,""
2000,NA,2.73552222222222,NA,26.8,"Daycent","1_2",1,2,""
2001,NA,NA,3.42364666666667,27,"Daycent","1_2",1,2,""
2002,7.46644222222222,NA,NA,27.4,"Daycent","1_2",1,2,""
2003,NA,2.05424444444444,NA,27.4,"Daycent","1_2",1,2,""
2004,NA,NA,3.85297333333333,27.7,"Daycent","1_2",1,2,""
