"year","Obs_sd","crop","treatment_scen","Model","yield_val"
1989,1.07450405614249,"Maize","Crop Rotation","Observed",7.906
1989,NA,"Maize","Crop Rotation","APSIM",7.106
1989,NA,"Maize","Crop Rotation","Daycent",7.57438222222222
1991,1.06759964406139,"Maize","Crop Rotation","Observed",8.326
1991,NA,"Maize","Crop Rotation","APSIM",7.817
1991,NA,"Maize","Crop Rotation","Daycent",5.68198222222222
1993,0.862294915714262,"Maize","Crop Rotation","Observed",7.113
1993,NA,"Maize","Crop Rotation","APSIM",7.502
1993,NA,"Maize","Crop Rotation","Daycent",5.83758222222222
1996,1.11360669298755,"Maize","Crop Rotation","Observed",3.201
1996,NA,"Maize","Crop Rotation","APSIM",8.171
1996,NA,"Maize","Crop Rotation","Daycent",7.13587333333333
1999,0.482018466105466,"Maize","Crop Rotation","Observed",4.013
1999,NA,"Maize","Crop Rotation","APSIM",7.812
1999,NA,"Maize","Crop Rotation","Daycent",3.24295333333333
2002,1.43045399320169,"Maize","Crop Rotation","Observed",5.398
2002,NA,"Maize","Crop Rotation","APSIM",7.316
2002,NA,"Maize","Crop Rotation","Daycent",7.88899333333333
2005,1.2779785049053,"Maize","Crop Rotation","Observed",7.313
2005,NA,"Maize","Crop Rotation","APSIM",6.066
2005,NA,"Maize","Crop Rotation","Daycent",6.13277777777778
2008,1.23505972163293,"Maize","Crop Rotation","Observed",5.277
2008,NA,"Maize","Crop Rotation","APSIM",8.642
2008,NA,"Maize","Crop Rotation","Daycent",6.17023333333333
2011,0.757556378760024,"Maize","Crop Rotation","Observed",10.995
2011,NA,"Maize","Crop Rotation","APSIM",9.113
2011,NA,"Maize","Crop Rotation","Daycent",7.70772444444444
2014,0.966263714348555,"Maize","Crop Rotation","Observed",9.725
2014,NA,"Maize","Crop Rotation","APSIM",9.372
2014,NA,"Maize","Crop Rotation","Daycent",6.13710666666667
2017,0.5046824136689,"Maize","Crop Rotation","Observed",7.963
2017,NA,"Maize","Crop Rotation","APSIM",8.849
2017,NA,"Maize","Crop Rotation","Daycent",6.86192222222222
2020,1.37874513187415,"Maize","Crop Rotation","Observed",6.617
2020,NA,"Maize","Crop Rotation","APSIM",8.279
2020,NA,"Maize","Crop Rotation","Daycent",8.30230444444445
1990,0.124258869569406,"Soybean","Crop Rotation","Observed",2.841
1990,NA,"Soybean","Crop Rotation","APSIM",2.334
1990,NA,"Soybean","Crop Rotation","Daycent",2.40758666666667
1992,0.0583383807340131,"Soybean","Crop Rotation","Observed",1.839
1992,NA,"Soybean","Crop Rotation","APSIM",1.353
1992,NA,"Soybean","Crop Rotation","Daycent",2.51186666666667
1994,0.256220803214727,"Soybean","Crop Rotation","Observed",3.012
1994,NA,"Soybean","Crop Rotation","APSIM",2.231
1994,NA,"Soybean","Crop Rotation","Daycent",2.71004222222222
1997,0.197971513102264,"Soybean","Crop Rotation","Observed",1.515
1997,NA,"Soybean","Crop Rotation","APSIM",1.617
1997,NA,"Soybean","Crop Rotation","Daycent",2.46221777777778
2000,0.254539380057389,"Soybean","Crop Rotation","Observed",2.657
2000,NA,"Soybean","Crop Rotation","APSIM",2.153
2000,NA,"Soybean","Crop Rotation","Daycent",2.79370444444444
2003,0.192232907345924,"Soybean","Crop Rotation","Observed",1.621
2003,NA,"Soybean","Crop Rotation","APSIM",2.132
2003,NA,"Soybean","Crop Rotation","Daycent",2.11148666666667
2006,0.242023007170806,"Soybean","Crop Rotation","Observed",2.867
2006,NA,"Soybean","Crop Rotation","APSIM",1.917
2006,NA,"Soybean","Crop Rotation","Daycent",2.34981333333333
2009,0.111984332237446,"Soybean","Crop Rotation","Observed",1.967
2009,NA,"Soybean","Crop Rotation","APSIM",2.634
2009,NA,"Soybean","Crop Rotation","Daycent",2.42491333333333
2012,0.300616318031252,"Soybean","Crop Rotation","Observed",1.302
2012,NA,"Soybean","Crop Rotation","APSIM",2.018
2012,NA,"Soybean","Crop Rotation","Daycent",1.86317555555556
2015,0.316425564180056,"Soybean","Crop Rotation","Observed",3.537
2015,NA,"Soybean","Crop Rotation","APSIM",3.213
2015,NA,"Soybean","Crop Rotation","Daycent",3.11164222222222
2018,0.43508111734097,"Soybean","Crop Rotation","Observed",3.101
2018,NA,"Soybean","Crop Rotation","APSIM",0.642
2018,NA,"Soybean","Crop Rotation","Daycent",2.67609555555556
2021,0.316662924890174,"Soybean","Crop Rotation","Observed",4.226
2021,NA,"Soybean","Crop Rotation","APSIM",3.661
2021,NA,"Soybean","Crop Rotation","Daycent",3.30865333333333
1995,0.192045221237083,"Wheat","Crop Rotation","Observed",3.302
1995,NA,"Wheat","Crop Rotation","APSIM",3.985
1995,NA,"Wheat","Crop Rotation","Daycent",4.04731555555556
1998,0.358558774354591,"Wheat","Crop Rotation","Observed",3.014
1998,NA,"Wheat","Crop Rotation","APSIM",3.208
1998,NA,"Wheat","Crop Rotation","Daycent",3.02387333333333
2001,0.335893495024837,"Wheat","Crop Rotation","Observed",4.203
2001,NA,"Wheat","Crop Rotation","APSIM",4.375
2001,NA,"Wheat","Crop Rotation","Daycent",2.97758444444444
2004,0.127139382831075,"Wheat","Crop Rotation","Observed",4.075
2004,NA,"Wheat","Crop Rotation","APSIM",4.041
2004,NA,"Wheat","Crop Rotation","Daycent",3.74432666666667
2007,0.344201658431023,"Wheat","Crop Rotation","Observed",3.109
2007,NA,"Wheat","Crop Rotation","APSIM",3.377
2007,NA,"Wheat","Crop Rotation","Daycent",3.21542
2010,0.351083334836617,"Wheat","Crop Rotation","Observed",2.671
2010,NA,"Wheat","Crop Rotation","APSIM",3.695
2010,NA,"Wheat","Crop Rotation","Daycent",4.38425777777778
2013,0.139644190713398,"Wheat","Crop Rotation","Observed",3.716
2013,NA,"Wheat","Crop Rotation","APSIM",2.918
2013,NA,"Wheat","Crop Rotation","Daycent",3.68242222222222
2016,0.267291456404178,"Wheat","Crop Rotation","Observed",5.798
2016,NA,"Wheat","Crop Rotation","APSIM",4.778
2016,NA,"Wheat","Crop Rotation","Daycent",2.66746888888889
2019,0.181421616683349,"Wheat","Crop Rotation","Observed",5.584
2019,NA,"Wheat","Crop Rotation","APSIM",5.17
2019,NA,"Wheat","Crop Rotation","Daycent",3.83659777777778
1989,0.43773587926968,"Maize","No Till, Crop Rotation","Observed",8.112
1989,NA,"Maize","No Till, Crop Rotation","APSIM",7.24
1989,NA,"Maize","No Till, Crop Rotation","Daycent",7.87505111111111
1991,0.330753054911566,"Maize","No Till, Crop Rotation","Observed",8.026
1991,NA,"Maize","No Till, Crop Rotation","APSIM",7.497
1991,NA,"Maize","No Till, Crop Rotation","Daycent",11.2186622222222
1993,0.633050629886741,"Maize","No Till, Crop Rotation","Observed",7.09
1993,NA,"Maize","No Till, Crop Rotation","APSIM",7.47
1993,NA,"Maize","No Till, Crop Rotation","Daycent",5.37587555555556
1996,0.990027019833297,"Maize","No Till, Crop Rotation","Observed",4.041
1996,NA,"Maize","No Till, Crop Rotation","APSIM",7.722
1996,NA,"Maize","No Till, Crop Rotation","Daycent",6.50975333333333
1999,0.284180915967276,"Maize","No Till, Crop Rotation","Observed",3.804
1999,NA,"Maize","No Till, Crop Rotation","APSIM",7.803
