"year","Observed","Obs_sd","APSIM","Daycent","RothC","Millennial","treatment_scen"
1989,24.92875,5.69089288908164,21.7,22.1,22.148,21.6583537962484,"Crop Rotation"
1990,NA,NA,21.8,22.1,22.1775,21.7006897519048,"Crop Rotation"
1991,23.44875,5.15806740698491,22.2,22.3,22.0036,22.3584048544382,"Crop Rotation"
1992,21.7375,4.31926469436639,22.3,22.5,22.1328,21.9397148085348,"Crop Rotation"
1993,7.16875,1.14303953343705,22.6,22.8,21.9447,22.9244357659306,"Crop Rotation"
1994,23.35625,4.84288518086068,22.6,22.7,21.9679,22.8814892814659,"Crop Rotation"
1995,23.0325,5.62716358390264,23,22.8,21.9239,23.3821714505701,"Crop Rotation"
1996,23.63375,2.61154875026295,23.1,22.9,21.7771,23.4222489934757,"Crop Rotation"
1997,21.7375,4.7245682342411,23.3,22.8,21.8645,23.7899714167514,"Crop Rotation"
1998,29.46125,7.42418391979886,23.6,23.2,21.8944,24.800044603119,"Crop Rotation"
1999,23.91125,5.77417867536155,23.4,23.3,21.774,24.7468789532479,"Crop Rotation"
2000,22.61625,5.03415900374631,23.5,23.3,21.761,24.9294988594576,"Crop Rotation"
2001,21.41375,5.11207926141604,23.8,23.4,21.711,25.0687881406955,"Crop Rotation"
2002,NA,NA,23.9,23.8,21.7184,25.1268332513792,"Crop Rotation"
2003,NA,NA,23.9,23.7,21.7018,25.7429847060822,"Crop Rotation"
2004,NA,NA,24.2,23.9,21.6414,26.3139474916787,"Crop Rotation"
2005,NA,NA,24.1,23.9,21.4604,26.102067731202,"Crop Rotation"
2006,NA,NA,24.3,23.9,21.4676,26.0149667542389,"Crop Rotation"
2007,NA,NA,24.5,24.1,21.4248,26.2699486855928,"Crop Rotation"
2008,NA,NA,24.6,24.2,21.2668,26.1680138895701,"Crop Rotation"
2009,NA,NA,24.6,24.2,21.2758,26.0635931645593,"Crop Rotation"
2010,NA,NA,24.9,24.5,21.2438,26.5904233488907,"Crop Rotation"
2011,NA,NA,24.8,24.6,21.1168,26.004636044481,"Crop Rotation"
2012,NA,NA,24.8,24.5,21.1862,25.8647372341574,"Crop Rotation"
2013,NA,NA,25.1,24.9,21.2104,26.6520669369709,"Crop Rotation"
2014,NA,NA,25,25.2,21.2324,26.6670712347094,"Crop Rotation"
2015,NA,NA,25.1,25.1,21.2745,27.342491650497,"Crop Rotation"
2016,NA,NA,25.6,25.3,21.2222,27.6919261942661,"Crop Rotation"
2017,NA,NA,25.6,25.3,21.0105,27.3356421051392,"Crop Rotation"
2018,NA,NA,25.7,25.3,21.0762,27.1219147201446,"Crop Rotation"
2019,NA,NA,25.9,25.5,21.0754,27.7289033039358,"Crop Rotation"
2020,NA,NA,26,25.8,21.0413,27.8903469094864,"Crop Rotation"
2021,NA,NA,26,25.7,21.65,28.191570962866,"Crop Rotation"
1989,27.51875,5.56777777708486,24.5,25.1,25.8037,25.1601477503036,"No Till, Crop Rotation"
1990,NA,NA,24.5,25.1,25.961,25.1486252031154,"No Till, Crop Rotation"
1991,26.455,3.28186037180134,24.8,25.3,25.7094,25.5892702408803,"No Till, Crop Rotation"
1992,24.6975,3.61389817233414,25.2,25.4,25.956,25.346202385015,"No Till, Crop Rotation"
1993,9.11125,1.56404343769603,25.3,25.7,25.6764,25.9102414339674,"No Till, Crop Rotation"
1994,26.418,3.67831457667775,25.3,25.7,25.71,25.7842820855291,"No Till, Crop Rotation"
1995,27.1395,1.89636280152296,25.6,25.9,25.669,26.0266031806967,"No Till, Crop Rotation"
1996,25.641,4.09535850079086,25.6,26.1,25.4884,26.0084828260776,"No Till, Crop Rotation"
1997,27.0285,3.55156637978231,25.7,26.1,25.5955,26.1203188862344,"No Till, Crop Rotation"
1998,30.4695,2.26634438578959,25.9,26.4,25.6291,26.603082193718,"No Till, Crop Rotation"
1999,25.9185,3.86811509329803,25.8,26.6,25.5454,26.5244006618836,"No Till, Crop Rotation"
2000,25.66875,4.49087261843397,25.9,26.8,25.6851,26.660511488007,"No Till, Crop Rotation"
2001,24.605,4.39350657220403,26.1,27,25.7329,26.9274632427827,"No Till, Crop Rotation"
2002,NA,NA,26.2,27.4,25.8837,27.0125360563174,"No Till, Crop Rotation"
2003,NA,NA,26.3,27.4,25.8721,27.4382709335717,"No Till, Crop Rotation"
2004,NA,NA,26.5,27.7,25.8141,27.7580818063205,"No Till, Crop Rotation"
2005,NA,NA,26.4,27.8,25.5742,27.6072290955591,"No Till, Crop Rotation"
2006,NA,NA,26.6,27.9,25.651,27.5116028745641,"No Till, Crop Rotation"
2007,NA,NA,26.7,28.1,25.635,27.7818941341013,"No Till, Crop Rotation"
2008,NA,NA,26.8,28.3,25.4293,27.7339405134802,"No Till, Crop Rotation"
2009,NA,NA,26.8,28.4,25.5137,27.6068860793311,"No Till, Crop Rotation"
2010,NA,NA,27.1,28.6,25.5182,27.9496076477266,"No Till, Crop Rotation"
2011,NA,NA,27,28.8,25.3384,27.6323727005705,"No Till, Crop Rotation"
2012,NA,NA,27,28.8,25.5339,27.4789358872095,"No Till, Crop Rotation"
