"","year","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num","scenario_abbrev","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha"
"1",1850,"1_1",1,1,NA,"CR",2.202,NA,NA,60.168
"2",1850,"1_2",1,2,NA,"NT-CR",2.135,NA,NA,60.648
"3",1850,"1_3",1,3,NA,"CC-CR",2.185,NA,NA,60.861
"4",1850,"1_41",1,4,1,"RF05-CR",2.202,NA,NA,60.168
"5",1850,"1_42",1,4,2,"RF15-CR",2.202,NA,NA,60.168
"6",1850,"1_43",1,4,3,"RF25-CR",2.202,NA,NA,60.168
"7",1850,"1_44",1,4,4,"RF35-CR",2.202,NA,NA,60.168
"8",1850,"1_51",1,5,1,"RR50-CR",2.202,NA,NA,60.168
"9",1850,"1_52",1,5,2,"RR25-CR",2.202,NA,NA,60.168
"10",1850,"1_53",1,5,3,"RR00-CR",2.202,NA,NA,60.168
"11",1850,"2_1",2,1,NA,"CR",2.202,NA,NA,60.168
"12",1850,"2_2",2,2,NA,"NT-CR",2.135,NA,NA,60.648
"13",1850,"2_3",2,3,NA,"CC-CR",2.185,NA,NA,60.861
"14",1850,"2_41",2,4,1,"RF05-CR",2.202,NA,NA,60.168
"15",1850,"2_42",2,4,2,"RF15-CR",2.202,NA,NA,60.168
"16",1850,"2_43",2,4,3,"RF25-CR",2.202,NA,NA,60.168
"17",1850,"2_44",2,4,4,"RF35-CR",2.202,NA,NA,60.168
"18",1850,"2_51",2,5,1,"RR50-CR",2.202,NA,NA,60.168
"19",1850,"2_52",2,5,2,"RR25-CR",2.202,NA,NA,60.168
"20",1850,"2_53",2,5,3,"RR00-CR",2.202,NA,NA,60.168
"21",1850,"3_1",3,1,NA,"CR",2.202,NA,NA,60.168
"22",1850,"3_2",3,2,NA,"NT-CR",2.135,NA,NA,60.648
"23",1850,"3_3",3,3,NA,"CC-CR",2.185,NA,NA,60.861
"24",1850,"3_41",3,4,1,"RF05-CR",2.202,NA,NA,60.168
"25",1850,"3_42",3,4,2,"RF15-CR",2.202,NA,NA,60.168
"26",1850,"3_43",3,4,3,"RF25-CR",2.202,NA,NA,60.168
"27",1850,"3_44",3,4,4,"RF35-CR",2.202,NA,NA,60.168
"28",1850,"3_51",3,5,1,"RR50-CR",2.202,NA,NA,60.168
"29",1850,"3_52",3,5,2,"RR25-CR",2.202,NA,NA,60.168
"30",1850,"3_53",3,5,3,"RR00-CR",2.202,NA,NA,60.168
"31",1850,"4_1",4,1,NA,"CR",2.202,NA,NA,60.168
"32",1850,"4_2",4,2,NA,"NT-CR",2.135,NA,NA,60.648
"33",1850,"4_3",4,3,NA,"CC-CR",2.185,NA,NA,60.861
"34",1850,"4_41",4,4,1,"RF05-CR",2.202,NA,NA,60.168
"35",1850,"4_42",4,4,2,"RF15-CR",2.202,NA,NA,60.168
"36",1850,"4_43",4,4,3,"RF25-CR",2.202,NA,NA,60.168
"37",1850,"4_44",4,4,4,"RF35-CR",2.202,NA,NA,60.168
