%global
        time = "1989-01-01/1"

%climate
        id = 0

%attributes
        elevation = "288"
        latitude = "42.41"
        longitude = "-85.372"
        wind speed = "3.3"
        annual precipitation = "934.7"
        temperature average = "9.4"
        temperature amplitude = "68.8"


%data
 prec	 tavg	 tmax	 tmin	 grad	 wind
0	-3.9	-0.1	-7.7	51.96759257	3.28
0	-4.35	-0.2	-8.5	40.74074073	4.19
1.27	-5.65	-2	-9.3	48.72685183	4.96
0	-10.1	-2.3	-17.9	88.65740738	2.3
0	-5.1	0.6	-10.8	66.78240738	3.2
0.25	-1.8	-0.8	-2.8	56.13425924	2.95
17.02	4.45	10.9	-2	52.3148148	5.77
0	-3.5	4.3	-11.3	61.80555553	9.12
0	-9.05	-5.8	-12.3	70.83333331	4.95
0	-3.4	0.8	-7.6	101.8518518	4.5
0	-2.85	1.9	-7.6	84.60648145	4.84
0.25	-0.6	4.4	-5.6	101.7361111	6.07
0	-4.3	-1.1	-7.5	112.037037	3.36
0.25	-6.2	-4	-8.4	31.82870369	3.63
0.51	-1.7	0.7	-4.1	56.0185185	4.03
0	-1.4	2.1	-4.9	87.61574071	5.62
0	1.25	3.1	-0.6	76.15740738	4.37
0	1.95	5.2	-1.3	81.13425923	5.36
1.13	2.8	7.8	-2.2	87.49999997	5.4
0	-6	-0.3	-11.7	57.06018517	4.58
0	-7.65	-1.4	-13.9	94.21296293	3.82
0	1.2	6.7	-4.3	112.6157407	6.12
0	4.35	10.3	-1.6	113.6574074	3.48
0	2.8	6.9	-1.3	59.95370368	3.49
7.34	0.9	3.5	-1.7	32.4074074	5.96
0	2.1	6.9	-2.7	58.68055553	4.81
0	0.15	4.4	-4.1	130.2083333	3.8
1.98	3.7	8.9	-1.5	125.1157407	4.86
5.64	2.35	3.7	1	34.95370369	3.9
0.28	0.2	2.1	-1.7	57.06018517	4.04
0	7.15	14.5	-0.2	110.3009259	7.48
0	1.55	9.4	-6.3	58.56481479	4.04
0	-7.25	-6.1	-8.4	29.05092592	4.21
0	-8.65	-5	-12.3	143.7499999	4.32
0.25	-11	-8.9	-13.1	49.88425924	1.86
2.79	-10.9	-6.9	-14.9	65.9722222	3.83
0	-12.75	-9.3	-16.2	80.55555553	5.96
0	-11.65	-8.1	-15.2	118.9814814	6.18
0.51	-10.35	-7	-13.7	136.1111111	8.86
0	-13.9	-10.2	-17.6	109.1435185	6.78
0.51	-8.3	-4.9	-11.7	93.05555552	5.41
0	-4.25	-0.8	-7.7	132.7546296	4.8
0	-2.9	2.1	-7.9	154.3981481	3.58
2.54	-1.6	1.2	-4.4	56.48148146	5.3
0	1.15	5	-2.7	168.287037	2.93
1.27	-2.95	0.1	-6	59.25925924	2.58
0	-7.5	-1.9	-13.1	178.4722222	2.73
0	-10.8	-3.9	-17.7	176.1574073	2.68
0	-9.3	-0.7	-17.9	159.1435185	1.65
0	-4.5	0.2	-9.2	124.1898148	3.34
3.05	-1.75	0.9	-4.4	85.76388886	2.05
3.3	-3.75	-0.6	-6.9	104.2824074	3.93
0	-8.9	-1.6	-16.2	161.9212962	4.5
0	-14.85	-8.4	-21.3	192.361111	3.21
0	-13.75	-3.3	-24.2	186.2268518	2.56
0	-0.6	3.8	-5	156.9444444	3.9
2.03	-0.75	2	-3.5	149.9999999	5.73
1.02	-4.05	2.3	-10.4	189.3518518	2.38
0	-6.85	-1	-12.7	106.9444444	5.12
0	-10.25	-5.7	-14.8	153.8194444	4.8
0.51	-8.95	-2.4	-15.5	129.6296296	3.03
0.51	-5.55	-2.7	-8.4	96.64351848	6.06
10.92	1.55	6.1	-3	141.5509259	3.76
0	-5.05	-1.4	-8.7	136.6898148	6.46
0	-8.7	-4.9	-12.5	115.0462963	6.51
0	-10.05	-5.9	-14.2	181.3657407	4.26
0	-6.35	3.4	-16.1	160.5324074	1.75
0	-0.55	7.9	-9	217.361111	1
0	1.9	7.5	-3.7	192.361111	2.89
0	5.15	11	-0.7	221.0648147	3.44
0	-1.75	0.6	-4.1	127.8935185	3.59
0	1	6.5	-4.5	133.5648148	2.64
5.33	6.2	14.9	-2.5	147.8009259	6.22
0.76	0.6	7	-5.8	68.74999998	5.66
0	0.8	7.2	-5.6	155.5555555	4.59
12.19	-0.95	1.1	-3	29.97685184	3.84
1.78	-5.6	-2.3	-8.9	178.8194444	4.62
4.06	-5.95	0.7	-12.6	215.6249999	2.27
4.32	-1.05	1.6	-3.7	52.54629628	3.87
0	-4.5	0.6	-9.6	204.3981481	3.29
0	-3.1	4.2	-10.4	233.3333333	1.6
0	2.75	10.8	-5.3	259.7222221	3.29
0	7.55	17.9	-2.8	249.4212962	2.33
0	13.75	20.6	6.9	230.0925925	2.36
0	13.95	23	4.9	232.7546295	4.5
0	20.45	27.1	13.8	177.4305555	4.99
