source	id	datetime	species	day_emergence	gdd[oC]	dvs_flush[-]	dvs_mort[-]	dN_don_upt[kgNm-2]	dN_nh4_upt[kgNm-2]	dN_no3_upt[kgNm-2]	dN_nh3_upt[kgNm-2]	dN_nox_upt[kgNm-2]	dN_n2_fix[kgNm-2]	dC_fol_grow[kgCm-2]	dC_fru_grow[kgCm-2]	dC_frt_grow[kgCm-2]	dC_lst_grow[kgCm-2]	dC_fac_grow[kgCm-2]	dC_fol_resp[kgCm-2]	dC_fru_resp[kgCm-2]	dC_frt_resp[kgCm-2]	dC_lst_resp[kgCm-2]	dC_maintenance_resp[kgCm-2]	dC_transport_resp[kgCm-2]	dC_growth_resp[kgCm-2]	dC_co2_upt[kgCm-2]	f_fac	DW_fol[kgDWm-2]	DW_dfol[kgDWm-2]	DW_fru[kgDWm-2]	DW_stemfru[kgDWm-2]	DW_frt[kgDWm-2]	DW_lst[kgDWm-2]	DW_dst[kgDWm-2]	DW_below[kgDWm-2]	DW_above[kgDWm-2]	lai	specific_leaf_area[m2kg-1]	N_ret[kgNm-2]	NC_fol[gNgDW-1]	NC_fru[gNgDW-1]	NC_frt[gNgDW-1]	NC_lst[gNgDW-1]	NC_dst[gNgDW-1]	N_total[kgNm-2]	dDW_fol_sen[kgDWm-2]	dDW_fru_sen[kgDWm-2]	dDW_frt_sen[kgDWm-2]	dDW_lst_sen_below[kgDWm-2]	dDW_lst_sen_above[kgDWm-2]	dC_exsudates[kgCm-2]	dN_lit_fol[kgNm-2]	dN_lit_fru[kgNm-2]	dN_lit_frt[kgNm-2]	dN_lit_ldst_below[kgNm-2]	dN_lit_ldst_above[kgNm-2]	drought_rel[-]	conduct_rel[-]	vc_act_25[umol:m-2:s-1]	iso_act[nmol:m-2:s-1]	mono_act[nmol:m-2:s-1]	d_iso_emis[umol:m-2]	d_mono_emis[umol:m-2]	d_mono_storage_emis[umol:m-2]	d_ovoc_emis[umol:m-2]	dN_nh4_throughf[kgN:L-1]	dN_no3_throughf[kgN:L-1]
setup	0	1989-05-04 00:00:00	FOCO	124	5.1	0.00326923	0	2.14226e-06	2.36729e-08	9.57119e-07	0	0	0	-0.00341857	0	0.00825966	-0.00512246	0	3.23736e-06	0	4.92371e-05	4.88248e-06	5.73569e-05	0	1.84792e-05	-0.000204298	0	0.00146984	0	0	0.00221676	0.0223548	0.00221676	0	0.0223548	0.0036866	0.0411437	15.9582	0	0.03	0.022	0.0125	0.0774069	0	0.000495123	0	0	0	0	0	1.23093e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-05 00:00:00	FOCO	124	6.3	0.00403846	0	4.59859e-07	3.54721e-09	4.40864e-07	0	0	0	0.000157726	0	0.00459274	0.00023262	0	3.05966e-06	0	5.47288e-05	4.59483e-06	6.23833e-05	0	7.61192e-06	0.00505445	0	0.00182034	0	0	0.0027337	0.0325609	0.0027337	0	0.0325609	0.00455404	0.0508303	15.9483	0	0.03	0.022	0.0123411	0.0144783	0	0.000496027	0	0	0	0	0	1.36822e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-06 00:00:00	FOCO	124	6.3	0.00403846	0	0	0	0	0	0	0	0	0	0.000165709	-1.95156e-19	0	1.88998e-06	0	3.41888e-05	2.83827e-06	3.89171e-05	0	0	0.000205481	0	0.00182034	0	0	0.0027337	0.0329291	0.0027337	0	0.0329291	0.00455404	0.0508303	15.9483	0	0.03	0.022	0.012357	0.0126245	0	0.000496027	0	0	0	0	0	8.5472e-07	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-07 00:00:00	FOCO	124	6.3	0.00403846	0	0	0	0	0	0	0	-2.15602e-07	0	-3.90015e-06	-3.23781e-07	0	1.88948e-06	0	3.41798e-05	2.83752e-06	3.89068e-05	0	0	3.53218e-05	0	0.00181986	0	0	0.00273298	0.0329205	0.00273298	0	0.0329205	0.00455284	0.0508169	15.9483	0	0.03	0.022	0.0123713	0.0125	0	0.000496027	0	0	0	0	0	8.54495e-07	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-08 00:00:00	FOCO	124	6.4	0.00410256	0	3.88892e-08	7.53787e-10	3.68846e-08	0	0	0	4.4251e-07	0	1.36174e-06	1.48352e-06	0	2.83583e-06	0	5.12758e-05	4.26153e-06	5.83731e-05	0	6.50436e-07	6.35932e-05	0	0.00182085	0	0	0.00273627	0.0329235	0.00273627	0	0.0329235	0.00455712	0.0508563	15.9475	0	0.03	0.022	0.0123714	0.0124872	0	0.000496104	0	0	0	0	0	1.28189e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-09 00:00:00	FOCO	124	10.15	0.00650641	0	2.24081e-06	2.53098e-08	2.2312e-06	0	0	0	4.03815e-05	0	0.00033189	0.000109869	0	3.8322e-06	0	6.75164e-05	5.97806e-06	7.73267e-05	0	3.89639e-05	0.000600119	0	0.00191058	0	0	0.00298043	0.033661	0.00298043	0	0.033661	0.00489101	0.0541295	15.9167	0	0.03	0.022	0.0120894	0.0121936	0	0.000500601	0	0	0	0	0	1.68791e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-10 00:00:00	FOCO	124	11.8	0.0075641	0	1.12402e-06	8.94475e-09	1.15552e-06	0	0	0	3.18989e-05	0	0.000364675	7.52036e-05	0	3.436e-06	0	5.97757e-05	5.45806e-06	6.86698e-05	0	2.02735e-05	0.000562215	0	0.00198147	0	0	0.00314755	0.0344714	0.00314755	0	0.0344714	0.00512902	0.0565397	15.9032	0	0.03	0.022	0.01178	0.0118738	0	0.00050289	0	0	0	0	0	1.49439e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-11 00:00:00	FOCO	124	13.35	0.00855769	0	1.10601e-06	1.0772e-08	1.30347e-06	0	0	0	3.41647e-05	0	0.000388644	8.20984e-05	0	3.54301e-06	0	6.08501e-05	5.73453e-06	7.01277e-05	0	2.19427e-05	0.000598498	0	0.00205739	0	0	0.00332999	0.0353351	0.00332999	0	0.0353351	0.00538738	0.0591504	15.8905	0	0.03	0.022	0.0114653	0.0115497	0	0.00050531	0	0	0	0	0	1.52125e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-12 00:00:00	FOCO	124	15.3	0.00980769	0	1.50343e-06	1.58208e-08	1.94887e-06	0	0	0	4.12108e-05	0	0.000417361	0.000107992	0	3.80476e-06	0	6.4203e-05	6.32064e-06	7.43284e-05	0	3.21941e-05	0.000674691	0	0.00214897	0	0	0.00356997	0.0362625	0.00356997	0	0.0362625	0.00571894	0.0624494	15.8745	0	0.03	0.022	0.0111476	0.0112236	0	0.000508778	0	0	0	0	0	1.60507e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
setup	0	1989-05-13 00:00:00	FOCO	124	15.8	0.0101282	0	3.62345e-07	4.31085e-09	5.50216e-07	0	0	0	2.69185e-05	0	0.000379201	5.59497e-05	0	3.53673e-06	0	5.94131e-05	5.91534e-06	6.88652e-05	0	8.70369e-06	0.000541123	0	0.00220879	0	0	0.0036943	0.0371052	0.0036943	0	0.0371052	0.00590309	0.0643692	15.8704	0	0.03	0.022	0.0108624	0.0109307	0	0.000509695	0	0	0	0	0	1.48533e-06	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
