source	id	datetime	species	days_on_field	temp_cum	dvs_flush	dC_fru[kgCha-1]	dC_fru_export[kgCha-1]	dC_fol[kgCha-1]	dC_fol_export[kgCha-1]	dC_frt[kgCha-1]	dC_frt_export[kgCha-1]	dC_lst_above[kgCha-1]	dC_lst_above_export[kgCha-1]	dC_lst_below[kgCha-1]	dC_lst_below_export[kgCha-1]	dC_dst_above[kgCha-1]	dC_dst_above_export[kgCha-1]	dC_dst_below[kgCha-1]	dC_dst_below_export[kgCha-1]	dC_straw[kgCha-1]	dC_straw_export[kgCha-1]	dC_stubble[kgCha-1]	dN_fru[kgNha-1]	dN_fru_export[kgNha-1]	dN_fol[kgNha-1]	dN_fol_export[kgNha-1]	dN_frt[kgNha-1]	dN_frt_export[kgNha-1]	dN_lst_above[kgNha-1]	dN_lst_above_export[kgNha-1]	dN_lst_below[kgNha-1]	dN_lst_below_export[kgNha-1]	dN_dst_above[kgNha-1]	dN_dst_above_export[kgNha-1]	dN_dst_below[kgNha-1]	dN_dst_below_export[kgNha-1]	dN_straw[kgNha-1]	dN_straw_export[kgNha-1]	dN_stubble[kgNha-1]
setup	0	1989-10-23 00:00:00	FOCO	-99.99	1565.97	1	2537.99	2537.99	0	0	345.722	0	0	0	0	0	0	0	0	0	1342.51	1006.88	335.626	59.8283	59.8283	0	0	5.51156	0	0	0	0	0	0	0	0	0	23.7915	17.8437	5.94789
setup	0	1990-10-17 00:00:00	SOYB	-99.99	1660	0.912589	915.118	915.118	0	0	134.445	0	0	0	0	0	0	0	0	0	1710.73	1283.05	427.684	75.8487	75.8487	0	0	4.7519	0	0	0	0	0	0	0	0	0	45.2096	33.9072	11.3024
setup	0	1991-10-10 00:00:00	FOCO	-99.99	1382.05	0.885929	1794.85	1794.85	0	0	379.944	0	0	0	0	0	0	0	0	0	1604.67	1203.5	401.166	50.5641	50.5641	0	0	8.02763	0	0	0	0	0	0	0	0	0	38.2997	28.7248	9.57492
setup	0	1992-10-26 00:00:00	SOYB	-99.99	1517.3	0.83414	803.867	803.867	0	0	172.484	0	0	0	0	0	0	0	0	0	2024.86	1518.65	506.216	98.2886	98.2886	0	0	8.3723	0	0	0	0	0	0	0	0	0	60.3658	45.2743	15.0914
setup	0	1993-11-08 00:00:00	FOCO	-99.99	1507.8	0.966538	2509.7	2509.7	0	0	366.698	0	0	0	0	0	0	0	0	0	1515.67	1136.76	378.918	56.6311	56.6311	0	0	8.43886	0	0	0	0	0	0	0	0	0	35.4835	26.6126	8.87088
setup	0	1994-10-07 00:00:00	SOYB	-99.99	1644.75	0.904206	1072.84	1072.84	0	0	171.207	0	0	0	0	0	0	0	0	0	2026.28	1519.71	506.571	105.242	105.242	0	0	7.003	0	0	0	0	0	0	0	0	0	54.5895	40.9421	13.6474
setup	0	1995-07-21 00:00:00	WIWH	-99.99	2209.8	1	1274.38	1274.38	0	0	172.746	0	0	0	0	0	0	0	0	0	1339.91	1004.94	334.979	32.3	32.3	0	0	1.41303	0	0	0	0	0	0	0	0	0	13.0617	9.79624	3.26541
setup	0	1996-10-31 00:00:00	FOCO	-99.99	1561.5	1	3438.37	3438.37	0	0	739.822	0	0	0	0	0	0	0	0	0	1607.84	1205.88	401.959	132	132	0	0	19.0267	0	0	0	0	0	0	0	0	0	42.8888	32.1666	10.7222
setup	0	1997-10-17 00:00:00	SOYB	-99.99	1651.45	0.907889	1012.23	1012.23	0	0	150.757	0	0	0	0	0	0	0	0	0	1900.4	1425.3	475.101	82.4972	82.4972	0	0	5.38336	0	0	0	0	0	0	0	0	0	49.7789	37.3341	12.4447
setup	0	1998-07-10 00:00:00	WIWH	-99.99	2011.87	0.914484	1056.2	1056.2	0	0	198.581	0	0	0	0	0	0	0	0	0	1423.57	1067.67	355.891	26.8757	26.8757	0	0	1.61099	0	0	0	0	0	0	0	0	0	14.2484	10.6863	3.5621
setup	0	1999-10-11 00:00:00	FOCO	-99.99	1560.46	1	2497.22	2497.22	0	0	358.797	0	0	0	0	0	0	0	0	0	1430.49	1072.87	357.622	53.8583	53.8583	0	0	3.80941	0	0	0	0	0	0	0	0	0	19.586	14.6895	4.89649
setup	0	2000-10-11 00:00:00	SOYB	-99.99	1567.42	0.861696	904.005	904.005	0	0	174.223	0	0	0	0	0	0	0	0	0	2030.56	1522.92	507.639	100.467	100.467	0	0	8.22954	0	0	0	0	0	0	0	0	0	59.0731	44.3048	14.7683
setup	0	2001-07-17 00:00:00	WIWH	-99.99	1911.9	0.869045	1368.21	1368.21	0	0	274.41	0	0	0	0	0	0	0	0	0	2045.31	1533.98	511.327	37.3741	37.3741	0	0	2.89875	0	0	0	0	0	0	0	0	0	25.8681	19.401	6.46701
setup	0	2002-10-23 00:00:00	FOCO	-99.99	1570.21	1	3387.59	3387.59	0	0	562.398	0	0	0	0	0	0	0	0	0	1686.28	1264.71	421.569	94.9152	94.9152	0	0	9.91669	0	0	0	0	0	0	0	0	0	38.1799	28.6349	9.54498
