source	id	datetime	daylength[h]	solar_radiation[Wm-2]	sw_radiation_above_canopy_in[Wm-2]	sw_radiation_above_canopy_out[Wm-2]	lw_radiation_above_canopy_in[Wm-2]	lw_radiation_above_canopy_out[Wm-2]	latent_heat_out_top[Wm-2]	latent_heat_out_bottom[Wm-2]	sensible_heat_out_top[Wm-2]	sensible_heat_out_bottom[Wm-2]	energy[Jm-2]	temp_above_canopy_avg[oC]	temp_above_canopy_min[oC]	temp_above_canopy_max[oC]	temp_canopy_top[oC]	temp_canopy_middle[oC]	temp_canopy_bottom[oC]	temp_surfacewater[oC]	temp_soil_surface[oC]	temp_5cm[oC]	temp_10cm[oC]	temp_15cm[oC]	temp_20cm[oC]	temp_30cm[oC]	temp_50cm[oC]	temp_100cm[oC]	vpd
setup	0	1989-01-01 00:00:00	8.94889	142.883	51.9676	5.19676	258.402	0	0	0	0	0	0	-3.9	-7.7	-0.1	-3.83524	-3.70571	-3.70571	-99.99	-3.64095	0	0.207793	2.2697	3.36483	5.37573	7.65508	9.01036	-nan
setup	0	1989-01-02 00:00:00	8.96089	143.526	40.7407	4.07407	271.303	0	0	0	0	0	0	-4.35	-8.5	-0.2	-4.31159	-4.23478	-4.23478	-99.99	-4.19638	-0.150249	2.22045e-16	0	0.926251	2.98381	5.88852	8.3081	-nan
setup	0	1989-01-03 00:00:00	8.97392	144.222	48.7269	4.87269	255.791	0	0	0	0	0	0	-5.65	-9.3	-2	-5.61244	-5.53732	-5.53732	-99.99	-5.49976	-0.412955	-0.130878	-0.00402147	1.11022e-16	1.32807	4.38893	7.46406	-nan
setup	0	1989-01-04 00:00:00	8.98798	144.97	88.6574	8.86574	183.387	0	0	0	0	0	0	-10.1	-17.9	-2.3	-10.0842	-10.0527	-10.0527	-99.99	-10.0369	-0.839127	-0.387772	-0.126545	-0.0504913	0	2.69034	6.49066	-nan
setup	0	1989-01-05 00:00:00	9.00306	145.769	66.7824	6.67824	234.155	0	0	0	0	0	0	-5.1	-10.8	0.6	-5.09355	-5.08066	-5.08066	-99.99	-5.07422	-1.96387	-1.06318	-0.521509	-0.327165	-0.0745371	2.16407	5.68263	-nan
setup	0	1989-01-06 00:00:00	9.01914	146.621	56.1343	5.61343	266.048	0	0	0	0	0	0	-1.8	-2.8	-0.8	-1.79801	-1.79403	-1.79403	-99.99	-1.79203	-1.51087	-1.10767	-0.61308	-0.291264	0.493564	2.16755	5.12937	-nan
setup	0	1989-01-07 00:00:00	9.03622	147.524	52.3148	5.23148	297.414	0	0.89619	0	0	0	0	4.45	-2	10.9	4.44118	4.42355	4.42355	-99.99	4.41473	3.81872	3.30934	2.88373	2.70345	2.53689	2.9522	4.92378	-nan
setup	0	1989-01-08 00:00:00	9.05428	148.478	61.8056	6.18056	247.748	0	0	0	0	0	0	-3.5	-11.3	4.3	-3.4644	-3.39319	-3.39319	-99.99	-3.35758	0	-2.22045e-16	-5.55112e-17	0.180427	1.19364	2.62268	4.71197	-nan
setup	0	1989-01-09 00:00:00	9.07331	149.484	70.8333	7.08333	216.781	0	0	0	0	0	0	-9.05	-12.3	-5.8	-8.9993	-8.89789	-8.89789	-99.99	-8.84718	-0.178276	-0.118424	-0.0247416	0	0	1.3935	4.25689	-nan
setup	0	1989-01-10 00:00:00	9.0933	150.541	101.852	10.1852	201.487	0	0	0	0	0	0	-3.4	-7.6	0.8	-3.38143	-3.34428	-3.34428	-99.99	-3.32571	-0.847007	-0.596658	-0.331868	-0.246008	-0.0879889	1.26804	3.86519	-nan
setup	0	1989-01-11 00:00:00	9.11423	151.649	84.6065	8.46065	225.654	0	0	0	0	0	0	-2.85	-7.6	1.9	-2.8357	-2.80711	-2.80711	-99.99	-2.79281	-1.06821	-0.751328	-0.429593	-0.31413	-0.102271	1.17419	3.5609	-nan
setup	0	1989-01-12 00:00:00	9.13608	152.808	101.736	10.1736	215.211	0	0	0	0	0	0	-0.6	-5.6	4.4	-0.596898	-0.590693	-0.590693	-99.99	-0.587591	-0.497421	-0.340607	-0.12898	0.0132653	0.407433	1.34946	3.37426	-nan
setup	0	1989-01-13 00:00:00	9.15885	154.017	112.037	11.2037	189.525	0	0	0	0	0	0	-4.3	-7.5	-1.1	-4.29926	-4.29779	-4.29779	-99.99	-4.29706	-1.23048	-0.868939	-0.506464	0	0	0.945835	3.14102	-nan
setup	0	1989-01-14 00:00:00	9.18251	155.277	31.8287	3.18287	278.358	0	0	0	0	0	0	-6.2	-8.4	-4	-6.199	-6.19699	-6.19699	-99.99	-6.19598	-1.57267	-1.10559	-0.65589	-0.115153	-0.0434642	0.36259	2.81881	-nan
setup	0	1989-01-15 00:00:00	9.20705	156.586	56.0185	5.60185	270.095	0	0	0	0	0	0	-1.7	-4.1	0.7	-1.69968	-1.69904	-1.69904	-99.99	-1.69873	-1.5329	-1.25319	-0.918663	-0.319668	-0.153013	0.655671	2.63084	-nan
setup	0	1989-01-16 00:00:00	9.23246	157.946	87.6157	8.76157	234.375	0	0	0	0	0	0	-1.4	-4.9	2.1	-1.39909	-1.39726	-1.39726	-99.99	-1.39635	-1.25392	-1.03519	-0.757512	-0.351216	-0.125024	0.745912	2.51373	-nan
setup	0	1989-01-17 00:00:00	9.25871	159.354	76.1574	7.61574	263.188	0	0.0743988	0	0	0	0	1.25	-0.6	3.1	1.24849	1.24546	1.24546	-99.99	1.24395	1.04828	0.876589	0.758104	0.72861	0.754854	1.13394	2.50182	-nan
setup	0	1989-01-18 00:00:00	9.2858	160.813	81.1343	8.11343	260.247	0	0.0892233	0	0	0	0	1.95	-1.3	5.2	1.94526	1.93578	1.93578	-99.99	1.93104	1.8105	1.66068	1.52775	1.46817	1.40623	1.55668	2.57506	-nan
setup	0	1989-01-19 00:00:00	9.3137	162.319	87.5	8.75	255.889	0	0.220394	0	0	0	0	2.8	-2.2	7.8	2.79409	2.78226	2.78226	-99.99	2.77635	2.62662	2.43503	2.25174	2.15845	2.01157	1.98675	2.70737	-nan
setup	0	1989-01-20 00:00:00	9.3424	163.875	57.0602	5.70602	251.54	0	0	0	0	0	0	-6	-11.7	-0.3	-5.95767	-5.87301	-5.87301	-99.99	-5.83068	-8.88178e-16	-4.44089e-16	-4.44089e-16	0	0	1.21491	2.61172	-nan
setup	0	1989-01-21 00:00:00	9.37188	165.479	94.213	9.4213	201.967	0	0	0	0	0	0	-7.65	-13.9	-1.4	-7.61019	-7.53057	-7.53057	-99.99	-7.49076	-0.360698	-0.248875	-0.150224	-0.100848	-0.0151726	0.258764	2.29216	-nan
setup	0	1989-01-22 00:00:00	9.40212	167.13	112.616	11.2616	221.625	0	0.0304181	0	0	0	0	1.2	-4.3	6.7	1.19475	1.18426	1.18426	-99.99	1.17902	1.03485	0.885135	0.762574	0.71161	0.670419	0.898901	2.18233	-nan
setup	0	1989-01-23 00:00:00	9.43311	168.829	113.657	11.3657	237.311	0	0.54035	0	0	0	0	4.35	-1.6	10.3	4.33255	4.29765	4.29765	-99.99	4.2802	3.83012	3.26783	2.73529	2.46082	1.9938	1.65296	2.28644	-nan
setup	0	1989-01-24 00:00:00	9.46482	170.574	59.9537	5.99537	291.45	0	0.202147	0	0	0	0	2.8	-1.3	6.9	2.79923	2.7977	2.7977	-99.99	2.79693	2.77354	2.6972	2.57441	2.48901	2.29804	2.08497	2.45775	-nan
setup	0	1989-01-25 00:00:00	9.49725	172.367	32.4074	3.24074	312.571	0	0.0203045	0	0	0	0	0.9	-1.7	3.5	0.907888	0.923664	0.923664	-99.99	0.931551	1.14082	1.38936	1.61074	1.71955	1.90148	2.10438	2.56815	-nan
