source	id	datetime	irri[mm]	prec[mm]	throughfall[mm]	evapot[mm]	transp[mm]	evacep[mm]	evasoil[mm]	evasurfacewater[mm]	runoff[mm]	percol[mm]	infiltration[mm]	groundwateraccess[mm]	groundwaterloss[mm]	capillaryrise[mm]	snow_height[mm]	snow[mmh2oeq]	surfacewater[mm]	soil_water[mm]	root_soil_water[mm]	leafwater[mm]	soilwater_floor[%]	soilwater_5cm[%]	soilwater_10cm[%]	soilwater_15cm[%]	soilwater_20cm[%]	soilwater_30cm[%]	soilwater_40cm[%]	soilwater_50cm[%]	soilwater_60cm[%]	soilwater_80cm[%]	soilwater_100cm[%]	soilwater_120cm[%]	capillary_pressure_5cm[hPa]	capillary_pressure_10cm[hPa]	capillary_pressure_15cm[hPa]	capillary_pressure_20cm[hPa]	capillary_pressure_30cm[hPa]	capillary_pressure_50cm[hPa]	capillary_pressure_100cm[hPa]	groundwaterdepth[m]	irrigationreservoir[m]	plant_waterdeficit[m]
setup	0	1989-01-01 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.6897	12.2725	5.82726	2.32949	2.03564	2.03564	2.03564	1.82398	0.994071	0.96123	99	0	0
setup	0	1989-01-02 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.6208	12.2922	5.86416	2.92098	2.28991	2.04312	2.03564	1.82398	0.994071	0.957178	99	0	0
setup	0	1989-01-03 00:00:00	0	1.27	1.27	0	0	0	0	0	0	0	0	0	0	0	6.35	1.27	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.5739	12.3029	5.88552	4.13853	2.85959	2.28112	2.13108	1.82398	0.994071	0.95498	99	0	0
setup	0	1989-01-04 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35	1.27	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.5366	12.3078	5.90023	9.86209	4.939	3.19806	2.71609	1.95225	0.994071	0.953983	99	0	0
setup	0	1989-01-05 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.35	1.27	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.505	12.3094	5.91134	14.1035	6.27397	3.70941	3.01167	1.98382	0.994071	0.953665	99	0	0
setup	0	1989-01-06 00:00:00	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	7.6	1.52	0	242.317	0	0	-99.99	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.1885	21.4778	12.3092	5.92021	14.1035	6.27397	3.70941	3.01167	1.82398	0.994071	0.953706	99	0	0
setup	0	1989-01-07 00:00:00	0	17.02	17.02	0.0629094	0	0	0.015245	0.0157273	0.0145193	0	18.5098	0	0	0	0	0	0	260.812	0	0	-99.99	26.0309	36.7718	27.6652	25.3451	21.3678	21.19	21.1885	21.1885	21.4542	12.3081	5.92753	1.1708	0.438466	0.994864	1.25718	1.78208	0.994069	0.953921	99	0	0
setup	0	1989-01-08 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	29.2841	25.2377	22.6672	21.2265	21.1922	21.4337	12.3067	5.93369	1.47581	1.40373	1.24093	0.853117	1.13294	0.988763	0.954208	99	0	0
setup	0	1989-01-09 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.809	25.529	23.8649	22.1929	21.5594	21.4159	12.3052	5.93895	2.48435	2.06313	1.60683	1.47813	1.18772	0.865533	0.954512	99	0	0
setup	0	1989-01-10 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.809	25.3312	23.5565	22.527	22.1232	21.4004	12.3038	5.94347	2.91138	2.31741	1.73689	1.56267	1.22826	0.827477	0.954806	99	0	0
setup	0	1989-01-11 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.809	25.0527	23.4152	22.7297	22.479	21.3869	12.3025	5.94738	3.26085	2.52626	1.84427	1.63117	1.27642	0.805401	0.955077	99	0	0
setup	0	1989-01-12 00:00:00	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	1.25	0.25	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.4304	24.7293	23.5214	22.892	22.6845	21.3758	12.3013	5.95076	3.26085	2.52626	1.84427	1.24597	1.19715	0.788245	0.955319	99	0	0
setup	0	1989-01-13 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0.25	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.4056	24.5554	23.5086	23.0098	22.7753	21.3795	12.3012	5.95377	4.11434	2.99138	2.06658	1.38118	1.26871	0.77606	0.955324	99	0	0
setup	0	1989-01-14 00:00:00	0	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	2.5	0.5	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.4056	24.5212	23.4604	22.997	22.8209	21.3975	12.3048	5.9569	6.2748	4.04674	2.53799	1.63751	1.40164	0.777372	0.954592	99	0	0
setup	0	1989-01-15 00:00:00	0	0.51	0.51	0	0	0	0	0	0	0	0	0	0	0	5.05	1.01	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.4056	24.5212	23.3198	23.0434	22.8531	21.4184	12.3119	5.96059	6.2748	4.04674	2.53799	1.67973	1.4089	0.772631	0.953148	99	0	0
setup	0	1989-01-16 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.05	1.01	0	260.812	0	0	-99.99	25.2854	25.2785	25.6791	25.4056	24.5212	23.3121	23.0564	22.8795	21.4398	12.3211	5.96485	6.2748	4.04674	2.53799	1.7043	1.4089	0.77131	0.951295	99	0	0
setup	0	1989-01-17 00:00:00	0	0	0	0.00378092	0	0	0.000523227	0.002048	0	0	1.00795	0	0	0	0	0	0	261.819	0	0	-99.99	25.4001	25.3305	25.4357	25.344	24.781	23.6004	23.0943	22.9024	21.4607	12.3313	5.96953	1.24993	1.2591	1.24527	1.25732	1.1904	0.767472	0.949223	99	0	0
setup	0	1989-01-18 00:00:00	0	0	0	0.010238	0	0	0.00308356	0	0	0	0	0	0	0	0	0	0	261.816	0	0	-99.99	25.3687	25.361	25.3094	25.2062	24.6147	23.7015	23.1857	22.9483	21.4821	12.3421	5.97447	1.25406	1.25507	1.26191	1.27573	1.2123	0.758296	0.947048	99	0	0
setup	0	1989-01-19 00:00:00	0	1.13	1.13	0.0230388	0	0	0.00665687	0.000959949	0	0	1.12904	0	0	0	0	0	0	262.938	0	0	-99.99	25.3185	25.3414	25.2671	25.2062	25.0733	24.1432	23.3557	23.0219	21.5078	12.3537	5.97961	1.2607	1.25766	1.26755	1.27573	1.15317	0.741583	0.944733	99	0	0
setup	0	1989-01-20 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262.938	0	0	-99.99	25.3185	25.3414	25.2671	25.2062	24.8183	24.0609	23.4624	23.1143	21.5421	12.3668	5.98505	1.70832	1.55597	1.44403	1.39333	1.20187	0.731321	0.942106	99	0	0
setup	0	1989-01-21 00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262.938	0	0	-99.99	25.3185	25.3414	25.2671	25.2062	24.8183	23.9797	23.4058	23.1541	21.5828	12.3826	5.99105	2.67577	2.18292	1.84025	1.69114	1.34123	0.736745	0.938979	99	0	0
setup	0	1989-01-22 00:00:00	0	0	0	0.00350489	0	0	0.00105125	0	0	0	0	0	0	0	0	0	0	262.937	0	0	-99.99	25.3142	25.2981	25.2305	25.1447	24.6964	23.9615	23.4686	23.1877	21.6204	12.4002	5.99774	1.26127	1.26341	1.27246	1.28406	1.20147	0.730727	0.935511	99	0	0
setup	0	1989-01-23 00:00:00	0	0	0	0.0624218	0	0	0.0186745	0	0	0	0	0	0	0	0	0	0	262.919	0	0	-99.99	25.2751	25.25	25.1585	25.0557	24.6153	23.9616	23.5069	23.229	21.6558	12.4181	6.00492	1.26647	1.26983	1.28218	1.29626	1.21223	0.727086	0.931989	99	0	0
