source,id,datetime,species,day_emergence,gdd[oC],dvs_flush[-],dvs_mort[-],dN_don_upt[kgNm-2],dN_nh4_upt[kgNm-2],dN_no3_upt[kgNm-2],dN_nh3_upt[kgNm-2],dN_nox_upt[kgNm-2],dN_n2_fix[kgNm-2],dC_fol_grow[kgCm-2],dC_fru_grow[kgCm-2],dC_frt_grow[kgCm-2],dC_lst_grow[kgCm-2],dC_fac_grow[kgCm-2],dC_fol_resp[kgCm-2],dC_fru_resp[kgCm-2],dC_frt_resp[kgCm-2],dC_lst_resp[kgCm-2],dC_maintenance_resp[kgCm-2],dC_transport_resp[kgCm-2],dC_growth_resp[kgCm-2],dC_co2_upt[kgCm-2],f_fac,DW_fol[kgDWm-2],DW_dfol[kgDWm-2],DW_fru[kgDWm-2],DW_stemfru[kgDWm-2],DW_frt[kgDWm-2],DW_lst[kgDWm-2],DW_dst[kgDWm-2],DW_below[kgDWm-2],DW_above[kgDWm-2],lai,specific_leaf_area[m2kg-1],N_ret[kgNm-2],NC_fol[gNgDW-1],NC_fru[gNgDW-1],NC_frt[gNgDW-1],NC_lst[gNgDW-1],NC_dst[gNgDW-1],N_total[kgNm-2],dDW_fol_sen[kgDWm-2],dDW_fru_sen[kgDWm-2],dDW_frt_sen[kgDWm-2],dDW_lst_sen_below[kgDWm-2],dDW_lst_sen_above[kgDWm-2],dC_exsudates[kgCm-2],dN_lit_fol[kgNm-2],dN_lit_fru[kgNm-2],dN_lit_frt[kgNm-2],dN_lit_ldst_below[kgNm-2],dN_lit_ldst_above[kgNm-2],drought_rel[-],conduct_rel[-],vc_act_25[umol:m-2:s-1],iso_act[nmol:m-2:s-1],mono_act[nmol:m-2:s-1],d_iso_emis[umol:m-2],d_mono_emis[umol:m-2],d_mono_storage_emis[umol:m-2],d_ovoc_emis[umol:m-2],dN_nh4_throughf[kgN:L-1],dN_no3_throughf[kgN:L-1]
setup,0,11/9/2048 23:00,WIWH,-1,18.9347,0.00860669,0.00860669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.765169,0,0,0,0,0,0,0,0,0,0
setup,0,11/10/2048 23:00,WIWH,-1,37.2347,0.0169249,0.0169249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.954501,0,0,0,0,0,0,0,0,8.92E-06,5.12E-06
setup,0,11/11/2048 23:00,WIWH,-1,42.8847,0.0194931,0.0194931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.95248,0,0,0,0,0,0,0,0,7.43E-07,4.27E-07
setup,0,11/12/2048 23:00,WIWH,-1,46.4847,0.0211294,0.0211294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.95537,0,0,0,0,0,0,0,0,0,0
setup,0,11/13/2048 23:00,WIWH,-1,46.8347,0.0212885,0.0212885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.963118,0,0,0,0,0,0,0,0,6.86E-07,3.95E-07
setup,0,11/14/2048 23:00,WIWH,-1,46.8347,0.0212885,0.0212885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.946976,0,0,0,0,0,0,0,0,2.97E-06,1.71E-06
setup,0,11/15/2048 23:00,WIWH,-1,54.0347,0.0245612,0.0245612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.984627,0,0,0,0,0,0,0,0,6.00E-06,3.45E-06
setup,0,11/16/2048 23:00,WIWH,-1,57.5347,0.0261521,0.0261521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.950787,0,0,0,0,0,0,0,0,0,0
setup,0,11/17/2048 23:00,WIWH,-1,57.5347,0.0261521,0.0261521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.937397,0,0,0,0,0,0,0,0,0,0
setup,0,11/18/2048 23:00,WIWH,-1,58.7847,0.0267203,0.0267203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.948213,0,0,0,0,0,0,0,0,0,0
setup,0,11/19/2048 23:00,WIWH,-1,69.9347,0.0317885,0.0317885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.946606,0,0,0,0,0,0,0,0,0,0
setup,0,11/20/2048 23:00,WIWH,-1,80.1347,0.0364249,0.0364249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.944309,0,0,0,0,0,0,0,0,0,0
setup,0,11/21/2048 23:00,WIWH,-1,84.8347,0.0385612,0.0385612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.943985,0,0,0,0,0,0,0,0,0,0
setup,0,11/22/2048 23:00,WIWH,-1,86.1347,0.0391521,0.0391521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.958372,0,0,0,0,0,0,0,0,2.92E-06,1.68E-06
setup,0,11/23/2048 23:00,WIWH,-1,87.8347,0.0399249,0.0399249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.957781,0,0,0,0,0,0,0,0,5.37E-08,3.09E-08
setup,0,11/24/2048 23:00,WIWH,-1,87.8347,0.0399249,0.0399249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.961118,0,0,0,0,0,0,0,0,3.67E-06,2.11E-06
setup,0,11/25/2048 23:00,WIWH,-1,93.6347,0.0425612,0.0425612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0072,0,0,0,0.0008,0,0,0.0008,0.0072,0.15264,21.2,0,0.02,0.031,0.0105,0,0,0.0001524,0,0,0,0,0,0,0,0,0,0,0,0.984964,0,0,0,0,0,0,0,0,5.99E-06,3.44E-06
setup,0,11/26/2048 23:00,WIWH,331,100.335,0.0456067,0.0456067,0,0,0,0,0,0,0,0,-8.17E-08,0,0,2.15E-06,0,7.97E-08,0,2.23E-06,0,0,0,0,0.00719522,0,0,0,0.000799818,0,0,0.000799818,0.00719522,0.15264,21.2,0,0.0200128,0.031,0.0105067,0,0,0.0001524,0,0,0,0,0,1.99E-09,0,0,0,0,0,0.964007,0,80,0,0,0,0,0,0,0,0
setup,0,11/27/2048 23:00,WIWH,331,104.785,0.0476294,0.0476294,0,4.93E-07,5.09E-06,0,0,0,0.000108298,0,8.13E-05,0,0,2.40E-05,0,9.98E-07,0,2.50E-05,0,3.68E-05,0.000208807,0,0.00734007,0,0,0,0.000980499,0,0,0.000980499,0.00734007,0.155609,21.2,0,0.0201131,0.031,0.0105594,0,0,0.000157985,0,0,0,0,0,4.68E-07,0,0,0,0,0,0.959258,0.171939,80,0,0,0,0,0,0,0,0
setup,0,11/28/2048 23:00,WIWH,331,107.635,0.0489249,0.0489249,0,9.99E-07,8.28E-06,0,0,0,0.000168591,0,0.00012681,0,0,1.87E-05,0,9.87E-07,0,1.97E-05,0,5.73E-05,0.000324639,0,0.00760704,0,0,0,0.0012623,0,0,0.0012623,0.00760704,0.161269,21.2,0,0.020226,0.031,0.0106187,0,0,0.000167264,0,0,0,0,0,7.13E-07,0,0,0,0,0,0.95849,0.190081,80,0,0,0,0,0,0,0,0
setup,0,11/29/2048 23:00,WIWH,331,112.885,0.0513112,0.0513112,0,9.28E-07,8.04E-06,0,0,0,0.000193432,0,0.000144449,0,0,2.77E-05,0,1.73E-06,0,2.94E-05,0,6.56E-05,0.000371944,0,0.00789953,0,0,0,0.0015833,0,0,0.0015833,0.00789953,0.16747,21.2,0,0.0201847,0.031,0.010597,0,0,0.000176228,0,0,0,0,0,8.31E-07,0,0,0,0,0,0.955942,0.234923,80,0,0,0,0,0,0,0,0
setup,0,11/30/2048 23:00,WIWH,331,114.285,0.0519476,0.0519476,0,2.77E-07,3.18E-06,0,0,0,8.98E-05,0,6.63E-05,0,0,1.89E-05,0,1.33E-06,0,2.03E-05,0,3.04E-05,0.000172433,0,0.00802177,0,0,0,0.00173072,0,0,0.00173072,0.00802177,0.170062,21.2,0,0.0201201,0.031,0.010563,0,0,0.00017968,0,0,0,0,0,3.98E-07,0,0,0,0,0,0.955723,0.138465,80,0,0,0,0,0,0,0,0
