source,id,datetime,species,days_on_field,temp_cum,dvs_flush,dC_fru[kgCha-1],dC_fru_export[kgCha-1],dC_fol[kgCha-1],dC_fol_export[kgCha-1],dC_frt[kgCha-1],dC_frt_export[kgCha-1],dC_lst_above[kgCha-1],dC_lst_above_export[kgCha-1],dC_lst_below[kgCha-1],dC_lst_below_export[kgCha-1],dC_dst_above[kgCha-1],dC_dst_above_export[kgCha-1],dC_dst_below[kgCha-1],dC_dst_below_export[kgCha-1],dC_straw[kgCha-1],dC_straw_export[kgCha-1],dC_stubble[kgCha-1],dN_fru[kgNha-1],dN_fru_export[kgNha-1],dN_fol[kgNha-1],dN_fol_export[kgNha-1],dN_frt[kgNha-1],dN_frt_export[kgNha-1],dN_lst_above[kgNha-1],dN_lst_above_export[kgNha-1],dN_lst_below[kgNha-1],dN_lst_below_export[kgNha-1],dN_dst_above[kgNha-1],dN_dst_above_export[kgNha-1],dN_dst_below[kgNha-1],dN_dst_below_export[kgNha-1],dN_straw[kgNha-1],dN_straw_export[kgNha-1],dN_stubble[kgNha-1]
setup,0,1850-10-23 00:00:00,FOCO,172,2895.52,1,600.883,600.883,0,0,181.258,0,0,0,0,0,0,0,0,0,871.186,653.389,217.796,10.0524,10.0524,0,0,1.52642,0,0,0,0,0,0,0,0,0,8.53005,6.39754,2.13251
setup,0,1851-10-23 00:00:00,FOCO,172,2895.52,1,572.532,572.532,0,0,158.101,0,0,0,0,0,0,0,0,0,767.519,575.639,191.88,10.8665,10.8665,0,0,1.53135,0,0,0,0,0,0,0,0,0,8.42766,6.32075,2.10692
setup,0,1852-10-23 00:00:00,FOCO,172,2893.77,1,524.29,524.29,0,0,157.122,0,0,0,0,0,0,0,0,0,756.937,567.703,189.234,9.36894,9.36894,0,0,1.42353,0,0,0,0,0,0,0,0,0,7.8688,5.9016,1.9672
setup,0,1853-10-23 00:00:00,FOCO,172,2893.77,1,534.048,534.048,0,0,157.171,0,0,0,0,0,0,0,0,0,758.28,568.71,189.57,9.711,9.711,0,0,1.45177,0,0,0,0,0,0,0,0,0,8.01101,6.00826,2.00275
setup,0,1854-10-23 00:00:00,FOCO,172,2893.77,1,549.616,549.616,0,0,158.553,0,0,0,0,0,0,0,0,0,766.332,574.749,191.583,10.1376,10.1376,0,0,1.48782,0,0,0,0,0,0,0,0,0,8.19923,6.14942,2.04981
setup,0,1855-10-23 00:00:00,FOCO,172,2893.77,1,558.433,558.433,0,0,159.397,0,0,0,0,0,0,0,0,0,771.509,578.632,192.877,10.444,10.444,0,0,1.51898,0,0,0,0,0,0,0,0,0,8.36204,6.27153,2.09051
setup,0,1856-10-23 00:00:00,FOCO,172,2894.69,1,570.642,570.642,0,0,162.732,0,0,0,0,0,0,0,0,0,781.248,585.936,195.312,10.6628,10.6628,0,0,1.54914,0,0,0,0,0,0,0,0,0,8.45881,6.34411,2.1147
setup,0,1857-10-23 00:00:00,FOCO,172,2894.69,1,572.482,572.482,0,0,162.398,0,0,0,0,0,0,0,0,0,780.207,585.155,195.052,10.74,10.74,0,0,1.55282,0,0,0,0,0,0,0,0,0,8.47766,6.35824,2.11941
setup,0,1858-10-23 00:00:00,FOCO,172,2894.69,1,575.284,575.284,0,0,162.303,0,0,0,0,0,0,0,0,0,780.378,585.284,195.095,10.815,10.815,0,0,1.55547,0,0,0,0,0,0,0,0,0,8.49521,6.37141,2.1238
setup,0,1859-10-23 00:00:00,FOCO,172,2894.69,1,576.729,576.729,0,0,162.417,0,0,0,0,0,0,0,0,0,781.04,585.78,195.26,10.8566,10.8566,0,0,1.55887,0,0,0,0,0,0,0,0,0,8.51298,6.38473,2.12824
