source,id,datetime,species,days_on_field,temp_cum,dvs_flush,dC_fru[kgCha-1],dC_fru_export[kgCha-1],dC_fol[kgCha-1],dC_fol_export[kgCha-1],dC_frt[kgCha-1],dC_frt_export[kgCha-1],dC_lst_above[kgCha-1],dC_lst_above_export[kgCha-1],dC_lst_below[kgCha-1],dC_lst_below_export[kgCha-1],dC_dst_above[kgCha-1],dC_dst_above_export[kgCha-1],dC_dst_below[kgCha-1],dC_dst_below_export[kgCha-1],dC_straw[kgCha-1],dC_straw_export[kgCha-1],dC_stubble[kgCha-1],dN_fru[kgNha-1],dN_fru_export[kgNha-1],dN_fol[kgNha-1],dN_fol_export[kgNha-1],dN_frt[kgNha-1],dN_frt_export[kgNha-1],dN_lst_above[kgNha-1],dN_lst_above_export[kgNha-1],dN_lst_below[kgNha-1],dN_lst_below_export[kgNha-1],dN_dst_above[kgNha-1],dN_dst_above_export[kgNha-1],dN_dst_below[kgNha-1],dN_dst_below_export[kgNha-1],dN_straw[kgNha-1],dN_straw_export[kgNha-1],dN_stubble[kgNha-1]
setup,0,1850-10-23 00:00:00,FOCO,172,1478.13,0.947517,906.353,906.353,0,0,408.224,0,0,0,0,0,0,0,0,0,1775.21,1331.41,443.803,10.4855,10.4855,0,0,2.28654,0,0,0,0,0,0,0,0,0,12.7814,9.58604,3.19535
setup,0,1851-10-23 00:00:00,FOCO,172,1478.13,0.947517,581.402,581.402,0,0,237.043,0,0,0,0,0,0,0,0,0,1090.66,817.998,272.666,6.98844,6.98844,0,0,1.38432,0,0,0,0,0,0,0,0,0,8.09954,6.07466,2.02489
setup,0,1852-10-23 00:00:00,FOCO,172,1482.73,0.950471,555.637,555.637,0,0,244.906,0,0,0,0,0,0,0,0,0,1116.51,837.381,279.127,6.31989,6.31989,0,0,1.34644,0,0,0,0,0,0,0,0,0,7.8628,5.8971,1.9657
setup,0,1853-10-23 00:00:00,FOCO,172,1482.73,0.950471,517.618,517.618,0,0,232.746,0,0,0,0,0,0,0,0,0,1065.65,799.236,266.412,5.79078,5.79078,0,0,1.25663,0,0,0,0,0,0,0,0,0,7.38775,5.54082,1.84694
setup,0,1854-10-23 00:00:00,FOCO,172,1482.73,0.950471,500.948,500.948,0,0,229.001,0,0,0,0,0,0,0,0,0,1048.57,786.425,262.142,5.53825,5.53825,0,0,1.22051,0,0,0,0,0,0,0,0,0,7.18984,5.39238,1.79746
setup,0,1855-10-23 00:00:00,FOCO,172,1482.73,0.950471,491.401,491.401,0,0,227.555,0,0,0,0,0,0,0,0,0,1041.43,781.069,260.356,5.38288,5.38288,0,0,1.20066,0,0,0,0,0,0,0,0,0,7.07923,5.30942,1.76981
setup,0,1856-10-23 00:00:00,FOCO,172,1487.62,0.953606,489.05,489.05,0,0,223.902,0,0,0,0,0,0,0,0,0,1034.29,775.716,258.572,5.3357,5.3357,0,0,1.17635,0,0,0,0,0,0,0,0,0,6.99333,5.245,1.74833
setup,0,1857-10-23 00:00:00,FOCO,172,1487.62,0.953606,489.735,489.735,0,0,225.317,0,0,0,0,0,0,0,0,0,1040.08,780.059,260.02,5.32764,5.32764,0,0,1.18003,0,0,0,0,0,0,0,0,0,7.01342,5.26007,1.75336
setup,0,1858-10-23 00:00:00,FOCO,172,1487.62,0.953606,493.671,493.671,0,0,227.479,0,0,0,0,0,0,0,0,0,1048.77,786.574,262.191,5.36776,5.36776,0,0,1.19071,0,0,0,0,0,0,0,0,0,7.06958,5.30218,1.76739
setup,0,1859-10-23 00:00:00,FOCO,172,1487.62,0.953606,502.561,502.561,0,0,232.782,0,0,0,0,0,0,0,0,0,1070.88,803.158,267.719,5.45035,5.45035,0,0,1.21503,0,0,0,0,0,0,0,0,0,7.20042,5.40032,1.80011
setup,0,1860-10-23 00:00:00,FOCO,172,1487.25,0.953365,504.092,504.092,0,0,230.728,0,0,0,0,0,0,0,0,0,1068.83,801.624,267.208,5.47007,5.47007,0,0,1.20505,0,0,0,0,0,0,0,0,0,7.19047,5.39285,1.79762
setup,0,1861-10-23 00:00:00,FOCO,172,1487.25,0.953365,505.89,505.89,0,0,231.968,0,0,0,0,0,0,0,0,0,1074.06,805.546,268.515,5.48391,5.48391,0,0,1.21016,0,0,0,0,0,0,0,0,0,7.21916,5.41437,1.80479
setup,0,1862-10-23 00:00:00,FOCO,172,1487.25,0.953365,505.659,505.659,0,0,231.621,0,0,0,0,0,0,0,0,0,1073.62,805.216,268.405,5.48191,5.48191,0,0,1.20847,0,0,0,0,0,0,0,0,0,7.21714,5.41286,1.80429
setup,0,1863-10-23 00:00:00,FOCO,172,1487.25,0.953365,505.687,505.687,0,0,231.832,0,0,0,0,0,0,0,0,0,1073.92,805.443,268.481,5.48092,5.48092,0,0,1.20925,0,0,0,0,0,0,0,0,0,7.21652,5.41239,1.80413
setup,0,1864-10-23 00:00:00,FOCO,172,1486.71,0.95302,503.509,503.509,0,0,229.906,0,0,0,0,0,0,0,0,0,1071.57,803.678,267.893,5.46206,5.46206,0,0,1.20036,0,0,0,0,0,0,0,0,0,7.20831,5.40623,1.80208
setup,0,1865-10-23 00:00:00,FOCO,172,1486.71,0.95302,504.658,504.658,0,0,230.829,0,0,0,0,0,0,0,0,0,1075.68,806.761,268.92,5.46781,5.46781,0,0,1.20356,0,0,0,0,0,0,0,0,0,7.22789,5.42092,1.80697
setup,0,1866-10-23 00:00:00,FOCO,172,1486.71,0.95302,504.57,504.57,0,0,231.023,0,0,0,0,0,0,0,0,0,1076.41,807.306,269.102,5.46302,5.46302,0,0,1.20365,0,0,0,0,0,0,0,0,0,7.2281,5.42108,1.80703
setup,0,1867-10-23 00:00:00,FOCO,172,1486.71,0.95302,503.93,503.93,0,0,231,0,0,0,0,0,0,0,0,0,1076.23,807.169,269.056,5.45151,5.45151,0,0,1.20243,0,0,0,0,0,0,0,0,0,7.22142,5.41607,1.80536
setup,0,1868-10-23 00:00:00,FOCO,172,1485.36,0.952157,506.387,506.387,0,0,235.361,0,0,0,0,0,0,0,0,0,1075.36,806.523,268.841,5.49714,5.49714,0,0,1.22969,0,0,0,0,0,0,0,0,0,7.24153,5.43115,1.81038
setup,0,1869-10-23 00:00:00,FOCO,172,1485.36,0.952157,503.107,503.107,0,0,234.37,0,0,0,0,0,0,0,0,0,1071.6,803.7,267.9,5.45352,5.45352,0,0,1.22255,0,0,0,0,0,0,0,0,0,7.20538,5.40404,1.80135
setup,0,1870-10-23 00:00:00,FOCO,172,1485.36,0.952157,501.466,501.466,0,0,233.857,0,0,0,0,0,0,0,0,0,1069.28,801.957,267.319,5.4279,5.4279,0,0,1.21795,0,0,0,0,0,0,0,0,0,7.18008,5.38506,1.79502
setup,0,1871-10-23 00:00:00,FOCO,172,1485.36,0.952157,499.488,499.488,0,0,233.414,0,0,0,0,0,0,0,0,0,1067.05,800.285,266.762,5.40297,5.40297,0,0,1.2148,0,0,0,0,0,0,0,0,0,7.16191,5.37143,1.79048
setup,0,1872-10-23 00:00:00,FOCO,172,1478.7,0.947882,493.725,493.725,0,0,234.377,0,0,0,0,0,0,0,0,0,1064.82,798.614,266.205,5.34006,5.34006,0,0,1.21949,0,0,0,0,0,0,0,0,0,7.16122,5.37092,1.79031
setup,0,1873-10-23 00:00:00,FOCO,172,1478.7,0.947882,491.801,491.801,0,0,232.941,0,0,0,0,0,0,0,0,0,1060.1,795.075,265.025,5.32199,5.32199,0,0,1.2127,0,0,0,0,0,0,0,0,0,7.13308,5.34981,1.78327
setup,0,1874-10-23 00:00:00,FOCO,172,1478.7,0.947882,491.101,491.101,0,0,232.855,0,0,0,0,0,0,0,0,0,1059.67,794.749,264.916,5.31046,5.31046,0,0,1.21127,0,0,0,0,0,0,0,0,0,7.12543,5.34408,1.78136
setup,0,1875-10-23 00:00:00,FOCO,172,1478.7,0.947882,490.307,490.307,0,0,232.762,0,0,0,0,0,0,0,0,0,1059.24,794.434,264.811,5.29842,5.29842,0,0,1.20993,0,0,0,0,0,0,0,0,0,7.11833,5.33875,1.77958
setup,0,1876-08-30 00:00:00,FOCO,118,1204.75,0.772276,194.652,194.652,0,0,293.852,0,0,0,0,0,0,0,0,0,1028.91,771.683,257.228,2.17518,2.17518,0,0,1.57392,0,0,0,0,0,0,0,0,0,7.76091,5.82068,1.94023
setup,0,1877-08-30 00:00:00,FOCO,118,1204.75,0.772276,194.495,194.495,0,0,302.341,0,0,0,0,0,0,0,0,0,1055.72,791.79,263.93,2.17578,2.17578,0,0,1.62128,0,0,0,0,0,0,0,0,0,7.9708,5.9781,1.9927
setup,0,1878-08-30 00:00:00,FOCO,118,1204.75,0.772276,194.971,194.971,0,0,304.166,0,0,0,0,0,0,0,0,0,1062.2,796.652,265.551,2.19286,2.19286,0,0,1.64069,0,0,0,0,0,0,0,0,0,8.0629,6.04718,2.01573
setup,0,1879-08-30 00:00:00,FOCO,118,1204.75,0.772276,195.182,195.182,0,0,306.236,0,0,0,0,0,0,0,0,0,1068.82,801.618,267.206,2.19723,2.19723,0,0,1.65351,0,0,0,0,0,0,0,0,0,8.12247,6.09185,2.03062
setup,0,1880-08-30 00:00:00,FOCO,118,1210.82,0.776164,204.859,204.859,0,0,306.687,0,0,0,0,0,0,0,0,0,1057.28,792.962,264.321,2.2945,2.2945,0,0,1.64703,0,0,0,0,0,0,0,0,0,7.97831,5.98373,1.99458
setup,0,1881-08-30 00:00:00,FOCO,118,1210.82,0.776164,204.491,204.491,0,0,306.395,0,0,0,0,0,0,0,0,0,1056.89,792.666,264.222,2.28821,2.28821,0,0,1.64375,0,0,0,0,0,0,0,0,0,7.96923,5.97692,1.99231
setup,0,1882-08-30 00:00:00,FOCO,118,1210.82,0.776164,204.396,204.396,0,0,306.173,0,0,0,0,0,0,0,0,0,1056.21,792.16,264.053,2.28605,2.28605,0,0,1.6417,0,0,0,0,0,0,0,0,0,7.95916,5.96937,1.98979
setup,0,1883-08-30 00:00:00,FOCO,118,1210.82,0.776164,204.466,204.466,0,0,306.068,0,0,0,0,0,0,0,0,0,1055.84,791.877,263.959,2.2865,2.2865,0,0,1.64086,0,0,0,0,0,0,0,0,0,7.95532,5.96649,1.98883
setup,0,1884-08-30 00:00:00,FOCO,118,1214.95,0.778812,212.073,212.073,0,0,300.458,0,0,0,0,0,0,0,0,0,1045.13,783.845,261.282,2.36293,2.36293,0,0,1.6046,0,0,0,0,0,0,0,0,0,7.83668,5.87751,1.95917
