source,id,datetime,aC_ch4_emis[kgCha-1],aC_co2_emis_auto[kgCha-1],aC_co2_emis_hetero[kgCha-1],aC_doc_leach[kgCha-1],aC_litter_above[kgCha-1],aC_litter_below[kgCha-1],aC_fertilize[kgCha-1],aC_fixation[kgCha-1],aN_no_emis[kgNha-1],aN_n2o_emis[kgNha-1],aN_n2_emis[kgNha-1],aN_nh3_emis[kgNha-1],aN_no3_leach[kgNha-1],aN_nh4_leach[kgNha-1],aN_don_leach[kgNha-1],aN_uptake[kgNha-1],aN_litter_above[kgNha-1],aN_litter_below[kgNha-1],aN_fertilize[kgNha-1],aN_fixation[kgNha-1],aN_dep_no3[kgNha-1],aN_dep_nh4[kgNha-1],aN_mineral_floor[kgNha-1],aN_mineral_min[kgNha-1],aN_nitrify_floor[kgNha-1],aN_nitrify_min[kgNha-1],aN_chemo_floor[kgNha-1],aN_chemo_min[kgNha-1],C_stubble[kgCha-1],C_wood_above[kgCha-1],C_wood_below[kgCha-1],C_soil_total[kgCha-1],C_soil_floor[kgCha-1],C_soil_min[kgCha-1],C_soil_min_30cm[kgCha-1],C_soil_min_20cm[kgCha-1],C_mic_total[kgCha-1],C_sol_total[kgCha-1],N_stubble[kgNha-1],N_wood_above[kgNha-1],N_wood_below[kgNha-1],N_soil_total[kgNha-1],N_soil_floor[kgNha-1],N_soil_min[kgNha-1],N_soil_min_30cm[kgNha-1],N_soil_min_20cm[kgNha-1],N_mic_total[kgNha-1],N_sol_total[kgNha-1],aC_change[kgCha-1],aN_change[kgNha-1]
setup,0,1850-12-31 23:00:00,-0.211807,192.434,526.188,199.487,443.803,622.39,0,0.592365,0.22616,0.0573307,0.0401597,2.377e-05,6.43234,0.362703,21.9229,23.5602,3.19535,3.5783,7.5,0.0296183,3.65681,3.65681,-0,44.4555,-0,27.4035,-0,0.176979,413.799,0,0,27596.4,0,27596.4,27596.4,27596.4,3.68686,0.805953,2.97932,0,0,1855.87,0,1855.87,1855.87,1855.87,0.118908,0.150638,-98.7316,-35.0978
setup,0,1851-12-31 23:00:00,-0.176323,102.677,890.431,109.81,272.666,357.251,0,0.712561,0.198461,0.0532529,0.0171673,3.52946e-05,1.81267,0.273337,9.25368,13.8786,2.02489,2.07559,7.5,0.0356281,3.65681,3.65681,-0,24.9069,-0,15.7773,-0,0.167172,254.232,0,0,27378,0,27378,27378,27378,4.2566,0.816008,1.88799,0,0,1850.35,0,1850.35,1850.35,1850.35,0.133584,0.139979,-218.406,-5.52374
setup,0,1852-12-31 23:00:00,-0.179711,104.395,709.885,117.822,279.127,370.714,0,0.712561,0.18635,0.0339105,0.0133323,4.08337e-05,2.16533,0.330037,10.0237,12.9263,1.9657,2.02866,7.5,0.0356281,3.65681,3.65681,-0,23.1147,-0,15.3927,-0,0.161836,260.256,0,0,27197.5,0,27197.5,27197.5,27197.5,3.96844,0.759834,1.8328,0,0,1843.58,0,1843.58,1843.58,1843.58,0.121062,0.122972,-180.543,-6.77043
setup,0,1853-12-31 23:00:00,-0.17695,97.6109,682.247,107.342,266.412,351.62,0,1.32077,0.178552,0.029373,0.0122288,4.12668e-05,2.06834,0.301086,9.10764,11.7813,1.84694,1.88773,7.5,0.0660387,3.65681,3.65681,-0,20.7058,-0,14.0197,-0,0.15684,248.401,0,0,27040.3,0,27040.3,27040.3,27040.3,3.80184,0.755647,1.72207,0,0,1838.82,0,1838.82,1838.82,1838.82,0.110863,0.112135,-157.177,-4.75753
setup,0,1854-12-31 23:00:00,-0.175793,95.2701,650.568,103.213,262.142,345.751,0,1.32077,0.171453,0.0258772,0.0110949,5.14062e-05,2.00008,0.290907,8.73143,11.2749,1.79746,1.83184,7.5,0.0660387,3.65681,3.65681,-0,19.3318,-0,13.1452,-0,0.151744,244.419,0,0,26900.8,0,26900.8,26900.8,26900.8,3.63498,0.756033,1.67594,0,0,1834.87,0,1834.87,1834.87,1834.87,0.105157,0.108941,-139.532,-3.95255
setup,0,1855-12-31 23:00:00,-0.175042,94.2282,630.147,99.2098,260.356,343.461,0,1.32077,0.166965,0.024407,0.0106197,5.1306e-05,1.96974,0.282816,8.37571,10.9792,1.76981,1.80214,7.5,0.0660387,3.65681,3.65681,-0,18.5893,-0,12.7122,-0,0.148072,242.754,0,0,26778.8,0,26778.8,26778.8,26778.8,3.53564,0.756454,1.65016,0,0,1831.53,0,1831.53,1831.53,1831.53,0.101051,0.105871,-121.949,-3.33812
setup,0,1856-12-31 23:00:00,-0.174415,93.0583,617.757,97.4008,258.572,339.138,0,0.720774,0.161403,0.0220985,0.00965438,5.06357e-05,1.94242,0.284576,8.20836,10.8167,1.74833,1.77271,7.5,0.0360387,3.65681,3.65681,-0,17.9888,-0,12.2273,-0,0.143744,241.09,0,0,26664.3,0,26664.3,26664.3,26664.3,3.37357,0.7366,1.63013,0,0,1828.47,0,1828.47,1828.47,1828.47,0.0944757,0.0995184,-114.526,-3.05607
setup,0,1857-12-31 23:00:00,-0.17452,93.6031,606.586,94.9994,260.02,341.273,0,0.72895,0.158765,0.0220382,0.00957884,4.05592e-05,1.93465,0.278872,7.99997,10.835,1.75336,1.77898,7.5,0.0364475,3.65681,3.65681,-0,17.9099,-0,12.1899,-0,0.141237,242.44,0,0,26563.6,0,26563.6,26563.6,26563.6,3.34141,0.73626,1.63482,0,0,1825.6,0,1825.6,1825.6,1825.6,0.0940683,0.100911,-100.7,-2.87107
setup,0,1858-12-31 23:00:00,-0.175256,94.6237,603.188,94.1787,262.191,344.641,0,1.32895,0.159783,0.0225764,0.00971033,4.05312e-05,1.94671,0.274265,7.93373,10.9484,1.76739,1.79609,7.5,0.0664475,3.65681,3.65681,-0,18.1048,-0,12.3384,-0,0.141962,244.465,0,0,26472.3,0,26472.3,26472.3,26472.3,3.38361,0.739605,1.64791,0,0,1822.72,0,1822.72,1822.72,1822.72,0.0972216,0.109808,-91.3374,-2.88258
setup,0,1859-12-31 23:00:00,-0.176809,97.1335,602.038,94.4471,267.719,352.897,0,1.32895,0.163428,0.0233131,0.00987021,5.09139e-05,2.01838,0.273306,7.97499,11.2018,1.80011,1.83607,7.5,0.0664475,3.65681,3.65681,-0,18.5451,-0,12.6576,-0,0.145249,249.619,0,0,26392.3,0,26392.3,26392.3,26392.3,3.37173,0.740435,1.6784,0,0,1819.53,0,1819.53,1819.53,1819.53,0.096726,0.110788,-79.9413,-3.19302
setup,0,1860-12-31 23:00:00,-0.176175,96.7756,605.457,95.1254,267.208,351.139,0,1.32895,0.162278,0.0224222,0.00936184,4.98807e-05,2.02029,0.275625,8.03024,11.2037,1.79762,1.82817,7.5,0.0664475,3.69739,3.69739,-0,18.3776,-0,12.4088,-0,0.145134,249.143,0,0,26311.8,0,26311.8,26311.8,26311.8,3.29058,0.814864,1.67608,0,0,1816.3,0,1816.3,1816.3,1816.3,0.0926469,0.106217,-80.4937,-3.23043
setup,0,1861-12-31 23:00:00,-0.176625,97.3662,601.214,94.4517,268.515,353.038,0,1.33709,0.161378,0.0227226,0.00940682,4.94448e-05,2.00902,0.272627,7.96932,11.2551,1.80479,1.83698,7.5,0.0668545,3.65567,3.65567,-0,18.3926,-0,12.4103,-0,0.143787,250.362,0,0,26237.9,0,26237.9,26237.9,26237.9,3.28047,0.815375,1.68277,0,0,1813.1,0,1813.1,1813.1,1813.1,0.0924666,0.106719,-73.9171,-3.19799
setup,0,1862-12-31 23:00:00,-0.176463,97.1843,599.395,94.4081,268.405,352.454,0,1.33709,0.16192,0.022935,0.00947241,4.99547e-05,2.00626,0.271384,7.96631,11.2484,1.80429,1.83432,7.5,0.0668545,3.65567,3.65567,-0,18.4153,-0,12.4357,-0,0.144215,250.259,0,0,26166.5,0,26166.5,26166.5,26166.5,3.27033,0.81273,1.6823,0,0,1809.92,0,1809.92,1809.92,1809.92,0.0922652,0.106803,-71.3809,-3.18081
setup,0,1863-12-31 23:00:00,-0.17671,97.3231,597.183,94.2661,268.481,352.817,0,1.33709,0.161876,0.0229754,0.00947002,4.99449e-05,2.00787,0.270403,7.95437,11.2484,1.80413,1.83595,7.5,0.0668545,3.65567,3.65567,-0,18.4078,-0,12.4407,-0,0.144151,250.33,0,0,26097.8,0,26097.8,26097.8,26097.8,3.2567,0.816821,1.68216,0,0,1806.75,0,1806.75,1806.75,1806.75,0.0919205,0.10687,-68.7217,-3.16811
setup,0,1864-12-31 23:00:00,-0.175805,96.8069,596.618,94.8746,267.893,351.246,0,1.33709,0.159609,0.0214947,0.00868602,4.92144e-05,2.00784,0.271547,8.00188,11.2129,1.80208,1.82757,7.5,0.0668545,3.69972,3.69972,-0,18.1336,-0,12.1347,-0,0.14317,249.781,0,0,26027.5,0,26027.5,26027.5,26027.5,3.20407,0.834185,1.68024,0,0,1803.57,0,1803.57,1803.57,1803.57,0.0892334,0.100916,-70.279,-3.18291
