"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1940",NA,NA,NA,"12.44345","RothC","1_52","1","5","2"
"1941",NA,NA,NA,"12.39885","RothC","1_52","1","5","2"
"1942",NA,NA,NA,"12.0727","RothC","1_52","1","5","2"
"1943",NA,NA,NA,"11.7843","RothC","1_52","1","5","2"
"1944",NA,NA,NA,"11.513","RothC","1_52","1","5","2"
"1945",NA,NA,NA,"11.2713","RothC","1_52","1","5","2"
"1946",NA,NA,NA,"11.08795","RothC","1_52","1","5","2"
"1947",NA,NA,NA,"10.887","RothC","1_52","1","5","2"
"1948",NA,NA,NA,"10.70925","RothC","1_52","1","5","2"
"1949",NA,NA,NA,"10.55815","RothC","1_52","1","5","2"
"1950",NA,NA,NA,"10.4164","RothC","1_52","1","5","2"
"1951",NA,NA,NA,"10.2811","RothC","1_52","1","5","2"
"1952",NA,NA,NA,"10.17285","RothC","1_52","1","5","2"
"1953",NA,NA,NA,"10.09985","RothC","1_52","1","5","2"
"1954",NA,NA,NA,"9.9818","RothC","1_52","1","5","2"
"1955",NA,NA,NA,"9.8888","RothC","1_52","1","5","2"
"1956",NA,NA,NA,"9.79685","RothC","1_52","1","5","2"
"1957",NA,NA,NA,"9.7227","RothC","1_52","1","5","2"
"1958",NA,NA,NA,"9.62835","RothC","1_52","1","5","2"
"1959",NA,NA,NA,"9.5649","RothC","1_52","1","5","2"
"1960",NA,NA,NA,"9.499","RothC","1_52","1","5","2"
"1961",NA,NA,NA,"9.3732","RothC","1_52","1","5","2"
"1962",NA,NA,NA,"9.26185","RothC","1_52","1","5","2"
"1963",NA,NA,NA,"9.16715","RothC","1_52","1","5","2"
"1964",NA,NA,NA,"9.0661","RothC","1_52","1","5","2"
"1965",NA,NA,NA,"8.9701","RothC","1_52","1","5","2"
"1966",NA,NA,NA,"8.8854","RothC","1_52","1","5","2"
"1967",NA,NA,NA,"8.8045","RothC","1_52","1","5","2"
"1968",NA,NA,NA,"8.72","RothC","1_52","1","5","2"
"1969",NA,NA,NA,"8.6358","RothC","1_52","1","5","2"
"1970",NA,NA,NA,"8.5572","RothC","1_52","1","5","2"
"1971",NA,NA,NA,"8.4802","RothC","1_52","1","5","2"
"1972",NA,NA,NA,"8.3969","RothC","1_52","1","5","2"
"1973",NA,NA,NA,"8.31725","RothC","1_52","1","5","2"
"1974",NA,NA,NA,"8.24815","RothC","1_52","1","5","2"
"1975",NA,NA,NA,"8.17475","RothC","1_52","1","5","2"
"1976",NA,NA,NA,"8.1051","RothC","1_52","1","5","2"
"1977",NA,NA,NA,"8.0352","RothC","1_52","1","5","2"
"1978",NA,NA,NA,"7.96945","RothC","1_52","1","5","2"
"1979",NA,NA,NA,"7.90405","RothC","1_52","1","5","2"
"1980",NA,NA,NA,"7.84275","RothC","1_52","1","5","2"
"1981",NA,NA,NA,"7.7842","RothC","1_52","1","5","2"
"1982",NA,NA,NA,"7.72","RothC","1_52","1","5","2"
"1983",NA,NA,NA,"7.6572","RothC","1_52","1","5","2"
"1984",NA,NA,NA,"7.5882","RothC","1_52","1","5","2"
"1985",NA,NA,NA,"7.52135","RothC","1_52","1","5","2"
"1986",NA,NA,NA,"7.45915","RothC","1_52","1","5","2"
"1987",NA,NA,NA,"7.39885","RothC","1_52","1","5","2"
"1988",NA,NA,NA,"7.3359","RothC","1_52","1","5","2"
"1989",NA,NA,NA,"7.26945","RothC","1_52","1","5","2"
"1990",NA,NA,NA,"7.2094","RothC","1_52","1","5","2"
"1991",NA,NA,NA,"7.1559","RothC","1_52","1","5","2"
"1992",NA,NA,NA,"7.09495","RothC","1_52","1","5","2"
"1993",NA,NA,NA,"7.0356","RothC","1_52","1","5","2"
"1994",NA,NA,NA,"6.98285","RothC","1_52","1","5","2"
"1995",NA,NA,NA,"6.9295","RothC","1_52","1","5","2"
"1996",NA,NA,NA,"6.87165","RothC","1_52","1","5","2"
"1997",NA,NA,NA,"6.81285","RothC","1_52","1","5","2"
"1998",NA,NA,NA,"6.75745","RothC","1_52","1","5","2"
"1999",NA,NA,NA,"6.70205","RothC","1_52","1","5","2"
