"year","SorghumYld_Mgha","CottonYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1987,0,0.149,1.5,"APSIM","3_61",3,6,1
1988,0,0.701,2,"APSIM","3_61",3,6,1
1989,0,1.265,2.4,"APSIM","3_61",3,6,1
1990,0,0.867,2.8,"APSIM","3_61",3,6,1
1991,0,0.916,3.5,"APSIM","3_61",3,6,1
1992,0,1.016,4.1,"APSIM","3_61",3,6,1
1993,0,0.283,4.5,"APSIM","3_61",3,6,1
1994,0,0.342,4.7,"APSIM","3_61",3,6,1
1995,0,0.655,4.8,"APSIM","3_61",3,6,1
1996,0,1.366,4.8,"APSIM","3_61",3,6,1
1997,0,0.912,5.1,"APSIM","3_61",3,6,1
1998,0,1.118,5.5,"APSIM","3_61",3,6,1
1999,0,0.498,5.7,"APSIM","3_61",3,6,1
2000,0,0.632,5.5,"APSIM","3_61",3,6,1
2001,0,0.217,5.7,"APSIM","3_61",3,6,1
2002,0,1.47,5.7,"APSIM","3_61",3,6,1
2003,2.39,0,6,"APSIM","3_61",3,6,1
2004,0,0.36,6.2,"APSIM","3_61",3,6,1
2005,3.018,0,6.2,"APSIM","3_61",3,6,1
2006,0,0.608,6.4,"APSIM","3_61",3,6,1
2007,3.961,0,6.3,"APSIM","3_61",3,6,1
2008,0,0.473,6,"APSIM","3_61",3,6,1
2009,2.19,0,6.2,"APSIM","3_61",3,6,1
2010,0,0.327,6.1,"APSIM","3_61",3,6,1
2011,0,0,6.3,"APSIM","3_61",3,6,1
2012,0,0.728,6,"APSIM","3_61",3,6,1
2013,2.116,0,6,"APSIM","3_61",3,6,1
2014,0,0.672,5.9,"APSIM","3_61",3,6,1
2015,3.231,0,5.8,"APSIM","3_61",3,6,1
2016,0,0.537,6,"APSIM","3_61",3,6,1
2017,3.522,0,6,"APSIM","3_61",3,6,1
2018,0,0.284,6,"APSIM","3_61",3,6,1
2019,2.598,0,5.9,"APSIM","3_61",3,6,1
2020,0,0.306,5.9,"APSIM","3_61",3,6,1
2021,3.766,0,5.8,"APSIM","3_61",3,6,1
2022,0,0.182,10.7,"APSIM","3_61",3,6,1
2023,2.47,0,10.7,"APSIM","3_61",3,6,1
2024,0,0.385,10.8,"APSIM","3_61",3,6,1
2025,1.341,0,10.9,"APSIM","3_61",3,6,1
2026,0,0.37,10.8,"APSIM","3_61",3,6,1
2027,1.672,0,10.8,"APSIM","3_61",3,6,1
2028,0,0.397,10.8,"APSIM","3_61",3,6,1
2029,2.31,0,10.7,"APSIM","3_61",3,6,1
2030,0,0.85,10.7,"APSIM","3_61",3,6,1
2031,3.135,0,10.8,"APSIM","3_61",3,6,1
2032,0,0.343,10.6,"APSIM","3_61",3,6,1
2033,2.311,0,10.6,"APSIM","3_61",3,6,1
2034,0,0.482,10.5,"APSIM","3_61",3,6,1
2035,1.131,0,10.6,"APSIM","3_61",3,6,1
2036,0,0.471,10.5,"APSIM","3_61",3,6,1
2037,4.056,0,10.5,"APSIM","3_61",3,6,1
2038,0,0.215,10.4,"APSIM","3_61",3,6,1
2039,1.826,0,10.4,"APSIM","3_61",3,6,1
2040,0,0.35,10.6,"APSIM","3_61",3,6,1
2041,1.728,0,10.6,"APSIM","3_61",3,6,1
2042,0,0.169,10.6,"APSIM","3_61",3,6,1
2043,2.902,0,10.3,"APSIM","3_61",3,6,1
2044,0,0.216,10.3,"APSIM","3_61",3,6,1
2045,2.524,0,10.3,"APSIM","3_61",3,6,1
2046,0,0.322,10.3,"APSIM","3_61",3,6,1
2047,2.388,0,10.4,"APSIM","3_61",3,6,1
2048,0,0.446,10.3,"APSIM","3_61",3,6,1
2049,2.019,0,10.1,"APSIM","3_61",3,6,1
2050,0,0.369,10.2,"APSIM","3_61",3,6,1
