"Date_time","Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Scenario_Abbr","Maize_slope","Maize_yint","Maize_R2","Maize_RMSE","Maize_diff","Soy_slope","Soy_yint","Soy_R2","Soy_RMSE","Soy_diff","Wheat_slope","Wheat_yint","Wheat_R2","Wheat_RMSE","Wheat_diff","SOC_slope","SOC_yint","SOC_R2","SOC_RMSE","SOC_diff","SOC_diff_noout","Temp_slope","Temp_yint","Temp_R2","Temp_RMSE","Temp_diff","Moist_slope","Moist_yint","Moist_R2","Moist_RMSE","Moist_diff","N2O_slope","N2O_yint","N2O_R2","N2O_RMSE","N2O_diff","CH4_slope","CH4_yint","CH4_R2","CH4_RMSE","CH4_diff","MBio_slope","MBio_yint","MBio_R2","MBio_RMSE","MBio_diff","Cotton_slope","Cotton_yint","Cotton_R2","Cotton_RMSE","Cotton_diff","Sorghum_slope","Sorghum_yint","Sorghum_R2","Sorghum_RMSE","Sorghum_diff","Maize_cultivar","Soybean_cultivar","Wheat_cultivar","Cotton_cultivar","Sorghum_cultivar","Maize_slope_1to1","Maize_yint_1to1","Maize_R2_1to1","Maize_RMSE_1to1","Soy_slope_1to1","Soy_yint_1to1","Soy_R2_1to1","Soy_RMSE_1to1","Wheat_slope_1to1","Wheat_yint_1to1","Wheat_R2_1to1","Wheat_RMSE_1to1","SOC_slope_1to1","SOC_yint_1to1","SOC_R2_1to1","SOC_RMSE_1to1","Temp_slope_1to1","Temp_yint_1to1","Temp_R2_1to1","Temp_RMSE_1to1","Moist_slope_1to1","Moist_yint_1to1","Moist_R2_1to1","Moist_RMSE_1to1","N2O_slope_1to1","N2O_yint_1to1","N2O_R2_1to1","N2O_RMSE_1to1","CH4_slope_1to1","CH4_yint_1to1","CH4_R2_1to1","CH4_RMSE_1to1","MBio_slope_1to1","MBio_yint_1to1","MBio_R2_1to1","MBio_RMSE_1to1","Cotton_slope_1to1","Cotton_yint_1to1","Cotton_R2_1to1","Cotton_RMSE_1to1","Sorghum_slope_1to1","Sorghum_yint_1to1","Sorghum_R2_1to1","Sorghum_RMSE_1to1","Maize_slope_time","Maize_yint_time","Maize_R2_time","Maize_RMSE_time","Soy_slope_time","Soy_yint_time","Soy_R2_time","Soy_RMSE_time","Wheat_slope_time","Wheat_yint_time","Wheat_R2_time","Wheat_RMSE_time","SOC_slope_time","SOC_yint_time","SOC_R2_time","SOC_RMSE_time","Temp_slope_time","Temp_yint_time","Temp_R2_time","Temp_RMSE_time","Moist_slope_time","Moist_yint_time","Moist_R2_time","Moist_RMSE_time","N2O_slope_time","N2O_yint_time","N2O_R2_time","N2O_RMSE_time","CH4_slope_time","CH4_yint_time","CH4_R2_time","CH4_RMSE_time","MBio_slope_time","MBio_yint_time","MBio_R2_time","MBio_RMSE_time","Cotton_slope_time","Cotton_yint_time","Cotton_R2_time","Cotton_RMSE_time","Sorghum_slope_time","Sorghum_yint_time","Sorghum_R2_time","Sorghum_RMSE_time"
"2023-05-31 13:17:38","APSIM",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092797172,5.996509059,0.06,0.24,-0.29,NA,0.893890115,6.037653701,0.92,4.93,-4.07072777466382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.063848136,0.923516633,0.24,0.33,-0.454703703703704,NA,2.481,0,1.48,-1.4812989386565,NA,NA,NA,"s71br","mycultivar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0927971718957071,5.99650905877159,0.06,0.24,0.893890114993571,6.03765370139418,0.92,4.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0638481361075432,0.923516632775411,0.24,0.33,NA,2.481,0,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0022807017543849,11.3677192982435,0,NA,NA,NA,NA,NA,0.000110750248285026,20.5057207695547,0,NA,NA,NA,NA,NA,2.71958588069871e-05,-0.126173654930881,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0129848951911217,27.0121683107268,0.14,NA
"2023-05-30 17:08:48","Daycent",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512820512820516,9.99230769230771,1,0.3,-0.490000000000001,NA,3.21623306888575,0.93,3.78,-2.74621944133049,-2.74621944133049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.598168723861965,0,0.51,1.14259185185185,1.14259185185185,0.308000316424251,1,0.98,-1.72839301273057,-1.72839301273057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.512820512820512,10.0923076923077,1,0.31,0.97464414328289,3.21623306888575,0.93,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0216659050508654,0.598168723861965,0,0.51,2.01938557820968,0.308000316424251,1,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0297619047619013,-53.0297619047549,0.54,0.31,NA,NA,NA,NA,6.38109686943279e-05,19.7407671343713,0,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0216659050508654,0.598168723861965,0,0.51
"2023-05-30 17:09:22","Millennial",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.067007223,6.805805172,0.06,0.18,-0.334897635796293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117156652,1.395865698,0,0.91,-5.0210026521328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0670047771971576,6.80576908444999,0.06,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117156637689236,1.3958645898574,0,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.127554477064307,261.952063511011,0.75,0.18,NA,NA,NA,NA,6.38109686943279e-05,19.7407671343713,0,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.023245721025909,48.1461635002594,0.01,0.91,NA,NA,NA,NA
"2023-05-30 22:38:17","RothC",1,3,"1_3","CC-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18660738,5.370846675,0.85,0.2,-0.374700000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.315763367211662,4.57471890190016,0.83,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0099726190476203,-13.3803351190501,0.11,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-05-30 14:06:37","APSIM",1,51,"1_51","RR50-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.463917526,7.02371134,0.07,1.89,5.66,NA,0.895510095,6.030791303,0.92,4.96,-4.09389444133049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42914534,0.795949126,0.34,0.47,-0.0540740740740739,NA,2.141,0,0.37,0.37138317037037,NA,NA,NA,"s71br","mycultivar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.463917525773239,7.02371134020645,0.07,1.89,0.895510094959412,6.03079130342279,0.92,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.429145339771463,0.795949126388954,0.34,0.47,2.01938557820968,0.308000316424251,1,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0238095238095179,51.8988095237976,0.18,1.89,NA,NA,NA,NA,0.000124839130553804,20.2191123503973,0,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00889999999999999,18.4233,0.01,0.47
"2023-05-30 17:18:39","Daycent",1,51,"1_51","RR50-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14188542449727e-14,6.49999999999993,NA,0.45,-1.64,NA,0.986225967803765,3.37019439094049,0.93,4.09,-3.11486944133049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665070831430516,0.320920480362745,0.27,0.37,-0.55020962962963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90909090909089,1.10909090909102,1,0.55,0.986225967803765,3.37019439094049,0.93,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665070521431629,0.320920094525839,0.27,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0202380952380917,47.170238095231,0.29,0.55,NA,NA,NA,NA,-1.78561065660604e-05,20.9817776199682,0,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.665070521431629,0.320920094525839,0.27,0.37
"2023-05-30 17:19:13","Millennial",1,51,"1_51","RR50-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.903475209,17.98358673,0.33,0.36,-3.44954336692131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483871277,1.864117427,0.03,0.91,-5.60727850643388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.90345193218832,17.9834248247362,0.33,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.483870100587765,1.86411558515498,0.03,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.140447255514406,287.802215672901,0.69,0.36,NA,NA,NA,NA,-1.78561065660604e-05,20.9817776199682,0,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0115635558181599,24.6899754513967,0,0.91,NA,NA,NA,NA
"2023-05-30 22:46:01","RothC",1,51,"1_51","RR50-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.516056701,9.666698454,0.84,0.44,-1.57215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152654639175216,5.68155876288686,0.01,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00864583333332829,23.9577208333232,0.08,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-05-30 14:08:36","APSIM",1,52,"1_52","RR25-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515463918,2.195876289,0.06,0.76,2.26,NA,0.895508314,6.031074307,0.92,4.96,-4.09414444133049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305412755,0.952457828,0.12,0.53,-0.951074074074074,NA,2.139,0,0.37,0.373383170370371,NA,NA,NA,"s71br","mycultivar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51546391752572,2.19587628866012,0.06,0.76,0.895508314495397,6.03107430733032,0.92,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305412755244195,0.952457827704433,0.12,0.53,2.01938557820968,0.308000316424251,1,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0249999999999922,55.4249999999844,0.22,0.76,NA,NA,NA,NA,0.000124601374670417,20.2225306033365,0,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02645,-52.2999,0.05,0.53
"2023-05-30 17:20:34","Daycent",1,52,"1_52","RR25-CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909090909090913,1.00909090909088,1,0.48,-1.74,NA,0.985499245271587,3.32079875376365,0.93,4.03,-3.05200277466382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65859246575567,0.326717821155544,0.27,0.37,-0.559211851851852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81818181818178,-4.38181818181795,1,0.58,0.985499245271587,3.32079875376365,0.93,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658592155756783,0.326717435318638,0.27,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00595238095238131,-5.30595238095311,0.04,0.58,NA,NA,NA,NA,-1.95278940585937e-05,20.9709435844512,0,4.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.658592155756783,0.326717435318638,0.27,0.37
