"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha","Cotton_Diff_Mgha","Sorghum_Diff_Mgha"
"APSIM",1,51,"1_51",NA,NA,NA,"0","2.3595","-0.00106317241379309",NA,NA,"3.7","0.0651999999999956","0.500009569377996"
"APSIM",1,52,"1_52",NA,NA,NA,"0","2.71985","0.00108248275862041",NA,NA,"4.7","-0.0066999999999986","0.549248803827756"
"APSIM",1,53,"1_53",NA,NA,NA,"0","3.31594","-0.00313958620689721",NA,NA,"5.9","-0.0841999999999917","0.54328229665072"
"APSIM",1,54,"1_54",NA,NA,NA,"0","2.40417","-0.00112041379310317",NA,NA,"4","0.086599999999995","0.445105263157902"
"APSIM",1,55,"1_55",NA,NA,NA,"0.2","2.8658","-0.000409241379310171",NA,NA,"5.4","-0.000950000000002227","0.662966507177042"
"APSIM",1,56,"1_56",NA,NA,NA,"0.2","3.41722","0.00790772413793166",NA,NA,"6.9","0.0140000000000052","0.498674641148329"
"APSIM",2,51,"2_51",NA,NA,NA,"-0.1","2.20174","-0.0110303448275853",NA,NA,"3.6","0.0102499999999996","-0.152861538461543"
"APSIM",2,52,"2_52",NA,NA,NA,"0","2.5078","-0.010740551724137",NA,NA,"4.7","-0.0263000000000042","-0.0174461538461579"
"APSIM",2,53,"2_53",NA,NA,NA,"-0.100000000000001","2.98334","-0.0163892413793094",NA,NA,"5.8","-0.0345500000000082","-0.0549846153846205"
"APSIM",2,54,"2_54",NA,NA,NA,"-0.1","2.25792","-0.0113568275862061",NA,NA,"3.9","0.0507499999999992","-0.271815384615389"
"APSIM",2,55,"2_55",NA,NA,NA,"-0.0999999999999996","2.59503","-0.00745848275861986",NA,NA,"5.2","0.0157999999999947","-0.150276923076925"
"APSIM",2,56,"2_56",NA,NA,NA,"-0.100000000000001","3.06175","-0.00912179310344724",NA,NA,"6.6","-0.0523500000000066","-0.176861538461542"
"APSIM",3,51,"3_51",NA,NA,NA,"0","2.12763","0.0145873103448283",NA,NA,"3.8","-0.118249999999996","0.0641230769230985"
"APSIM",3,52,"3_52",NA,NA,NA,"0.100000000000001","2.43389","0.0158252413793108",NA,NA,"4.9","-0.117949999999997","0.0314769230769449"
"APSIM",3,53,"3_53",NA,NA,NA,"-0.0999999999999996","2.88882","0.0064085517241381",NA,NA,"5.9","-0.197499999999994","0.0250153846154046"
