"year","Observed","Obs_sd","APSIM","Daycent","crop","treatment_scen"
2003,NA,NA,0.947,0,"Cotton","Cover Crop, Crop Rotation"
2005,0.948555555555556,0.0794922690161334,0.99,0.96738,"Cotton","Cover Crop, Crop Rotation"
2007,1.23559259259259,0.140074660427313,1.039,0.28534,"Cotton","Cover Crop, Crop Rotation"
2008,0.34137037037037,0.0701652205798026,0.964,0.454811111111111,"Cotton","Cover Crop, Crop Rotation"
2009,NA,NA,0.631,0.34998,"Cotton","Cover Crop, Crop Rotation"
2010,0.934777777777778,0.0709814138427174,0.922,0.610173333333333,"Cotton","Cover Crop, Crop Rotation"
2004,0.999701061343501,0.357088469222284,2.481,2.32678222222222,"Sorghum","Cover Crop, Crop Rotation"
2006,NA,NA,0.961,NA,"Sorghum","Cover Crop, Crop Rotation"
2007,0.091537037037037,0.0603195643691084,NA,0.492848888888889,"Sorghum","Cover Crop, Crop Rotation"
2003,NA,NA,NA,0,"Cotton","Rmv Resid 0%, Crop Rotation"
2004,0.599574074074074,0.109885644823478,0.654,1.28416666666667,"Cotton","Rmv Resid 0%, Crop Rotation"
2006,0.171648148148148,0.0210326209012407,1.422,0.228911111111111,"Cotton","Rmv Resid 0%, Crop Rotation"
2008,0.411814814814815,0.0930192425001872,0.816,0.5214,"Cotton","Rmv Resid 0%, Crop Rotation"
2010,1.00688888888889,0.0470587694035637,1.098,0.726875555555555,"Cotton","Rmv Resid 0%, Crop Rotation"
2003,NA,NA,1.727,NA,"Sorghum","Rmv Resid 0%, Crop Rotation"
2005,2.51238317037037,0.473455661738329,2.139,1.58625777777778,"Sorghum","Rmv Resid 0%, Crop Rotation"
2007,NA,NA,2.178,0.204884444444444,"Sorghum","Rmv Resid 0%, Crop Rotation"
2009,NA,NA,1.448,0.720642222222222,"Sorghum","Rmv Resid 0%, Crop Rotation"
2003,NA,NA,NA,0,"Cotton","Rmv Resid 0%, No Till, Crop Rotation"
2004,0.582407407407407,0.141141947636824,0.632,0.891482222222222,"Cotton","Rmv Resid 0%, No Till, Crop Rotation"
2006,0.138925925925926,0.029314993214403,1.279,0.280486666666667,"Cotton","Rmv Resid 0%, No Till, Crop Rotation"
2008,0.47312962962963,0.09385859554026,0.755,0.464788888888889,"Cotton","Rmv Resid 0%, No Till, Crop Rotation"
2010,0.974444444444444,0.0747224494007286,0.808,0.603535555555555,"Cotton","Rmv Resid 0%, No Till, Crop Rotation"
2003,NA,NA,1.731,0.631628888888889,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation"
2005,2.23208491851852,0.657792606762805,2.225,1.26512,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation"
2007,NA,NA,2.222,0.160457777777778,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation"
2009,NA,NA,1.597,0.545055555555556,"Sorghum","Rmv Resid 0%, No Till, Crop Rotation"
2003,NA,NA,0.894,0,"Cotton","Continuous Crop"
2004,NA,NA,0.723,1.23773333333333,"Cotton","Continuous Crop"
2005,0.868666666666667,0.0735551569307761,1.193,0.875155555555556,"Cotton","Continuous Crop"
2006,0.150111111111111,0.0211228768382985,1.069,0.202324444444444,"Cotton","Continuous Crop"
2007,1.19355555555556,0.0655178799458026,0.688,0.293077777777778,"Cotton","Continuous Crop"
2008,0.459444444444444,0.0666944386598174,1.136,0.420506666666667,"Cotton","Continuous Crop"
2009,NA,NA,0.568,0.345333333333333,"Cotton","Continuous Crop"
2010,1.07466666666667,0.0617638873272868,1.099,0.697517777777778,"Cotton","Continuous Crop"
2003,NA,NA,0.966,0,"Cotton","No Till, Cover Crop, Crop Rotation"
2003,NA,NA,0.966,0.114937777777778,"Cotton","No Till, Cover Crop, Crop Rotation"
2005,0.891259259259259,0.150672614906346,0.991,0.724002222222222,"Cotton","No Till, Cover Crop, Crop Rotation"
2007,1.19225925925926,0.106327948894208,1,0.252697777777778,"Cotton","No Till, Cover Crop, Crop Rotation"
2008,0.365518518518519,0.0901697644432605,1.007,0.394773333333333,"Cotton","No Till, Cover Crop, Crop Rotation"
2009,NA,NA,0.735,0.252846666666667,"Cotton","No Till, Cover Crop, Crop Rotation"
2010,1.02988888888889,0.0535088258555954,0.362,0.4804,"Cotton","No Till, Cover Crop, Crop Rotation"
2004,0.905833088758934,0.611270477695848,2.492,1.81317111111111,"Sorghum","No Till, Cover Crop, Crop Rotation"
2006,NA,NA,0.959,NA,"Sorghum","No Till, Cover Crop, Crop Rotation"
2007,0.258222222222222,0.1929176745834,NA,0.596942222222222,"Sorghum","No Till, Cover Crop, Crop Rotation"
