year,date,Obs_sd,treatment_scen,Model,mb_val
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540286011
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540219673
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540155791
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540094026
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540183043
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540451115
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.540766635
2003,12053,NA,Continuous Crop,Observed,NA
2003,12053,NA,Continuous Crop,Millennial,0.541122807
2003,12054,NA,Continuous Crop,Observed,NA
2003,12054,NA,Continuous Crop,Millennial,0.541470353
2003,12055,NA,Continuous Crop,Observed,NA
2003,12055,NA,Continuous Crop,Millennial,0.541771472
2003,12056,NA,Continuous Crop,Observed,NA
2003,12056,NA,Continuous Crop,Millennial,0.542053794
2003,12057,NA,Continuous Crop,Observed,NA
2003,12057,NA,Continuous Crop,Millennial,0.542323039
2003,12058,NA,Continuous Crop,Observed,NA
2003,12058,NA,Continuous Crop,Millennial,0.542553298
2003,12059,NA,Continuous Crop,Observed,NA
2003,12059,NA,Continuous Crop,Millennial,0.54273754
2003,12060,NA,Continuous Crop,Observed,NA
2003,12060,NA,Continuous Crop,Millennial,0.542916344
2003,12061,NA,Continuous Crop,Observed,NA
2003,12061,NA,Continuous Crop,Millennial,0.543097512
2003,12062,NA,Continuous Crop,Observed,NA
2003,12062,NA,Continuous Crop,Millennial,0.543229992
2003,12063,NA,Continuous Crop,Observed,NA
2003,12063,NA,Continuous Crop,Millennial,0.543293654
2003,12064,NA,Continuous Crop,Observed,NA
2003,12064,NA,Continuous Crop,Millennial,0.543311608
2003,12065,NA,Continuous Crop,Observed,NA
2003,12065,NA,Continuous Crop,Millennial,0.543307695
2003,12066,NA,Continuous Crop,Observed,NA
2003,12066,NA,Continuous Crop,Millennial,0.543290154
2003,12067,NA,Continuous Crop,Observed,NA
2003,12067,NA,Continuous Crop,Millennial,0.543261035
