"Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_CottonYld_Mgha","mean_SorghumYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_CottonYld_Mgha","sd_SorghumYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
1,3,"1_3",-0.09028,0.35482,0.14765,0.00782,-0.02762,-0.54138,3.35561,-0.99436,1.81987,0.21513,0.12262,0.85293,0.0026,0,3.12742,1.11601,0,2.5851,"CC-CR"
1,7,"1_7",-0.06959,NA,-1.34774,0.00643,-0.05972,4.9417,2.75686,-2.14999,5.54857,0.09375,NA,2.26702,0.0016,0,8.3124,0.68811,0,8.47559,"CN"
1,8,"1_8",-0.09415,0.45066,0.35333,0.00678,-0.11867,-1.29554,2.90903,-4.27206,-2.65856,0.04638,0.01406,2.51794,0.00168,0,9.23246,0.72148,0,8.84301,"CC-NT-CR"
1,41,"1_41",-0.05479,0.72608,-0.51961,0.00715,-0.03362,1.90524,3.0682,-1.21032,3.76312,0.04591,0.25678,1.37973,0.00319,0,5.05902,1.36736,0,5.00071,"RF05-CR"
1,42,"1_42",-0.04345,0.6827,-0.64534,0.00695,-0.0357,2.36624,2.98324,-1.28521,4.06427,0.01655,0.19568,1.49093,0.00313,0,5.46675,1.34407,0,5.52129,"RF15-CR"
1,43,"1_43",-0.0322,0.64444,-0.79833,0.00675,-0.03791,2.92722,2.89476,-1.36486,4.45712,0.01181,0.11582,1.59946,0.00307,0,5.86469,1.31738,0,5.97793,"RF25-CR"
1,44,"1_44",-0.03085,0.59195,-0.97674,0.00654,-0.04027,3.58139,2.80395,-1.44968,4.93566,0.02644,0.04617,1.6935,0.003,0,6.20948,1.28826,0,6.34171,"RF35-CR"
1,51,"1_51",-0.00085,0.4609,-0.35295,0.00684,-0.04524,1.29414,2.93608,-1.6287,2.60152,0.09341,0.05531,1.25104,0.00366,0,4.58715,1.57082,0,4.44379,"RR50-CR"
1,52,"1_52",-0.02866,0.56746,-0.33108,0.00697,-0.03997,1.21396,2.98847,-1.43885,2.76358,0.03106,0.02575,1.64435,0.00347,0,6.02928,1.48737,0,5.725,"RR25-CR"
1,53,"1_53",-0.05082,0.74619,-0.4199,0.00725,-0.03262,1.53965,3.10931,-1.17448,3.47448,0.04721,0.28695,1.34374,0.00321,0,4.92706,1.37724,0,4.86814,"RR00-CR"
1,54,"1_54",-0.00122,0.43465,-0.18561,0.00592,-0.12997,0.68056,2.54126,-4.67885,-1.45703,0.1242,0.01478,2.20536,0.00287,0,8.08631,1.2328,0,7.61908,"RR50-NT-CR"
1,55,"1_55",-0.04546,0.57896,0.06293,0.00609,-0.12409,-0.23073,2.61472,-4.46713,-2.08313,0.06294,0.1188,2.37404,0.00264,0,8.70481,1.13109,0,8.22019,"RR25-NT-CR"
1,56,"1_56",-0.03889,0.52613,0.28265,0.00632,-0.11772,-1.03638,2.71279,-4.2378,-2.5614,0.07479,0.03883,2.52449,0.00237,0,9.25648,1.01801,0,8.73822,"RR00-NT-CR"
1,61,"1_61",-0.14155,0.36326,-0.8,0.00333,NA,2.93333,1.42975,NA,4.36308,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
1,62,"1_62",-0.1752,0.41243,-1.6,0.00336,NA,5.86667,1.44227,NA,7.30894,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
1,63,"1_63",-0.23035,0.48751,-2.3,0.00336,NA,8.43333,1.44311,NA,9.87645,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
1,64,"1_64",-0.2213,0.38089,-2.9,0.00337,NA,10.63333,1.44633,NA,12.07966,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
1,65,"1_65",-0.1782,0.58434,-3.9,0.00332,NA,14.3,1.42218,NA,15.72218,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
2,3,"2_3",-0.14095,-0.24383,-0.28573,0.00764,-0.02546,1.04769,3.27823,-0.91673,3.40918,0.00198,0.16102,1.21297,0.00273,0,4.44756,1.16991,0,4.15893,"CC-CR"
2,7,"2_7",-0.19283,NA,-1.74653,0.00628,-0.05822,6.40393,2.69442,-2.09588,7.00246,0.21314,NA,2.36428,0.00174,0,8.66903,0.74492,0,8.79023,"CN"
2,8,"2_8",-0.10213,-0.42475,0.09961,0.00662,-0.11272,-0.36525,2.84023,-4.05803,-1.58305,0.10094,0.37555,2.66136,0.00173,0,9.75831,0.74212,0,9.3333,"CC-NT-CR"
2,41,"2_41",-0.01125,-0.13431,-0.89919,0.00698,-0.03387,3.29701,2.99329,-1.21941,5.07089,0.07029,0.10879,1.68905,0.00331,0,6.19318,1.42059,0,6.25282,"RF05-CR"
2,42,"2_42",-0.03076,-0.14821,-0.99257,0.0068,-0.03579,3.63941,2.91873,-1.28858,5.26956,0.0673,0.12736,1.83033,0.00327,0,6.71122,1.40077,0,6.8252,"RF15-CR"
2,43,"2_43",-0.05032,-0.15295,-1.16111,0.00662,-0.03783,4.2574,2.84164,-1.36185,5.73719,0.06503,0.15826,1.91804,0.00321,0,7.0328,1.37887,0,7.1667,"RF25-CR"
2,44,"2_44",-0.07811,-0.15477,-1.32928,0.00643,-0.03999,4.87401,2.75968,-1.43956,6.19413,0.07367,0.19099,2.00555,0.00316,0,7.3537,1.35393,0,7.50436,"RF35-CR"
2,51,"2_51",-0.05641,-0.24388,-0.84875,0.00686,-0.04469,3.11209,2.94305,-1.60874,4.4464,0.09428,0.12872,1.75038,0.0038,0,6.41807,1.63178,0,6.39712,"RR50-CR"
2,52,"2_52",-0.04553,-0.15149,-0.76651,0.00695,-0.03994,2.81053,2.98046,-1.43799,4.35301,0.02719,0.18957,1.98271,0.00362,0,7.26995,1.55511,0,7.14706,"RR25-CR"
2,53,"2_53",0.00814,-0.12876,-0.82839,0.00706,-0.03295,3.03741,3.02968,-1.18636,4.88074,0.06037,0.10433,1.63989,0.00333,0,6.01293,1.42873,0,6.04033,"RR00-CR"
2,54,"2_54",-0.00203,-0.40831,-0.40931,0.00586,-0.12457,1.50082,2.51343,-4.48457,-0.47032,0.07464,0.19303,2.41226,0.00294,0,8.84497,1.26131,0,8.43441,"RR50-NT-CR"
2,55,"2_55",0.00173,-0.35679,-0.18343,0.00594,-0.11925,0.67257,2.54937,-4.29305,-1.07112,0.01989,0.29206,2.51292,0.00273,0,9.21405,1.17257,0,8.72314,"RR25-NT-CR"
2,56,"2_56",-0.01541,-0.37956,0.07582,0.00614,-0.11303,-0.278,2.63267,-4.06898,-1.71431,0.05224,0.28666,2.66905,0.00251,0,9.78651,1.0771,0,9.23727,"RR00-NT-CR"
2,61,"2_61",0.02015,-0.01622,-0.9,0.00302,NA,3.3,1.29356,NA,4.59356,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
2,62,"2_62",0.0086,0.08298,-1.6,0.00302,NA,5.86667,1.29739,NA,7.16405,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
2,63,"2_63",-0.01665,0.10652,-2.2,0.00304,NA,8.06667,1.30242,NA,9.36909,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
2,64,"2_64",0.0071,0.12932,-2.9,0.00305,NA,10.63333,1.30938,NA,11.94271,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
2,65,"2_65",0.1018,0.17711,-3.8,0.00297,NA,13.93333,1.27435,NA,15.20769,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
3,3,"3_3",-0.26613,0.44692,0.64601,0.00757,-0.02695,-2.36871,3.2479,-0.97026,-0.09107,0.12025,0.1905,0.54741,0.00271,0,2.00717,1.16294,0,1.37824,"CC-CR"
3,7,"3_7",-0.12645,NA,-1.56301,0.00629,-0.06062,5.73104,2.69836,-2.1822,6.24719,0.07599,NA,2.21969,0.00185,0,8.13885,0.79368,0,8.32147,"CN"
3,8,"3_8",-0.25351,0.57918,0.30644,0.00655,-0.11671,-1.12362,2.81145,-4.20173,-2.5139,0.07547,0.34648,2.59311,0.00176,0,9.50807,0.75449,0,9.10171,"CC-NT-CR"
3,41,"3_41",-0.21955,0.58654,-0.86938,0.00691,-0.03494,3.18773,2.9647,-1.25798,4.89445,0.04186,0.79003,1.74973,0.00334,0,6.41568,1.4314,0,6.5079,"RF05-CR"
3,42,"3_42",-0.2087,0.52856,-0.98393,0.00674,-0.03686,3.60776,2.89097,-1.32704,5.17169,0.04257,0.69362,1.79978,0.0033,0,6.59918,1.41759,0,6.68655,"RF15-CR"
3,43,"3_43",-0.20016,0.46306,-1.09939,0.00657,-0.03895,4.0311,2.81707,-1.40219,5.44598,0.04726,0.60217,1.84764,0.00326,0,6.77468,1.39954,0,6.91773,"RF25-CR"
3,44,"3_44",-0.19782,0.4029,-1.21234,0.00637,-0.04116,4.44526,2.73398,-1.48187,5.69737,0.04068,0.50996,1.8927,0.00321,0,6.93991,1.37638,0,7.13308,"RF35-CR"
3,51,"3_51",-0.19538,0.33335,-0.26523,0.00672,-0.04612,0.97252,2.88481,-1.66024,2.19709,0.10908,0.38074,0.73803,0.00375,0,2.70611,1.61018,0,2.7396,"RR50-CR"
3,52,"3_52",-0.19414,0.40711,-0.43217,0.00683,-0.0414,1.58463,2.92832,-1.49052,3.02244,0.10774,0.53122,1.52046,0.00359,0,5.57501,1.53843,0,5.41316,"RR25-CR"
3,53,"3_53",-0.22717,0.61553,-0.83696,0.00699,-0.03401,3.06887,3.00039,-1.22452,4.84475,0.04196,0.83512,1.7113,0.00335,0,6.27477,1.43792,0,6.30226,"RR00-CR"
3,54,"3_54",-0.22488,0.43784,-0.20561,0.00582,-0.12854,0.75389,2.49639,-4.62753,-1.37725,0.15865,0.5021,2.17124,0.00298,0,7.96122,1.27913,0,7.54819,"RR50-NT-CR"
3,55,"3_55",-0.25575,0.59497,-0.12314,0.00593,-0.12295,0.45151,2.5455,-4.42612,-1.4291,0.13125,0.48586,2.47495,0.00278,0,9.07482,1.19289,0,8.58928,"RR25-NT-CR"
3,56,"3_56",-0.27025,0.64487,0.01508,0.00614,-0.11662,-0.0553,2.63533,-4.19826,-1.61824,0.11887,0.61173,2.70142,0.00258,0,9.9052,1.10818,0,9.36638,"RR00-NT-CR"
3,61,"3_61",-0.15985,-0.00797,-0.7,0.00292,NA,2.56667,1.25335,NA,3.82002,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
3,62,"3_62",-0.19075,-0.04751,-1.4,0.00295,NA,5.13333,1.26518,NA,6.39851,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
3,63,"3_63",-0.1843,-0.08468,-2,0.00295,NA,7.33333,1.26614,NA,8.59947,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
3,64,"3_64",-0.19705,-0.08317,-2.5,0.00296,NA,9.16667,1.26933,NA,10.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
3,65,"3_65",-0.17065,-0.00326,-3.5,0.00294,NA,12.83333,1.25988,NA,14.09321,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
4,3,"4_3",0.23071,-0.41596,-0.12525,0.00782,-0.0255,0.45925,3.35563,-0.91812,2.89676,0.02109,0.05381,1.22442,0.00271,0,4.48956,1.16371,0,4.20452,"CC-CR"
4,7,"4_7",0.0094,NA,-1.62445,0.0065,-0.05976,5.9563,2.78868,-2.15153,6.59345,0.10262,NA,2.49304,0.00187,0,9.14113,0.80095,0,9.33163,"CN"
4,8,"4_8",0.12908,-0.36544,0.24883,0.00686,-0.11521,-0.91238,2.94126,-4.14757,-2.11869,0.00987,0.10639,2.61284,0.00177,0,9.58041,0.76082,0,9.14919,"CC-NT-CR"
4,41,"4_41",0.24431,-0.18211,-0.76041,0.00725,-0.03318,2.78816,3.10825,-1.19446,4.70195,0.00126,0.26707,1.60836,0.00339,0,5.89733,1.45381,0,5.89202,"RF05-CR"
4,42,"4_42",0.24738,-0.2081,-0.88157,0.00707,-0.03526,3.23242,3.03244,-1.26923,4.99563,0.02422,0.22435,1.72706,0.00334,0,6.33254,1.43392,0,6.4264,"RF15-CR"
4,43,"4_43",0.23732,-0.25024,-1.03106,0.00689,-0.03748,3.78057,2.95506,-1.34924,5.38639,0.03058,0.20296,1.84014,0.00328,0,6.74718,1.4087,0,6.89267,"RF25-CR"
4,44,"4_44",0.22528,-0.27945,-1.20495,0.00669,-0.03984,4.41813,2.87065,-1.43436,5.85443,0.04097,0.17427,1.93543,0.00322,0,7.09659,1.38055,0,7.25815,"RF35-CR"
4,51,"4_51",0.13097,-0.17192,-0.72959,0.007,-0.04483,2.67518,3.00504,-1.6137,4.06651,0.06028,0.2168,1.6744,0.00386,0,6.13946,1.6545,0,6.20073,"RR50-CR"
4,52,"4_52",0.2008,-0.20898,-0.63929,0.00713,-0.03961,2.34406,3.06034,-1.42608,3.97832,0.00078,0.01622,1.9093,0.00366,0,7.00076,1.57094,0,6.87355,"RR25-CR"
4,53,"4_53",0.2424,-0.16517,-0.66385,0.00733,-0.03221,2.43411,3.14389,-1.1595,4.41849,0.01189,0.27822,1.57486,0.00341,0,5.77447,1.46263,0,5.77012,"RR00-CR"
4,54,"4_54",0.08452,-0.17529,-0.23797,0.00605,-0.1271,0.87254,2.59481,-4.57545,-1.1081,0.05808,0.22009,2.36529,0.00303,0,8.67271,1.30134,0,8.29023,"RR50-NT-CR"
